pole,opponent,episode_seed,blue_score,red_score,win,draw,steps,zero_zero,total_score,policy
A,OP6,7800001,1,0,1,0,240,0,1,pi_A
A,OP6,7800002,2,0,1,0,240,0,2,pi_A
A,OP6,7800003,2,0,1,0,240,0,2,pi_A
A,OP6,7800004,2,0,1,0,240,0,2,pi_A
A,OP6,7800005,0,0,0,1,240,1,0,pi_A
A,OP6,7800006,2,1,1,0,240,0,3,pi_A
A,OP6,7800007,2,0,1,0,240,0,2,pi_A
A,OP6,7800008,0,0,0,1,240,1,0,pi_A
A,OP6,7800009,3,0,1,0,123,0,3,pi_A
A,OP6,7800010,1,1,0,1,240,0,2,pi_A
A,OP6,7800011,1,1,0,1,240,0,2,pi_A
A,OP6,7800012,0,0,0,1,240,1,0,pi_A
A,OP6,7800013,0,0,0,1,240,1,0,pi_A
A,OP6,7800014,2,0,1,0,240,0,2,pi_A
A,OP6,7800015,1,0,1,0,240,0,1,pi_A
A,OP6,7800016,1,0,1,0,240,0,1,pi_A
A,OP6,7800017,2,1,1,0,240,0,3,pi_A
A,OP6,7800018,3,0,1,0,236,0,3,pi_A
A,OP6,7800019,1,0,1,0,240,0,1,pi_A
A,OP6,7800020,0,0,0,1,240,1,0,pi_A
A,OP6,7800021,2,1,1,0,240,0,3,pi_A
A,OP6,7800022,2,1,1,0,240,0,3,pi_A
A,OP6,7800023,0,0,0,1,240,1,0,pi_A
A,OP6,7800024,3,0,1,0,176,0,3,pi_A
A,OP6,7800025,1,0,1,0,240,0,1,pi_A
A,OP6,7800026,3,0,1,0,118,0,3,pi_A
A,OP6,7800027,0,0,0,1,240,1,0,pi_A
A,OP6,7800028,1,0,1,0,240,0,1,pi_A
A,OP6,7800029,1,0,1,0,240,0,1,pi_A
A,OP6,7800030,1,0,1,0,240,0,1,pi_A
A,OP6,7800031,1,0,1,0,240,0,1,pi_A
A,OP6,7800032,3,0,1,0,190,0,3,pi_A
A,OP6,7800033,3,0,1,0,182,0,3,pi_A
A,OP6,7800034,2,1,1,0,240,0,3,pi_A
A,OP6,7800035,3,0,1,0,195,0,3,pi_A
A,OP6,7800036,2,0,1,0,240,0,2,pi_A
A,OP6,7800037,2,1,1,0,240,0,3,pi_A
A,OP6,7800038,1,1,0,1,240,0,2,pi_A
A,OP6,7800039,2,2,0,1,240,0,4,pi_A
A,OP6,7800040,3,0,1,0,191,0,3,pi_A
A,OP6,7800041,2,0,1,0,240,0,2,pi_A
A,OP6,7800042,2,0,1,0,240,0,2,pi_A
A,OP6,7800043,2,1,1,0,240,0,3,pi_A
