arm,pole,seed,steps,blue,red,win,margin,defender_id
pi_A,A,22000001,240,1,0,1,1,-1
A_closest,A,22000001,240,1,0,1,1,1
pi_B,A,22000001,240,1,0,1,1,-1
pi_A,B,22000001,240,1,0,1,1,-1
A_closest,B,22000001,240,0,1,0,-1,1
pi_B,B,22000001,84,3,0,1,3,-1
pi_A,A,22000002,240,1,0,1,1,-1
A_closest,A,22000002,115,3,0,1,3,3
pi_B,A,22000002,240,1,0,1,1,-1
pi_A,B,22000002,240,2,0,1,2,-1
A_closest,B,22000002,240,1,0,1,1,3
pi_B,B,22000002,88,3,0,1,3,-1
pi_A,A,22000003,240,1,0,1,1,-1
A_closest,A,22000003,240,1,0,1,1,4
pi_B,A,22000003,240,2,0,1,2,-1
pi_A,B,22000003,147,3,0,1,3,-1
A_closest,B,22000003,240,2,0,1,2,4
pi_B,B,22000003,136,3,0,1,3,-1
pi_A,A,22000004,240,2,0,1,2,-1
A_closest,A,22000004,90,3,0,1,3,4
pi_B,A,22000004,240,1,0,1,1,-1
pi_A,B,22000004,130,3,1,1,2,-1
A_closest,B,22000004,218,3,0,1,3,4
pi_B,B,22000004,189,3,1,1,2,-1
pi_A,A,22000005,240,1,0,1,1,-1
A_closest,A,22000005,208,3,0,1,3,3
pi_B,A,22000005,240,0,0,0,0,-1
pi_A,B,22000005,175,3,0,1,3,-1
A_closest,B,22000005,240,1,0,1,1,3
pi_B,B,22000005,240,2,0,1,2,-1
pi_A,A,22000006,240,1,0,1,1,-1
A_closest,A,22000006,159,3,1,1,2,1
pi_B,A,22000006,240,1,0,1,1,-1
pi_A,B,22000006,87,3,0,1,3,-1
A_closest,B,22000006,161,3,0,1,3,1
pi_B,B,22000006,92,3,0,1,3,-1
pi_A,A,22000007,240,1,0,1,1,-1
A_closest,A,22000007,240,2,0,1,2,0
pi_B,A,22000007,240,0,0,0,0,-1
pi_A,B,22000007,240,1,0,1,1,-1
A_closest,B,22000007,105,3,0,1,3,0
pi_B,B,22000007,84,3,0,1,3,-1
pi_A,A,22000008,240,1,0,1,1,-1
A_closest,A,22000008,79,3,0,1,3,2
pi_B,A,22000008,240,1,0,1,1,-1
pi_A,B,22000008,164,3,0,1,3,-1
A_closest,B,22000008,240,1,0,1,1,2
pi_B,B,22000008,178,3,1,1,2,-1
pi_A,A,22000009,240,1,0,1,1,-1
A_closest,A,22000009,77,3,0,1,3,3
pi_B,A,22000009,240,1,0,1,1,-1
pi_A,B,22000009,99,3,0,1,3,-1
A_closest,B,22000009,240,1,0,1,1,3
pi_B,B,22000009,98,3,0,1,3,-1
pi_A,A,22000010,240,1,0,1,1,-1
A_closest,A,22000010,240,2,0,1,2,3
pi_B,A,22000010,240,1,0,1,1,-1
pi_A,B,22000010,225,3,0,1,3,-1
A_closest,B,22000010,240,2,0,1,2,3
pi_B,B,22000010,240,1,0,1,1,-1
pi_A,A,22000011,240,1,0,1,1,-1
A_closest,A,22000011,240,0,0,0,0,1
pi_B,A,22000011,240,1,0,1,1,-1
pi_A,B,22000011,240,2,0,1,2,-1
A_closest,B,22000011,202,3,0,1,3,1
pi_B,B,22000011,87,3,0,1,3,-1
pi_A,A,22000012,240,1,0,1,1,-1
A_closest,A,22000012,215,3,0,1,3,4
pi_B,A,22000012,240,1,0,1,1,-1
pi_A,B,22000012,92,3,0,1,3,-1
A_closest,B,22000012,240,2,0,1,2,4
pi_B,B,22000012,91,3,0,1,3,-1
pi_A,A,22000013,240,2,0,1,2,-1
A_closest,A,22000013,240,1,0,1,1,4
pi_B,A,22000013,240,2,0,1,2,-1
pi_A,B,22000013,240,2,0,1,2,-1
A_closest,B,22000013,121,3,0,1,3,4
pi_B,B,22000013,240,2,0,1,2,-1
pi_A,A,22000014,240,1,0,1,1,-1
A_closest,A,22000014,113,3,0,1,3,1
pi_B,A,22000014,240,1,1,0,0,-1
pi_A,B,22000014,240,0,0,0,0,-1
A_closest,B,22000014,240,2,0,1,2,1
pi_B,B,22000014,240,1,0,1,1,-1
pi_A,A,22000015,240,2,0,1,2,-1
A_closest,A,22000015,137,3,0,1,3,3
pi_B,A,22000015,240,1,0,1,1,-1
pi_A,B,22000015,186,3,0,1,3,-1
A_closest,B,22000015,152,3,0,1,3,3
pi_B,B,22000015,240,2,0,1,2,-1
pi_A,A,22000016,240,1,0,1,1,-1
A_closest,A,22000016,240,0,0,0,0,1
pi_B,A,22000016,240,1,0,1,1,-1
pi_A,B,22000016,124,3,0,1,3,-1
A_closest,B,22000016,240,0,0,0,0,1
pi_B,B,22000016,85,3,0,1,3,-1
pi_A,A,22000017,240,1,0,1,1,-1
A_closest,A,22000017,101,3,0,1,3,4
pi_B,A,22000017,240,1,0,1,1,-1
pi_A,B,22000017,195,3,0,1,3,-1
A_closest,B,22000017,105,3,0,1,3,4
pi_B,B,22000017,105,3,0,1,3,-1
pi_A,A,22000018,240,1,0,1,1,-1
A_closest,A,22000018,122,3,0,1,3,3
pi_B,A,22000018,240,1,0,1,1,-1
pi_A,B,22000018,113,3,0,1,3,-1
A_closest,B,22000018,240,2,0,1,2,3
pi_B,B,22000018,184,3,0,1,3,-1
pi_A,A,22000019,240,1,0,1,1,-1
A_closest,A,22000019,240,2,2,0,0,5
pi_B,A,22000019,240,1,0,1,1,-1
pi_A,B,22000019,240,2,0,1,2,-1
A_closest,B,22000019,240,2,0,1,2,5
pi_B,B,22000019,240,1,0,1,1,-1
pi_A,A,22000020,240,0,0,0,0,-1
A_closest,A,22000020,140,3,0,1,3,5
pi_B,A,22000020,240,1,0,1,1,-1
pi_A,B,22000020,240,2,0,1,2,-1
A_closest,B,22000020,240,0,0,0,0,5
