policy,pole,arm,seed,defender_id,steps,blue,red,win,margin
pi_A,A,native,20900001,3,240,2,1,1,1
pi_A,A,plus_one_defender,20900001,3,90,3,0,1,3
pi_A,B,native,20900001,3,240,1,0,1,1
pi_A,B,plus_one_defender,20900001,3,240,1,0,1,1
pi_B,A,native,20900001,3,240,1,0,1,1
pi_B,A,plus_one_defender,20900001,3,104,3,0,1,3
pi_B,B,native,20900001,3,97,3,0,1,3
pi_B,B,plus_one_defender,20900001,3,150,3,0,1,3
pi_A,A,native,20900002,4,240,1,0,1,1
pi_A,A,plus_one_defender,20900002,4,91,3,0,1,3
pi_A,B,native,20900002,4,153,3,0,1,3
pi_A,B,plus_one_defender,20900002,4,240,0,0,0,0
pi_B,A,native,20900002,4,240,1,0,1,1
pi_B,A,plus_one_defender,20900002,4,120,3,0,1,3
pi_B,B,native,20900002,4,145,3,0,1,3
pi_B,B,plus_one_defender,20900002,4,240,1,0,1,1
pi_A,A,native,20900003,5,240,1,0,1,1
pi_A,A,plus_one_defender,20900003,5,122,3,1,1,2
pi_A,B,native,20900003,5,112,3,0,1,3
pi_A,B,plus_one_defender,20900003,5,240,1,0,1,1
pi_B,A,native,20900003,5,240,1,0,1,1
pi_B,A,plus_one_defender,20900003,5,240,1,0,1,1
pi_B,B,native,20900003,5,240,1,0,1,1
pi_B,B,plus_one_defender,20900003,5,219,3,0,1,3
pi_A,A,native,20900004,0,240,1,0,1,1
pi_A,A,plus_one_defender,20900004,0,240,1,0,1,1
pi_A,B,native,20900004,0,186,3,0,1,3
pi_A,B,plus_one_defender,20900004,0,153,3,0,1,3
pi_B,A,native,20900004,0,240,1,0,1,1
pi_B,A,plus_one_defender,20900004,0,240,1,0,1,1
pi_B,B,native,20900004,0,240,1,0,1,1
pi_B,B,plus_one_defender,20900004,0,240,1,0,1,1
pi_A,A,native,20900005,1,240,1,0,1,1
pi_A,A,plus_one_defender,20900005,1,240,1,0,1,1
pi_A,B,native,20900005,1,102,3,0,1,3
pi_A,B,plus_one_defender,20900005,1,240,1,0,1,1
pi_B,A,native,20900005,1,240,1,0,1,1
pi_B,A,plus_one_defender,20900005,1,240,1,0,1,1
pi_B,B,native,20900005,1,160,3,0,1,3
pi_B,B,plus_one_defender,20900005,1,240,2,0,1,2
pi_A,A,native,20900006,2,240,0,0,0,0
pi_A,A,plus_one_defender,20900006,2,78,3,0,1,3
pi_A,B,native,20900006,2,90,3,0,1,3
pi_A,B,plus_one_defender,20900006,2,240,2,0,1,2
pi_B,A,native,20900006,2,240,0,0,0,0
pi_B,A,plus_one_defender,20900006,2,79,3,0,1,3
pi_B,B,native,20900006,2,95,3,0,1,3
pi_B,B,plus_one_defender,20900006,2,88,3,0,1,3
pi_A,A,native,20900007,3,240,1,0,1,1
pi_A,A,plus_one_defender,20900007,3,232,3,1,1,2
pi_A,B,native,20900007,3,240,2,0,1,2
pi_A,B,plus_one_defender,20900007,3,240,1,0,1,1
pi_B,A,native,20900007,3,240,1,0,1,1
pi_B,A,plus_one_defender,20900007,3,78,3,0,1,3
pi_B,B,native,20900007,3,83,3,0,1,3
pi_B,B,plus_one_defender,20900007,3,240,1,0,1,1
pi_A,A,native,20900008,4,240,1,0,1,1
pi_A,A,plus_one_defender,20900008,4,119,3,0,1,3
pi_A,B,native,20900008,4,92,3,0,1,3
pi_A,B,plus_one_defender,20900008,4,171,3,0,1,3
pi_B,A,native,20900008,4,240,2,0,1,2
pi_B,A,plus_one_defender,20900008,4,117,3,0,1,3
pi_B,B,native,20900008,4,89,3,0,1,3
pi_B,B,plus_one_defender,20900008,4,129,3,0,1,3
pi_A,A,native,20900009,5,240,1,0,1,1
pi_A,A,plus_one_defender,20900009,5,240,0,0,0,0
pi_A,B,native,20900009,5,108,3,0,1,3
pi_A,B,plus_one_defender,20900009,5,218,3,0,1,3
pi_B,A,native,20900009,5,240,1,0,1,1
pi_B,A,plus_one_defender,20900009,5,96,3,0,1,3
pi_B,B,native,20900009,5,86,3,0,1,3
pi_B,B,plus_one_defender,20900009,5,240,1,0,1,1
pi_A,A,native,20900010,0,240,2,0,1,2
pi_A,A,plus_one_defender,20900010,0,240,1,0,1,1
pi_A,B,native,20900010,0,117,3,0,1,3
pi_A,B,plus_one_defender,20900010,0,177,3,0,1,3
pi_B,A,native,20900010,0,240,1,0,1,1
pi_B,A,plus_one_defender,20900010,0,76,3,0,1,3
pi_B,B,native,20900010,0,107,3,0,1,3
pi_B,B,plus_one_defender,20900010,0,240,2,0,1,2
pi_A,A,native,20900011,1,240,0,0,0,0
pi_A,A,plus_one_defender,20900011,1,240,0,0,0,0
pi_A,B,native,20900011,1,95,3,0,1,3
pi_A,B,plus_one_defender,20900011,1,145,3,0,1,3
pi_B,A,native,20900011,1,240,1,0,1,1
pi_B,A,plus_one_defender,20900011,1,240,1,0,1,1
pi_B,B,native,20900011,1,88,3,0,1,3
pi_B,B,plus_one_defender,20900011,1,240,1,0,1,1
pi_A,A,native,20900012,2,240,0,0,0,0
pi_A,A,plus_one_defender,20900012,2,135,3,0,1,3
pi_A,B,native,20900012,2,107,3,0,1,3
pi_A,B,plus_one_defender,20900012,2,240,1,0,1,1
pi_B,A,native,20900012,2,240,0,0,0,0
pi_B,A,plus_one_defender,20900012,2,240,1,0,1,1
pi_B,B,native,20900012,2,240,1,0,1,1
pi_B,B,plus_one_defender,20900012,2,240,0,0,0,0
pi_A,A,native,20900013,3,240,0,0,0,0
pi_A,A,plus_one_defender,20900013,3,240,1,0,1,1
pi_A,B,native,20900013,3,240,1,0,1,1
pi_A,B,plus_one_defender,20900013,3,107,3,0,1,3
pi_B,A,native,20900013,3,240,1,0,1,1
pi_B,A,plus_one_defender,20900013,3,197,3,0,1,3
pi_B,B,native,20900013,3,240,1,0,1,1
pi_B,B,plus_one_defender,20900013,3,240,1,0,1,1
pi_A,A,native,20900014,4,240,1,0,1,1
pi_A,A,plus_one_defender,20900014,4,103,3,0,1,3
pi_A,B,native,20900014,4,214,3,0,1,3
pi_A,B,plus_one_defender,20900014,4,240,2,0,1,2
pi_B,A,native,20900014,4,240,1,1,0,0
pi_B,A,plus_one_defender,20900014,4,240,1,0,1,1
pi_B,B,native,20900014,4,86,3,0,1,3
pi_B,B,plus_one_defender,20900014,4,240,0,0,0,0
pi_A,A,native,20900015,5,240,2,0,1,2
pi_A,A,plus_one_defender,20900015,5,240,0,0,0,0
pi_A,B,native,20900015,5,126,3,0,1,3
pi_A,B,plus_one_defender,20900015,5,240,1,0,1,1
pi_B,A,native,20900015,5,240,1,0,1,1
pi_B,A,plus_one_defender,20900015,5,105,3,0,1,3
pi_B,B,native,20900015,5,91,3,0,1,3
pi_B,B,plus_one_defender,20900015,5,164,3,0,1,3
pi_A,A,native,20900016,0,104,3,0,1,3
pi_A,A,plus_one_defender,20900016,0,92,3,0,1,3
pi_A,B,native,20900016,0,240,1,0,1,1
pi_A,B,plus_one_defender,20900016,0,240,2,0,1,2
pi_B,A,native,20900016,0,240,1,0,1,1
pi_B,A,plus_one_defender,20900016,0,240,1,0,1,1
pi_B,B,native,20900016,0,162,3,0,1,3
pi_B,B,plus_one_defender,20900016,0,239,3,0,1,3
pi_A,A,native,20900017,1,240,1,0,1,1
pi_A,A,plus_one_defender,20900017,1,127,3,0,1,3
pi_A,B,native,20900017,1,154,3,0,1,3
pi_A,B,plus_one_defender,20900017,1,240,0,0,0,0
pi_B,A,native,20900017,1,240,1,0,1,1
pi_B,A,plus_one_defender,20900017,1,136,3,0,1,3
pi_B,B,native,20900017,1,87,3,0,1,3
pi_B,B,plus_one_defender,20900017,1,240,0,0,0,0
pi_A,A,native,20900018,2,240,1,0,1,1
pi_A,A,plus_one_defender,20900018,2,240,1,0,1,1
pi_A,B,native,20900018,2,240,2,0,1,2
pi_A,B,plus_one_defender,20900018,2,240,1,1,0,0
pi_B,A,native,20900018,2,202,3,0,1,3
pi_B,A,plus_one_defender,20900018,2,240,1,0,1,1
pi_B,B,native,20900018,2,85,3,0,1,3
pi_B,B,plus_one_defender,20900018,2,190,3,0,1,3
pi_A,A,native,20900019,3,240,1,0,1,1
pi_A,A,plus_one_defender,20900019,3,240,2,0,1,2
pi_A,B,native,20900019,3,240,1,0,1,1
pi_A,B,plus_one_defender,20900019,3,240,1,0,1,1
pi_B,A,native,20900019,3,240,1,0,1,1
pi_B,A,plus_one_defender,20900019,3,189,3,1,1,2
pi_B,B,native,20900019,3,230,3,0,1,3
pi_B,B,plus_one_defender,20900019,3,220,3,0,1,3
pi_A,A,native,20900020,4,240,2,0,1,2
pi_A,A,plus_one_defender,20900020,4,240,1,0,1,1
pi_A,B,native,20900020,4,89,3,0,1,3
pi_A,B,plus_one_defender,20900020,4,240,2,0,1,2
pi_B,A,native,20900020,4,240,0,0,0,0
pi_B,A,plus_one_defender,20900020,4,86,3,0,1,3
pi_B,B,native,20900020,4,134,3,0,1,3
pi_B,B,plus_one_defender,20900020,4,240,1,0,1,1
pi_A,A,native,20900021,5,240,1,0,1,1
pi_A,A,plus_one_defender,20900021,5,240,2,0,1,2
pi_A,B,native,20900021,5,240,1,0,1,1
pi_A,B,plus_one_defender,20900021,5,240,1,0,1,1
pi_B,A,native,20900021,5,240,2,1,1,1
pi_B,A,plus_one_defender,20900021,5,240,2,0,1,2
pi_B,B,native,20900021,5,240,2,0,1,2
pi_B,B,plus_one_defender,20900021,5,140,3,0,1,3
pi_A,A,native,20900022,0,240,2,0,1,2
pi_A,A,plus_one_defender,20900022,0,131,3,0,1,3
pi_A,B,native,20900022,0,195,3,0,1,3
pi_A,B,plus_one_defender,20900022,0,240,1,0,1,1
pi_B,A,native,20900022,0,240,2,0,1,2
pi_B,A,plus_one_defender,20900022,0,240,2,0,1,2
pi_B,B,native,20900022,0,130,3,0,1,3
pi_B,B,plus_one_defender,20900022,0,240,0,0,0,0
pi_A,A,native,20900023,1,240,1,0,1,1
pi_A,A,plus_one_defender,20900023,1,240,2,0,1,2
pi_A,B,native,20900023,1,109,3,0,1,3
pi_A,B,plus_one_defender,20900023,1,205,3,0,1,3
pi_B,A,native,20900023,1,240,1,0,1,1
pi_B,A,plus_one_defender,20900023,1,112,3,0,1,3
pi_B,B,native,20900023,1,149,3,0,1,3
pi_B,B,plus_one_defender,20900023,1,169,3,0,1,3
pi_A,A,native,20900024,2,217,3,0,1,3
pi_A,A,plus_one_defender,20900024,2,137,3,0,1,3
pi_A,B,native,20900024,2,240,1,0,1,1
pi_A,B,plus_one_defender,20900024,2,135,3,0,1,3
pi_B,A,native,20900024,2,240,1,0,1,1
pi_B,A,plus_one_defender,20900024,2,79,3,0,1,3
pi_B,B,native,20900024,2,240,1,0,1,1
pi_B,B,plus_one_defender,20900024,2,240,2,0,1,2
pi_A,A,native,20900025,3,240,0,0,0,0
pi_A,A,plus_one_defender,20900025,3,240,1,0,1,1
pi_A,B,native,20900025,3,240,1,0,1,1
pi_A,B,plus_one_defender,20900025,3,155,3,0,1,3
pi_B,A,native,20900025,3,106,3,0,1,3
pi_B,A,plus_one_defender,20900025,3,83,3,0,1,3
pi_B,B,native,20900025,3,94,3,0,1,3
pi_B,B,plus_one_defender,20900025,3,146,3,0,1,3
pi_A,A,native,20900026,4,240,1,0,1,1
pi_A,A,plus_one_defender,20900026,4,123,3,0,1,3
pi_A,B,native,20900026,4,240,1,0,1,1
pi_A,B,plus_one_defender,20900026,4,240,1,0,1,1
pi_B,A,native,20900026,4,240,1,0,1,1
pi_B,A,plus_one_defender,20900026,4,240,1,0,1,1
pi_B,B,native,20900026,4,99,3,0,1,3
pi_B,B,plus_one_defender,20900026,4,220,3,0,1,3
pi_A,A,native,20900027,5,240,0,0,0,0
pi_A,A,plus_one_defender,20900027,5,240,2,0,1,2
pi_A,B,native,20900027,5,240,1,0,1,1
pi_A,B,plus_one_defender,20900027,5,191,3,0,1,3
pi_B,A,native,20900027,5,240,1,0,1,1
pi_B,A,plus_one_defender,20900027,5,120,3,0,1,3
pi_B,B,native,20900027,5,196,3,1,1,2
pi_B,B,plus_one_defender,20900027,5,165,3,0,1,3
pi_A,A,native,20900028,0,83,3,0,1,3
pi_A,A,plus_one_defender,20900028,0,240,2,1,1,1
pi_A,B,native,20900028,0,184,3,0,1,3
pi_A,B,plus_one_defender,20900028,0,240,1,0,1,1
pi_B,A,native,20900028,0,240,1,0,1,1
pi_B,A,plus_one_defender,20900028,0,240,1,0,1,1
pi_B,B,native,20900028,0,240,1,0,1,1
pi_B,B,plus_one_defender,20900028,0,240,0,0,0,0
pi_A,A,native,20900029,1,240,1,0,1,1
pi_A,A,plus_one_defender,20900029,1,130,3,0,1,3
pi_A,B,native,20900029,1,240,2,0,1,2
pi_A,B,plus_one_defender,20900029,1,240,1,0,1,1
pi_B,A,native,20900029,1,240,1,0,1,1
pi_B,A,plus_one_defender,20900029,1,240,1,0,1,1
pi_B,B,native,20900029,1,240,1,0,1,1
pi_B,B,plus_one_defender,20900029,1,87,3,0,1,3
pi_A,A,native,20900030,2,240,1,0,1,1
pi_A,A,plus_one_defender,20900030,2,240,1,0,1,1
pi_A,B,native,20900030,2,240,1,0,1,1
pi_A,B,plus_one_defender,20900030,2,240,2,0,1,2
pi_B,A,native,20900030,2,240,1,0,1,1
pi_B,A,plus_one_defender,20900030,2,240,1,0,1,1
pi_B,B,native,20900030,2,89,3,0,1,3
pi_B,B,plus_one_defender,20900030,2,171,3,0,1,3
pi_A,A,native,20900031,3,240,1,0,1,1
pi_A,A,plus_one_defender,20900031,3,90,3,0,1,3
pi_A,B,native,20900031,3,104,3,0,1,3
pi_A,B,plus_one_defender,20900031,3,171,3,0,1,3
pi_B,A,native,20900031,3,240,2,0,1,2
pi_B,A,plus_one_defender,20900031,3,240,1,0,1,1
pi_B,B,native,20900031,3,240,2,0,1,2
pi_B,B,plus_one_defender,20900031,3,240,2,0,1,2
pi_A,A,native,20900032,4,240,0,0,0,0
pi_A,A,plus_one_defender,20900032,4,139,3,0,1,3
pi_A,B,native,20900032,4,108,3,0,1,3
pi_A,B,plus_one_defender,20900032,4,240,1,0,1,1
pi_B,A,native,20900032,4,240,1,0,1,1
pi_B,A,plus_one_defender,20900032,4,240,1,0,1,1
pi_B,B,native,20900032,4,240,1,0,1,1
pi_B,B,plus_one_defender,20900032,4,240,2,0,1,2
pi_A,A,native,20900033,5,240,0,0,0,0
pi_A,A,plus_one_defender,20900033,5,130,3,0,1,3
pi_A,B,native,20900033,5,162,3,0,1,3
pi_A,B,plus_one_defender,20900033,5,240,1,0,1,1
pi_B,A,native,20900033,5,240,0,0,0,0
pi_B,A,plus_one_defender,20900033,5,240,0,0,0,0
pi_B,B,native,20900033,5,240,1,0,1,1
pi_B,B,plus_one_defender,20900033,5,98,3,0,1,3
pi_A,A,native,20900034,0,240,1,0,1,1
pi_A,A,plus_one_defender,20900034,0,240,1,0,1,1
pi_A,B,native,20900034,0,240,2,0,1,2
pi_A,B,plus_one_defender,20900034,0,240,1,0,1,1
pi_B,A,native,20900034,0,240,1,0,1,1
pi_B,A,plus_one_defender,20900034,0,86,3,0,1,3
pi_B,B,native,20900034,0,112,3,0,1,3
pi_B,B,plus_one_defender,20900034,0,104,3,0,1,3
pi_A,A,native,20900035,1,240,2,0,1,2
pi_A,A,plus_one_defender,20900035,1,175,3,0,1,3
pi_A,B,native,20900035,1,240,2,0,1,2
pi_A,B,plus_one_defender,20900035,1,240,2,0,1,2
pi_B,A,native,20900035,1,240,1,0,1,1
pi_B,A,plus_one_defender,20900035,1,240,0,0,0,0
pi_B,B,native,20900035,1,146,3,0,1,3
pi_B,B,plus_one_defender,20900035,1,240,0,0,0,0
pi_A,A,native,20900036,2,101,3,0,1,3
pi_A,A,plus_one_defender,20900036,2,160,3,0,1,3
pi_A,B,native,20900036,2,160,3,0,1,3
pi_A,B,plus_one_defender,20900036,2,240,1,0,1,1
pi_B,A,native,20900036,2,240,1,0,1,1
pi_B,A,plus_one_defender,20900036,2,83,3,0,1,3
pi_B,B,native,20900036,2,211,3,0,1,3
pi_B,B,plus_one_defender,20900036,2,240,2,1,1,1
pi_A,A,native,20900037,3,240,0,0,0,0
pi_A,A,plus_one_defender,20900037,3,96,3,0,1,3
pi_A,B,native,20900037,3,240,1,0,1,1
pi_A,B,plus_one_defender,20900037,3,177,3,0,1,3
pi_B,A,native,20900037,3,240,0,0,0,0
pi_B,A,plus_one_defender,20900037,3,95,3,0,1,3
pi_B,B,native,20900037,3,106,3,0,1,3
pi_B,B,plus_one_defender,20900037,3,215,3,0,1,3
pi_A,A,native,20900038,4,240,2,0,1,2
pi_A,A,plus_one_defender,20900038,4,240,2,0,1,2
pi_A,B,native,20900038,4,102,3,0,1,3
pi_A,B,plus_one_defender,20900038,4,181,3,0,1,3
pi_B,A,native,20900038,4,240,1,0,1,1
pi_B,A,plus_one_defender,20900038,4,164,3,0,1,3
pi_B,B,native,20900038,4,188,3,0,1,3
pi_B,B,plus_one_defender,20900038,4,240,2,0,1,2
pi_A,A,native,20900039,5,204,3,0,1,3
pi_A,A,plus_one_defender,20900039,5,86,3,0,1,3
pi_A,B,native,20900039,5,104,3,0,1,3
pi_A,B,plus_one_defender,20900039,5,240,2,0,1,2
pi_B,A,native,20900039,5,240,1,0,1,1
pi_B,A,plus_one_defender,20900039,5,114,3,0,1,3
pi_B,B,native,20900039,5,240,1,0,1,1
pi_B,B,plus_one_defender,20900039,5,240,1,0,1,1
pi_A,A,native,20900040,0,90,3,0,1,3
pi_A,A,plus_one_defender,20900040,0,240,1,0,1,1
pi_A,B,native,20900040,0,92,3,0,1,3
pi_A,B,plus_one_defender,20900040,0,172,3,0,1,3
pi_B,A,native,20900040,0,111,3,1,1,2
pi_B,A,plus_one_defender,20900040,0,87,3,0,1,3
pi_B,B,native,20900040,0,240,2,0,1,2
pi_B,B,plus_one_defender,20900040,0,240,1,0,1,1
pi_A,A,native,20900041,1,240,2,1,1,1
