policy,pole,arm,seed,defender_id,blue,red,win,margin,steps,sealed_blue,sealed_red,time_to_first_carry,time_to_first_carry_excl_defender,n_carry_starts,n_carry_starts_excl_defender,total_carry_ticks,total_carry_ticks_excl_defender,n_carry_clean_release,n_carry_tag_caught,red_carrying_ticks,n_red_carry_starts,tagged_ticks_total,tagged_fraction,first_tag_tick,mean_active_count
pi_A,A,native,20900001,3,2,1,1,1,240,2,1,14.0,17.0,4,3,192,190,2,1,184,3,98,0.06805555555555555,7.0,5.591666666666667
pi_A,A,plus_one_defender,20900001,3,3,0,1,3,90,3,0,20.0,20.0,5,5,44,44,2,2,0,0,109,0.20185185185185187,7.0,4.788888888888889
pi_A,B,native,20900001,3,1,0,1,1,240,1,0,14.0,14.0,9,7,127,119,1,7,98,1,395,0.2743055555555556,7.0,4.354166666666667
pi_A,B,plus_one_defender,20900001,3,1,0,1,1,240,1,0,52.0,52.0,7,7,81,81,1,5,72,1,400,0.2777777777777778,8.0,4.333333333333333
pi_B,A,native,20900001,3,1,0,1,1,240,1,0,14.0,37.0,2,1,216,203,1,0,209,1,58,0.04027777777777778,7.0,5.758333333333334
pi_B,A,plus_one_defender,20900001,3,3,0,1,3,104,3,0,14.0,14.0,7,7,60,60,2,4,0,0,131,0.20993589743589744,7.0,4.740384615384615
pi_B,B,native,20900001,3,3,0,1,3,97,3,0,15.0,83.0,3,1,43,14,2,0,0,0,196,0.33676975945017185,8.0,3.979381443298969
pi_B,B,plus_one_defender,20900001,3,3,0,1,3,150,3,0,14.0,14.0,5,5,47,47,2,2,0,0,281,0.31222222222222223,8.0,4.126666666666667
pi_A,A,native,20900002,4,1,0,1,1,240,1,0,28.0,28.0,2,1,189,14,1,0,193,1,137,0.09513888888888888,8.0,5.429166666666666
pi_A,A,plus_one_defender,20900002,4,3,0,1,3,91,3,0,14.0,14.0,7,7,49,49,2,4,0,0,119,0.21794871794871795,7.0,4.6923076923076925
pi_A,B,native,20900002,4,3,0,1,3,153,3,0,14.0,14.0,8,5,56,35,2,5,3,1,302,0.3289760348583878,6.0,4.026143790849673
pi_A,B,plus_one_defender,20900002,4,0,0,0,0,240,0,0,31.0,31.0,7,7,21,21,0,7,0,0,525,0.3645833333333333,7.0,3.8125
pi_B,A,native,20900002,4,1,0,1,1,240,1,0,13.0,13.0,3,3,215,215,1,1,187,1,54,0.0375,6.0,5.775
pi_B,A,plus_one_defender,20900002,4,3,0,1,3,120,3,0,14.0,14.0,6,6,54,54,2,3,0,0,187,0.25972222222222224,6.0,4.441666666666666
pi_B,B,native,20900002,4,3,0,1,3,145,3,0,12.0,12.0,7,6,54,51,2,4,0,0,302,0.3471264367816092,6.0,3.9172413793103447
pi_B,B,plus_one_defender,20900002,4,1,0,1,1,240,1,0,13.0,13.0,12,12,40,40,1,11,0,0,528,0.36666666666666664,7.0,3.8
pi_A,A,native,20900003,5,1,0,1,1,240,1,0,14.0,14.0,2,2,215,215,1,0,210,1,61,0.04236111111111111,7.0,5.745833333333334
pi_A,A,plus_one_defender,20900003,5,3,1,1,2,122,3,1,25.0,25.0,6,6,51,51,2,3,20,1,200,0.273224043715847,6.0,4.360655737704918
pi_A,B,native,20900003,5,3,0,1,3,112,3,0,12.0,44.0,5,3,50,24,2,2,0,0,186,0.2767857142857143,7.0,4.339285714285714
pi_A,B,plus_one_defender,20900003,5,1,0,1,1,240,1,0,18.0,18.0,10,10,109,109,1,8,78,2,393,0.27291666666666664,17.0,4.3625
pi_B,A,native,20900003,5,1,0,1,1,240,1,0,15.0,15.0,3,3,213,213,1,1,207,1,76,0.05277777777777778,7.0,5.683333333333334
pi_B,A,plus_one_defender,20900003,5,1,0,1,1,240,1,0,15.0,15.0,2,2,213,213,1,0,207,1,146,0.10138888888888889,7.0,5.391666666666667
pi_B,B,native,20900003,5,1,0,1,1,240,1,0,12.0,20.0,3,1,214,14,1,1,197,1,80,0.05555555555555555,7.0,5.666666666666667
