seed,pole,composition,defender_ids,attacker_ids,blue_score,red_score,blue_win,draw,steps,blue_alive_end,genome_id,attack_ticks,defend_ticks,attack_enemy_flag_branch_count,carrier_home_branch_count,defend_inward_count,defend_outward_count,tagged_ticks_by_role,role_switch_count
20600001,A,3A_3D,"0,1,2","3,4,5",3,1,1,0,240,6,SDS2_A_payoff_INIT_3,720,720,459,261,452,268,275,0
20600002,A,3A_3D,"0,1,2","3,4,5",0,1,0,0,240,6,SDS2_A_payoff_INIT_3,720,720,189,531,609,111,326,0
20600003,A,3A_3D,"0,1,2","3,4,5",2,1,1,0,240,6,SDS2_A_payoff_INIT_3,720,720,519,201,471,249,290,0
20600004,A,3A_3D,"0,1,2","3,4,5",2,3,0,0,240,6,SDS2_A_payoff_INIT_3,720,720,531,189,451,269,288,0
20600005,A,3A_3D,"0,1,2","3,4,5",1,2,0,0,240,6,SDS2_A_payoff_INIT_3,720,720,615,105,305,415,298,0
20600006,A,3A_3D,"0,1,2","3,4,5",3,1,1,0,240,6,SDS2_A_payoff_INIT_3,720,720,528,192,308,412,245,0
20600007,A,3A_3D,"0,1,2","3,4,5",2,1,1,0,240,6,SDS2_A_payoff_INIT_3,720,720,402,318,483,237,288,0
20600008,A,3A_3D,"0,1,2","3,4,5",4,1,1,0,240,6,SDS2_A_payoff_INIT_3,720,720,483,237,310,410,213,0
20600009,A,3A_3D,"0,1,2","3,4,5",3,0,1,0,240,6,SDS2_A_payoff_INIT_3,720,720,438,282,347,373,188,0
20600010,A,3A_3D,"0,1,2","3,4,5",3,0,1,0,240,6,SDS2_A_payoff_INIT_3,720,720,399,321,319,401,223,0
20600011,A,3A_3D,"0,1,2","3,4,5",3,2,1,0,240,6,SDS2_A_payoff_INIT_3,720,720,516,204,351,369,239,0
20600012,A,3A_3D,"0,1,2","3,4,5",4,0,1,0,240,6,SDS2_A_payoff_INIT_3,720,720,363,357,475,245,260,0
20600013,A,3A_3D,"0,1,2","3,4,5",2,1,1,0,240,6,SDS2_A_payoff_INIT_3,720,720,585,135,293,427,276,0
20600014,A,3A_3D,"0,1,2","3,4,5",3,1,1,0,240,6,SDS2_A_payoff_INIT_3,720,720,486,234,380,340,309,0
20600015,A,3A_3D,"0,1,2","3,4,5",2,0,1,0,240,6,SDS2_A_payoff_INIT_3,720,720,237,483,496,224,256,0
20600016,A,3A_3D,"0,1,2","3,4,5",2,1,1,0,240,6,SDS2_A_payoff_INIT_3,720,720,540,180,265,455,249,0
20600017,A,3A_3D,"0,1,2","3,4,5",1,2,0,0,240,6,SDS2_A_payoff_INIT_3,720,720,570,150,347,373,288,0
20600018,A,3A_3D,"0,1,2","3,4,5",3,1,1,0,240,6,SDS2_A_payoff_INIT_3,720,720,537,183,319,401,245,0
20600019,A,3A_3D,"0,1,2","3,4,5",1,1,0,1,240,6,SDS2_A_payoff_INIT_3,720,720,237,483,578,142,308,0
20600020,A,3A_3D,"0,1,2","3,4,5",4,1,1,0,240,6,SDS2_A_payoff_INIT_3,720,720,420,300,382,338,238,0
20600021,A,3A_3D,"0,1,2","3,4,5",2,0,1,0,240,6,SDS2_A_payoff_INIT_3,720,720,285,435,440,280,294,0
20600022,A,3A_3D,"0,1,2","3,4,5",1,1,0,1,240,6,SDS2_A_payoff_INIT_3,720,720,195,525,608,112,316,0
20600023,A,3A_3D,"0,1,2","3,4,5",3,1,1,0,240,6,SDS2_A_payoff_INIT_3,720,720,567,153,413,307,238,0
20600024,A,3A_3D,"0,1,2","3,4,5",2,0,1,0,240,6,SDS2_A_payoff_INIT_3,720,720,480,240,248,472,208,0
20600025,A,3A_3D,"0,1,2","3,4,5",3,1,1,0,240,6,SDS2_A_payoff_INIT_3,720,720,522,198,283,437,225,0
20600026,A,3A_3D,"0,1,2","3,4,5",2,1,1,0,240,6,SDS2_A_payoff_INIT_3,720,720,567,153,366,354,248,0
20600027,A,3A_3D,"0,1,2","3,4,5",1,1,0,1,240,6,SDS2_A_payoff_INIT_3,720,720,462,258,304,416,264,0
20600028,A,3A_3D,"0,1,2","3,4,5",1,1,0,1,240,6,SDS2_A_payoff_INIT_3,720,720,378,342,503,217,307,0
20600029,A,3A_3D,"0,1,2","3,4,5",4,1,1,0,240,6,SDS2_A_payoff_INIT_3,720,720,489,231,281,439,262,0
20600030,A,3A_3D,"0,1,2","3,4,5",0,0,0,1,240,6,SDS2_A_payoff_INIT_3,720,720,81,639,627,93,317,0
20600031,A,3A_3D,"0,1,2","3,4,5",2,1,1,0,240,6,SDS2_A_payoff_INIT_3,720,720,300,420,532,188,323,0
20600032,A,3A_3D,"0,1,2","3,4,5",1,0,1,0,240,6,SDS2_A_payoff_INIT_3,720,720,192,528,558,162,306,0
20600033,A,3A_3D,"0,1,2","3,4,5",4,1,1,0,240,6,SDS2_A_payoff_INIT_3,720,720,432,288,399,321,197,0
20600034,A,3A_3D,"0,1,2","3,4,5",0,0,0,1,240,6,SDS2_A_payoff_INIT_3,720,720,90,630,554,166,260,0
20600035,A,3A_3D,"0,1,2","3,4,5",3,0,1,0,240,6,SDS2_A_payoff_INIT_3,720,720,438,282,296,424,209,0
20600036,A,3A_3D,"0,1,2","3,4,5",2,0,1,0,240,6,SDS2_A_payoff_INIT_3,720,720,240,480,551,169,299,0
20600037,A,3A_3D,"0,1,2","3,4,5",1,0,1,0,240,6,SDS2_A_payoff_INIT_3,720,720,162,558,610,110,325,0
20600038,A,3A_3D,"0,1,2","3,4,5",3,0,1,0,240,6,SDS2_A_payoff_INIT_3,720,720,447,273,256,464,242,0
20600039,A,3A_3D,"0,1,2","3,4,5",4,1,1,0,240,6,SDS2_A_payoff_INIT_3,720,720,510,210,309,411,226,0
20600040,A,3A_3D,"0,1,2","3,4,5",0,0,0,1,240,6,SDS2_A_payoff_INIT_3,720,720,81,639,622,98,315,0
20600041,A,3A_3D,"0,1,2","3,4,5",3,1,1,0,240,6,SDS2_A_payoff_INIT_3,720,720,423,297,446,274,309,0
20600042,A,3A_3D,"0,1,2","3,4,5",0,0,0,1,240,6,SDS2_A_payoff_INIT_3,720,720,99,621,612,108,323,0
20600043,A,3A_3D,"0,1,2","3,4,5",0,0,0,1,240,6,SDS2_A_payoff_INIT_3,720,720,108,612,611,109,311,0
20600044,A,3A_3D,"0,1,2","3,4,5",3,0,1,0,240,6,SDS2_A_payoff_INIT_3,720,720,510,210,184,536,224,0
20600045,A,3A_3D,"0,1,2","3,4,5",2,0,1,0,240,6,SDS2_A_payoff_INIT_3,720,720,282,438,486,234,227,0
20600046,A,3A_3D,"0,1,2","3,4,5",0,0,0,1,240,6,SDS2_A_payoff_INIT_3,720,720,105,615,606,114,308,0
20600047,A,3A_3D,"0,1,2","3,4,5",1,0,1,0,240,6,SDS2_A_payoff_INIT_3,720,720,219,501,479,241,273,0
20600048,A,3A_3D,"0,1,2","3,4,5",6,0,1,0,240,6,SDS2_A_payoff_INIT_3,720,720,387,333,371,349,157,0
20600049,A,3A_3D,"0,1,2","3,4,5",1,0,1,0,240,6,SDS2_A_payoff_INIT_3,720,720,273,447,563,157,311,0
20600050,A,3A_3D,"0,1,2","3,4,5",2,0,1,0,240,6,SDS2_A_payoff_INIT_3,720,720,477,243,385,335,274,0
20600051,A,3A_3D,"0,1,2","3,4,5",4,0,1,0,240,6,SDS2_A_payoff_INIT_3,720,720,450,270,389,331,235,0
20600052,A,3A_3D,"0,1,2","3,4,5",1,0,1,0,240,6,SDS2_A_payoff_INIT_3,720,720,252,468,526,194,244,0
20600053,A,3A_3D,"0,1,2","3,4,5",3,1,1,0,240,6,SDS2_A_payoff_INIT_3,720,720,534,186,325,395,219,0
20600054,A,3A_3D,"0,1,2","3,4,5",1,2,0,0,240,6,SDS2_A_payoff_INIT_3,720,720,345,375,573,147,329,0
20600055,A,3A_3D,"0,1,2","3,4,5",2,0,1,0,240,6,SDS2_A_payoff_INIT_3,720,720,510,210,335,385,276,0
20600056,A,3A_3D,"0,1,2","3,4,5",2,1,1,0,240,6,SDS2_A_payoff_INIT_3,720,720,555,165,303,417,266,0
20600057,A,3A_3D,"0,1,2","3,4,5",2,0,1,0,240,6,SDS2_A_payoff_INIT_3,720,720,291,429,526,194,314,0
20600058,A,3A_3D,"0,1,2","3,4,5",2,2,0,1,240,6,SDS2_A_payoff_INIT_3,720,720,516,204,444,276,308,0
20600059,A,3A_3D,"0,1,2","3,4,5",0,1,0,0,240,6,SDS2_A_payoff_INIT_3,720,720,348,372,522,198,262,0
20600060,A,3A_3D,"0,1,2","3,4,5",2,0,1,0,240,6,SDS2_A_payoff_INIT_3,720,720,126,594,599,121,276,0
20600061,A,3A_3D,"0,1,2","3,4,5",3,1,1,0,240,6,SDS2_A_payoff_INIT_3,720,720,519,201,356,364,279,0
20600062,A,3A_3D,"0,1,2","3,4,5",2,0,1,0,240,6,SDS2_A_payoff_INIT_3,720,720,216,504,511,209,261,0
20600063,A,3A_3D,"0,1,2","3,4,5",3,2,1,0,240,6,SDS2_A_payoff_INIT_3,720,720,495,225,342,378,257,0
20600064,A,3A_3D,"0,1,2","3,4,5",2,1,1,0,240,6,SDS2_A_payoff_INIT_3,720,720,420,300,403,317,301,0
20600065,A,3A_3D,"0,1,2","3,4,5",2,0,1,0,240,6,SDS2_A_payoff_INIT_3,720,720,288,432,471,249,265,0
20600066,A,3A_3D,"0,1,2","3,4,5",4,0,1,0,240,6,SDS2_A_payoff_INIT_3,720,720,459,261,293,427,227,0
20600067,A,3A_3D,"0,1,2","3,4,5",3,1,1,0,240,6,SDS2_A_payoff_INIT_3,720,720,534,186,333,387,243,0
