pole,arm,seed,blocked_departures,first_block_tick,n_bursts,first_onset,ticks_in_4A0D,fraction_in_4A0D
A,FIXED_2A2D,20300001,0,,0,,0,0.0
A,FIXED_2A2D,20300002,0,,0,,0,0.0
A,FIXED_2A2D,20300003,0,,0,,0,0.0
A,FIXED_2A2D,20300004,0,,0,,0,0.0
A,FIXED_2A2D,20300005,0,,0,,0,0.0
A,FIXED_2A2D,20300006,0,,0,,0,0.0
A,FIXED_2A2D,20300007,0,,0,,0,0.0
A,FIXED_2A2D,20300008,0,,0,,0,0.0
A,FIXED_2A2D,20300009,0,,0,,0,0.0
A,FIXED_2A2D,20300010,0,,0,,0,0.0
A,FIXED_2A2D,20300011,0,,0,,0,0.0
A,FIXED_2A2D,20300012,0,,0,,0,0.0
A,FIXED_2A2D,20300013,0,,0,,0,0.0
A,FIXED_2A2D,20300014,0,,0,,0,0.0
A,FIXED_2A2D,20300015,0,,0,,0,0.0
A,FIXED_2A2D,20300016,0,,0,,0,0.0
A,FIXED_2A2D,20300017,0,,0,,0,0.0
A,FIXED_2A2D,20300018,0,,0,,0,0.0
A,FIXED_2A2D,20300019,0,,0,,0,0.0
A,FIXED_2A2D,20300020,0,,0,,0,0.0
A,FIXED_2A2D,20300021,0,,0,,0,0.0
A,FIXED_2A2D,20300022,0,,0,,0,0.0
A,FIXED_2A2D,20300023,0,,0,,0,0.0
A,FIXED_2A2D,20300024,0,,0,,0,0.0
A,FIXED_2A2D,20300025,0,,0,,0,0.0
A,FIXED_2A2D,20300026,0,,0,,0,0.0
A,FIXED_2A2D,20300027,0,,0,,0,0.0
A,FIXED_2A2D,20300028,0,,0,,0,0.0
A,FIXED_2A2D,20300029,0,,0,,0,0.0
A,FIXED_2A2D,20300030,0,,0,,0,0.0
A,FIXED_2A2D,20300031,0,,0,,0,0.0
A,FIXED_2A2D,20300032,0,,0,,0,0.0
A,FIXED_2A2D,20300033,0,,0,,0,0.0
A,FIXED_2A2D,20300034,0,,0,,0,0.0
A,FIXED_2A2D,20300035,0,,0,,0,0.0
A,FIXED_2A2D,20300036,0,,0,,0,0.0
A,FIXED_2A2D,20300037,0,,0,,0,0.0
A,FIXED_2A2D,20300038,0,,0,,0,0.0
A,FIXED_2A2D,20300039,0,,0,,0,0.0
A,FIXED_2A2D,20300040,0,,0,,0,0.0
A,FIXED_2A2D,20300041,0,,0,,0,0.0
A,FIXED_2A2D,20300042,0,,0,,0,0.0
A,FIXED_2A2D,20300043,0,,0,,0,0.0
A,FIXED_2A2D,20300044,0,,0,,0,0.0
A,FIXED_2A2D,20300045,0,,0,,0,0.0
A,FIXED_2A2D,20300046,0,,0,,0,0.0
A,FIXED_2A2D,20300047,0,,0,,0,0.0
A,FIXED_2A2D,20300048,0,,0,,0,0.0
A,FIXED_2A2D,20300049,0,,0,,0,0.0
A,FIXED_2A2D,20300050,0,,0,,0,0.0
A,FIXED_2A2D,20300051,0,,0,,0,0.0
A,FIXED_2A2D,20300052,0,,0,,0,0.0
A,FIXED_2A2D,20300053,0,,0,,0,0.0
A,FIXED_2A2D,20300054,0,,0,,0,0.0
A,FIXED_2A2D,20300055,0,,0,,0,0.0
A,FIXED_2A2D,20300056,0,,0,,0,0.0
A,FIXED_2A2D,20300057,0,,0,,0,0.0
A,FIXED_2A2D,20300058,0,,0,,0,0.0
A,FIXED_2A2D,20300059,0,,0,,0,0.0
A,FIXED_2A2D,20300060,0,,0,,0,0.0
A,FIXED_2A2D,20300061,0,,0,,0,0.0
A,FIXED_2A2D,20300062,0,,0,,0,0.0
A,FIXED_2A2D,20300063,0,,0,,0,0.0
A,FIXED_2A2D,20300064,0,,0,,0,0.0
A,FIXED_2A2D,20300065,0,,0,,0,0.0
A,FIXED_2A2D,20300066,0,,0,,0,0.0
