composition,assignment,pole,seed,steps,true_defenders,share_pos_open,share_pos_alt,share_int_open,n_active_open,hold_id0,hold_id1,hold_id2,hold_id3,hold_id4,hold_id5,macro0,macro1,macro2,macro3,macro4,macro5,macro6,macro7
6A_0D,PREFIX,A,20800001,20,0,0.14999999999999997,0.056666666666666664,0.0,5.3,0.0,0.0,0.0,0.6,0.0,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6A_0D,PREFIX,A,20800002,20,0,0.18333333333333332,0.016666666666666666,0.0,5.9,0.0,0.0,0.5,0.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6A_0D,PREFIX,A,20800003,20,0,0.25,0.03666666666666667,0.0,5.5,0.4,0.6,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6A_0D,PREFIX,A,20800004,20,0,0.21666666666666665,0.06666666666666667,0.0,5.0,0.4,0.5,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6A_0D,PREFIX,A,20800005,20,0,0.18333333333333332,0.06666666666666667,0.0,5.3,0.0,0.0,0.6,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6A_0D,PREFIX,A,20800006,20,0,0.13333333333333333,0.05,0.0,5.2,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6A_0D,PREFIX,A,20800007,20,0,0.16666666666666666,0.041666666666666664,0.0,5.1,0.0,0.4,0.0,0.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6A_0D,PREFIX,A,20800008,20,0,0.4,0.08666666666666667,0.0,5.5,0.0,0.6,0.6,0.5,0.0,0.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6A_0D,PREFIX,A,20800009,20,0,0.21666666666666665,0.05333333333333333,0.0,5.3,0.3,0.3,0.0,0.5,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6A_0D,PREFIX,A,20800010,20,0,0.2833333333333333,0.03333333333333333,0.0,5.8,0.5,0.0,0.0,0.6,0.0,0.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6A_0D,PREFIX,A,20800011,20,0,0.2833333333333333,0.075,0.0,5.5,0.6,0.3,0.4,0.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6A_0D,PREFIX,A,20800012,20,0,0.03333333333333333,0.05,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6A_0D,PREFIX,A,20800013,20,0,0.06666666666666667,0.016666666666666666,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6A_0D,PREFIX,A,20800014,20,0,0.2833333333333333,0.025,0.0,5.2,0.5,0.0,0.0,0.4,0.4,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6A_0D,PREFIX,A,20800015,20,0,0.24166666666666664,0.12166666666666667,0.0,4.9,0.0,0.4,0.0,0.0,0.3,0.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6A_0D,PREFIX,A,20800016,20,0,0.1,0.11666666666666665,0.0,5.4,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5A_1D,PREFIX,A,20800001,20,1,0.30333333333333334,0.3783333333333333,0.16999999999999998,5.3,0.7,0.0,0.0,0.6,0.0,0.3,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666
5A_1D,PREFIX,A,20800002,20,1,0.30333333333333334,0.2033333333333333,0.15333333333333332,5.9,0.7,0.0,0.5,0.6,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666
5A_1D,PREFIX,A,20800003,20,1,0.35333333333333333,0.26,0.11166666666666666,5.5,0.9,0.6,0.0,0.5,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666
5A_1D,PREFIX,A,20800004,20,1,0.35,0.39999999999999997,0.13333333333333333,5.0,0.8,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666
5A_1D,PREFIX,A,20800005,20,1,0.315,0.2533333333333333,0.15166666666666667,5.5,0.7,0.0,0.6,0.0,0.5,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666
5A_1D,PREFIX,A,20800006,20,1,0.24000000000000005,0.30666666666666664,0.15333333333333332,5.2,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666
5A_1D,PREFIX,A,20800007,20,1,0.275,0.30166666666666664,0.175,5.2,0.5,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666
5A_1D,PREFIX,A,20800008,20,1,0.45,0.2166666666666667,0.13999999999999999,5.8,0.3,0.6,0.6,0.5,0.0,0.7,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666
5A_1D,PREFIX,A,20800009,20,1,0.3366666666666666,0.26166666666666666,0.11166666666666666,5.3,0.9,0.3,0.0,0.5,0.2,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666
5A_1D,PREFIX,A,20800010,20,1,0.37499999999999994,0.2,0.08333333333333333,5.8,1.0,0.0,0.0,0.6,0.0,0.6,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666
5A_1D,PREFIX,A,20800011,20,1,0.36833333333333335,0.3183333333333333,0.09,5.5,1.0,0.3,0.4,0.4,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666
5A_1D,PREFIX,A,20800012,20,1,0.14666666666666667,0.28833333333333333,0.12333333333333332,5.6,0.6,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666
5A_1D,PREFIX,A,20800013,20,1,0.1433333333333333,0.19,0.13666666666666666,5.7,0.4,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666
5A_1D,PREFIX,A,20800014,20,1,0.3916666666666667,0.29166666666666663,0.08333333333333333,5.2,0.9,0.0,0.0,0.4,0.4,0.4,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666
5A_1D,PREFIX,A,20800015,20,1,0.39,0.37333333333333335,0.14999999999999997,5.0,0.6,0.4,0.0,0.0,0.3,0.7,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666
5A_1D,PREFIX,A,20800016,20,1,0.24333333333333335,0.39333333333333326,0.13999999999999999,5.4,0.7,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666
5A_1D,SUFFIX,A,20800001,20,1,0.27,0.30333333333333334,0.11666666666666665,5.3,0.0,0.0,0.0,0.6,0.0,0.8,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666
5A_1D,SUFFIX,A,20800002,20,1,0.26999999999999996,0.18333333333333332,0.15333333333333332,5.9,0.0,0.0,0.5,0.6,0.0,0.5,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666
