policy,pole,arm,seed,defender_id,steps,blue,red,win,margin
pi_A,A,native,21000001,1,240,1,0,1,1
pi_A,A,plus_one_defender,21000001,1,240,1,1,0,0
pi_A,B,native,21000001,1,89,3,0,1,3
pi_A,B,plus_one_defender,21000001,1,240,2,0,1,2
pi_B,A,native,21000001,1,240,2,0,1,2
pi_B,A,plus_one_defender,21000001,1,240,2,0,1,2
pi_B,B,native,21000001,1,84,3,0,1,3
pi_B,B,plus_one_defender,21000001,1,110,3,0,1,3
pi_A,A,native,21000002,2,209,3,0,1,3
pi_A,A,plus_one_defender,21000002,2,89,3,0,1,3
pi_A,B,native,21000002,2,101,3,0,1,3
pi_A,B,plus_one_defender,21000002,2,165,3,0,1,3
pi_B,A,native,21000002,2,240,1,0,1,1
pi_B,A,plus_one_defender,21000002,2,240,0,0,0,0
pi_B,B,native,21000002,2,240,1,0,1,1
pi_B,B,plus_one_defender,21000002,2,240,2,0,1,2
pi_A,A,native,21000003,3,240,1,0,1,1
pi_A,A,plus_one_defender,21000003,3,102,3,0,1,3
pi_A,B,native,21000003,3,105,3,0,1,3
pi_A,B,plus_one_defender,21000003,3,233,3,0,1,3
pi_B,A,native,21000003,3,240,1,0,1,1
pi_B,A,plus_one_defender,21000003,3,137,3,0,1,3
pi_B,B,native,21000003,3,132,3,0,1,3
pi_B,B,plus_one_defender,21000003,3,236,3,0,1,3
pi_A,A,native,21000004,4,240,2,0,1,2
pi_A,A,plus_one_defender,21000004,4,114,3,0,1,3
pi_A,B,native,21000004,4,91,3,0,1,3
pi_A,B,plus_one_defender,21000004,4,177,3,0,1,3
pi_B,A,native,21000004,4,240,2,0,1,2
pi_B,A,plus_one_defender,21000004,4,109,3,0,1,3
pi_B,B,native,21000004,4,121,3,0,1,3
pi_B,B,plus_one_defender,21000004,4,240,2,0,1,2
pi_A,A,native,21000005,5,240,1,0,1,1
pi_A,A,plus_one_defender,21000005,5,166,3,1,1,2
pi_A,B,native,21000005,5,87,3,0,1,3
pi_A,B,plus_one_defender,21000005,5,240,1,0,1,1
pi_B,A,native,21000005,5,160,3,0,1,3
pi_B,A,plus_one_defender,21000005,5,112,3,0,1,3
pi_B,B,native,21000005,5,102,3,0,1,3
pi_B,B,plus_one_defender,21000005,5,240,1,0,1,1
pi_A,A,native,21000006,0,240,1,0,1,1
pi_A,A,plus_one_defender,21000006,0,118,3,0,1,3
pi_A,B,native,21000006,0,240,3,0,1,3
pi_A,B,plus_one_defender,21000006,0,129,3,0,1,3
pi_B,A,native,21000006,0,240,1,0,1,1
pi_B,A,plus_one_defender,21000006,0,111,3,0,1,3
pi_B,B,native,21000006,0,92,3,0,1,3
pi_B,B,plus_one_defender,21000006,0,133,3,0,1,3
pi_A,A,native,21000007,1,240,2,0,1,2
pi_A,A,plus_one_defender,21000007,1,101,3,0,1,3
pi_A,B,native,21000007,1,171,3,1,1,2
pi_A,B,plus_one_defender,21000007,1,240,1,0,1,1
pi_B,A,native,21000007,1,240,0,0,0,0
pi_B,A,plus_one_defender,21000007,1,98,3,0,1,3
pi_B,B,native,21000007,1,240,1,0,1,1
pi_B,B,plus_one_defender,21000007,1,240,1,0,1,1
pi_A,A,native,21000008,2,240,1,0,1,1
pi_A,A,plus_one_defender,21000008,2,240,2,0,1,2
pi_A,B,native,21000008,2,240,2,0,1,2
pi_A,B,plus_one_defender,21000008,2,240,2,1,1,1
pi_B,A,native,21000008,2,240,1,0,1,1
pi_B,A,plus_one_defender,21000008,2,221,3,0,1,3
pi_B,B,native,21000008,2,86,3,0,1,3
pi_B,B,plus_one_defender,21000008,2,176,3,0,1,3
pi_A,A,native,21000009,3,240,1,0,1,1
pi_A,A,plus_one_defender,21000009,3,240,1,0,1,1
pi_A,B,native,21000009,3,180,3,0,1,3
pi_A,B,plus_one_defender,21000009,3,240,1,0,1,1
pi_B,A,native,21000009,3,240,0,0,0,0
pi_B,A,plus_one_defender,21000009,3,87,3,0,1,3
pi_B,B,native,21000009,3,112,3,0,1,3
pi_B,B,plus_one_defender,21000009,3,240,1,0,1,1
pi_A,A,native,21000010,4,240,1,0,1,1
pi_A,A,plus_one_defender,21000010,4,240,1,0,1,1
pi_A,B,native,21000010,4,174,3,0,1,3
pi_A,B,plus_one_defender,21000010,4,240,1,0,1,1
pi_B,A,native,21000010,4,240,1,0,1,1
pi_B,A,plus_one_defender,21000010,4,81,3,0,1,3
pi_B,B,native,21000010,4,240,1,0,1,1
pi_B,B,plus_one_defender,21000010,4,240,2,0,1,2
pi_A,A,native,21000011,5,240,1,0,1,1
pi_A,A,plus_one_defender,21000011,5,98,3,0,1,3
pi_A,B,native,21000011,5,96,3,0,1,3
pi_A,B,plus_one_defender,21000011,5,240,0,0,0,0
pi_B,A,native,21000011,5,240,1,0,1,1
pi_B,A,plus_one_defender,21000011,5,190,3,0,1,3
pi_B,B,native,21000011,5,240,0,0,0,0
pi_B,B,plus_one_defender,21000011,5,240,1,0,1,1
pi_A,A,native,21000012,0,240,1,0,1,1
pi_A,A,plus_one_defender,21000012,0,121,3,0,1,3
pi_A,B,native,21000012,0,116,3,0,1,3
pi_A,B,plus_one_defender,21000012,0,240,1,0,1,1
pi_B,A,native,21000012,0,240,1,0,1,1
pi_B,A,plus_one_defender,21000012,0,240,1,0,1,1
pi_B,B,native,21000012,0,148,3,0,1,3
pi_B,B,plus_one_defender,21000012,0,154,3,0,1,3
pi_A,A,native,21000013,1,240,1,0,1,1
pi_A,A,plus_one_defender,21000013,1,240,1,1,0,0
pi_A,B,native,21000013,1,107,3,0,1,3
pi_A,B,plus_one_defender,21000013,1,240,2,0,1,2
pi_B,A,native,21000013,1,240,1,0,1,1
pi_B,A,plus_one_defender,21000013,1,120,3,0,1,3
pi_B,B,native,21000013,1,87,3,0,1,3
pi_B,B,plus_one_defender,21000013,1,240,1,0,1,1
