seed,pole,composition,defender_ids,attacker_ids,blue_score,red_score,blue_win,draw,steps,blue_alive_end,red_alive_end,genome_id,pole_config_hash,attack_ticks,defend_ticks,attack_enemy_flag_branch_count,carrier_home_branch_count,defend_inward_count,defend_outward_count,tagged_ticks_by_role,role_switch_count
19900001,A,4A_0D,,"0,1,2,3",1,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,132,828,0,0,56,0
19900002,A,4A_0D,,"0,1,2,3",1,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,300,660,0,0,129,0
19900003,A,4A_0D,,"0,1,2,3",1,1,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,220,740,0,0,85,0
19900004,A,4A_0D,,"0,1,2,3",2,1,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,320,640,0,0,105,0
19900005,A,4A_0D,,"0,1,2,3",1,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,176,784,0,0,63,0
19900006,A,4A_0D,,"0,1,2,3",0,0,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,124,836,0,0,54,0
19900007,A,4A_0D,,"0,1,2,3",0,0,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,128,832,0,0,45,0
19900008,A,4A_0D,,"0,1,2,3",2,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,260,700,0,0,96,0
19900009,A,4A_0D,,"0,1,2,3",3,1,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,328,632,0,0,112,0
19900010,A,4A_0D,,"0,1,2,3",1,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,124,836,0,0,64,0
19900011,A,4A_0D,,"0,1,2,3",1,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,100,860,0,0,44,0
19900012,A,4A_0D,,"0,1,2,3",1,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,200,760,0,0,80,0
19900013,A,4A_0D,,"0,1,2,3",0,0,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,144,816,0,0,55,0
19900014,A,4A_0D,,"0,1,2,3",0,0,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,128,832,0,0,52,0
19900015,A,4A_0D,,"0,1,2,3",0,0,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,160,800,0,0,41,0
19900016,A,4A_0D,,"0,1,2,3",1,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,152,808,0,0,60,0
19900017,A,4A_0D,,"0,1,2,3",1,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,252,708,0,0,109,0
19900018,A,4A_0D,,"0,1,2,3",2,1,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,284,676,0,0,111,0
19900019,A,4A_0D,,"0,1,2,3",0,0,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,300,660,0,0,119,0
19900020,A,4A_0D,,"0,1,2,3",2,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,368,592,0,0,138,0
19900021,A,4A_0D,,"0,1,2,3",1,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,116,844,0,0,56,0
19900022,A,4A_0D,,"0,1,2,3",2,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,248,712,0,0,78,0
19900023,A,4A_0D,,"0,1,2,3",0,1,0,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,232,728,0,0,96,0
19900024,A,4A_0D,,"0,1,2,3",1,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,396,564,0,0,171,0
19900025,A,4A_0D,,"0,1,2,3",1,1,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,360,600,0,0,137,0
19900026,A,4A_0D,,"0,1,2,3",1,1,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,308,652,0,0,102,0
19900027,A,4A_0D,,"0,1,2,3",2,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,316,644,0,0,119,0
19900028,A,4A_0D,,"0,1,2,3",0,0,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,168,792,0,0,59,0
19900029,A,4A_0D,,"0,1,2,3",0,0,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,264,696,0,0,111,0
19900030,A,4A_0D,,"0,1,2,3",2,1,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,364,596,0,0,147,0
19900031,A,4A_0D,,"0,1,2,3",0,0,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,160,800,0,0,61,0
19900032,A,4A_0D,,"0,1,2,3",1,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,160,800,0,0,69,0
19900033,A,4A_0D,,"0,1,2,3",0,0,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,136,824,0,0,50,0
19900034,A,4A_0D,,"0,1,2,3",1,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,176,784,0,0,70,0
19900035,A,4A_0D,,"0,1,2,3",1,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,180,780,0,0,70,0
19900036,A,4A_0D,,"0,1,2,3",1,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,116,844,0,0,45,0
19900037,A,4A_0D,,"0,1,2,3",1,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,120,840,0,0,49,0
19900038,A,4A_0D,,"0,1,2,3",1,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,204,756,0,0,111,0
19900039,A,4A_0D,,"0,1,2,3",1,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,364,596,0,0,155,0
19900040,A,4A_0D,,"0,1,2,3",2,1,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,452,508,0,0,179,0
19900041,A,4A_0D,,"0,1,2,3",0,0,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,128,832,0,0,33,0
19900042,A,4A_0D,,"0,1,2,3",1,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,120,840,0,0,61,0
19900043,A,4A_0D,,"0,1,2,3",1,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,228,732,0,0,100,0
19900044,A,4A_0D,,"0,1,2,3",0,0,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,156,804,0,0,49,0
19900045,A,4A_0D,,"0,1,2,3",3,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,236,724,0,0,97,0
19900046,A,4A_0D,,"0,1,2,3",0,0,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,116,844,0,0,54,0
19900047,A,4A_0D,,"0,1,2,3",0,0,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,116,844,0,0,48,0
19900048,A,4A_0D,,"0,1,2,3",0,0,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,128,832,0,0,53,0
19900049,A,4A_0D,,"0,1,2,3",0,0,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,104,856,0,0,36,0
