seed,pole,assignment_arm,defender_ids,attacker_ids,blue_score,red_score,blue_win,draw,steps,blue_flag_captures,red_flag_captures,blue_alive_end,red_alive_end,genome_id,pole_config_hash,attack_ticks,defend_ticks,attack_enemy_flag_branch_count,carrier_home_branch_count,defend_inward_count,defend_outward_count,tagged_ticks_by_role,role_switch_count
19800001,A,CLOSEST_DEFENDS,"1,3","0,2",1,1,0,1,240,1,1,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,238,242,328,152,207,0
19800002,A,CLOSEST_DEFENDS,"0,1","2,3",1,1,0,1,240,1,1,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,412,68,181,299,185,0
19800003,A,CLOSEST_DEFENDS,"2,3","0,1",0,1,0,0,240,0,1,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,188,292,383,97,201,0
19800004,A,CLOSEST_DEFENDS,"1,3","0,2",2,0,1,0,240,2,0,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,342,138,247,233,171,0
19800005,A,CLOSEST_DEFENDS,"0,1","2,3",2,0,1,0,240,2,0,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,362,118,179,301,164,0
19800006,A,CLOSEST_DEFENDS,"2,3","0,1",3,1,1,0,240,3,1,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,356,124,166,314,156,0
19800007,A,CLOSEST_DEFENDS,"1,3","0,2",2,1,1,0,240,2,1,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,328,152,162,318,147,0
19800008,A,CLOSEST_DEFENDS,"0,1","2,3",2,1,1,0,240,2,1,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,262,218,312,168,175,0
19800009,A,CLOSEST_DEFENDS,"0,1","2,3",3,0,1,0,240,3,0,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,342,138,254,226,141,0
19800010,A,CLOSEST_DEFENDS,"2,3","0,1",0,0,0,1,240,0,0,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,90,390,394,86,199,0
19800011,A,CLOSEST_DEFENDS,"0,2","1,3",2,1,1,0,240,2,1,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,366,114,278,202,202,0
19800012,A,CLOSEST_DEFENDS,"2,3","0,1",1,0,1,0,240,1,0,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,150,330,357,123,194,0
19800013,A,CLOSEST_DEFENDS,"0,3","1,2",3,2,1,0,240,3,2,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,368,112,246,234,194,0
19800014,A,CLOSEST_DEFENDS,"0,1","2,3",0,1,0,0,240,0,1,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,166,314,381,99,202,0
19800015,A,CLOSEST_DEFENDS,"1,2","0,3",0,0,0,1,240,0,0,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,108,372,386,94,205,0
19800016,A,CLOSEST_DEFENDS,"0,1","2,3",0,0,0,1,240,0,0,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,54,426,420,60,221,0
19800017,A,CLOSEST_DEFENDS,"1,2","0,3",3,1,1,0,240,3,1,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,360,120,173,307,140,0
19800018,A,CLOSEST_DEFENDS,"0,3","1,2",0,0,0,1,240,0,0,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,116,364,393,87,215,0
19800019,A,CLOSEST_DEFENDS,"2,3","0,1",3,2,1,0,240,3,2,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,366,114,253,227,182,0
19800020,A,CLOSEST_DEFENDS,"0,1","2,3",3,1,1,0,240,3,1,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,350,130,147,333,129,0
19800021,A,CLOSEST_DEFENDS,"1,2","0,3",2,3,0,0,240,2,3,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,374,106,286,194,209,0
19800022,A,CLOSEST_DEFENDS,"1,3","0,2",4,2,1,0,240,4,2,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,314,166,287,193,147,0
19800023,A,CLOSEST_DEFENDS,"2,3","0,1",1,1,0,1,240,1,1,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,210,270,363,117,183,0
19800024,A,CLOSEST_DEFENDS,"2,3","0,1",3,2,1,0,240,3,2,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,356,124,239,241,174,0
19800025,A,CLOSEST_DEFENDS,"0,2","1,3",4,2,1,0,240,4,2,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,352,128,237,243,147,0
19800026,A,CLOSEST_DEFENDS,"0,3","1,2",3,0,1,0,240,3,0,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,292,188,259,221,171,0
19800027,A,CLOSEST_DEFENDS,"1,3","0,2",4,1,1,0,240,4,1,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,352,128,156,324,135,0
19800028,A,CLOSEST_DEFENDS,"1,2","0,3",3,0,1,0,240,3,0,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,358,122,113,367,143,0
19800029,A,CLOSEST_DEFENDS,"0,2","1,3",0,0,0,1,240,0,0,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,214,266,331,149,207,0
19800030,A,CLOSEST_DEFENDS,"1,3","0,2",3,1,1,0,240,3,1,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,366,114,147,333,168,0
19800031,A,CLOSEST_DEFENDS,"0,2","1,3",2,1,1,0,240,2,1,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,240,240,336,144,204,0
19800032,A,CLOSEST_DEFENDS,"0,2","1,3",1,0,1,0,240,1,0,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,370,110,115,365,175,0
19800033,A,CLOSEST_DEFENDS,"0,3","1,2",3,2,1,0,240,3,2,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,368,112,231,249,188,0
19800034,A,CLOSEST_DEFENDS,"1,3","0,2",1,0,1,0,240,1,0,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,158,322,373,107,189,0
