seed,pole,composition,defender_ids,attacker_ids,blue_score,red_score,blue_win,draw,steps,blue_alive_end,genome_id,attack_ticks,defend_ticks,attack_enemy_flag_branch_count,carrier_home_branch_count,defend_inward_count,defend_outward_count,tagged_ticks_by_role,role_switch_count
20500001,A,0A_6D,"0,1,2,3,4,5",,0,3,0,0,240,6,SDS2_A_payoff_INIT_3,0,1440,0,0,852,588,134,0
20500002,A,0A_6D,"0,1,2,3,4,5",,1,3,0,0,240,6,SDS2_A_payoff_INIT_3,0,1440,0,0,895,545,146,0
20500003,A,0A_6D,"0,1,2,3,4,5",,0,2,0,0,240,6,SDS2_A_payoff_INIT_3,0,1440,0,0,676,764,97,0
20500004,A,0A_6D,"0,1,2,3,4,5",,1,4,0,0,240,6,SDS2_A_payoff_INIT_3,0,1440,0,0,908,532,141,0
20500005,A,0A_6D,"0,1,2,3,4,5",,1,4,0,0,240,6,SDS2_A_payoff_INIT_3,0,1440,0,0,995,445,181,0
20500006,A,0A_6D,"0,1,2,3,4,5",,0,1,0,0,240,6,SDS2_A_payoff_INIT_3,0,1440,0,0,712,728,51,0
20500007,A,0A_6D,"0,1,2,3,4,5",,0,2,0,0,240,6,SDS2_A_payoff_INIT_3,0,1440,0,0,725,715,87,0
20500008,A,0A_6D,"0,1,2,3,4,5",,0,3,0,0,240,6,SDS2_A_payoff_INIT_3,0,1440,0,0,939,501,158,0
20500009,A,0A_6D,"0,1,2,3,4,5",,0,4,0,0,240,6,SDS2_A_payoff_INIT_3,0,1440,0,0,945,495,132,0
20500010,A,0A_6D,"0,1,2,3,4,5",,0,3,0,0,240,6,SDS2_A_payoff_INIT_3,0,1440,0,0,859,581,145,0
20500011,A,0A_6D,"0,1,2,3,4,5",,0,3,0,0,240,6,SDS2_A_payoff_INIT_3,0,1440,0,0,888,552,114,0
20500012,A,0A_6D,"0,1,2,3,4,5",,0,1,0,0,240,6,SDS2_A_payoff_INIT_3,0,1440,0,0,645,795,56,0
20500013,A,0A_6D,"0,1,2,3,4,5",,0,2,0,0,240,6,SDS2_A_payoff_INIT_3,0,1440,0,0,772,668,107,0
20500014,A,0A_6D,"0,1,2,3,4,5",,2,5,0,0,240,6,SDS2_A_payoff_INIT_3,0,1440,0,0,1077,363,147,0
20500015,A,0A_6D,"0,1,2,3,4,5",,0,3,0,0,240,6,SDS2_A_payoff_INIT_3,0,1440,0,0,883,557,135,0
20500016,A,0A_6D,"0,1,2,3,4,5",,0,1,0,0,240,6,SDS2_A_payoff_INIT_3,0,1440,0,0,819,621,108,0
20500017,A,0A_6D,"0,1,2,3,4,5",,0,5,0,0,240,6,SDS2_A_payoff_INIT_3,0,1440,0,0,1017,423,213,0
20500018,A,0A_6D,"0,1,2,3,4,5",,0,3,0,0,240,6,SDS2_A_payoff_INIT_3,0,1440,0,0,863,577,180,0
20500019,A,0A_6D,"0,1,2,3,4,5",,0,2,0,0,240,6,SDS2_A_payoff_INIT_3,0,1440,0,0,775,665,90,0
20500020,A,0A_6D,"0,1,2,3,4,5",,1,3,0,0,240,6,SDS2_A_payoff_INIT_3,0,1440,0,0,935,505,139,0
20500021,A,0A_6D,"0,1,2,3,4,5",,1,2,0,0,240,6,SDS2_A_payoff_INIT_3,0,1440,0,0,836,604,102,0
20500022,A,0A_6D,"0,1,2,3,4,5",,0,3,0,0,240,6,SDS2_A_payoff_INIT_3,0,1440,0,0,862,578,173,0
20500023,A,0A_6D,"0,1,2,3,4,5",,0,4,0,0,240,6,SDS2_A_payoff_INIT_3,0,1440,0,0,951,489,117,0
