arm,pole,seed,pair,steps,blue,red,win,margin
pi_A,A,21100001,,240,1,0,1,1
pi_A,B,21100001,,240,0,0,0,0
A_prime,A,21100001,2-3,240,1,1,0,0
A_prime,B,21100001,2-3,240,0,0,0,0
pi_B,A,21100001,,240,0,0,0,0
pi_B,B,21100001,,240,1,1,0,0
pi_A,A,21100002,,240,1,0,1,1
pi_A,B,21100002,,83,3,0,1,3
A_prime,A,21100002,0-1,240,2,1,1,1
A_prime,B,21100002,0-1,240,0,2,0,-2
pi_B,A,21100002,,240,1,0,1,1
pi_B,B,21100002,,240,0,0,0,0
pi_A,A,21100003,,240,1,0,1,1
pi_A,B,21100003,,240,0,0,0,0
A_prime,A,21100003,0-2,240,1,0,1,1
A_prime,B,21100003,0-2,240,0,1,0,-1
pi_B,A,21100003,,240,0,0,0,0
pi_B,B,21100003,,240,0,0,0,0
pi_A,A,21100004,,240,1,0,1,1
pi_A,B,21100004,,124,3,0,1,3
A_prime,A,21100004,0-3,240,2,0,1,2
A_prime,B,21100004,0-3,240,1,0,1,1
pi_B,A,21100004,,240,2,2,0,0
pi_B,B,21100004,,240,1,0,1,1
pi_A,A,21100005,,240,1,0,1,1
pi_A,B,21100005,,97,3,0,1,3
A_prime,A,21100005,1-2,240,1,0,1,1
A_prime,B,21100005,1-2,240,0,1,0,-1
pi_B,A,21100005,,240,0,0,0,0
pi_B,B,21100005,,240,2,0,1,2
pi_A,A,21100006,,240,0,0,0,0
pi_A,B,21100006,,240,0,0,0,0
A_prime,A,21100006,1-3,240,1,0,1,1
A_prime,B,21100006,1-3,240,0,1,0,-1
pi_B,A,21100006,,240,1,0,1,1
pi_B,B,21100006,,240,1,0,1,1
pi_A,A,21100007,,240,1,0,1,1
pi_A,B,21100007,,91,3,0,1,3
A_prime,A,21100007,2-3,240,1,2,0,-1
A_prime,B,21100007,2-3,240,1,2,0,-1
pi_B,A,21100007,,240,0,0,0,0
pi_B,B,21100007,,240,1,0,1,1
pi_A,A,21100008,,240,1,0,1,1
pi_A,B,21100008,,152,3,0,1,3
A_prime,A,21100008,0-1,240,1,0,1,1
A_prime,B,21100008,0-1,240,1,2,0,-1
pi_B,A,21100008,,240,0,0,0,0
pi_B,B,21100008,,240,0,0,0,0
pi_A,A,21100009,,240,1,0,1,1
pi_A,B,21100009,,240,1,0,1,1
A_prime,A,21100009,0-2,240,1,0,1,1
A_prime,B,21100009,0-2,240,0,0,0,0
pi_B,A,21100009,,240,1,0,1,1
pi_B,B,21100009,,139,3,0,1,3
pi_A,A,21100010,,240,0,0,0,0
pi_A,B,21100010,,136,3,0,1,3
A_prime,A,21100010,0-3,240,1,1,0,0
A_prime,B,21100010,0-3,240,0,1,0,-1
pi_B,A,21100010,,240,0,0,0,0
pi_B,B,21100010,,240,0,0,0,0
pi_A,A,21100011,,240,1,0,1,1
pi_A,B,21100011,,240,2,0,1,2
A_prime,A,21100011,1-2,240,2,1,1,1
A_prime,B,21100011,1-2,240,0,0,0,0
pi_B,A,21100011,,240,0,1,0,-1
pi_B,B,21100011,,240,0,0,0,0
pi_A,A,21100012,,240,2,1,1,1
pi_A,B,21100012,,240,1,0,1,1
A_prime,A,21100012,1-3,240,2,0,1,2
A_prime,B,21100012,1-3,240,0,1,0,-1
pi_B,A,21100012,,240,0,0,0,0
pi_B,B,21100012,,240,0,1,0,-1
pi_A,A,21100013,,240,1,0,1,1
pi_A,B,21100013,,240,1,0,1,1
A_prime,A,21100013,2-3,240,2,0,1,2
A_prime,B,21100013,2-3,240,1,1,0,0
pi_B,A,21100013,,240,0,0,0,0
pi_B,B,21100013,,240,0,0,0,0
pi_A,A,21100014,,240,1,0,1,1
pi_A,B,21100014,,240,1,0,1,1
A_prime,A,21100014,0-1,240,0,0,0,0
A_prime,B,21100014,0-1,240,0,2,0,-2
pi_B,A,21100014,,240,1,0,1,1
pi_B,B,21100014,,240,0,0,0,0
pi_A,A,21100015,,121,3,0,1,3
pi_A,B,21100015,,240,0,0,0,0
A_prime,A,21100015,0-2,184,3,0,1,3
A_prime,B,21100015,0-2,240,0,0,0,0
pi_B,A,21100015,,78,3,0,1,3
pi_B,B,21100015,,240,2,0,1,2
pi_A,A,21100016,,240,0,0,0,0
pi_A,B,21100016,,240,1,0,1,1
A_prime,A,21100016,0-3,129,3,0,1,3
A_prime,B,21100016,0-3,240,0,0,0,0
pi_B,A,21100016,,240,0,0,0,0
pi_B,B,21100016,,240,1,0,1,1
pi_A,A,21100017,,240,2,1,1,1
pi_A,B,21100017,,99,3,0,1,3
A_prime,A,21100017,1-2,230,3,1,1,2
A_prime,B,21100017,1-2,240,0,1,0,-1
pi_B,A,21100017,,240,1,0,1,1
pi_B,B,21100017,,240,1,0,1,1
pi_A,A,21100018,,240,1,1,0,0
pi_A,B,21100018,,228,3,0,1,3
A_prime,A,21100018,1-3,240,1,0,1,1
A_prime,B,21100018,1-3,240,0,0,0,0
pi_B,A,21100018,,240,0,0,0,0
