pole,seed,pair,steps,n_ticks,n_active,n_tagged,n_carrying,n_dead,n_in,n_out,tgt,tgt_in,tgt_out,dir,dir_in,dir_out,tgt_all,dir_joint,dir_any,gohome_legal,w_empty,exact_ill,exact_ill_in,exact_ill_out,sub_cost,n_win,n_win_in,n_win_out,nat,nat_in,nat_out,itr,itr_in,itr_out,n_win_free,nat_free,itr_free,g6_tgt,g6_dir,g6_all,fid_sum,legal_bad,rt_mismatch
A,21100001,2-3,240,480,461,19,0,0,106,355,456,106,350,75,33,42,456,75,149,2,0,76,76,0,159.125527026917,207,30,177,203,30,173,207,30,177,8,8,8,95,0,0,140.501971524538,0,0
B,21100001,2-3,240,480,480,0,0,0,98,382,471,98,373,72,24,48,471,72,152,2,0,96,96,0,203.42122620159694,226,54,172,219,47,172,226,54,172,2,2,2,95,0,0,109.80806035751098,0,0
A,21100002,0-1,240,480,398,82,0,0,182,216,391,182,209,165,134,31,391,161,208,1,0,46,46,0,89.69266746353215,143,45,98,138,42,96,143,45,98,8,8,8,27,2,0,83.84644817261903,0,0
B,21100002,0-1,240,480,432,48,0,0,174,258,424,174,250,147,78,69,424,147,235,2,0,107,107,0,216.4021632817902,172,61,111,164,55,109,172,61,111,11,11,11,39,0,0,87.6603620994143,0,0
A,21100003,0-2,240,480,304,176,0,0,226,78,299,226,73,201,157,44,299,199,263,0,0,47,47,0,95.99689726927053,44,21,23,41,18,23,44,21,23,0,0,0,0,1,0,50.74504108268532,0,0
B,21100003,0-2,240,480,456,24,0,0,164,292,450,164,286,152,74,78,450,151,235,3,0,126,126,0,264.13709784316865,198,58,140,185,55,130,195,58,137,0,0,0,26,2,0,117.03234053824997,0,0
A,21100004,0-3,240,480,480,0,0,0,55,425,472,55,417,34,9,25,472,34,77,1,0,54,54,0,114.16497388865142,226,24,202,226,24,202,226,24,202,0,0,0,2,0,0,20.35091674476402,0,0
B,21100004,0-3,240,480,480,0,0,0,151,329,472,151,321,148,55,93,472,148,229,1,0,150,150,0,313.434746494298,226,60,166,215,56,159,226,60,166,3,3,3,2,0,0,75.96352826933438,0,0
A,21100005,1-2,240,480,312,168,0,0,236,76,307,234,73,216,183,33,307,214,264,0,0,47,47,0,91.12957611016569,49,24,25,43,22,21,45,24,21,0,0,0,1,1,0,42.147447299651596,0,0
B,21100005,1-2,240,480,460,20,0,0,125,335,454,125,329,99,51,48,454,98,175,1,0,92,92,0,188.5127965484018,201,49,152,194,45,149,196,47,149,0,0,0,55,1,0,79.12929189619649,0,0
