scale,style,seed,arm,tick,agent,native_target_x,native_target_y,desired_bearing_degrees,effective_bearing_degrees,committed_w50_idx_before,trace_hash,requested_w50_idx,committed_w50_idx,commit_ticks_left_before,decision_boundary,target_jump_cells,bearing_change_degrees,switch_request,blocked_switch,stale_switch,adopted,decision_lag_ticks,lag_censored,alive,carrying,tagged
2v2,GUARD,19600001,I1_W50_NO_COMMIT,0,0,17.0,10.0,-5.531618,-2.40787,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,45,0,0,1,0.0,0.0,1,0,0,1,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,0,1,2.0,10.0,-114.457455,-128.800457,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,5,0,0,1,0.0,0.0,1,0,0,1,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,1,0,17.0,10.0,-5.531618,-2.167051,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,45,0,0,1,0.0,0.0,0,0,0,1,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,1,1,2.0,10.0,-118.475988,-133.914065,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,5,0,0,1,0.0,4.018533,0,0,0,0,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,2,0,17.0,10.0,-5.53162,-1.851913,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,45,0,0,1,0.0,2e-06,0,0,0,1,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,2,1,2.0,10.0,-118.47599,-136.448341,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,5,0,0,1,0.0,2e-06,0,0,0,0,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,3,0,17.0,10.0,-5.531624,-1.471749,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,45,0,0,1,0.0,3e-06,0,0,0,1,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,3,1,2.0,10.0,-118.475992,-139.931709,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,5,0,0,1,0.0,2e-06,0,0,0,0,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,4,0,17.0,10.0,-5.531628,-1.004163,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,45,0,0,1,0.0,4e-06,0,0,0,1,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,4,1,2.0,10.0,-118.475993,-144.971522,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,5,0,0,1,0.0,0.0,0,0,0,0,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,5,0,17.0,10.0,-5.531625,-175.919933,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,45,0,0,1,0.0,3e-06,0,0,0,0,,0,1,0,1
2v2,GUARD,19600001,I1_W50_NO_COMMIT,5,1,2.0,10.0,-118.475993,-152.743179,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,5,0,0,1,0.0,1e-06,0,0,0,0,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,6,0,17.0,10.0,4.264327,176.877181,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,45,0,0,1,0.0,0.0,0,0,0,0,,0,1,0,1
2v2,GUARD,19600001,I1_W50_NO_COMMIT,6,1,4.83578,9.021046,-62.690562,-69.251531,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,14,0,0,1,3.0,55.785432,1,0,0,1,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,7,0,17.0,10.0,4.822448,175.283769,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,45,0,0,1,0.0,0.0,0,0,0,0,,0,1,0,1
2v2,GUARD,19600001,I1_W50_NO_COMMIT,7,1,4.768826,8.845182,-65.758558,-71.256417,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,14,0,0,1,0.188178,3.067996,0,0,0,1,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,8,0,17.0,10.0,0.722146,178.985237,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,45,0,0,1,0.0,0.0,0,0,0,0,,0,1,0,1
2v2,GUARD,19600001,I1_W50_NO_COMMIT,8,1,4.90179,9.238674,-52.768401,-81.139639,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,14,0,0,1,0.41535,12.990156,0,0,0,0,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,9,0,17.0,10.0,0.530204,178.985236,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,45,0,0,1,0.0,0.0,0,0,0,0,,0,1,0,1
2v2,GUARD,19600001,I1_W50_NO_COMMIT,9,1,4.93147,9.362441,-41.456409,-90.536613,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,14,0,0,1,0.127276,11.311992,0,0,0,0,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,10,0,17.0,10.0,0.376449,178.985248,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,45,0,0,1,0.0,0.0,0,0,0,0,,0,1,0,1
2v2,GUARD,19600001,I1_W50_NO_COMMIT,10,1,2.0,10.0,156.319788,159.588889,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,5,0,0,1,3.0,162.223803,1,0,0,1,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,11,0,17.0,10.0,0.250528,178.985251,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,45,0,0,1,0.0,0.0,0,0,0,0,,0,1,0,1
2v2,GUARD,19600001,I1_W50_NO_COMMIT,11,1,2.0,10.0,135.98566,148.198521,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,5,0,0,1,0.0,20.334128,1,0,0,1,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,12,0,17.0,10.0,0.145506,2.230489,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,45,0,0,1,0.0,0.0,1,0,0,1,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,12,1,2.0,10.0,135.985645,151.843659,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,5,0,0,1,0.0,1.5e-05,0,0,0,0,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,13,0,17.0,10.0,-4.538675,-1.860063,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,45,0,0,1,0.0,4.684181,0,0,0,1,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,13,1,2.0,10.0,135.98564,156.973393,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,5,0,0,1,0.0,5e-06,0,0,0,0,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,14,0,17.0,10.0,-6.041625,-2.958368,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,45,0,0,1,0.0,1.50295,0,0,0,1,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,14,1,2.0,10.0,135.985665,160.546645,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,5,0,0,1,0.0,2.5e-05,0,0,0,0,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,15,0,17.0,10.0,-6.041625,-2.702136,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,45,0,0,1,0.0,0.0,0,0,0,1,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,15,1,2.0,10.0,135.985746,162.551372,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,5,0,0,1,0.0,8.1e-05,0,0,0,0,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,16,0,17.0,10.0,-6.041625,-2.399519,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,45,0,0,1,0.0,0.0,0,0,0,1,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,16,1,2.0,10.0,135.985861,163.568433,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,5,0,0,1,0.0,0.000115,0,0,0,0,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,17,0,17.0,10.0,-6.041625,-2.03669,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,45,0,0,1,0.0,0.0,0,0,0,1,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,17,1,2.0,10.0,135.985387,164.055833,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,5,0,0,1,0.0,0.000474,0,0,0,0,,0,1,0,0
