scale,style,seed,arm,tick,agent,E_v_tick,trace_hash
2v2,GUARD,19500001,I0_CONTINUOUS_ORACLE,239,0,0.18984,c6aa3f82cb7052bd83b47e865fc1d9e0cccadc9253aaebadfcd92b9f979bfb67
2v2,GUARD,19500001,I0_CONTINUOUS_ORACLE,239,1,0.18984,c6aa3f82cb7052bd83b47e865fc1d9e0cccadc9253aaebadfcd92b9f979bfb67
2v2,GUARD,19500001,I1_W50_NO_COMMIT,239,0,0.289719,c6aa3f82cb7052bd83b47e865fc1d9e0cccadc9253aaebadfcd92b9f979bfb67
2v2,GUARD,19500001,I1_W50_NO_COMMIT,239,1,0.289719,c6aa3f82cb7052bd83b47e865fc1d9e0cccadc9253aaebadfcd92b9f979bfb67
2v2,GUARD,19500001,I2_W50_CURRENT_COMMIT,239,0,0.337369,c6aa3f82cb7052bd83b47e865fc1d9e0cccadc9253aaebadfcd92b9f979bfb67
2v2,GUARD,19500001,I2_W50_CURRENT_COMMIT,239,1,0.337369,c6aa3f82cb7052bd83b47e865fc1d9e0cccadc9253aaebadfcd92b9f979bfb67
2v2,GUARD,19500001,I3_FULL_CURRENT_MACRO,239,0,0.292645,c6aa3f82cb7052bd83b47e865fc1d9e0cccadc9253aaebadfcd92b9f979bfb67
2v2,GUARD,19500001,I3_FULL_CURRENT_MACRO,239,1,0.292645,c6aa3f82cb7052bd83b47e865fc1d9e0cccadc9253aaebadfcd92b9f979bfb67
2v2,BREACH,19500001,I0_CONTINUOUS_ORACLE,239,0,0.349187,831e741be89c245d6166cf6012309128b1238a1ac20a771d3ec829bb7d4ef383
2v2,BREACH,19500001,I0_CONTINUOUS_ORACLE,239,1,0.349187,831e741be89c245d6166cf6012309128b1238a1ac20a771d3ec829bb7d4ef383
2v2,BREACH,19500001,I1_W50_NO_COMMIT,239,0,0.364346,831e741be89c245d6166cf6012309128b1238a1ac20a771d3ec829bb7d4ef383
2v2,BREACH,19500001,I1_W50_NO_COMMIT,239,1,0.364346,831e741be89c245d6166cf6012309128b1238a1ac20a771d3ec829bb7d4ef383
2v2,BREACH,19500001,I2_W50_CURRENT_COMMIT,239,0,0.437944,831e741be89c245d6166cf6012309128b1238a1ac20a771d3ec829bb7d4ef383
2v2,BREACH,19500001,I2_W50_CURRENT_COMMIT,239,1,0.437944,831e741be89c245d6166cf6012309128b1238a1ac20a771d3ec829bb7d4ef383
2v2,BREACH,19500001,I3_FULL_CURRENT_MACRO,239,0,0.439397,831e741be89c245d6166cf6012309128b1238a1ac20a771d3ec829bb7d4ef383
2v2,BREACH,19500001,I3_FULL_CURRENT_MACRO,239,1,0.439397,831e741be89c245d6166cf6012309128b1238a1ac20a771d3ec829bb7d4ef383
4v4,GUARD,19500001,I0_CONTINUOUS_ORACLE,239,0,0.364613,7d3223a022fcf3fa5ced0e2016e1f6db30d022acaeadc31e8426d46d32396f86
4v4,GUARD,19500001,I0_CONTINUOUS_ORACLE,239,1,0.364613,7d3223a022fcf3fa5ced0e2016e1f6db30d022acaeadc31e8426d46d32396f86
4v4,GUARD,19500001,I0_CONTINUOUS_ORACLE,239,2,0.364613,7d3223a022fcf3fa5ced0e2016e1f6db30d022acaeadc31e8426d46d32396f86
4v4,GUARD,19500001,I0_CONTINUOUS_ORACLE,239,3,0.364613,7d3223a022fcf3fa5ced0e2016e1f6db30d022acaeadc31e8426d46d32396f86
4v4,GUARD,19500001,I1_W50_NO_COMMIT,239,0,0.435746,7d3223a022fcf3fa5ced0e2016e1f6db30d022acaeadc31e8426d46d32396f86
4v4,GUARD,19500001,I1_W50_NO_COMMIT,239,1,0.435746,7d3223a022fcf3fa5ced0e2016e1f6db30d022acaeadc31e8426d46d32396f86
4v4,GUARD,19500001,I1_W50_NO_COMMIT,239,2,0.435746,7d3223a022fcf3fa5ced0e2016e1f6db30d022acaeadc31e8426d46d32396f86
4v4,GUARD,19500001,I1_W50_NO_COMMIT,239,3,0.435746,7d3223a022fcf3fa5ced0e2016e1f6db30d022acaeadc31e8426d46d32396f86
4v4,GUARD,19500001,I2_W50_CURRENT_COMMIT,239,0,0.527037,7d3223a022fcf3fa5ced0e2016e1f6db30d022acaeadc31e8426d46d32396f86
4v4,GUARD,19500001,I2_W50_CURRENT_COMMIT,239,1,0.527037,7d3223a022fcf3fa5ced0e2016e1f6db30d022acaeadc31e8426d46d32396f86
4v4,GUARD,19500001,I2_W50_CURRENT_COMMIT,239,2,0.527037,7d3223a022fcf3fa5ced0e2016e1f6db30d022acaeadc31e8426d46d32396f86
4v4,GUARD,19500001,I2_W50_CURRENT_COMMIT,239,3,0.527037,7d3223a022fcf3fa5ced0e2016e1f6db30d022acaeadc31e8426d46d32396f86
4v4,GUARD,19500001,I3_FULL_CURRENT_MACRO,239,0,0.473902,7d3223a022fcf3fa5ced0e2016e1f6db30d022acaeadc31e8426d46d32396f86
4v4,GUARD,19500001,I3_FULL_CURRENT_MACRO,239,1,0.473902,7d3223a022fcf3fa5ced0e2016e1f6db30d022acaeadc31e8426d46d32396f86
4v4,GUARD,19500001,I3_FULL_CURRENT_MACRO,239,2,0.473902,7d3223a022fcf3fa5ced0e2016e1f6db30d022acaeadc31e8426d46d32396f86
4v4,GUARD,19500001,I3_FULL_CURRENT_MACRO,239,3,0.473902,7d3223a022fcf3fa5ced0e2016e1f6db30d022acaeadc31e8426d46d32396f86
