scale,style,seed,arm,E_v,E_x_rmse,trace_hash
2v2,GUARD,19500001,I0_CONTINUOUS_ORACLE,0.18984,1.481197,c6aa3f82cb7052bd83b47e865fc1d9e0cccadc9253aaebadfcd92b9f979bfb67
2v2,GUARD,19500001,I1_W50_NO_COMMIT,0.289719,2.704349,c6aa3f82cb7052bd83b47e865fc1d9e0cccadc9253aaebadfcd92b9f979bfb67
2v2,GUARD,19500001,I2_W50_CURRENT_COMMIT,0.337369,3.105386,c6aa3f82cb7052bd83b47e865fc1d9e0cccadc9253aaebadfcd92b9f979bfb67
2v2,GUARD,19500001,I3_FULL_CURRENT_MACRO,0.292645,1.202974,c6aa3f82cb7052bd83b47e865fc1d9e0cccadc9253aaebadfcd92b9f979bfb67
2v2,BREACH,19500001,I0_CONTINUOUS_ORACLE,0.349187,2.194876,831e741be89c245d6166cf6012309128b1238a1ac20a771d3ec829bb7d4ef383
2v2,BREACH,19500001,I1_W50_NO_COMMIT,0.364346,2.662656,831e741be89c245d6166cf6012309128b1238a1ac20a771d3ec829bb7d4ef383
2v2,BREACH,19500001,I2_W50_CURRENT_COMMIT,0.437944,3.338497,831e741be89c245d6166cf6012309128b1238a1ac20a771d3ec829bb7d4ef383
2v2,BREACH,19500001,I3_FULL_CURRENT_MACRO,0.439397,2.800885,831e741be89c245d6166cf6012309128b1238a1ac20a771d3ec829bb7d4ef383
4v4,GUARD,19500001,I0_CONTINUOUS_ORACLE,0.364613,1.230373,7d3223a022fcf3fa5ced0e2016e1f6db30d022acaeadc31e8426d46d32396f86
4v4,GUARD,19500001,I1_W50_NO_COMMIT,0.435746,2.184127,7d3223a022fcf3fa5ced0e2016e1f6db30d022acaeadc31e8426d46d32396f86
4v4,GUARD,19500001,I2_W50_CURRENT_COMMIT,0.527037,3.306427,7d3223a022fcf3fa5ced0e2016e1f6db30d022acaeadc31e8426d46d32396f86
4v4,GUARD,19500001,I3_FULL_CURRENT_MACRO,0.473902,1.522803,7d3223a022fcf3fa5ced0e2016e1f6db30d022acaeadc31e8426d46d32396f86
4v4,BREACH,19500001,I0_CONTINUOUS_ORACLE,0.39228,1.960581,97806d6ad0c2a662a76213d86b89f6b22147c431c558ad627cf8f5599c08ba55
4v4,BREACH,19500001,I1_W50_NO_COMMIT,0.417521,2.159994,97806d6ad0c2a662a76213d86b89f6b22147c431c558ad627cf8f5599c08ba55
4v4,BREACH,19500001,I2_W50_CURRENT_COMMIT,0.512306,3.19879,97806d6ad0c2a662a76213d86b89f6b22147c431c558ad627cf8f5599c08ba55
4v4,BREACH,19500001,I3_FULL_CURRENT_MACRO,0.515621,2.801255,97806d6ad0c2a662a76213d86b89f6b22147c431c558ad627cf8f5599c08ba55
2v2,GUARD,19500002,I0_CONTINUOUS_ORACLE,0.223885,1.874397,60247556d5e631ad27e4c3b0f88046c4edd0b2540a32f634e960cc2469d43002
2v2,GUARD,19500002,I1_W50_NO_COMMIT,0.250208,3.271857,60247556d5e631ad27e4c3b0f88046c4edd0b2540a32f634e960cc2469d43002
2v2,GUARD,19500002,I2_W50_CURRENT_COMMIT,0.306797,2.760332,60247556d5e631ad27e4c3b0f88046c4edd0b2540a32f634e960cc2469d43002
2v2,GUARD,19500002,I3_FULL_CURRENT_MACRO,0.264543,1.073112,60247556d5e631ad27e4c3b0f88046c4edd0b2540a32f634e960cc2469d43002
2v2,BREACH,19500002,I0_CONTINUOUS_ORACLE,0.3547,1.699202,a3d09194cc3150b2857ee49ab17391ddf06a0a098910c4213b4597f6daa5dc7f
2v2,BREACH,19500002,I1_W50_NO_COMMIT,0.368957,1.89746,a3d09194cc3150b2857ee49ab17391ddf06a0a098910c4213b4597f6daa5dc7f
2v2,BREACH,19500002,I2_W50_CURRENT_COMMIT,0.397623,2.999461,a3d09194cc3150b2857ee49ab17391ddf06a0a098910c4213b4597f6daa5dc7f
2v2,BREACH,19500002,I3_FULL_CURRENT_MACRO,0.443531,2.968947,a3d09194cc3150b2857ee49ab17391ddf06a0a098910c4213b4597f6daa5dc7f
4v4,GUARD,19500002,I0_CONTINUOUS_ORACLE,0.425194,1.500454,957252cb30627587b444c572ba7a67aec920f97ba27f85d7b2317ec175236712
4v4,GUARD,19500002,I1_W50_NO_COMMIT,0.487044,2.032626,957252cb30627587b444c572ba7a67aec920f97ba27f85d7b2317ec175236712
4v4,GUARD,19500002,I2_W50_CURRENT_COMMIT,0.550368,2.280652,957252cb30627587b444c572ba7a67aec920f97ba27f85d7b2317ec175236712
4v4,GUARD,19500002,I3_FULL_CURRENT_MACRO,0.531617,1.676774,957252cb30627587b444c572ba7a67aec920f97ba27f85d7b2317ec175236712
4v4,BREACH,19500002,I0_CONTINUOUS_ORACLE,0.56734,1.82361,602c3950e08da08ab691fdad35aadb6ca42129b615fdfea8f24a7e3ccf6c70ab
4v4,BREACH,19500002,I1_W50_NO_COMMIT,0.612616,2.07837,602c3950e08da08ab691fdad35aadb6ca42129b615fdfea8f24a7e3ccf6c70ab
4v4,BREACH,19500002,I2_W50_CURRENT_COMMIT,0.839049,2.878846,602c3950e08da08ab691fdad35aadb6ca42129b615fdfea8f24a7e3ccf6c70ab
4v4,BREACH,19500002,I3_FULL_CURRENT_MACRO,0.811272,2.684304,602c3950e08da08ab691fdad35aadb6ca42129b615fdfea8f24a7e3ccf6c70ab
2v2,GUARD,19500003,I0_CONTINUOUS_ORACLE,0.16075,1.708562,1591020a1bc6e228c273f71c6423b4082f9cb2572b4332a60df4ab7897b84c00
2v2,GUARD,19500003,I1_W50_NO_COMMIT,0.331678,2.33057,1591020a1bc6e228c273f71c6423b4082f9cb2572b4332a60df4ab7897b84c00
2v2,GUARD,19500003,I2_W50_CURRENT_COMMIT,0.39504,2.375895,1591020a1bc6e228c273f71c6423b4082f9cb2572b4332a60df4ab7897b84c00
2v2,GUARD,19500003,I3_FULL_CURRENT_MACRO,0.316379,1.451241,1591020a1bc6e228c273f71c6423b4082f9cb2572b4332a60df4ab7897b84c00
2v2,BREACH,19500003,I0_CONTINUOUS_ORACLE,0.381028,1.520372,250cee36ebd73889a0c39d8579540b259931f9084f7cd3b8f64033225c416cfa
2v2,BREACH,19500003,I1_W50_NO_COMMIT,0.56014,1.775555,250cee36ebd73889a0c39d8579540b259931f9084f7cd3b8f64033225c416cfa
2v2,BREACH,19500003,I2_W50_CURRENT_COMMIT,0.673247,2.712416,250cee36ebd73889a0c39d8579540b259931f9084f7cd3b8f64033225c416cfa
2v2,BREACH,19500003,I3_FULL_CURRENT_MACRO,0.622398,1.957853,250cee36ebd73889a0c39d8579540b259931f9084f7cd3b8f64033225c416cfa
4v4,GUARD,19500003,I0_CONTINUOUS_ORACLE,0.443656,1.718046,7238abd15761b9c9a8ec697dfc37e5b32c651670755ae512857e9ccbe50580c9
4v4,GUARD,19500003,I1_W50_NO_COMMIT,0.469166,1.906518,7238abd15761b9c9a8ec697dfc37e5b32c651670755ae512857e9ccbe50580c9
4v4,GUARD,19500003,I2_W50_CURRENT_COMMIT,0.522164,2.628478,7238abd15761b9c9a8ec697dfc37e5b32c651670755ae512857e9ccbe50580c9
4v4,GUARD,19500003,I3_FULL_CURRENT_MACRO,0.519052,1.673899,7238abd15761b9c9a8ec697dfc37e5b32c651670755ae512857e9ccbe50580c9
4v4,BREACH,19500003,I0_CONTINUOUS_ORACLE,0.474197,1.856949,a55929024034b8f899f85f22c914d89c8900b55c6d65c36d318633a9ce498c65
4v4,BREACH,19500003,I1_W50_NO_COMMIT,0.559001,2.259387,a55929024034b8f899f85f22c914d89c8900b55c6d65c36d318633a9ce498c65
4v4,BREACH,19500003,I2_W50_CURRENT_COMMIT,0.685524,3.072654,a55929024034b8f899f85f22c914d89c8900b55c6d65c36d318633a9ce498c65
4v4,BREACH,19500003,I3_FULL_CURRENT_MACRO,0.665727,2.885561,a55929024034b8f899f85f22c914d89c8900b55c6d65c36d318633a9ce498c65
2v2,GUARD,19500004,I0_CONTINUOUS_ORACLE,0.30154,1.584979,8d09fde149d056b89f60e251a8ae94c1d62207ffbc739d01466de1290471e43d
2v2,GUARD,19500004,I1_W50_NO_COMMIT,0.323765,2.867377,8d09fde149d056b89f60e251a8ae94c1d62207ffbc739d01466de1290471e43d
2v2,GUARD,19500004,I2_W50_CURRENT_COMMIT,0.356174,2.344312,8d09fde149d056b89f60e251a8ae94c1d62207ffbc739d01466de1290471e43d
2v2,GUARD,19500004,I3_FULL_CURRENT_MACRO,0.357114,1.563906,8d09fde149d056b89f60e251a8ae94c1d62207ffbc739d01466de1290471e43d
2v2,BREACH,19500004,I0_CONTINUOUS_ORACLE,0.364087,1.745203,b4e5e128a432e8b4b1cfdac5308e53de1dc25caa3d14c24caf7816403bbbcdae
2v2,BREACH,19500004,I1_W50_NO_COMMIT,0.447258,1.754586,b4e5e128a432e8b4b1cfdac5308e53de1dc25caa3d14c24caf7816403bbbcdae
2v2,BREACH,19500004,I2_W50_CURRENT_COMMIT,0.558381,3.079048,b4e5e128a432e8b4b1cfdac5308e53de1dc25caa3d14c24caf7816403bbbcdae
2v2,BREACH,19500004,I3_FULL_CURRENT_MACRO,0.531602,2.573022,b4e5e128a432e8b4b1cfdac5308e53de1dc25caa3d14c24caf7816403bbbcdae
4v4,GUARD,19500004,I0_CONTINUOUS_ORACLE,0.404078,1.599375,ec1911b8573ca47c826cab1b98e0e0192e0e55f51d084b0b601c59b22a999adc
4v4,GUARD,19500004,I1_W50_NO_COMMIT,0.47227,2.260936,ec1911b8573ca47c826cab1b98e0e0192e0e55f51d084b0b601c59b22a999adc
4v4,GUARD,19500004,I2_W50_CURRENT_COMMIT,0.514257,2.712405,ec1911b8573ca47c826cab1b98e0e0192e0e55f51d084b0b601c59b22a999adc
4v4,GUARD,19500004,I3_FULL_CURRENT_MACRO,0.497639,1.615162,ec1911b8573ca47c826cab1b98e0e0192e0e55f51d084b0b601c59b22a999adc
4v4,BREACH,19500004,I0_CONTINUOUS_ORACLE,0.526581,1.911297,b47c636cbcac5d69c8b15483b64be61f8e03fb380466d75652d73c6623bedd04
4v4,BREACH,19500004,I1_W50_NO_COMMIT,0.615101,2.243592,b47c636cbcac5d69c8b15483b64be61f8e03fb380466d75652d73c6623bedd04
4v4,BREACH,19500004,I2_W50_CURRENT_COMMIT,0.768471,2.965099,b47c636cbcac5d69c8b15483b64be61f8e03fb380466d75652d73c6623bedd04
4v4,BREACH,19500004,I3_FULL_CURRENT_MACRO,0.732633,2.278805,b47c636cbcac5d69c8b15483b64be61f8e03fb380466d75652d73c6623bedd04
2v2,GUARD,19500005,I0_CONTINUOUS_ORACLE,0.230534,1.083964,810e0d180d9d4e6514534cf21d83b94e3d984387a96034a5ae708a369e7acbba
2v2,GUARD,19500005,I1_W50_NO_COMMIT,0.309853,2.210308,810e0d180d9d4e6514534cf21d83b94e3d984387a96034a5ae708a369e7acbba
2v2,GUARD,19500005,I2_W50_CURRENT_COMMIT,0.317022,2.607282,810e0d180d9d4e6514534cf21d83b94e3d984387a96034a5ae708a369e7acbba
2v2,GUARD,19500005,I3_FULL_CURRENT_MACRO,0.296176,1.387681,810e0d180d9d4e6514534cf21d83b94e3d984387a96034a5ae708a369e7acbba
2v2,BREACH,19500005,I0_CONTINUOUS_ORACLE,0.455728,1.28502,6f566d539b3dcc22b414da240a672ce6144ce73ad2d7aca9fa5e35906ad6a04f
2v2,BREACH,19500005,I1_W50_NO_COMMIT,0.583216,1.705998,6f566d539b3dcc22b414da240a672ce6144ce73ad2d7aca9fa5e35906ad6a04f
2v2,BREACH,19500005,I2_W50_CURRENT_COMMIT,0.737384,2.920727,6f566d539b3dcc22b414da240a672ce6144ce73ad2d7aca9fa5e35906ad6a04f
2v2,BREACH,19500005,I3_FULL_CURRENT_MACRO,0.644152,1.700583,6f566d539b3dcc22b414da240a672ce6144ce73ad2d7aca9fa5e35906ad6a04f
4v4,GUARD,19500005,I0_CONTINUOUS_ORACLE,0.415584,1.584594,bf1653633c56876c87b60cbe94222c08c078726d64ed4cd6df97ce8ed38b2e45
4v4,GUARD,19500005,I1_W50_NO_COMMIT,0.461043,2.478868,bf1653633c56876c87b60cbe94222c08c078726d64ed4cd6df97ce8ed38b2e45
4v4,GUARD,19500005,I2_W50_CURRENT_COMMIT,0.530994,2.386001,bf1653633c56876c87b60cbe94222c08c078726d64ed4cd6df97ce8ed38b2e45
4v4,GUARD,19500005,I3_FULL_CURRENT_MACRO,0.506659,2.001353,bf1653633c56876c87b60cbe94222c08c078726d64ed4cd6df97ce8ed38b2e45
4v4,BREACH,19500005,I0_CONTINUOUS_ORACLE,0.414287,1.685944,9e5bb1fe51cbbb15a6324e8a3bd71653698c98c8ff5a26e5c747bf20fcee2717
4v4,BREACH,19500005,I1_W50_NO_COMMIT,0.469715,2.4046,9e5bb1fe51cbbb15a6324e8a3bd71653698c98c8ff5a26e5c747bf20fcee2717
4v4,BREACH,19500005,I2_W50_CURRENT_COMMIT,0.577909,2.981969,9e5bb1fe51cbbb15a6324e8a3bd71653698c98c8ff5a26e5c747bf20fcee2717
4v4,BREACH,19500005,I3_FULL_CURRENT_MACRO,0.600854,2.919592,9e5bb1fe51cbbb15a6324e8a3bd71653698c98c8ff5a26e5c747bf20fcee2717
2v2,GUARD,19500006,I0_CONTINUOUS_ORACLE,0.249487,1.324057,4c94e6046037fb6a3accbdcffc585754866d9f0673b6693b51091c4beb341cd3
2v2,GUARD,19500006,I1_W50_NO_COMMIT,0.347954,2.247371,4c94e6046037fb6a3accbdcffc585754866d9f0673b6693b51091c4beb341cd3
2v2,GUARD,19500006,I2_W50_CURRENT_COMMIT,0.423205,2.79183,4c94e6046037fb6a3accbdcffc585754866d9f0673b6693b51091c4beb341cd3
2v2,GUARD,19500006,I3_FULL_CURRENT_MACRO,0.365187,1.424614,4c94e6046037fb6a3accbdcffc585754866d9f0673b6693b51091c4beb341cd3
2v2,BREACH,19500006,I0_CONTINUOUS_ORACLE,0.419789,2.641079,03782d4b96e16be94d1c6a2c247024dd1a510bb0fb53e897dbbf88f344b98196
2v2,BREACH,19500006,I1_W50_NO_COMMIT,0.376947,2.840654,03782d4b96e16be94d1c6a2c247024dd1a510bb0fb53e897dbbf88f344b98196
2v2,BREACH,19500006,I2_W50_CURRENT_COMMIT,0.423042,2.480186,03782d4b96e16be94d1c6a2c247024dd1a510bb0fb53e897dbbf88f344b98196
2v2,BREACH,19500006,I3_FULL_CURRENT_MACRO,0.433268,2.618697,03782d4b96e16be94d1c6a2c247024dd1a510bb0fb53e897dbbf88f344b98196
4v4,GUARD,19500006,I0_CONTINUOUS_ORACLE,0.401526,1.677339,ed3b362ebba73d37d9616bd61eb7bc25bb73f5947ef77794d4445147dfef2fe0
4v4,GUARD,19500006,I1_W50_NO_COMMIT,0.458888,2.318275,ed3b362ebba73d37d9616bd61eb7bc25bb73f5947ef77794d4445147dfef2fe0
4v4,GUARD,19500006,I2_W50_CURRENT_COMMIT,0.528966,2.744011,ed3b362ebba73d37d9616bd61eb7bc25bb73f5947ef77794d4445147dfef2fe0
4v4,GUARD,19500006,I3_FULL_CURRENT_MACRO,0.483505,1.555643,ed3b362ebba73d37d9616bd61eb7bc25bb73f5947ef77794d4445147dfef2fe0
4v4,BREACH,19500006,I0_CONTINUOUS_ORACLE,0.516144,1.868942,8823029ef24428e3eb5132864758c75d2a755531d618965fd5c6c7cae2dd1453
4v4,BREACH,19500006,I1_W50_NO_COMMIT,0.61106,2.160179,8823029ef24428e3eb5132864758c75d2a755531d618965fd5c6c7cae2dd1453
4v4,BREACH,19500006,I2_W50_CURRENT_COMMIT,0.76878,2.917518,8823029ef24428e3eb5132864758c75d2a755531d618965fd5c6c7cae2dd1453
4v4,BREACH,19500006,I3_FULL_CURRENT_MACRO,0.751797,2.604515,8823029ef24428e3eb5132864758c75d2a755531d618965fd5c6c7cae2dd1453
2v2,GUARD,19500007,I0_CONTINUOUS_ORACLE,0.239356,1.689746,06ad505a9ef5e73fcd0e625108a226c77557e5bb7584276409ce5e95f7d97dc0
2v2,GUARD,19500007,I1_W50_NO_COMMIT,0.304142,2.803494,06ad505a9ef5e73fcd0e625108a226c77557e5bb7584276409ce5e95f7d97dc0
2v2,GUARD,19500007,I2_W50_CURRENT_COMMIT,0.361146,3.581545,06ad505a9ef5e73fcd0e625108a226c77557e5bb7584276409ce5e95f7d97dc0
2v2,GUARD,19500007,I3_FULL_CURRENT_MACRO,0.339948,1.362232,06ad505a9ef5e73fcd0e625108a226c77557e5bb7584276409ce5e95f7d97dc0
2v2,BREACH,19500007,I0_CONTINUOUS_ORACLE,0.412522,2.515224,0db4d1ae7bb54febc6decf4fea89cd73ebecf2adc7a5008acce147aef1849a1a
2v2,BREACH,19500007,I1_W50_NO_COMMIT,0.404178,3.468713,0db4d1ae7bb54febc6decf4fea89cd73ebecf2adc7a5008acce147aef1849a1a
2v2,BREACH,19500007,I2_W50_CURRENT_COMMIT,0.487526,3.590787,0db4d1ae7bb54febc6decf4fea89cd73ebecf2adc7a5008acce147aef1849a1a
2v2,BREACH,19500007,I3_FULL_CURRENT_MACRO,0.529739,2.899382,0db4d1ae7bb54febc6decf4fea89cd73ebecf2adc7a5008acce147aef1849a1a
4v4,GUARD,19500007,I0_CONTINUOUS_ORACLE,0.416832,1.304615,284998a412f9bbb6bb92a10165487522db2925921602270cbe705eac5c8d0e47
4v4,GUARD,19500007,I1_W50_NO_COMMIT,0.479343,2.035579,284998a412f9bbb6bb92a10165487522db2925921602270cbe705eac5c8d0e47
4v4,GUARD,19500007,I2_W50_CURRENT_COMMIT,0.510952,3.269533,284998a412f9bbb6bb92a10165487522db2925921602270cbe705eac5c8d0e47
4v4,GUARD,19500007,I3_FULL_CURRENT_MACRO,0.504547,1.880738,284998a412f9bbb6bb92a10165487522db2925921602270cbe705eac5c8d0e47
4v4,BREACH,19500007,I0_CONTINUOUS_ORACLE,0.619332,1.473876,c1685de15eb433ab924d56866898eef17238505201a712c091dd1f7696c094b3
4v4,BREACH,19500007,I1_W50_NO_COMMIT,0.753398,1.961815,c1685de15eb433ab924d56866898eef17238505201a712c091dd1f7696c094b3
4v4,BREACH,19500007,I2_W50_CURRENT_COMMIT,1.0022,2.530044,c1685de15eb433ab924d56866898eef17238505201a712c091dd1f7696c094b3
4v4,BREACH,19500007,I3_FULL_CURRENT_MACRO,0.92313,1.93645,c1685de15eb433ab924d56866898eef17238505201a712c091dd1f7696c094b3
2v2,GUARD,19500008,I0_CONTINUOUS_ORACLE,0.242987,1.190911,86bec595a8de1129a4aebd933ae3029b1ff2aa7eb08231d363196dce6cadc000
2v2,GUARD,19500008,I1_W50_NO_COMMIT,0.256138,1.806554,86bec595a8de1129a4aebd933ae3029b1ff2aa7eb08231d363196dce6cadc000
2v2,GUARD,19500008,I2_W50_CURRENT_COMMIT,0.305926,1.859746,86bec595a8de1129a4aebd933ae3029b1ff2aa7eb08231d363196dce6cadc000
2v2,GUARD,19500008,I3_FULL_CURRENT_MACRO,0.304428,1.462021,86bec595a8de1129a4aebd933ae3029b1ff2aa7eb08231d363196dce6cadc000
2v2,BREACH,19500008,I0_CONTINUOUS_ORACLE,0.414535,1.494745,924160808bae0a79833f9a197f4f77bc2a36ea4885f9e127119e972c22f4f6d3
2v2,BREACH,19500008,I1_W50_NO_COMMIT,0.426428,1.760715,924160808bae0a79833f9a197f4f77bc2a36ea4885f9e127119e972c22f4f6d3
2v2,BREACH,19500008,I2_W50_CURRENT_COMMIT,0.55134,3.171346,924160808bae0a79833f9a197f4f77bc2a36ea4885f9e127119e972c22f4f6d3
2v2,BREACH,19500008,I3_FULL_CURRENT_MACRO,0.503987,2.064972,924160808bae0a79833f9a197f4f77bc2a36ea4885f9e127119e972c22f4f6d3
4v4,GUARD,19500008,I0_CONTINUOUS_ORACLE,0.448404,1.551954,4a561601e91418a48fe3f5232534cab039199c29d7fcfefcd5aa22496c392685
4v4,GUARD,19500008,I1_W50_NO_COMMIT,0.463175,2.014224,4a561601e91418a48fe3f5232534cab039199c29d7fcfefcd5aa22496c392685
4v4,GUARD,19500008,I2_W50_CURRENT_COMMIT,0.536546,2.34467,4a561601e91418a48fe3f5232534cab039199c29d7fcfefcd5aa22496c392685
4v4,GUARD,19500008,I3_FULL_CURRENT_MACRO,0.523951,1.757415,4a561601e91418a48fe3f5232534cab039199c29d7fcfefcd5aa22496c392685
