episode_id,run_id,run_pid,timesteps,policy_update,rollout_step,latent_z,curriculum_phase,mode,map_set,map_layout,map_id,map_vertical_mirror,opponent,opponent_id,success,blue_score,red_score,win_margin,decision_steps,zone_coverage,collision_free_episode,collision_events_per_episode,obstacle_collision_events_per_episode,near_misses_per_episode,blue_route_upper_crossings,blue_route_lower_crossings,red_route_upper_crossings,red_route_lower_crossings,blue_attack_upper_crossings,blue_attack_lower_crossings,blue_return_upper_crossings,blue_return_lower_crossings,blue_intercept_upper_crossings,blue_intercept_lower_crossings,red_attack_upper_crossings,red_attack_lower_crossings,red_return_upper_crossings,red_return_lower_crossings,red_intercept_upper_crossings,red_intercept_lower_crossings,time_to_first_score,mean_inter_robot_dist,reward_terminal,reward_offense,reward_pbrs,reward_team,reward_sparse,reward_sparse_points,reward_failure,reward_total,canonical_map,resolved_map,ruleset_id,ruleset_fingerprint,formal_result_eligible
1,balanced_causal_sampling_treatment_wiring_verification,27736,1007424,245,122,0,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,1,2,122,0.5199999809265137,1,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.0,5.681925288966445,1.0,0.5,-0.009779661893844604,0.0,1.0,100.0,-0.004000000189989805,0.5534830689430237,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
2,balanced_causal_sampling_treatment_wiring_verification,27736,1008480,246,27,1,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP7,6,1,3,0,3,155,0.47999998927116394,1,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0,4.733608319682459,1.0,0.5,0.008075878024101257,0.0,1.0,100.0,0.0,0.5549491047859192,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
3,balanced_causal_sampling_treatment_wiring_verification,27736,1008544,246,29,0,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,0,3,157,0.5999999642372131,1,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.0,5.419000127512938,1.0,0.5,-0.010364234447479248,0.0,1.0,100.0,-0.004000000189989805,0.5534577965736389,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
4,balanced_causal_sampling_treatment_wiring_verification,27736,1011200,246,112,0,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,0,0,0,240,0.47999998927116394,1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10.326047770182292,-0.5,0.0,0.01500500738620758,0.01562499813735485,0.0,0.0,-0.00800000037997961,-0.12443730235099792,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
5,balanced_causal_sampling_treatment_wiring_verification,27736,1011200,246,112,0,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,1,1,0,240,0.5600000023841858,1,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.0,8.561707560221354,-0.5,0.0,-0.01549568772315979,0.005624999292194843,0.0,0.0,0.0,-0.12496034801006317,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
6,balanced_causal_sampling_treatment_wiring_verification,27736,1011200,246,112,0,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,0,1,-1,240,0.47999998927116394,1,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.0,5.971143595377604,-1.0,0.0,0.0010600090026855469,0.005624999292194843,0.0,0.0,-0.00800000037997961,-0.24640537798404694,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
7,balanced_causal_sampling_treatment_wiring_verification,27736,1011200,246,112,0,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,2,0,2,240,0.5600000023841858,0,2,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.0,7.095510864257813,1.0,0.0,0.007085233926773071,0.0,0.0,0.0,-0.004000000189989805,0.24439483880996704,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
8,balanced_causal_sampling_treatment_wiring_verification,27736,1011200,246,112,0,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,1,0,1,240,0.5199999809265137,0,1,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.0,6.9945068359375,1.0,0.0,0.00211922824382782,0.01499915961176157,0.0,0.0,0.0,0.24592411518096924,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
9,balanced_causal_sampling_treatment_wiring_verification,27736,1011200,246,112,0,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,1,0,1,240,0.5199999809265137,1,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228.0,8.514265950520834,1.0,0.0,0.014923095703125,0.0,0.0,0.0,-0.004000000189989805,0.2448553889989853,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
10,balanced_causal_sampling_treatment_wiring_verification,27736,1011200,246,112,0,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,1,0,1,240,0.47999998927116394,0,2,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216.0,9.061227416992187,1.0,0.0,-0.0029479563236236572,0.0,0.0,0.0,-0.004000000189989805,0.24380511045455933,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
