split,pole,seed,tick,p_blue,p_red_r4,p_red_r6,p_red_r8,p_red_r10
calibration,A,99900101,0,0,0,3,4,4
calibration,A,99900101,1,0,0,4,4,4
calibration,A,99900101,2,0,0,4,4,4
calibration,A,99900101,3,0,0,4,4,4
calibration,A,99900101,4,0,0,3,4,4
calibration,A,99900101,5,0,0,1,4,4
calibration,A,99900101,6,0,0,1,3,4
calibration,A,99900101,7,0,0,1,2,4
calibration,A,99900101,8,0,0,0,1,4
calibration,A,99900101,9,0,0,0,1,3
calibration,A,99900101,10,0,0,0,1,3
calibration,A,99900101,11,0,0,0,2,3
calibration,A,99900101,12,0,0,0,3,4
calibration,A,99900101,13,0,0,2,3,4
calibration,A,99900101,14,0,0,3,4,4
calibration,A,99900101,15,0,1,3,4,4
calibration,A,99900101,16,0,3,4,4,4
calibration,A,99900101,17,0,3,4,4,4
calibration,A,99900101,18,0,4,4,4,4
calibration,A,99900101,19,0,3,4,4,4
calibration,A,99900101,20,0,3,4,4,4
calibration,A,99900101,21,0,3,3,4,4
calibration,A,99900101,22,0,1,3,4,4
calibration,A,99900101,23,0,0,3,4,4
calibration,A,99900101,24,0,0,1,3,4
calibration,A,99900101,25,0,0,1,3,4
calibration,A,99900101,26,0,0,1,2,4
calibration,A,99900101,27,0,0,2,2,4
calibration,A,99900101,28,0,2,2,4,4
calibration,A,99900101,29,0,2,2,3,4
calibration,A,99900101,30,0,2,2,2,4
calibration,A,99900101,31,0,2,2,2,4
calibration,A,99900101,32,0,2,2,2,4
calibration,A,99900101,33,0,1,2,2,4
calibration,A,99900101,34,0,0,2,2,4
calibration,A,99900101,35,0,0,2,2,4
calibration,A,99900101,36,0,0,1,2,4
calibration,A,99900101,37,0,0,1,2,4
calibration,A,99900101,38,0,0,2,2,4
calibration,A,99900101,39,0,1,2,2,4
calibration,A,99900101,40,0,2,2,4,4
calibration,A,99900101,41,0,2,2,2,4
calibration,A,99900101,42,0,2,2,2,4
calibration,A,99900101,43,0,2,2,2,4
calibration,A,99900101,44,0,2,2,2,4
calibration,A,99900101,45,0,1,2,2,4
calibration,A,99900101,46,0,1,2,2,4
calibration,A,99900101,47,0,0,2,2,4
calibration,A,99900101,48,0,0,1,2,4
calibration,A,99900101,49,0,1,2,2,4
calibration,A,99900101,50,0,2,2,2,4
calibration,A,99900101,51,0,1,2,2,4
calibration,A,99900101,52,0,0,2,2,4
calibration,A,99900101,53,0,0,1,2,4
calibration,A,99900101,54,0,0,0,2,3
calibration,A,99900101,55,0,0,0,0,3
calibration,A,99900101,56,0,0,0,1,3
calibration,A,99900101,57,0,0,0,1,4
calibration,A,99900101,58,0,0,1,2,3
calibration,A,99900101,59,0,0,0,3,4
calibration,A,99900101,60,0,0,1,3,4
calibration,A,99900101,61,0,0,1,3,4
calibration,A,99900101,62,0,1,1,2,4
calibration,A,99900101,63,0,1,2,2,3
calibration,A,99900101,64,0,1,2,2,2
calibration,A,99900101,65,1,2,2,2,2
calibration,A,99900101,66,1,2,2,2,2
calibration,A,99900101,67,0,2,2,2,3
calibration,A,99900101,68,1,1,2,2,3
calibration,A,99900101,69,1,1,1,2,3
calibration,A,99900101,70,1,1,1,3,3
calibration,A,99900101,71,1,0,1,3,3
calibration,A,99900101,72,1,0,2,2,3
