cell,seed,blue,red,win,margin
pi_A3_final,18100001,0,0,0,0
pi_A3_final,18100002,0,0,0,0
pi_A3_final,18100003,2,0,1,2
pi_A3_final,18100004,0,0,0,0
pi_A3_final,18100005,2,0,1,2
pi_A3_final,18100006,3,0,1,3
pi_A3_final,18100007,3,0,1,3
pi_A3_final,18100008,2,0,1,2
pi_A3_final,18100009,3,0,1,3
pi_A3_final,18100010,3,0,1,3
pi_A3_final,18100011,2,0,1,2
pi_A3_final,18100012,0,0,0,0
pi_A3_final,18100013,0,0,0,0
pi_A3_final,18100014,3,0,1,3
pi_A3_final,18100015,3,0,1,3
pi_A3_final,18100016,3,0,1,3
pi_A3_final,18100017,3,0,1,3
pi_A3_final,18100018,3,0,1,3
pi_A3_final,18100019,3,0,1,3
pi_A3_final,18100020,3,0,1,3
pi_A3_final,18100021,3,0,1,3
pi_A3_final,18100022,0,0,0,0
pi_A3_final,18100023,2,0,1,2
pi_A3_final,18100024,0,0,0,0
pi_A3_final,18100025,0,0,0,0
pi_A3_final,18100026,3,0,1,3
pi_A3_final,18100027,3,0,1,3
pi_A3_final,18100028,0,0,0,0
pi_A3_final,18100029,2,0,1,2
pi_A3_final,18100030,3,0,1,3
pi_A3_final,18100031,0,0,0,0
pi_A3_final,18100032,3,0,1,3
pi_A3_final,18100033,3,0,1,3
pi_A3_final,18100034,2,0,1,2
pi_A3_final,18100035,3,0,1,3
pi_A3_final,18100036,3,0,1,3
pi_A3_final,18100037,0,0,0,0
pi_A3_final,18100038,3,0,1,3
pi_A3_final,18100039,0,0,0,0
pi_A3_final,18100040,1,0,1,1
pi_A3_final,18100041,1,0,1,1
pi_A3_final,18100042,1,0,1,1
pi_A3_final,18100043,3,0,1,3
pi_A3_final,18100044,0,0,0,0
pi_A3_final,18100045,3,0,1,3
pi_A3_final,18100046,3,0,1,3
pi_A3_final,18100047,3,0,1,3
pi_A3_final,18100048,0,0,0,0
pi_A3_final,18100049,1,0,1,1
pi_A3_final,18100050,3,0,1,3
