step,mean_reward,loss,grad_norm_entity
0,0.0004,,
1,0.0008,,
2,-0.0603,,
3,-0.1965,,
4,0.001,,
5,-0.1997,,
6,-0.3229,,
7,-0.2532,,
8,-0.112,,
9,-0.1,,
10,-0.1,,
11,-0.1614,,
12,-0.1035,,
13,-0.075,,
14,-0.0377,,
15,-0.0868,,
16,0.1203,,
17,-0.0479,,
18,-0.0565,,
19,-0.0991,,
20,-0.1669,,
21,-0.1919,,
22,-0.05,,
23,-0.0998,,
24,0.0056,,
25,-0.0147,,
26,-0.0496,,
27,-0.1761,,
28,-0.0792,,
29,-0.0743,,
30,-0.0368,,
31,-0.0562,,
32,-0.2114,,
33,-0.1623,,
34,-0.061,,
35,-0.0858,,
36,-0.0612,,
37,-0.0131,,
38,-0.1343,,
39,0.0063,,
OPT_STEP,,0.012766,0.016698
