episode_id,run_id,run_pid,timesteps,policy_update,rollout_step,latent_z,curriculum_phase,mode,map_set,map_layout,map_id,map_vertical_mirror,opponent,opponent_id,success,blue_score,red_score,win_margin,decision_steps,zone_coverage,collision_free_episode,collision_events_per_episode,obstacle_collision_events_per_episode,near_misses_per_episode,blue_route_upper_crossings,blue_route_lower_crossings,red_route_upper_crossings,red_route_lower_crossings,blue_attack_upper_crossings,blue_attack_lower_crossings,blue_return_upper_crossings,blue_return_lower_crossings,blue_intercept_upper_crossings,blue_intercept_lower_crossings,red_attack_upper_crossings,red_attack_lower_crossings,red_return_upper_crossings,red_return_lower_crossings,red_intercept_upper_crossings,red_intercept_lower_crossings,time_to_first_score,mean_inter_robot_dist,reward_terminal,reward_offense,reward_pbrs,reward_team,reward_sparse,reward_sparse_points,reward_failure,reward_total,canonical_map,resolved_map,ruleset_id,ruleset_fingerprint,formal_result_eligible
1,hog_psp_v3_production,73420,4704,1,19,0,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,0,3,-3,147,0.6800000071525574,1,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0,6.040786846965348,-1.0,-0.5,0.00752595067024231,0.0,-1.0,-100.0,-0.004000000189989805,-0.554966390132904,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
2,hog_psp_v3_production,73420,6688,1,81,1,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP7,6,1,3,0,3,209,0.5999999642372131,1,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.0,5.793751985832835,1.0,0.5,0.0038197338581085205,0.0,1.0,100.0,0.0,0.5547650456428528,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
3,hog_psp_v3_production,73420,7680,1,112,0,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,2,1,1,240,0.7199999690055847,1,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,6.176310729980469,1.0,0.0,0.007195562124252319,0.02999970130622387,0.0,0.0,0.0,0.24710266292095184,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
4,hog_psp_v3_production,73420,7680,1,112,0,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,0,2,-2,240,0.5999999642372131,0,1,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,9.437530517578125,-1.0,0.0,-0.0014282017946243286,0.04062499850988388,0.0,0.0,0.0,-0.24261443316936493,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
5,hog_psp_v3_production,73420,7680,1,112,0,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,0,0,0,240,0.7199999690055847,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,11.52417704264323,-0.5,0.0,0.017749369144439697,0.0149980578571558,0.0,0.0,0.0,-0.12233743816614151,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
6,hog_psp_v3_production,73420,7680,1,112,0,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,0,0,0,240,0.6800000071525574,1,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8.918499755859376,-0.5,0.0,-0.005915477871894836,0.04999999701976776,0.0,0.0,0.0,-0.12163940817117691,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
7,hog_psp_v3_production,73420,7680,1,112,0,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,1,1,0,240,0.5199999809265137,1,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0,10.60648905436198,-0.5,0.0,-0.007972747087478638,0.04999999701976776,0.0,0.0,-0.004000000189989805,-0.1227511391043663,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
8,hog_psp_v3_production,73420,7680,1,112,0,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,0,1,-1,240,0.6399999856948853,1,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.0,7.63669687906901,-1.0,0.0,-0.0063466876745224,0.04062499850988388,0.0,0.0,-0.004000000189989805,-0.24384446442127228,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
9,hog_psp_v3_production,73420,7680,1,112,0,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,1,1,0,240,0.6399999856948853,1,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.0,9.720987955729166,-0.5,0.0,0.008394882082939148,0.04999999701976776,0.0,0.0,-0.004000000189989805,-0.12174344807863235,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
10,hog_psp_v3_production,73420,7680,1,112,0,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,0,0,0,240,0.6399999856948853,1,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,11.482080078125,-0.5,0.0,0.0074860453605651855,0.04999999701976776,0.0,0.0,0.0,-0.12081412225961685,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
