episode_id,run_id,run_pid,timesteps,policy_update,rollout_step,latent_z,curriculum_phase,mode,map_set,map_layout,map_id,map_vertical_mirror,opponent,opponent_id,success,blue_score,red_score,win_margin,decision_steps,zone_coverage,collision_free_episode,collision_events_per_episode,obstacle_collision_events_per_episode,near_misses_per_episode,blue_route_upper_crossings,blue_route_lower_crossings,red_route_upper_crossings,red_route_lower_crossings,blue_attack_upper_crossings,blue_attack_lower_crossings,blue_return_upper_crossings,blue_return_lower_crossings,blue_intercept_upper_crossings,blue_intercept_lower_crossings,red_attack_upper_crossings,red_attack_lower_crossings,red_return_upper_crossings,red_return_lower_crossings,red_intercept_upper_crossings,red_intercept_lower_crossings,time_to_first_score,mean_inter_robot_dist,reward_terminal,reward_offense,reward_pbrs,reward_team,reward_sparse,reward_sparse_points,reward_failure,reward_total,canonical_map,resolved_map,ruleset_id,ruleset_fingerprint,formal_result_eligible
1,oracle_gated_k2_production,22352,7680,1,112,0,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,0,1,-1,240,0.6800000071525574,1,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.0,10.839647420247395,-1.0,0.0,-0.02144262194633484,0.04999999701976776,0.0,0.0,0.0,-0.24324016273021698,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
2,oracle_gated_k2_production,22352,7680,1,112,0,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,0,1,-1,240,0.5199999809265137,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.0,11.740050252278646,-1.0,0.0,0.0009640604257583618,0.049940310418605804,0.0,0.0,-0.004000000189989805,-0.2428668886423111,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
3,oracle_gated_k2_production,22352,7680,1,112,0,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,1,1,0,240,0.5600000023841858,1,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.0,5.084468078613281,-0.5,0.0,0.020899444818496704,0.02499999850988388,0.0,0.0,-0.004000000189989805,-0.12251277267932892,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
4,oracle_gated_k2_production,22352,7680,1,112,0,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,2,1,1,240,0.5199999809265137,0,1,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.0,8.330522155761718,1.0,0.0,0.014809131622314453,0.014999020844697952,0.0,0.0,0.0,0.24666909873485565,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
5,oracle_gated_k2_production,22352,7680,1,112,0,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,1,0,1,240,0.6800000071525574,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.0,10.072323608398438,1.0,0.0,-0.0027519166469573975,0.04062499850988388,0.0,0.0,-0.004000000189989805,0.24620328843593597,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
6,oracle_gated_k2_production,22352,7680,1,112,0,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,0,0,0,240,0.5999999642372131,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,12.328347778320312,-0.5,0.0,-0.010964944958686829,0.04999900236725807,0.0,0.0,0.0,-0.12195038050413132,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
7,oracle_gated_k2_production,22352,7680,1,112,0,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,1,0,1,240,0.5199999809265137,1,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.0,9.357094319661458,1.0,0.0,-0.021200314164161682,0.005624999292194843,0.0,0.0,0.0,0.24400337040424347,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
8,oracle_gated_k2_production,22352,7680,1,112,0,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,0,1,-1,240,0.7199999690055847,0,1,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0,10.445195515950521,-1.0,0.0,0.0016781985759735107,0.04999999701976776,0.0,0.0,0.0,-0.2418801188468933,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
9,oracle_gated_k2_production,22352,7680,1,112,0,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,1,1,0,240,0.6800000071525574,1,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.0,8.818690999348958,-0.5,0.0,0.0017527788877487183,0.04999999701976776,0.0,0.0,-0.004000000189989805,-0.1221524029970169,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
10,oracle_gated_k2_production,22352,7680,1,112,0,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,0,1,-1,240,0.6800000071525574,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,12.257990519205729,-1.0,0.0,-0.0037471354007720947,0.029999999329447746,0.0,0.0,-0.00800000037997961,-0.24525628983974457,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
