policy,arm,seed,blue,red,win,margin
pi_A3,FULL,18000001,1,0,1,1
pi_A3,FULL,18000002,1,0,1,1
pi_A3,FULL,18000003,2,0,1,2
pi_A3,FULL,18000004,1,1,0,0
pi_A3,FULL,18000005,0,0,0,0
pi_A3,FULL,18000006,1,0,1,1
pi_A3,FULL,18000007,1,0,1,1
pi_A3,FULL,18000008,1,0,1,1
pi_A3,FULL,18000009,1,0,1,1
pi_A3,FULL,18000010,0,0,0,0
pi_A3,FULL,18000011,0,0,0,0
pi_A3,FULL,18000012,1,0,1,1
pi_A3,FULL,18000013,1,0,1,1
pi_A3,FULL,18000014,0,0,0,0
pi_A3,FULL,18000015,1,0,1,1
pi_A3,FULL,18000016,1,0,1,1
pi_A3,FULL,18000017,0,0,0,0
pi_A3,FULL,18000018,1,0,1,1
pi_A3,FULL,18000019,1,0,1,1
pi_A3,FULL,18000020,1,0,1,1
pi_A3,FULL,18000021,2,0,1,2
pi_A3,FULL,18000022,1,0,1,1
pi_A3,FULL,18000023,3,0,1,3
pi_A3,FULL,18000024,1,0,1,1
pi_A3,FULL,18000025,1,0,1,1
pi_A3,FULL,18000026,1,0,1,1
pi_A3,FULL,18000027,1,0,1,1
pi_A3,FULL,18000028,0,0,0,0
pi_A3,FULL,18000029,1,0,1,1
pi_A3,FULL,18000030,1,0,1,1
pi_A3,FULL,18000031,1,0,1,1
pi_A3,FULL,18000032,1,0,1,1
pi_A3,FULL,18000033,0,0,0,0
pi_A3,FULL,18000034,3,0,1,3
pi_A3,FULL,18000035,2,0,1,2
pi_A3,FULL,18000036,1,0,1,1
pi_A3,FULL,18000037,1,0,1,1
pi_A3,FULL,18000038,1,0,1,1
pi_A3,FULL,18000039,2,0,1,2
pi_A3,FULL,18000040,0,0,0,0
pi_A3,FULL,18000041,2,0,1,2
pi_A3,FULL,18000042,2,0,1,2
pi_A3,FULL,18000043,1,0,1,1
pi_A3,FULL,18000044,2,0,1,2
pi_A3,FULL,18000045,1,0,1,1
pi_A3,FULL,18000046,2,0,1,2
pi_A3,FULL,18000047,1,0,1,1
pi_A3,FULL,18000048,2,0,1,2
pi_A3,FULL,18000049,1,0,1,1
pi_A3,FULL,18000050,2,0,1,2
pi_A3,FULL,18000051,1,0,1,1
pi_A3,FULL,18000052,0,0,0,0
pi_A3,FULL,18000053,0,0,0,0
pi_A3,FULL,18000054,1,0,1,1
pi_A3,FULL,18000055,1,0,1,1
pi_A3,FULL,18000056,0,0,0,0
pi_A3,FULL,18000057,2,0,1,2
pi_A3,FULL,18000058,2,0,1,2
pi_A3,FULL,18000059,1,0,1,1
pi_A3,FULL,18000060,1,0,1,1
pi_A3,FULL,18000061,1,0,1,1
pi_A3,FULL,18000062,2,0,1,2
pi_A3,FULL,18000063,3,0,1,3
pi_A3,FULL,18000064,3,0,1,3
pi_A3,ZERO,18000001,1,0,1,1
pi_A3,ZERO,18000002,1,0,1,1
