policy,seed,steps,episode_return,won,blue_score,red_score
B_t500k,19400001,240,-2.2893846934020985,0,0,0
B_t500k,19400002,240,-3.272962445305893,0,0,0
B_t500k,19400003,240,-25.14506085930043,1,2,0
B_t500k,19400004,240,-2.531982133135898,0,0,0
B_t500k,19400005,240,-6.3705817871086765,1,2,0
B_t500k,19400006,240,-24.926863563188817,0,0,0
B_t500k,19400007,240,-16.454485959984595,1,1,0
B_t500k,19400008,154,-12.51372358558001,1,3,0
B_t500k,19400009,240,-15.599936690268805,1,1,0
B_t500k,19400010,240,-29.297923583100783,0,0,0
B_t500k,19400011,240,-3.541077707457589,0,0,0
B_t500k,19400012,240,-30.461459558311617,0,1,1
B_t500k,19400013,191,-20.527017220592825,1,3,0
B_t500k,19400014,240,-32.05792067301809,1,1,0
B_t500k,19400015,240,-19.471720489062136,1,1,0
B_t500k,19400016,240,-3.2996697374328505,0,0,0
B_t500k,19400017,136,-11.253483564651106,1,3,0
B_t500k,19400018,240,-29.615514246863313,0,0,0
B_t500k,19400019,240,-28.026300283847377,1,1,0
B_t500k,19400020,240,-2.68331719955313,0,0,0
B_t500k,19400021,240,-26.58869489148492,1,2,0
B_t500k,19400022,234,-22.160506575979525,1,3,0
B_t500k,19400023,240,-28.593101236765506,1,2,0
B_t500k,19400024,240,-25.48946446875925,1,2,1
B_final,19400001,240,0.37028329601162113,0,0,0
B_final,19400002,240,-0.4293004296196159,0,0,0
B_final,19400003,240,-1.3680736412352417,0,0,0
B_final,19400004,240,-24.58250172366388,1,1,0
B_final,19400005,240,-1.1158808191248681,0,0,0
B_final,19400006,240,-0.09699353724136017,0,0,0
B_final,19400007,240,-26.43505631532753,1,1,0
B_final,19400008,240,-27.14928948614397,0,1,1
B_final,19400009,240,-3.812272431590827,1,1,0
B_final,19400010,240,-8.45062681453419,0,0,0
B_final,19400011,240,-26.715557983145118,0,1,1
B_final,19400012,240,-27.642040743812686,0,0,0
B_final,19400013,128,-7.276127647521207,1,3,0
B_final,19400014,240,-24.053611570445355,1,2,0
B_final,19400015,240,-25.576517166220583,1,2,0
B_final,19400016,240,-22.25575446363655,0,1,1
B_final,19400017,240,-1.3496601252409164,0,0,0
B_final,19400018,206,-13.92922411224572,1,3,0
B_final,19400019,240,-1.9349158606783021,1,1,0
B_final,19400020,240,-29.696974583144765,0,0,1
B_final,19400021,240,-17.213940184068633,0,0,0
B_final,19400022,240,-25.535702229681192,1,1,0
B_final,19400023,240,-26.32702961776522,0,1,1
B_final,19400024,240,-0.8442106202128343,0,0,0
GETFLAG,19400001,240,-3.070513761980692,0,0,0
GETFLAG,19400002,92,-4.184273925697198,1,3,0
GETFLAG,19400003,240,-0.19914417367544957,0,0,0
GETFLAG,19400004,240,-7.081909549568081,1,2,0
GETFLAG,19400005,240,-30.16515462062671,1,2,0
GETFLAG,19400006,240,-2.5757769926276524,0,0,0
GETFLAG,19400007,141,-11.810245962755289,1,3,0
GETFLAG,19400008,240,-13.439335220464272,1,1,0
GETFLAG,19400009,98,-5.269660726888105,1,3,0
GETFLAG,19400010,106,-8.570416104834294,1,3,0
GETFLAG,19400011,144,-14.56035154426354,1,3,0
GETFLAG,19400012,92,-5.265207306103548,1,3,0
GETFLAG,19400013,143,-12.496953088993905,1,3,0
GETFLAG,19400014,240,-4.359417247615056,0,0,0
GETFLAG,19400015,87,-4.280981471587438,1,3,0
GETFLAG,19400016,240,-4.489271096303128,1,1,0
GETFLAG,19400017,94,-6.4270938837726135,1,3,0
GETFLAG,19400018,142,-13.52429200199549,1,3,0
GETFLAG,19400019,240,-14.13698883651523,1,1,0
GETFLAG,19400020,240,-2.784220668283524,0,0,0
GETFLAG,19400021,104,-7.5542492222448345,1,3,0
GETFLAG,19400022,100,-7.692690839408897,1,3,0
GETFLAG,19400023,150,-16.196758485602913,1,3,0
GETFLAG,19400024,240,-3.30139973925543,0,0,0
Assignment_v1,19400001,165,-13.079427907883655,1,3,0
Assignment_v1,19400002,240,-0.4916704778734129,0,0,0
Assignment_v1,19400003,240,2.2060889696294907,0,0,0
Assignment_v1,19400004,151,-10.26046358369058,1,3,0
Assignment_v1,19400005,240,-27.65942046465352,1,1,0
Assignment_v1,19400006,240,-2.272687012067763,0,0,0
Assignment_v1,19400007,240,-8.898701670143055,0,1,1
Assignment_v1,19400008,234,-22.510874297644477,1,3,0
Assignment_v1,19400009,118,-3.8059782206546515,1,3,0
Assignment_v1,19400010,192,-16.79609204622102,1,3,1
Assignment_v1,19400011,240,-0.6212693935085554,0,0,0
Assignment_v1,19400012,180,-15.862887089635478,1,3,0
Assignment_v1,19400013,146,-10.818595639488194,1,3,0
Assignment_v1,19400014,240,0.07378420673194341,0,0,0
Assignment_v1,19400015,130,-8.137305261974689,1,3,0
Assignment_v1,19400016,240,-10.47651678341208,0,0,0
Assignment_v1,19400017,240,-3.749758483900223,0,0,0
Assignment_v1,19400018,240,-2.03906653370359,1,1,0
Assignment_v1,19400019,240,-28.461023763928097,1,2,0
Assignment_v1,19400020,240,-23.631347978429403,1,2,0
Assignment_v1,19400021,240,-25.344041916832794,1,2,0
Assignment_v1,19400022,209,-21.150447866151808,1,3,0
Assignment_v1,19400023,143,-8.56635320771602,1,3,0
Assignment_v1,19400024,240,-0.9559021032473538,0,0,0
A3,19400001,240,-1.1531381321547087,0,0,0
A3,19400002,240,-1.1026647690159734,0,0,0
A3,19400003,240,-1.120878252579132,0,0,0
A3,19400004,240,-2.1569971805729438,0,0,0
A3,19400005,240,-3.807839759712806,0,0,0
A3,19400006,240,-3.467845403269166,0,0,0
A3,19400007,240,-5.792839188274229,0,0,0
A3,19400008,102,-6.605186488217441,1,3,0
A3,19400009,240,-27.966042670974275,1,2,0
A3,19400010,135,-12.199126733612502,1,3,0
A3,19400011,240,-1.700940803537378,0,0,0
A3,19400012,87,-6.167885254981229,1,3,0
A3,19400013,240,-33.41665971316979,1,2,0
A3,19400014,108,-8.110100551275536,1,3,0
A3,19400015,156,-14.34030333845294,1,3,0
A3,19400016,240,-2.143036982306512,0,0,0
A3,19400017,93,-7.499447198788403,1,3,0
A3,19400018,151,-14.210590533242794,1,3,0
A3,19400019,240,-2.4145280625962187,0,0,0
A3,19400020,240,-1.3104215709317941,0,0,0
A3,19400021,240,-19.081070364743937,1,2,0
A3,19400022,158,-14.540286648407346,1,3,0
A3,19400023,240,-12.422393028071383,1,1,0
A3,19400024,240,-1.7414489501679782,0,0,0
