scale,strategy,pole,arm,seed,blue,red,win,n_decisions,n_waypoint_actions
4v4,GUARD,A,ORIGINAL,17600001,2,1,1,0,0
4v4,GUARD,A,ORIGINAL,17600002,2,1,1,0,0
4v4,GUARD,A,ORIGINAL,17600003,0,0,0,0,0
4v4,GUARD,A,ORIGINAL,17600004,2,0,1,0,0
4v4,GUARD,A,ORIGINAL,17600005,1,0,1,0,0
4v4,GUARD,A,ORIGINAL,17600006,2,1,1,0,0
4v4,GUARD,A,ORIGINAL,17600007,3,1,1,0,0
4v4,GUARD,A,ORIGINAL,17600008,0,0,0,0,0
4v4,GUARD,A,ORIGINAL,17600009,0,0,0,0,0
4v4,GUARD,A,ORIGINAL,17600010,2,0,1,0,0
4v4,GUARD,A,ORIGINAL,17600011,2,1,1,0,0
4v4,GUARD,A,ORIGINAL,17600012,3,1,1,0,0
4v4,GUARD,A,ORIGINAL,17600013,2,1,1,0,0
4v4,GUARD,A,ORIGINAL,17600014,1,1,0,0,0
4v4,GUARD,A,ORIGINAL,17600015,3,0,1,0,0
4v4,GUARD,A,ORIGINAL,17600016,0,0,0,0,0
4v4,GUARD,A,ORIGINAL,17600017,3,0,1,0,0
4v4,GUARD,A,ORIGINAL,17600018,3,1,1,0,0
4v4,GUARD,A,ORIGINAL,17600019,2,3,0,0,0
4v4,GUARD,A,ORIGINAL,17600020,2,0,1,0,0
4v4,GUARD,A,ORIGINAL,17600021,2,0,1,0,0
4v4,GUARD,A,ORIGINAL,17600022,2,0,1,0,0
4v4,GUARD,A,ORIGINAL,17600023,0,0,0,0,0
4v4,GUARD,A,ORIGINAL,17600024,2,1,1,0,0
4v4,GUARD,A,PROJECTED,17600001,1,1,0,503,105
4v4,GUARD,A,PROJECTED,17600002,3,0,1,387,59
4v4,GUARD,A,PROJECTED,17600003,0,0,0,444,36
4v4,GUARD,A,PROJECTED,17600004,1,0,1,451,41
4v4,GUARD,A,PROJECTED,17600005,3,1,1,253,37
4v4,GUARD,A,PROJECTED,17600006,2,1,1,477,81
4v4,GUARD,A,PROJECTED,17600007,3,1,1,267,47
4v4,GUARD,A,PROJECTED,17600008,3,1,1,338,60
4v4,GUARD,A,PROJECTED,17600009,0,0,0,439,31
4v4,GUARD,A,PROJECTED,17600010,3,1,1,395,50
4v4,GUARD,A,PROJECTED,17600011,3,1,1,350,80
4v4,GUARD,A,PROJECTED,17600012,3,0,1,259,48
4v4,GUARD,A,PROJECTED,17600013,3,1,1,353,41
4v4,GUARD,A,PROJECTED,17600014,0,0,0,435,26
4v4,GUARD,A,PROJECTED,17600015,3,1,1,355,65
4v4,GUARD,A,PROJECTED,17600016,0,0,0,438,21
4v4,GUARD,A,PROJECTED,17600017,3,1,1,377,57
4v4,GUARD,A,PROJECTED,17600018,2,0,1,483,79
4v4,GUARD,A,PROJECTED,17600019,1,0,1,465,62
4v4,GUARD,A,PROJECTED,17600020,2,0,1,461,62
4v4,GUARD,A,PROJECTED,17600021,3,0,1,431,64
4v4,GUARD,A,PROJECTED,17600022,2,1,1,476,76
4v4,GUARD,A,PROJECTED,17600023,3,0,1,236,42
4v4,GUARD,A,PROJECTED,17600024,1,1,0,474,79
4v4,GUARD,B,ORIGINAL,17600001,0,0,0,0,0
4v4,GUARD,B,ORIGINAL,17600002,0,0,0,0,0
4v4,GUARD,B,ORIGINAL,17600003,0,0,0,0,0
4v4,GUARD,B,ORIGINAL,17600004,0,0,0,0,0
4v4,GUARD,B,ORIGINAL,17600005,0,1,0,0,0
4v4,GUARD,B,ORIGINAL,17600006,0,0,0,0,0
4v4,GUARD,B,ORIGINAL,17600007,0,0,0,0,0
4v4,GUARD,B,ORIGINAL,17600008,0,0,0,0,0
4v4,GUARD,B,ORIGINAL,17600009,0,0,0,0,0
4v4,GUARD,B,ORIGINAL,17600010,0,0,0,0,0
4v4,GUARD,B,ORIGINAL,17600011,0,0,0,0,0
4v4,GUARD,B,ORIGINAL,17600012,0,0,0,0,0
4v4,GUARD,B,ORIGINAL,17600013,1,1,0,0,0
4v4,GUARD,B,ORIGINAL,17600014,2,1,1,0,0
4v4,GUARD,B,ORIGINAL,17600015,0,0,0,0,0
4v4,GUARD,B,ORIGINAL,17600016,0,0,0,0,0
4v4,GUARD,B,ORIGINAL,17600017,0,0,0,0,0
4v4,GUARD,B,ORIGINAL,17600018,0,0,0,0,0
4v4,GUARD,B,ORIGINAL,17600019,0,0,0,0,0
4v4,GUARD,B,ORIGINAL,17600020,0,0,0,0,0
4v4,GUARD,B,ORIGINAL,17600021,0,1,0,0,0
4v4,GUARD,B,ORIGINAL,17600022,0,0,0,0,0
4v4,GUARD,B,ORIGINAL,17600023,0,0,0,0,0
4v4,GUARD,B,ORIGINAL,17600024,0,0,0,0,0
4v4,GUARD,B,PROJECTED,17600001,0,0,0,456,43
4v4,GUARD,B,PROJECTED,17600002,0,0,0,448,27
4v4,GUARD,B,PROJECTED,17600003,0,1,0,466,46
