policy,pole,seed,t,agent,team,carrying,own_half,enemy_half,near_enemy_flag,near_own_flag,macro,blue_role,red_role
pi_A,A,16700001,0,0,blue,0,1,0,0,1,GRAB_MINE,DEFENSE,
pi_A,A,16700001,0,1,blue,0,1,0,0,1,GET_FLAG,OFFENSE,
pi_A,A,16700001,0,2,blue,0,1,0,0,0,GET_FLAG,OFFENSE,
pi_A,A,16700001,0,3,blue,0,1,0,0,0,GET_FLAG,OFFENSE,
pi_A,A,16700001,0,0,red,0,,,,,,,ATTACKER
pi_A,A,16700001,0,1,red,0,,,,,,,ATTACKER
pi_A,A,16700001,0,2,red,0,,,,,,,ATTACKER
pi_A,A,16700001,0,3,red,0,,,,,,,ATTACKER
pi_A,A,16700001,1,0,blue,0,1,0,0,1,PLACE_MINE,DEFENSE,
pi_A,A,16700001,1,1,blue,0,1,0,0,1,GET_FLAG,OFFENSE,
pi_A,A,16700001,1,2,blue,0,1,0,0,0,GET_FLAG,OFFENSE,
pi_A,A,16700001,1,3,blue,0,1,0,0,0,GET_FLAG,OFFENSE,
pi_A,A,16700001,1,0,red,0,,,,,,,ATTACKER
pi_A,A,16700001,1,1,red,0,,,,,,,ATTACKER
pi_A,A,16700001,1,2,red,0,,,,,,,ATTACKER
pi_A,A,16700001,1,3,red,0,,,,,,,ATTACKER
pi_A,A,16700001,2,0,blue,0,1,0,0,1,GET_FLAG,OFFENSE,
pi_A,A,16700001,2,1,blue,0,1,0,0,1,GET_FLAG,OFFENSE,
pi_A,A,16700001,2,2,blue,0,1,0,0,0,GET_FLAG,OFFENSE,
pi_A,A,16700001,2,3,blue,0,1,0,0,0,GET_FLAG,OFFENSE,
pi_A,A,16700001,2,0,red,0,,,,,,,ATTACKER
pi_A,A,16700001,2,1,red,0,,,,,,,ATTACKER
pi_A,A,16700001,2,2,red,0,,,,,,,ATTACKER
pi_A,A,16700001,2,3,red,0,,,,,,,ATTACKER
