episode_id,run_id,run_pid,timesteps,policy_update,rollout_step,latent_z,curriculum_phase,mode,map_set,map_layout,map_id,map_vertical_mirror,opponent,opponent_id,success,blue_score,red_score,win_margin,decision_steps,zone_coverage,collision_free_episode,collision_events_per_episode,obstacle_collision_events_per_episode,near_misses_per_episode,blue_route_upper_crossings,blue_route_lower_crossings,red_route_upper_crossings,red_route_lower_crossings,blue_attack_upper_crossings,blue_attack_lower_crossings,blue_return_upper_crossings,blue_return_lower_crossings,blue_intercept_upper_crossings,blue_intercept_lower_crossings,red_attack_upper_crossings,red_attack_lower_crossings,red_return_upper_crossings,red_return_lower_crossings,red_intercept_upper_crossings,red_intercept_lower_crossings,time_to_first_score,mean_inter_robot_dist,reward_terminal,reward_offense,reward_pbrs,reward_team,reward_sparse,reward_sparse_points,reward_failure,reward_total,canonical_map,resolved_map,ruleset_id,ruleset_fingerprint,formal_result_eligible
1,rscft_treatment_wiring_verification,1808,1010528,246,91,0,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,0,3,219,0.5600000023841858,0,2,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.0,5.131872168414669,1.0,0.5,-0.008382409811019897,0.0,1.0,100.0,-0.004000000189989805,0.5535436868667603,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
2,rscft_treatment_wiring_verification,1808,1010976,246,105,1,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP7,6,1,3,0,3,233,0.35999998450279236,0,1,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.0,5.039087647532189,1.0,0.5,-0.010279282927513123,0.0,1.0,100.0,-0.004000000189989805,0.5534614324569702,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
3,rscft_treatment_wiring_verification,1808,1011104,246,109,0,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,1,2,237,0.47999998927116394,1,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.0,7.461811564642669,1.0,0.5,0.011402472853660583,0.0,1.0,100.0,0.0,0.555092990398407,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
4,rscft_treatment_wiring_verification,1808,1011200,246,112,0,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,2,0,2,240,0.4399999976158142,1,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,7.306614685058594,1.0,0.0,0.01730850338935852,0.019999999552965164,0.0,0.0,0.0,0.2471093237400055,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
5,rscft_treatment_wiring_verification,1808,1011200,246,112,0,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,0,0,0,240,0.4399999976158142,0,1,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9.213933308919271,-0.5,0.0,-0.003998652100563049,0.005624999292194843,0.0,0.0,-0.004000000189989805,-0.125237375497818,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
6,rscft_treatment_wiring_verification,1808,1011200,246,112,0,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,0,1,-1,240,0.4399999976158142,1,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,9.340188598632812,-1.0,0.0,0.009903237223625183,0.005624999292194843,0.0,0.0,-0.00800000037997961,-0.24588614702224731,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
7,rscft_treatment_wiring_verification,1808,1011200,246,112,0,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,0,1,-1,240,0.6800000071525574,1,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.0,8.862156168619792,-1.0,0.0,-0.002635866403579712,0.005624999292194843,0.0,0.0,-0.004000000189989805,-0.24568288028240204,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
8,rscft_treatment_wiring_verification,1808,1011200,246,112,0,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,0,0,0,240,0.35999998450279236,1,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9.939932250976563,-0.5,0.0,-0.006993159651756287,0.04062499850988388,0.0,0.0,-0.004000000189989805,-0.12326791137456894,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
9,rscft_treatment_wiring_verification,1808,1011200,246,112,0,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,1,0,1,240,0.47999998927116394,0,1,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196.0,8.79683125813802,1.0,0.0,0.003818303346633911,0.0,0.0,0.0,-0.004000000189989805,0.24420283734798431,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
10,rscft_treatment_wiring_verification,1808,1011200,246,112,0,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,1,0,1,240,0.3999999761581421,0,1,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.0,8.688121541341145,1.0,0.0,-0.014686554670333862,0.014999999664723873,0.0,0.0,0.0,0.24493706226348877,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
