arm,z,pole,seed,blue,red,win,margin
RUNG0_BLOCK2,z0,A,11970001,3,0,1,3
RUNG0_BLOCK2,z0,A,11970002,2,0,1,2
RUNG0_BLOCK2,z0,A,11970003,1,0,1,1
RUNG0_BLOCK2,z0,A,11970004,1,0,1,1
RUNG0_BLOCK2,z0,A,11970005,0,0,0,0
RUNG0_BLOCK2,z0,A,11970006,2,1,1,1
RUNG0_BLOCK2,z0,A,11970007,3,0,1,3
RUNG0_BLOCK2,z0,A,11970008,2,0,1,2
RUNG0_BLOCK2,z0,A,11970009,0,0,0,0
RUNG0_BLOCK2,z0,A,11970010,0,0,0,0
RUNG0_BLOCK2,z0,A,11970011,0,0,0,0
RUNG0_BLOCK2,z0,A,11970012,0,1,0,-1
RUNG0_BLOCK2,z0,A,11970013,2,0,1,2
RUNG0_BLOCK2,z0,A,11970014,2,0,1,2
RUNG0_BLOCK2,z0,A,11970015,2,0,1,2
RUNG0_BLOCK2,z0,A,11970016,1,0,1,1
RUNG0_BLOCK2,z0,A,11970017,2,1,1,1
RUNG0_BLOCK2,z0,A,11970018,1,1,0,0
RUNG0_BLOCK2,z0,A,11970019,0,0,0,0
RUNG0_BLOCK2,z0,A,11970020,1,0,1,1
RUNG0_BLOCK2,z0,A,11970021,2,1,1,1
RUNG0_BLOCK2,z0,A,11970022,2,0,1,2
RUNG0_BLOCK2,z0,A,11970023,2,0,1,2
RUNG0_BLOCK2,z0,A,11970024,2,1,1,1
RUNG0_BLOCK2,z0,A,11970025,3,1,1,2
RUNG0_BLOCK2,z0,A,11970026,3,0,1,3
RUNG0_BLOCK2,z0,A,11970027,3,0,1,3
RUNG0_BLOCK2,z0,A,11970028,0,0,0,0
RUNG0_BLOCK2,z0,A,11970029,1,0,1,1
RUNG0_BLOCK2,z0,A,11970030,2,0,1,2
RUNG0_BLOCK2,z0,A,11970031,2,0,1,2
RUNG0_BLOCK2,z0,A,11970032,0,0,0,0
RUNG0_BLOCK2,z0,A,11970033,1,0,1,1
RUNG0_BLOCK2,z0,A,11970034,2,0,1,2
RUNG0_BLOCK2,z0,A,11970035,2,2,0,0
RUNG0_BLOCK2,z0,A,11970036,1,0,1,1
RUNG0_BLOCK2,z0,A,11970037,2,0,1,2
RUNG0_BLOCK2,z0,A,11970038,1,0,1,1
RUNG0_BLOCK2,z0,A,11970039,2,0,1,2
RUNG0_BLOCK2,z0,A,11970040,1,0,1,1
RUNG0_BLOCK2,z0,A,11970041,2,0,1,2
RUNG0_BLOCK2,z0,A,11970042,1,0,1,1
RUNG0_BLOCK2,z0,A,11970043,1,2,0,-1
RUNG0_BLOCK2,z0,A,11970044,3,1,1,2
RUNG0_BLOCK2,z0,A,11970045,1,0,1,1
RUNG0_BLOCK2,z0,A,11970046,1,0,1,1
RUNG0_BLOCK2,z0,A,11970047,3,2,1,1
RUNG0_BLOCK2,z0,A,11970048,2,0,1,2
RUNG0_BLOCK2,z0,A,11970049,3,0,1,3
RUNG0_BLOCK2,z0,A,11970050,2,0,1,2
RUNG0_BLOCK2,z0,A,11970051,1,0,1,1
RUNG0_BLOCK2,z0,A,11970052,3,1,1,2
RUNG0_BLOCK2,z0,A,11970053,2,1,1,1
RUNG0_BLOCK2,z0,A,11970054,1,0,1,1
