epoch,train_kl_A,train_kl_B,holdout_agree_z0_vs_piA,holdout_agree_z1_vs_piB,holdout_teacher_argmax_disagreement,holdout_kl_A,holdout_kl_B,holdout_student_z0_z1_jsd,holdout_teacher_A_B_jsd
1,0.6156296731577706,0.5957153597750615,0.8758447643249265,0.8669125116815315,0.7019368143025732,0.2646204427365334,0.3134039699681693,0.43906532162445383,0.4838482085211186
2,0.16122111946958856,0.20722675968691245,0.9257620105645524,0.9099818292950606,0.7019368143025732,0.13825668752892625,0.20689829691064673,0.4585282838938872,0.4838482085211186
3,0.10247608596823879,0.14310869006152005,0.9417687281835114,0.9201137851759835,0.7019368143025732,0.0988815286860438,0.1766092564091305,0.45843614860713655,0.4838482085211186
4,0.07632624235042591,0.11936517259509292,0.94991883329632,0.93426829723319,0.7019368143025732,0.08527230732252171,0.14404217558871965,0.4706604642951943,0.4838482085211186
5,0.06533763811145861,0.10367803759488863,0.9453428246408614,0.943184584606428,0.7019368143025732,0.09039235506152128,0.12616356046668245,0.4762458483145034,0.4838482085211186
6,0.05961860136426601,0.09067897283539329,0.9522732923806937,0.9445055470788234,0.7019368143025732,0.07147881928339732,0.11886081650984252,0.468963162465529,0.4838482085211186
7,0.05064356234884754,0.08457975707871397,0.9510574175465492,0.9406290043484081,0.7019368143025732,0.08020377578623483,0.13487655454891517,0.46977633860104245,0.4838482085211186
8,0.04898921573131355,0.07533708437509143,0.9546919965324514,0.95188329499488,0.7019368143025732,0.06799518445894516,0.10630089610465461,0.46677580571943716,0.4838482085211186
9,0.04391771211221661,0.0700832984035777,0.9577536904217561,0.9538394064847325,0.7019368143025732,0.062265311015491265,0.10248692213964603,0.47448510085382767,0.4838482085211186
10,0.0418531220483104,0.06319565418147549,0.959668626708369,0.954228765524028,0.7019368143025732,0.06264177452434193,0.10071129513101494,0.4763924352933934,0.4838482085211186
11,0.037032689803193526,0.060693699021622076,0.9595801562507831,0.9519767349766147,0.7019368143025732,0.05807426011632265,0.1069995815278498,0.4741747790068126,0.4838482085211186
12,0.03722433607602857,0.05616553381239016,0.9549198279282914,0.9542339856673545,0.7019368143025732,0.06831840027637145,0.10119506991154288,0.47006237692147756,0.4838482085211186
13,0.03275348756884791,0.052937105682092846,0.9603100301583142,0.9537187792688521,0.7019368143025732,0.05912034957290045,0.10602150260528162,0.47226783278400947,0.4838482085211186
14,0.03262953874991112,0.05062775989783179,0.9633887552445934,0.9553500515624574,0.7019368143025732,0.05438089596866862,0.10064317438959026,0.47652741090293504,0.4838482085211186
15,0.029918744430406808,0.04571459945483306,0.9631423854757963,0.9585052604199854,0.7019368143025732,0.053349132958220594,0.09768785030261512,0.47533873050443587,0.4838482085211186
16,0.027877873654678923,0.0445512054276835,0.9640409193080891,0.9563531502950227,0.7019368143025732,0.052067967491153395,0.09928858003133903,0.47490146855804577,0.4838482085211186
17,0.024784286804113192,0.04293894475882815,0.9629077133545079,0.9601292750702576,0.7019368143025732,0.054159623677255124,0.09127212546088478,0.4749622706094445,0.4838482085211186
18,0.023978718863704156,0.039444790500187385,0.9634160864038551,0.9572069645277566,0.7019368143025732,0.05407166736872315,0.1006951266719449,0.47462761737733994,0.4838482085211186
19,0.0233526369460772,0.039959724646868165,0.9639348505878728,0.9590508679840222,0.7019368143025732,0.056290627461025096,0.09758351111342131,0.4770064523842328,0.4838482085211186
20,0.021267898582382917,0.03400631440976232,0.9629380966910869,0.9608576152681255,0.7019368143025732,0.05420075682295033,0.09400722752393516,0.47759700160571905,0.4838482085211186
