z,K,seed,held,blue,red,win,margin,steps
0,0,13700001,,0,0,0,0,240
0,0,13700002,,1,0,1,1,240
0,0,13700003,,1,0,1,1,240
0,0,13700004,,0,0,0,0,240
0,0,13700005,,2,1,1,1,240
0,0,13700006,,1,0,1,1,240
0,0,13700007,,1,0,1,1,240
0,0,13700008,,0,0,0,0,240
0,0,13700009,,2,0,1,2,240
0,0,13700010,,2,0,1,2,240
0,0,13700011,,2,0,1,2,240
0,0,13700012,,1,0,1,1,240
0,0,13700013,,1,1,0,0,240
0,0,13700014,,0,0,0,0,240
0,0,13700015,,0,0,0,0,240
0,0,13700016,,3,0,1,3,123
0,0,13700017,,1,0,1,1,240
0,0,13700018,,2,0,1,2,240
0,0,13700019,,1,0,1,1,240
0,0,13700020,,1,0,1,1,240
0,1,13700001,3,0,0,0,0,240
0,1,13700002,2,1,0,1,1,240
0,1,13700003,5,1,1,0,0,240
0,1,13700004,3,0,0,0,0,240
0,1,13700005,1,1,0,1,1,240
0,1,13700006,4,1,0,1,1,240
0,1,13700007,1,1,0,1,1,240
0,1,13700008,4,0,0,0,0,240
0,1,13700009,4,1,0,1,1,240
0,1,13700010,5,1,0,1,1,240
0,1,13700011,1,2,0,1,2,240
0,1,13700012,0,3,0,1,3,96
0,1,13700013,0,1,1,0,0,240
0,1,13700014,2,1,1,0,0,240
0,1,13700015,3,0,0,0,0,240
0,1,13700016,2,1,0,1,1,240
0,1,13700017,2,1,0,1,1,240
0,1,13700018,3,3,0,1,3,82
0,1,13700019,5,1,0,1,1,240
0,1,13700020,3,1,0,1,1,240
0,2,13700001,"3,5",0,0,0,0,240
0,2,13700002,"2,1",1,0,1,1,240
0,2,13700003,"5,3",1,0,1,1,240
0,2,13700004,"3,0",0,0,0,0,240
0,2,13700005,"1,0",1,0,1,1,240
0,2,13700006,"4,0",1,0,1,1,240
0,2,13700007,"1,2",1,0,1,1,240
0,2,13700008,"4,1",0,0,0,0,240
0,2,13700009,"4,3",2,0,1,2,240
0,2,13700010,"5,4",1,0,1,1,240
0,2,13700011,"1,5",2,0,1,2,240
0,2,13700012,"0,4",0,0,0,0,240
0,2,13700013,"0,1",1,0,1,1,240
0,2,13700014,"2,0",1,0,1,1,240
0,2,13700015,"3,5",0,0,0,0,240
0,2,13700016,"2,1",1,0,1,1,240
0,2,13700017,"2,1",1,0,1,1,240
0,2,13700018,"3,2",3,0,1,3,85
0,2,13700019,"5,0",1,0,1,1,240
0,2,13700020,"3,5",1,1,0,0,240
0,3,13700001,"3,5,0",0,0,0,0,240
0,3,13700002,"2,1,3",1,0,1,1,240
0,3,13700003,"5,3,4",2,0,1,2,240
0,3,13700004,"3,0,5",0,0,0,0,240
0,3,13700005,"1,0,4",1,0,1,1,240
0,3,13700006,"4,0,5",1,0,1,1,240
0,3,13700007,"1,2,4",1,0,1,1,240
0,3,13700008,"4,1,5",0,0,0,0,240
0,3,13700009,"4,3,5",2,0,1,2,240
0,3,13700010,"5,4,3",1,0,1,1,240
0,3,13700011,"1,5,2",1,0,1,1,240
0,3,13700012,"0,4,2",1,0,1,1,240
0,3,13700013,"0,1,2",1,0,1,1,240
0,3,13700014,"2,0,1",1,0,1,1,240
0,3,13700015,"3,5,4",0,0,0,0,240
0,3,13700016,"2,1,3",1,0,1,1,240
0,3,13700017,"2,1,5",1,0,1,1,240
0,3,13700018,"3,2,1",3,0,1,3,93
0,3,13700019,"5,0,4",1,0,1,1,240
0,3,13700020,"3,5,0",1,0,1,1,240
1,0,13700001,,1,0,1,1,240
1,0,13700002,,3,0,1,3,146
1,0,13700003,,3,0,1,3,148
1,0,13700004,,3,0,1,3,104
1,0,13700005,,1,0,1,1,240
1,0,13700006,,1,0,1,1,240
1,0,13700007,,3,0,1,3,114
1,0,13700008,,2,0,1,2,240
1,0,13700009,,3,0,1,3,83
1,0,13700010,,3,0,1,3,117
1,0,13700011,,3,0,1,3,173
1,0,13700012,,1,0,1,1,240
1,0,13700013,,3,0,1,3,101
1,0,13700014,,1,0,1,1,240
1,0,13700015,,1,0,1,1,240
1,0,13700016,,1,0,1,1,240
1,0,13700017,,3,0,1,3,163
1,0,13700018,,3,0,1,3,84
1,0,13700019,,2,0,1,2,240
1,0,13700020,,1,0,1,1,240
1,1,13700001,3,1,0,1,1,240
1,1,13700002,2,3,0,1,3,140
1,1,13700003,5,3,0,1,3,145
1,1,13700004,3,3,0,1,3,104
1,1,13700005,1,1,0,1,1,240
1,1,13700006,4,1,0,1,1,240
1,1,13700007,1,1,0,1,1,240
1,1,13700008,4,2,0,1,2,240
1,1,13700009,4,3,0,1,3,82
1,1,13700010,5,3,0,1,3,94
1,1,13700011,1,3,0,1,3,137
1,1,13700012,0,3,0,1,3,91
1,1,13700013,0,3,0,1,3,107
1,1,13700014,2,1,0,1,1,240
1,1,13700015,3,1,0,1,1,240
1,1,13700016,2,1,0,1,1,240
1,1,13700017,2,2,0,1,2,240
1,1,13700018,3,3,0,1,3,92
1,1,13700019,5,2,0,1,2,240
1,1,13700020,3,1,0,1,1,240
1,2,13700001,"3,5",1,0,1,1,240
1,2,13700002,"2,1",3,0,1,3,140
1,2,13700003,"5,3",3,0,1,3,145
1,2,13700004,"3,0",3,0,1,3,99
1,2,13700005,"1,0",2,0,1,2,240
1,2,13700006,"4,0",3,0,1,3,136
1,2,13700007,"1,2",1,0,1,1,240
1,2,13700008,"4,1",2,0,1,2,240
1,2,13700009,"4,3",3,0,1,3,85
1,2,13700010,"5,4",3,0,1,3,94
1,2,13700011,"1,5",3,0,1,3,118
1,2,13700012,"0,4",1,0,1,1,240
1,2,13700013,"0,1",2,0,1,2,240
1,2,13700014,"2,0",1,0,1,1,240
1,2,13700015,"3,5",1,0,1,1,240
1,2,13700016,"2,1",1,0,1,1,240
1,2,13700017,"2,1",3,0,1,3,112
1,2,13700018,"3,2",3,0,1,3,85
1,2,13700019,"5,0",2,0,1,2,240
1,2,13700020,"3,5",1,0,1,1,240
1,3,13700001,"3,5,0",1,0,1,1,240
1,3,13700002,"2,1,3",3,0,1,3,140
1,3,13700003,"5,3,4",3,0,1,3,91
1,3,13700004,"3,0,5",3,0,1,3,99
1,3,13700005,"1,0,4",1,0,1,1,240
1,3,13700006,"4,0,5",3,0,1,3,133
1,3,13700007,"1,2,4",1,0,1,1,240
1,3,13700008,"4,1,5",2,0,1,2,240
1,3,13700009,"4,3,5",3,0,1,3,83
1,3,13700010,"5,4,3",3,0,1,3,97
1,3,13700011,"1,5,2",3,0,1,3,137
1,3,13700012,"0,4,2",1,0,1,1,240
1,3,13700013,"0,1,2",3,0,1,3,145
1,3,13700014,"2,0,1",1,0,1,1,240
1,3,13700015,"3,5,4",1,0,1,1,240
1,3,13700016,"2,1,3",1,0,1,1,240
