episode_id,run_id,run_pid,timesteps,policy_update,rollout_step,latent_z,curriculum_phase,mode,map_set,map_layout,map_id,map_vertical_mirror,opponent,opponent_id,success,blue_score,red_score,win_margin,decision_steps,zone_coverage,collision_free_episode,collision_events_per_episode,obstacle_collision_events_per_episode,near_misses_per_episode,blue_route_upper_crossings,blue_route_lower_crossings,red_route_upper_crossings,red_route_lower_crossings,blue_attack_upper_crossings,blue_attack_lower_crossings,blue_return_upper_crossings,blue_return_lower_crossings,blue_intercept_upper_crossings,blue_intercept_lower_crossings,red_attack_upper_crossings,red_attack_lower_crossings,red_return_upper_crossings,red_return_lower_crossings,red_intercept_upper_crossings,red_intercept_lower_crossings,time_to_first_score,mean_inter_robot_dist,reward_terminal,reward_offense,reward_pbrs,reward_team,reward_sparse,reward_sparse_points,reward_failure,reward_total,canonical_map,resolved_map,ruleset_id,ruleset_fingerprint,formal_result_eligible
1,trunk_freeze_treatment_wiring_verification,20100,1009600,246,62,1,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP7,6,1,3,0,3,190,0.3199999928474426,0,1,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.0,5.494736842105263,1.0,0.5,-0.0004289001226425171,0.0,1.0,100.0,-0.004000000189989805,0.5538883805274963,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
2,trunk_freeze_treatment_wiring_verification,20100,1010656,246,95,1,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP7,6,1,3,0,3,223,0.3999999761581421,1,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.0,5.614992423977018,1.0,0.5,-0.008543670177459717,0.0,1.0,100.0,-0.004000000189989805,0.5535366535186768,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
3,trunk_freeze_treatment_wiring_verification,20100,1010848,246,101,1,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP7,6,1,3,0,3,229,0.35999998450279236,0,4,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,5.689946736831332,1.0,0.5,-0.009948015213012695,0.0,1.0,100.0,0.0,0.5541690587997437,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
4,trunk_freeze_treatment_wiring_verification,20100,1011200,246,112,0,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,0,0,0,240,0.4399999976158142,1,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,11.539684041341145,-0.5,0.0,-0.017510563135147095,0.04062499850988388,0.0,0.0,-0.00800000037997961,-0.1248997375369072,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
5,trunk_freeze_treatment_wiring_verification,20100,1011200,246,112,0,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,0,0,0,240,0.47999998927116394,1,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9.997312418619792,-0.5,0.0,-0.011491864919662476,0.04062499850988388,0.0,0.0,-0.004000000189989805,-0.12354480475187302,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
6,trunk_freeze_treatment_wiring_verification,20100,1011200,246,112,0,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,1,1,0,240,0.6800000071525574,1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,8.792805989583334,-0.5,0.0,0.004789441823959351,0.04999999701976776,0.0,0.0,0.0,-0.12098019570112228,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
7,trunk_freeze_treatment_wiring_verification,20100,1011200,246,112,0,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,2,0,2,240,0.5600000023841858,0,2,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.0,3.4665489196777344,1.0,0.0,-0.019965380430221558,0.0,0.0,0.0,0.0,0.24374531209468842,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
8,trunk_freeze_treatment_wiring_verification,20100,1011200,246,112,0,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,1,0,1,240,0.47999998927116394,0,1,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.0,7.8937733968098955,1.0,0.0,-0.019365012645721436,0.005624999292194843,0.0,0.0,-0.004000000189989805,0.2431706041097641,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
9,trunk_freeze_treatment_wiring_verification,20100,1011200,246,112,0,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,1,0,1,240,0.5199999809265137,1,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.0,10.013459269205729,1.0,0.0,0.004930570721626282,0.01562499813735485,0.0,0.0,0.0,0.24612592160701752,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
10,trunk_freeze_treatment_wiring_verification,20100,1011200,246,112,0,OP3,FIXED_OPPONENT,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,0,0,0,240,0.3999999761581421,1,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9.110678100585938,-0.5,0.0,0.011294424533843994,0.005624999292194843,0.0,0.0,0.0,-0.12331176549196243,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
