checkpoint,opponent,latent_z,map,episode_index,cell_seed,episode_seed,success,blue_score,red_score,steps,return,zone_coverage,collision_free,win_margin,time_to_first_score,mean_inter_robot_dist,episode_start_phase,fixed_latent_id,outcome,collisions_per_episode,collision_events_per_episode,obstacle_collision_events_per_episode,blue_stuck_steps,red_stuck_steps,blue_blocked_movement_events,blue_obstacle_collision_events,blue_route_switches,blue_attack_upper_crossings,blue_attack_lower_crossings,blue_return_upper_crossings,blue_return_lower_crossings,blue_intercept_upper_crossings,blue_intercept_lower_crossings,blue_upper_lane_steps,blue_lower_lane_steps,blue_neutral_lane_steps,blue_movement_attempts,blue_successful_movement_steps,blue_repeated_blocked_movement_events,near_misses_per_episode,decision_steps,reward_total,reward_sparse_points,reward_offense,behavior_team_spread,behavior_num_attackers,behavior_num_defenders,behavior_num_go_to,behavior_carrier_escort_count,behavior_nearest_blue_to_carrier,behavior_nearest_blue_to_enemy_carrier,behavior_n_intercept_near_enemy_carrier,behavior_avg_blue_to_enemy_flag,behavior_avg_blue_to_own_flag,behavior_intercept_pressure,behavior_defense_pressure,behavior_attack_defense_ratio,coord_pairwise_head0_pearson_mean,coord_head0_team_agreement_rate,coord_full_action_team_agreement_rate,coord_trajectory_steps,strategy_switches,strategy_switch_rate,strategy_resamples,strategy_resample_rate,strategy_unique_count,strategy_entropy_mean,strategy_dominant,strategy_occupancy_0,strategy_occupancy_1,strategy_occupancy_2,strategy_occupancy_3,strategy_phase_blue_attack_occupancy_0,strategy_phase_blue_attack_occupancy_1,strategy_phase_blue_attack_occupancy_2,strategy_phase_blue_attack_occupancy_3,strategy_phase_neutral_occupancy_0,strategy_phase_neutral_occupancy_1,strategy_phase_neutral_occupancy_2,strategy_phase_neutral_occupancy_3,strategy_phase_blue_defense_occupancy_0,strategy_phase_blue_defense_occupancy_1,strategy_phase_blue_defense_occupancy_2,strategy_phase_blue_defense_occupancy_3,strategy_phase_both_flags_occupancy_0,strategy_phase_both_flags_occupancy_1,strategy_phase_both_flags_occupancy_2,strategy_phase_both_flags_occupancy_3
artifacts\v6i14_contract_specialists_50upd_cont\final_v6i14_contract_specialists_50upd_cont_2v2.zip,OP8,0,map_b,0,42,42,1,3,0,106,-0.9410265302285552,0.7199999690055847,1,3,37.0,5.563769646410672,neutral,0,win,0,0,9,0,0,0,1,2,1,5,0,3,0,0,6,68,138,212,212,0,38,106,0.5543592572212219,100.0,0.5,0.09431419900249478,0.9528301886792453,0.41509433962264153,0.6132075471698113,0.330188679245283,0.7596984434837721,1.5,0.0,0.2087065338701853,0.2855843343192114,0.865325096643196,0.7043196350898383,0.6344339622641509,-0.20254270477614145,0.4339622641509434,0.018867924528301886,106.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,
artifacts\v6i14_contract_specialists_50upd_cont\final_v6i14_contract_specialists_50upd_cont_2v2.zip,OP8,0,map_b,1,42,43,1,3,1,101,-1.2693446822813712,0.6399999856948853,0,2,33.0,6.028643013227104,neutral,0,win,1,1,3,0,0,0,0,5,2,2,2,1,1,0,38,25,139,202,202,0,29,101,0.5186151266098022,100.0,0.5,0.12260485422050599,1.1287128712871286,0.38613861386138615,0.45544554455445546,0.2871287128712871,0.7667840361447618,1.2336002984775765,0.21782178217821782,0.20104878484317573,0.30452961100283826,0.8694677954853172,0.7794655726687743,0.6856435643564357,-0.026216468968126207,0.31683168316831684,0.039603960396039604,101.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts\v6i14_contract_specialists_50upd_cont\final_v6i14_contract_specialists_50upd_cont_2v2.zip,OP8,1,map_b,0,42,42,1,3,1,103,-0.1027779107389506,0.4399999976158142,1,2,37.0,4.62652587890625,neutral,1,win,0,0,9,0,0,0,1,0,0,5,0,3,0,5,0,93,113,206,206,0,47,103,0.5193958282470703,100.0,0.5,0.05938598621202615,1.1262135922330097,0.2912621359223301,0.5631067961165048,0.46601941747572817,0.7871757313175108,1.2139645843468245,0.36893203883495146,0.20788241801693022,0.241168391845614,0.8434862766451049,0.80073852272867,0.7087378640776699,-0.11950781133594496,0.3592233009708738,0.0,103.0,0,0.0,0,0.0,1,0.0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
artifacts\v6i14_contract_specialists_50upd_cont\final_v6i14_contract_specialists_50upd_cont_2v2.zip,OP8,1,map_b,1,42,43,1,3,0,283,-13.87020144201233,0.6399999856948853,1,3,33.0,4.927992749972394,neutral,1,win,0,0,18,0,0,0,0,4,4,12,0,4,0,0,46,152,368,566,566,0,84,283,0.5544033050537109,100.0,0.5,0.09680333344904252,1.1130742049469964,0.20141342756183744,0.6855123674911661,0.2332155477031802,1.037555229708605,1.5,0.0,0.24014155028960518,0.30757613643319365,0.8351188689575599,0.649943220320523,0.7279151943462897,-0.08803442213760225,0.4381625441696113,0.02120141342756184,283.0,0,0.0,0,0.0,1,0.0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,
artifacts\v6i14_contract_specialists_50upd_cont\final_v6i14_contract_specialists_50upd_cont_2v2.zip,OP8,2,map_b,0,42,42,1,3,2,199,-7.731556482525775,0.7199999690055847,1,1,129.0,5.520967876491834,neutral,2,win,0,0,6,0,0,0,2,4,1,6,0,3,1,4,12,131,255,398,398,0,81,199,0.5542028546333313,100.0,0.5,0.09100391503292413,0.9346733668341709,0.22110552763819097,0.8341708542713567,0.21608040201005024,1.0039576437679967,1.1694360958159569,0.33668341708542715,0.25024317138496055,0.26405554700961065,0.8204622166839677,0.7842554414092596,0.678391959798995,-0.013911135738826689,0.4020100502512563,0.01507537688442211,199.0,0,0.0,0,0.0,1,0.0,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
artifacts\v6i14_contract_specialists_50upd_cont\final_v6i14_contract_specialists_50upd_cont_2v2.zip,OP8,2,map_b,1,42,43,1,3,1,102,-2.082279317342909,0.6800000071525574,1,2,40.0,6.024816774854473,neutral,2,win,0,0,5,0,0,0,1,3,1,2,0,3,1,4,19,60,125,204,204,0,21,102,0.5542517900466919,100.0,0.5,0.11406976201881965,0.9215686274509803,0.3627450980392157,0.7156862745098039,0.38235294117647056,0.6919381469122919,0.9548555656391031,0.46078431372549017,0.18092300826866253,0.2832001840659216,0.8955901393703386,0.8260860378835716,0.6397058823529411,-0.037480566427780616,0.4117647058823529,0.10784313725490197,102.0,0,0.0,0,0.0,1,0.0,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
artifacts\v6i14_contract_specialists_50upd_cont\final_v6i14_contract_specialists_50upd_cont_2v2.zip,OP8,3,map_b,0,42,42,1,3,0,107,-1.3890505553863477,0.6399999856948853,0,3,49.0,6.4935422522999415,neutral,3,win,1,1,0,0,0,0,0,4,2,2,0,3,0,0,12,38,164,214,214,0,20,107,0.5543050765991211,100.0,0.5,0.12154418991652326,0.7476635514018691,0.2616822429906542,0.9719626168224299,0.2523364485981308,0.7995559300043594,1.5,0.0,0.22274187442228616,0.26638386426406485,0.8844907612444084,0.7669138161935539,0.6238317757009346,-0.06804916466598644,0.42990654205607476,0.018691588785046728,107.0,0,0.0,0,0.0,1,0.0,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,
artifacts\v6i14_contract_specialists_50upd_cont\final_v6i14_contract_specialists_50upd_cont_2v2.zip,OP8,3,map_b,1,42,43,1,3,1,80,-0.7576886954484507,0.5999999642372131,1,2,33.0,6.600531768798828,neutral,3,win,0,0,2,0,0,0,2,2,1,2,0,3,3,1,24,37,99,160,160,0,14,80,0.5549135804176331,100.0,0.5,0.1539539557415992,0.825,0.5125,0.6625,0.1375,0.6688407514244318,1.0859002558980138,0.3,0.2041234319563955,0.29925587028265,0.9217128172516823,0.8186810635030269,0.578125,-0.1599275091347042,0.25,0.0,80.0,0,0.0,0,0.0,1,0.0,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
artifacts\v6i14_contract_specialists_50upd_cont\final_v6i14_contract_specialists_50upd_cont_2v2.zip,OP8,0,map_b_split_lane_v2,0,142,142,1,3,0,87,-1.2447838836815208,0.6399999856948853,1,3,29.0,4.845359714551904,neutral,0,win,0,0,2,0,0,0,0,4,3,2,0,3,0,0,21,63,90,174,174,0,23,87,0.5186383128166199,100.0,0.5,0.09298845314174548,1.160919540229885,0.3448275862068966,0.4942528735632184,0.3563218390804598,0.7874035702954079,1.5,0.0,0.210939121314849,0.2831043254626893,0.8627395232518514,0.7619261200400604,0.7040229885057471,-0.011998688215128698,0.47126436781609193,0.0,87.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,
artifacts\v6i14_contract_specialists_50upd_cont\final_v6i14_contract_specialists_50upd_cont_2v2.zip,OP8,0,map_b_split_lane_v2,1,142,143,1,3,0,81,-1.044879615015816,0.5600000023841858,1,3,28.0,4.830179850260417,neutral,0,win,0,0,0,0,0,0,0,2,2,3,0,3,0,0,15,78,69,162,162,0,23,81,0.5541975498199463,100.0,0.5,0.08751212045504356,0.9629629629629629,0.3333333333333333,0.6790123456790124,0.35802469135802467,0.7528702624625078,1.5,0.0,0.20289901262839083,0.30094452087342005,0.8830056418607264,0.7462550850562107,0.654320987654321,0.0753438619272058,0.4074074074074074,0.06172839506172839,81.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,
artifacts\v6i14_contract_specialists_50upd_cont\final_v6i14_contract_specialists_50upd_cont_2v2.zip,OP8,1,map_b_split_lane_v2,0,142,142,1,3,0,140,-3.6830631315533537,0.6399999856948853,0,3,89.0,4.952105712890625,neutral,1,win,1,1,5,0,0,0,0,1,1,7,0,3,0,0,8,155,117,280,280,0,47,140,0.5186129212379456,100.0,0.5,0.08545925095012145,1.0071428571428571,0.25,0.7285714285714285,0.2571428571428571,1.0090102217559302,1.5,0.0,0.24380487227546319,0.2760139231037881,0.8278297143323081,0.6956725576094218,0.6892857142857143,0.004730095638504462,0.5428571428571428,0.007142857142857143,140.0,0,0.0,0,0.0,1,0.0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,
artifacts\v6i14_contract_specialists_50upd_cont\final_v6i14_contract_specialists_50upd_cont_2v2.zip,OP8,1,map_b_split_lane_v2,1,142,143,1,3,0,84,-0.3639170926762745,0.5199999809265137,1,3,28.0,4.326910473051525,neutral,1,win,0,0,1,0,0,0,1,2,2,4,0,3,0,0,15,74,79,168,168,0,51,84,0.5187584757804871,100.0,0.5,0.0662740053320747,1.1785714285714286,0.40476190476190477,0.4166666666666667,0.4880952380952381,0.7849655012334031,1.5,0.0,0.19354171941189893,0.27346462277429445,0.8711037061044148,0.7238530119260153,0.6934523809523809,-0.22814775527344427,0.4523809523809524,0.047619047619047616,84.0,0,0.0,0,0.0,1,0.0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,
