episode_id,run_id,run_pid,timesteps,policy_update,rollout_step,latent_z,curriculum_phase,mode,map_set,map_layout,map_id,map_vertical_mirror,opponent,opponent_id,success,blue_score,red_score,win_margin,decision_steps,zone_coverage,collision_free_episode,collision_events_per_episode,obstacle_collision_events_per_episode,near_misses_per_episode,blue_route_upper_crossings,blue_route_lower_crossings,red_route_upper_crossings,red_route_lower_crossings,blue_attack_upper_crossings,blue_attack_lower_crossings,blue_return_upper_crossings,blue_return_lower_crossings,blue_intercept_upper_crossings,blue_intercept_lower_crossings,red_attack_upper_crossings,red_attack_lower_crossings,red_return_upper_crossings,red_return_lower_crossings,red_intercept_upper_crossings,red_intercept_lower_crossings,time_to_first_score,mean_inter_robot_dist,reward_terminal,reward_offense,reward_pbrs,reward_team,reward_sparse,reward_sparse_points,reward_failure,reward_total
1,5356-1783196028126922900,5356,1048972,16,99,1,OP3,OPPONENT_POOL,train,map_b_split_lane,-1,1,SCRIPTED:OP8,7,1,3,1,2,99,0.7999999523162842,1,0,1,21,2,7,8,4,1,4,1,2,0,0,2,0,1,0,3,3,34.0,6.801384203361742,1.2999999523162842,0.6479166746139526,0.007308691740036011,0.0,1.0,100.0,-0.20000000298023224,0.5963322520256042
2,5356-1783196028126922900,5356,1049032,16,114,3,OP3,OPPONENT_POOL,train,map_b_split_lane,-1,1,SCRIPTED:OP8,7,1,3,2,1,114,0.7199999690055847,0,1,0,22,4,6,2,10,1,2,1,2,2,0,0,4,0,2,1,4,42.0,7.5112658048930925,1.149999976158142,0.6322916746139526,-0.003753960132598877,0.0,1.0,100.0,0.0,0.6014004945755005
3,5356-1783196028126922900,5356,1049108,16,133,0,OP3,OPPONENT_POOL,train,map_b_split_lane,-1,0,SCRIPTED:OP8,7,1,3,2,1,133,0.6800000071525574,1,0,6,45,2,14,5,3,2,4,0,3,0,4,2,0,1,1,1,2,31.0,6.151310741453242,1.149999976158142,0.612500011920929,-0.009024292230606079,0.0,1.0,100.0,0.0,0.5980211496353149
4,5356-1783196028126922900,5356,1049388,16,203,2,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,0,SCRIPTED:OP8,7,1,3,1,2,203,0.6399999856948853,0,1,8,71,8,16,0,16,6,6,0,3,0,0,0,4,0,1,0,6,101.0,5.467672413793103,1.2999999523162842,0.5395833253860474,-0.007809758186340332,0.0,1.0,100.0,0.0,0.6103053092956543
5,5356-1783196028126922900,5356,1049452,16,219,1,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,0,SCRIPTED:OP8,7,1,3,1,2,86,0.4399999976158142,1,0,2,16,0,10,1,9,0,4,0,3,0,2,1,1,0,1,0,6,28.0,5.357852314793786,1.2999999523162842,0.6614583134651184,-0.010204389691352844,0.0,1.0,100.0,0.0,0.6289801001548767
6,5356-1783196028126922900,5356,1049468,16,223,0,OP3,OPPONENT_POOL,train,map_b_split_lane,-1,1,SCRIPTED:OP12,11,1,3,0,3,109,0.6800000071525574,1,0,4,22,3,9,11,3,2,4,1,2,0,0,2,0,0,0,7,2,37.0,6.530517578125,1.4500000476837158,0.637499988079071,-0.004552319645881653,0.0,1.0,100.0,-0.20000000298023224,0.6178935766220093
7,5356-1783196028126922900,5356,1049520,16,236,2,OP3,OPPONENT_POOL,train,map_b_split_lane,-1,0,SCRIPTED:OP11,10,1,3,0,3,137,0.6800000071525574,1,0,12,41,1,11,8,10,1,5,0,3,0,0,4,2,0,0,2,6,65.0,7.3684607735515515,1.4500000476837158,0.6083333492279053,-0.008225560188293457,0.0,1.0,100.0,0.0,0.6434675455093384
8,5356-1783196028126922900,5356,1049908,17,77,2,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,0,SCRIPTED:OP8,7,1,3,0,3,114,0.4399999976158142,0,3,3,72,0,16,0,12,0,8,0,3,0,0,0,1,0,0,0,10,29.0,4.359259622138843,1.4500000476837158,0.6322916746139526,-0.008937954902648926,0.0,1.0,100.0,-0.4000000059604645,0.5849892497062683
9,5356-1783196028126922900,5356,1050088,17,122,3,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,0,SCRIPTED:OP9,8,1,3,2,1,175,0.6399999856948853,1,0,7,49,4,20,4,11,2,5,0,3,2,6,2,2,0,2,0,5,34.0,5.375608607700893,1.149999976158142,0.5687500238418579,-0.009793266654014587,0.0,1.0,100.0,-0.20000000298023224,0.557415246963501
10,5356-1783196028126922900,5356,1050268,17,167,3,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,1,SCRIPTED:OP8,7,1,3,2,1,90,0.5600000023841858,1,0,1,22,8,2,9,2,2,1,2,1,2,0,2,0,1,1,3,1,34.0,5.824232313368055,1.149999976158142,0.6572916507720947,-0.009995520114898682,0.0,1.0,100.0,-0.20000000298023224,0.5724759697914124
11,5356-1783196028126922900,5356,1050304,17,176,3,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,0,SCRIPTED:OP10,9,1,3,0,3,196,0.6800000071525574,0,1,6,58,4,22,9,7,3,10,0,3,0,0,4,0,0,0,1,4,34.0,5.391711176658164,1.4500000476837158,0.546875,-0.0005637258291244507,0.0,1.0,100.0,0.0,0.6346615552902222
12,5356-1783196028126922900,5356,1050428,17,207,1,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,0,SCRIPTED:OP11,10,1,2,0,2,240,0.47999998927116394,0,2,8,95,1,35,3,15,1,17,0,3,0,0,2,2,0,0,0,8,31.0,4.882761637369792,1.2999999523162842,0.013981398195028305,0.016864299774169922,0.019999999552965164,0.0,0.0,-0.20000000298023224,0.27364468574523926
13,5356-1783196028126922900,5356,1050764,18,35,0,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,0,SCRIPTED:OP11,10,1,3,0,3,124,0.6800000071525574,1,0,5,43,3,13,2,8,2,6,0,3,0,0,0,2,0,0,2,4,30.0,5.0760680167905745,1.4500000476837158,0.621874988079071,0.0018388479948043823,0.0,1.0,100.0,0.0,0.6458138227462769
14,5356-1783196028126922900,5356,1051048,18,106,0,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,1,SCRIPTED:OP11,10,1,2,1,1,240,0.6800000071525574,0,2,2,60,20,11,6,4,8,6,2,0,2,0,0,2,0,1,4,0,58.0,5.532408142089844,1.149999976158142,0.10746978223323822,0.005901917815208435,0.0,0.0,0.0,0.0,0.30473971366882324
15,5356-1783196028126922900,5356,1051052,18,107,0,OP3,OPPONENT_POOL,train,map_b_split_lane,-1,0,SCRIPTED:OP9,8,1,3,0,3,187,0.7999999523162842,0,1,9,38,6,13,1,14,3,6,0,3,1,0,0,3,1,0,0,8,33.0,5.871239973262032,1.4500000476837158,0.5435761213302612,-0.014516830444335938,0.014999999664723873,1.0,100.0,0.0,0.6342079639434814
16,5356-1783196028126922900,5356,1051080,18,114,2,OP3,OPPONENT_POOL,train,map_b_split_lane,-1,1,SCRIPTED:OP9,8,1,3,1,2,163,0.6800000071525574,1,0,0,45,11,5,6,7,4,2,2,1,1,1,0,1,0,1,6,4,73.0,6.178241004241756,1.2999999523162842,0.581250011920929,-0.006863832473754883,0.0,1.0,100.0,0.0,0.6168371438980103
17,5356-1783196028126922900,5356,1051316,18,173,1,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,1,SCRIPTED:OP9,8,1,3,0,3,138,0.6800000071525574,0,1,5,49,12,6,10,2,6,3,2,1,0,0,2,0,0,0,7,0,31.0,4.983999943387682,1.4500000476837158,0.6072916388511658,-0.00900314748287201,0.0,1.0,100.0,-0.20000000298023224,0.613029420375824
18,5356-1783196028126922900,5356,1051460,18,209,3,OP3,OPPONENT_POOL,train,map_b_split_lane,-1,1,SCRIPTED:OP8,7,1,3,0,3,95,0.7199999690055847,1,0,7,14,4,4,6,2,1,3,2,1,0,0,0,0,0,0,6,2,43.0,6.395491108141448,1.4500000476837158,0.6520833373069763,-0.0049001723527908325,0.0,1.0,100.0,0.0,0.6499514579772949
19,5356-1783196028126922900,5356,1051532,18,227,1,OP3,OPPONENT_POOL,train,map_b_split_lane,-1,1,SCRIPTED:OP9,8,1,3,0,3,120,0.7599999904632568,1,0,4,32,2,9,4,9,0,4,1,2,1,1,1,2,0,1,2,5,48.0,6.510130310058594,1.4500000476837158,0.6146655678749084,-0.013289332389831543,0.02499999850988388,1.0,100.0,0.0,0.6451222896575928
20,5356-1783196028126922900,5356,1051916,19,67,0,OP3,OPPONENT_POOL,train,map_b_split_lane,-1,0,SCRIPTED:OP8,7,1,3,1,2,114,0.7199999690055847,1,0,2,37,3,11,0,14,2,4,0,3,0,1,0,3,0,1,0,8,54.0,5.582308049787555,1.2999999523162842,0.6322916746139526,-0.007355302572250366,0.0,1.0,100.0,-0.20000000298023224,0.5932155847549438
21,5356-1783196028126922900,5356,1052008,19,90,1,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,1,SCRIPTED:OP12,11,0,1,1,0,240,0.7199999690055847,1,0,6,42,9,11,4,10,4,4,0,2,1,1,1,4,1,0,1,5,117.0,5.956160481770834,-0.5,0.01437679398804903,0.010457247495651245,0.019999999552965164,0.0,0.0,0.0,-0.11893659830093384
22,5356-1783196028126922900,5356,1052100,19,113,2,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,0,SCRIPTED:OP9,8,1,3,1,2,196,0.7199999690055847,0,2,9,28,4,19,6,10,3,9,0,3,0,0,2,1,1,0,1,7,133.0,5.677700120575574,1.2999999523162842,0.546875,-0.010605975985527039,0.0,1.0,100.0,0.0,0.6113384962081909
23,5356-1783196028126922900,5356,1052328,19,170,2,OP3,OPPONENT_POOL,train,map_b_split_lane,-1,1,SCRIPTED:OP8,7,1,3,0,3,199,0.8799999952316284,1,0,11,70,3,23,5,9,3,10,0,3,0,0,2,1,0,0,2,4,37.0,5.825341919558731,1.4500000476837158,0.543749988079071,-0.0002595484256744385,0.0,1.0,100.0,0.0,0.6342061758041382
24,5356-1783196028126922900,5356,1052568,19,230,2,OP3,OPPONENT_POOL,train,map_b_split_lane,-1,1,SCRIPTED:OP9,8,1,3,0,3,140,0.7599999904632568,0,1,2,56,5,7,4,4,2,4,1,2,0,0,0,0,0,0,4,4,33.0,5.63035888671875,1.4500000476837158,0.6052083373069763,0.0025604963302612305,0.0,1.0,100.0,0.0,0.6434048414230347
25,5356-1783196028126922900,5356,1052596,19,237,1,OP3,OPPONENT_POOL,train,map_b_split_lane,-1,1,SCRIPTED:OP12,11,1,3,1,2,170,0.7199999690055847,0,1,4,33,6,10,3,11,2,4,1,2,1,1,0,2,1,0,2,8,106.0,6.722508329503676,1.2999999523162842,0.5739583373069763,-0.007397592067718506,0.0,1.0,100.0,0.0,0.6156858205795288
26,5356-1783196028126922900,5356,1052692,20,5,3,OP3,OPPONENT_POOL,train,map_b_split_lane,-1,1,SCRIPTED:OP11,10,1,3,1,2,91,0.8399999737739563,1,0,5,11,3,6,3,7,2,2,1,2,0,1,0,1,0,1,3,5,37.0,7.3029490041208796,1.2999999523162842,0.65625,-0.004751905798912048,0.0,1.0,100.0,0.0,0.6283987164497375
27,5356-1783196028126922900,5356,1052992,20,80,3,OP3,OPPONENT_POOL,train,map_b_split_lane,-1,0,SCRIPTED:OP11,10,1,3,1,2,223,0.7199999690055847,1,0,9,36,2,18,8,7,2,6,0,3,0,2,3,3,1,0,4,2,47.0,7.060359664027466,1.2999999523162842,0.5187499523162842,-0.008147478103637695,0.0,1.0,100.0,-0.20000000298023224,0.5744760036468506
28,5356-1783196028126922900,5356,1053072,20,100,2,OP3,OPPONENT_POOL,train,map_b_split_lane,-1,1,SCRIPTED:OP12,11,1,3,0,3,119,0.6399999856948853,1,0,1,28,3,7,0,16,3,2,0,3,0,0,0,4,0,0,0,11,35.0,6.932225844439338,1.4500000476837158,0.6270833015441895,-0.007878139615058899,0.0,1.0,100.0,0.0,0.6462185978889465
29,5356-1783196028126922900,5356,1053076,20,101,0,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,0,SCRIPTED:OP9,8,1,3,1,2,96,0.5600000023841858,1,0,2,21,0,12,1,8,0,3,0,3,0,5,1,0,0,2,0,5,38.0,6.353380839029948,1.2999999523162842,0.6388164162635803,-0.030232220888137817,0.014999999664723873,1.0,100.0,0.0,0.6253554821014404
30,5356-1783196028126922900,5356,1053324,20,163,3,OP3,OPPONENT_POOL,train,map_b_split_lane,-1,1,SCRIPTED:OP10,9,1,3,1,2,189,0.7199999690055847,1,0,8,16,6,13,4,5,3,5,1,2,1,1,1,0,0,1,1,3,123.0,6.157729052992725,1.2999999523162842,0.5541666746139526,-0.00988161563873291,0.0,1.0,100.0,-0.20000000298023224,0.5803060531616211
31,5356-1783196028126922900,5356,1053396,20,181,0,OP3,OPPONENT_POOL,train,map_b_split_lane,-1,0,SCRIPTED:OP11,10,1,3,1,2,101,0.5999999642372131,1,0,2,21,1,8,2,7,0,3,0,3,1,1,0,1,1,0,1,5,32.0,5.397473627978032,1.2999999523162842,0.6458333134651184,-0.011266723275184631,0.0,1.0,100.0,0.0,0.6265730857849121
32,5356-1783196028126922900,5356,1053496,20,206,3,OP3,OPPONENT_POOL,train,map_b_split_lane,-1,1,SCRIPTED:OP9,8,1,3,1,2,106,0.6399999856948853,0,1,1,32,8,6,0,15,3,2,0,3,2,0,0,3,0,1,0,8,34.0,7.2149934588738205,1.2999999523162842,0.640625,-0.005541473627090454,0.0,1.0,100.0,0.0,0.6259992122650146
