checkpoint,opponent,latent_z,map,episode_index,cell_seed,episode_seed,success,blue_score,red_score,steps,return,zone_coverage,collision_free,win_margin,time_to_first_score,mean_inter_robot_dist,episode_start_phase,fixed_latent_id,outcome,collisions_per_episode,collision_events_per_episode,obstacle_collision_events_per_episode,blue_stuck_steps,red_stuck_steps,blue_blocked_movement_events,blue_obstacle_collision_events,blue_route_switches,blue_attack_upper_crossings,blue_attack_lower_crossings,blue_return_upper_crossings,blue_return_lower_crossings,blue_intercept_upper_crossings,blue_intercept_lower_crossings,blue_upper_lane_steps,blue_lower_lane_steps,blue_neutral_lane_steps,blue_movement_attempts,blue_successful_movement_steps,blue_repeated_blocked_movement_events,near_misses_per_episode,decision_steps,reward_total,reward_sparse_points,reward_offense,behavior_team_spread,behavior_num_attackers,behavior_num_defenders,behavior_num_go_to,behavior_carrier_escort_count,behavior_nearest_blue_to_carrier,behavior_nearest_blue_to_enemy_carrier,behavior_n_intercept_near_enemy_carrier,behavior_avg_blue_to_enemy_flag,behavior_avg_blue_to_own_flag,behavior_intercept_pressure,behavior_defense_pressure,behavior_attack_defense_ratio,coord_pairwise_head0_pearson_mean,coord_head0_team_agreement_rate,coord_full_action_team_agreement_rate,coord_trajectory_steps,strategy_switches,strategy_switch_rate,strategy_resamples,strategy_resample_rate,strategy_unique_count,strategy_entropy_mean,strategy_dominant,strategy_occupancy_0,strategy_occupancy_1,strategy_occupancy_2,strategy_occupancy_3,strategy_phase_blue_attack_occupancy_0,strategy_phase_blue_attack_occupancy_1,strategy_phase_blue_attack_occupancy_2,strategy_phase_blue_attack_occupancy_3,strategy_phase_blue_defense_occupancy_0,strategy_phase_blue_defense_occupancy_1,strategy_phase_blue_defense_occupancy_2,strategy_phase_blue_defense_occupancy_3,strategy_phase_both_flags_occupancy_0,strategy_phase_both_flags_occupancy_1,strategy_phase_both_flags_occupancy_2,strategy_phase_both_flags_occupancy_3,strategy_phase_neutral_occupancy_0,strategy_phase_neutral_occupancy_1,strategy_phase_neutral_occupancy_2,strategy_phase_neutral_occupancy_3
artifacts\v6i22b_div005_5u_seed1\final_v6i22b_div005_5u_seed1_2v2.zip,OP8,0,map_b,0,42,42,1,3,2,240,-5.026808413153049,0.7599999904632568,0,1,107.0,7.347174072265625,neutral,0,win,1,1,14,0,0,0,2,6,2,6,0,3,0,4,23,173,284,480,480,0,50,240,0.5358268618583679,100.0,0.4367743134498596,0.07379626969147163,0.9708333333333333,0.5208333333333334,0.5,0.4041666666666667,0.6940620119062563,0.968991432711482,0.42083333333333334,0.18913229349612568,0.3045546573586762,0.8709176545341809,0.8247327983379364,0.6135416666666667,0.04677528289734546,0.2625,0.029166666666666667,240.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts\v6i22b_div005_5u_seed1\final_v6i22b_div005_5u_seed1_2v2.zip,OP8,0,map_b,1,42,43,1,3,2,213,-5.465054964268347,0.6399999856948853,0,1,81.0,7.198740211450998,neutral,0,win,1,1,17,0,0,0,0,3,2,2,0,3,0,11,14,174,238,426,426,0,34,213,0.5773540735244751,100.0,0.4819229543209076,0.06418879409736031,0.9389671361502347,0.596244131455399,0.4647887323943662,0.6525821596244131,0.4393040693929078,0.5433173638729143,0.8544600938967136,0.11755482080729215,0.29634053837245616,0.9301180134356861,0.9141553108680975,0.5856807511737089,0.1907967381694419,0.22065727699530516,0.0,213.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts\v6i22b_div005_5u_seed1\final_v6i22b_div005_5u_seed1_2v2.zip,OP8,1,map_b,0,42,42,1,3,2,176,-3.8523720095690805,0.6399999856948853,1,1,62.0,6.5917746803977275,neutral,1,win,0,0,18,0,0,0,2,4,2,2,0,3,0,5,19,117,216,352,352,0,38,176,0.5916467905044556,100.0,0.5716415643692017,0.04329644035897218,0.875,0.4943181818181818,0.6193181818181818,0.6647727272727273,0.5058329053201966,0.7311367011332716,0.6477272727272727,0.12596029882975432,0.3187223661013625,0.9092513485388323,0.8786703849380667,0.5951704545454546,0.012200351835585776,0.2784090909090909,0.03977272727272727,176.0,0,0.0,0,0.0,1,0.0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
artifacts\v6i22b_div005_5u_seed1\final_v6i22b_div005_5u_seed1_2v2.zip,OP8,1,map_b,1,42,43,1,3,2,197,-4.587626354594249,0.7599999904632568,1,1,62.0,7.49292673798382,neutral,1,win,0,0,11,0,0,0,0,3,2,4,0,3,0,6,25,146,223,394,394,0,40,197,0.7808641791343689,200.0,1.04443359375,0.08570326160790805,0.9035532994923858,0.5228426395939086,0.5228426395939086,0.5532994923857868,0.5095593347899654,0.6646176574439718,0.6395939086294417,0.1447245145575876,0.2948495547670096,0.9193980745252619,0.8881234408635174,0.6015228426395939,-0.14936292078063218,0.1065989847715736,0.0,197.0,0,0.0,0,0.0,1,0.0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
artifacts\v6i22b_div005_5u_seed1\final_v6i22b_div005_5u_seed1_2v2.zip,OP8,2,map_b,0,42,42,1,3,0,188,-2.480009026970947,0.6800000071525574,0,3,56.0,6.793712859458112,neutral,2,win,2,2,6,0,0,0,1,6,0,2,0,3,2,5,18,116,242,376,376,0,30,188,0.6079872846603394,100.0,0.5622029304504395,0.04291193180301405,0.8776595744680851,0.6223404255319149,0.48936170212765956,0.6329787234042553,0.4960235578225965,0.7293006188999069,0.8297872340425532,0.13625169682138144,0.2811103692833096,0.9023533821740048,0.9102177378979135,0.5638297872340425,-0.11717436226905427,0.21808510638297873,0.0,188.0,0,0.0,0,0.0,1,0.0,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
artifacts\v6i22b_div005_5u_seed1\final_v6i22b_div005_5u_seed1_2v2.zip,OP8,2,map_b,1,42,43,1,3,2,187,-4.869052248541266,0.7999999523162842,1,1,65.0,7.0645484312332885,neutral,2,win,0,0,14,0,0,0,2,1,1,3,0,3,0,5,20,133,221,374,374,0,38,187,0.5889848470687866,100.0,0.5397354364395142,0.08755252247347552,0.786096256684492,0.6310160427807486,0.5294117647058824,0.5561497326203209,0.40459534428256716,0.5156512456363376,0.7914438502673797,0.1265071652291771,0.30061535636849585,0.9458773757684678,0.9211908017887789,0.5401069518716578,-0.03609016413341057,0.1443850267379679,0.0106951871657754,187.0,0,0.0,0,0.0,1,0.0,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
artifacts\v6i22b_div005_5u_seed1\final_v6i22b_div005_5u_seed1_2v2.zip,OP8,3,map_b,0,42,42,1,3,2,193,-3.6659296904399525,0.7199999690055847,1,1,68.0,7.282989976319624,neutral,3,win,0,0,12,0,0,0,2,1,1,3,0,3,0,5,14,136,236,386,386,0,31,193,0.7816604971885681,200.0,1.0505954027175903,0.07601907531793563,0.8134715025906736,0.5544041450777202,0.6217616580310881,0.5647668393782384,0.46713189299126673,0.7808621932651095,0.6683937823834197,0.1406531350426569,0.30400797446774697,0.9236383740766061,0.8894955367621981,0.5647668393782384,-0.2050536319349873,0.16580310880829016,0.02072538860103627,193.0,0,0.0,0,0.0,1,0.0,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
artifacts\v6i22b_div005_5u_seed1\final_v6i22b_div005_5u_seed1_2v2.zip,OP8,3,map_b,1,42,43,0,2,3,194,-5.238062270305818,0.7599999904632568,0,-1,54.0,7.791177965931056,neutral,3,loss,1,1,11,0,0,0,1,7,2,3,1,2,2,4,59,84,245,388,388,0,20,194,-0.5733722448348999,-100.0,-0.4676840603351593,0.06969357782629193,0.8556701030927835,0.4639175257731959,0.6804123711340206,0.6494845360824743,0.45715411235914405,0.8887268913064882,0.5103092783505154,0.1310984818120823,0.32879908140940767,0.9227165278700209,0.871013240715892,0.5979381443298969,-0.14476210659152938,0.2268041237113402,0.07731958762886598,194.0,0,0.0,0,0.0,1,0.0,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
artifacts\v6i22b_div005_5u_seed1\final_v6i22b_div005_5u_seed1_2v2.zip,OP8,0,map_b_split_lane_v2,0,142,142,0,2,3,160,-5.765876126009971,0.5999999642372131,0,-1,57.0,6.663413238525391,neutral,0,loss,2,2,4,0,0,0,1,6,4,1,0,3,0,5,37,137,146,320,320,0,27,160,-0.6066868305206299,-100.0,-0.467462956905365,0.06777565862284973,0.8875,0.6875,0.425,0.6125,0.4661224322509952,0.6327906669466756,0.73125,0.13262489853659645,0.2927117996383458,0.9238336641341448,0.9100209537893533,0.55,-0.27124723548488744,0.175,0.0,160.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts\v6i22b_div005_5u_seed1\final_v6i22b_div005_5u_seed1_2v2.zip,OP8,0,map_b_split_lane_v2,1,142,143,0,2,3,166,-4.327831259404775,0.5600000023841858,1,-1,56.0,7.318150531814759,neutral,0,loss,0,0,3,0,0,0,1,4,3,3,0,3,1,4,31,152,149,332,332,0,34,166,-0.6380454301834106,-100.0,-0.4672528803348541,0.060824413548212455,0.8554216867469879,0.5542168674698795,0.5903614457831325,0.6506024096385542,0.47288047256374577,0.7799427903156324,0.5481927710843374,0.1311538865430707,0.3091424102838858,0.9239828385502459,0.882488873708679,0.5753012048192772,-0.13594143092299996,0.3132530120481928,0.024096385542168676,166.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
