episode_id,run_id,run_pid,timesteps,policy_update,rollout_step,latent_z,curriculum_phase,mode,map_set,map_layout,map_id,map_vertical_mirror,opponent,opponent_id,success,blue_score,red_score,win_margin,decision_steps,zone_coverage,collision_free_episode,collision_events_per_episode,obstacle_collision_events_per_episode,near_misses_per_episode,blue_route_upper_crossings,blue_route_lower_crossings,red_route_upper_crossings,red_route_lower_crossings,blue_attack_upper_crossings,blue_attack_lower_crossings,blue_return_upper_crossings,blue_return_lower_crossings,blue_intercept_upper_crossings,blue_intercept_lower_crossings,red_attack_upper_crossings,red_attack_lower_crossings,red_return_upper_crossings,red_return_lower_crossings,red_intercept_upper_crossings,red_intercept_lower_crossings,time_to_first_score,mean_inter_robot_dist,reward_terminal,reward_offense,reward_pbrs,reward_team,reward_sparse,reward_sparse_points,reward_failure,reward_total
1,22468-1783299155277854900,22468,1049184,16,152,2,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,0,SCRIPTED:OP8,7,0,2,3,-1,152,0.5600000023841858,1,0,6,26,1,13,3,16,0,4,0,3,1,6,1,3,2,2,0,7,45.0,6.863624171206825,-1.149999976158142,-0.466484934091568,0.005134999752044678,0.019999999552965164,-1.0,-100.0,-0.20000000298023224,-0.605984091758728
2,22468-1783299155277854900,22468,1049308,16,183,1,OP3,OPPONENT_POOL,train,map_b_split_lane,0,1,SCRIPTED:OP8,7,0,2,3,-1,183,0.7199999690055847,0,1,15,23,4,9,13,12,1,3,1,2,1,3,2,0,1,4,7,8,60.0,8.14331388212944,-1.149999976158142,-0.4732559323310852,-0.00877159833908081,0.019999999552965164,-1.0,-100.0,-0.20000000298023224,-0.6076026558876038
3,22468-1783299155277854900,22468,1049428,16,213,3,OP3,OPPONENT_POOL,train,map_b_split_lane,0,1,SCRIPTED:OP8,7,1,3,1,2,213,0.7599999904632568,1,0,20,39,5,11,14,21,2,2,1,2,2,7,0,2,2,3,10,11,74.0,7.386194936546362,1.2999999523162842,0.5054395794868469,-0.02813561260700226,0.029999999329447746,1.0,100.0,-0.20000000298023224,0.5726630091667175
4,22468-1783299155277854900,22468,1049480,16,226,0,OP3,OPPONENT_POOL,train,map_b_split_lane,0,0,SCRIPTED:OP8,7,0,2,3,-1,226,0.7599999904632568,1,0,14,35,3,11,14,7,3,3,0,3,0,3,2,1,4,0,6,4,54.0,7.669556744330753,-1.149999976158142,-0.4666406214237213,-0.005854815244674683,0.0,-1.0,-100.0,-0.20000000298023224,-0.6072327494621277
5,22468-1783299155277854900,22468,1049812,17,53,3,OP3,OPPONENT_POOL,train,map_b_split_lane,0,0,SCRIPTED:OP11,10,1,3,2,1,157,0.7199999690055847,1,0,2,49,4,5,2,13,4,1,0,3,0,0,1,0,0,3,1,8,53.0,6.58254674437699,1.149999976158142,0.6274300813674927,-0.035793110728263855,0.014999999664723873,1.0,100.0,-0.20000000298023224,0.5669780969619751
6,22468-1783299155277854900,22468,1049860,17,65,2,OP3,OPPONENT_POOL,train,map_b_split_lane,0,1,SCRIPTED:OP12,11,1,3,2,1,138,0.6399999856948853,0,1,0,55,7,5,4,8,3,2,2,1,0,2,2,1,0,2,1,3,29.0,6.406964288241621,1.149999976158142,0.6216925382614136,-0.018220528960227966,0.03999999910593033,1.0,100.0,0.0,0.6007273197174072
7,22468-1783299155277854900,22468,1050048,17,112,1,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,0,SCRIPTED:OP9,8,1,3,2,1,142,0.7599999904632568,0,1,3,94,7,10,4,12,4,3,0,3,1,1,2,1,1,1,0,7,59.0,4.960503376705546,1.149999976158142,0.6120916604995728,-0.01573735475540161,0.02499999850988388,1.0,100.0,-0.4000000059604645,0.5306876301765442
8,22468-1783299155277854900,22468,1050188,17,147,0,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,0,SCRIPTED:OP8,7,1,3,2,1,190,0.4399999976158142,1,0,5,23,0,17,3,15,0,5,0,3,0,8,1,3,2,2,0,6,46.0,7.306780042146381,1.149999976158142,0.5233837962150574,0.008060529828071594,0.02499999850988388,1.0,100.0,0.0,0.585250973701477
9,22468-1783299155277854900,22468,1050436,17,209,3,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,0,SCRIPTED:OP11,10,1,3,1,2,144,0.6399999856948853,1,0,3,34,1,15,5,9,0,4,0,3,1,6,2,0,1,2,0,6,45.0,7.1709094577365455,1.2999999523162842,0.6279087662696838,-0.03796830773353577,0.029999999329447746,1.0,100.0,0.0,0.6239694356918335
10,22468-1783299155277854900,22468,1050524,17,231,0,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,0,SCRIPTED:OP8,7,0,2,3,-1,178,0.6800000071525574,1,0,2,21,1,11,5,14,1,2,0,3,0,6,0,3,4,1,1,6,54.0,7.250417645057936,-1.149999976158142,-0.4672893285751343,-0.006888940930366516,0.019999999552965164,-1.0,-100.0,-0.20000000298023224,-0.6065865159034729
