checkpoint,opponent,latent_z,map,episode_index,cell_seed,episode_seed,success,blue_score,red_score,steps,return,zone_coverage,collision_free,win_margin,time_to_first_score,mean_inter_robot_dist,episode_start_phase,fixed_latent_id,outcome,collisions_per_episode,collision_events_per_episode,obstacle_collision_events_per_episode,blue_stuck_steps,red_stuck_steps,blue_blocked_movement_events,blue_obstacle_collision_events,blue_route_switches,blue_attack_upper_crossings,blue_attack_lower_crossings,blue_return_upper_crossings,blue_return_lower_crossings,blue_intercept_upper_crossings,blue_intercept_lower_crossings,blue_upper_lane_steps,blue_lower_lane_steps,blue_neutral_lane_steps,blue_movement_attempts,blue_successful_movement_steps,blue_repeated_blocked_movement_events,near_misses_per_episode,decision_steps,reward_total,reward_sparse_points,reward_offense,behavior_team_spread,behavior_num_attackers,behavior_num_defenders,behavior_num_go_to,behavior_carrier_escort_count,behavior_nearest_blue_to_carrier,behavior_nearest_blue_to_enemy_carrier,behavior_n_intercept_near_enemy_carrier,behavior_avg_blue_to_enemy_flag,behavior_avg_blue_to_own_flag,behavior_intercept_pressure,behavior_defense_pressure,behavior_attack_defense_ratio,coord_pairwise_head0_pearson_mean,coord_head0_team_agreement_rate,coord_full_action_team_agreement_rate,coord_trajectory_steps,strategy_switches,strategy_switch_rate,strategy_resamples,strategy_resample_rate,strategy_unique_count,strategy_entropy_mean,strategy_dominant,strategy_occupancy_0,strategy_occupancy_1,strategy_occupancy_2,strategy_occupancy_3,strategy_phase_blue_defense_occupancy_0,strategy_phase_blue_defense_occupancy_1,strategy_phase_blue_defense_occupancy_2,strategy_phase_blue_defense_occupancy_3,strategy_phase_neutral_occupancy_0,strategy_phase_neutral_occupancy_1,strategy_phase_neutral_occupancy_2,strategy_phase_neutral_occupancy_3,strategy_phase_blue_attack_occupancy_0,strategy_phase_blue_attack_occupancy_1,strategy_phase_blue_attack_occupancy_2,strategy_phase_blue_attack_occupancy_3,strategy_phase_both_flags_occupancy_0,strategy_phase_both_flags_occupancy_1,strategy_phase_both_flags_occupancy_2,strategy_phase_both_flags_occupancy_3
artifacts/v6i22e_fixed_alpha_adapters_5u_seed1/final_v6i22e_fixed_alpha_adapters_5u_seed1_2v2.zip,OP8,0,map_b,0,42,42,0,0,0,117,-3.069139912346145,0.4399999976158142,1,0,nan,8.325542743389423,neutral,0,draw,0,0,0,0,0,1,0,0,0,0,0,0,1,0,16,1,217,232,231,0,4,117,-0.19263873994350433,0.0,0.0,0.06777564881958513,0.03418803418803419,1.7606837606837606,0.18803418803418803,0.0,1.5,1.3051106347423842,0.1623931623931624,0.4973003668153388,0.07958006901809803,0.5400190582642188,0.7595542811939859,0.06623931623931624,0.4690569945930183,0.8376068376068376,0.7606837606837606,117.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,
artifacts/v6i22e_fixed_alpha_adapters_5u_seed1/final_v6i22e_fixed_alpha_adapters_5u_seed1_2v2.zip,OP8,0,map_b,1,42,43,0,1,1,240,-12.837062760139816,0.5199999809265137,0,0,200.0,6.781283569335938,neutral,0,draw,3,3,15,0,0,1,0,0,10,0,1,0,2,0,247,0,233,477,476,0,106,240,-0.11709217727184296,0.0,0.022638292983174324,0.11244680052235102,0.55,0.0,1.45,0.16666666666666666,1.0932261677924544,1.163005172725146,0.1625,0.26888767663234225,0.3281296956042449,0.8057120179136594,0.7195313113431135,0.6375,0.09035835408540305,0.6333333333333333,0.5208333333333334,240.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts/v6i22e_fixed_alpha_adapters_5u_seed1/final_v6i22e_fixed_alpha_adapters_5u_seed1_2v2.zip,OP8,1,map_b,0,42,42,1,3,2,210,-3.203164065227611,0.5199999809265137,1,1,71.0,7.153050595238096,neutral,1,win,0,0,13,0,0,3,0,1,0,1,0,3,1,1,6,68,346,326,323,0,58,210,0.5896039009094238,100.0,0.5581249594688416,0.14922005095119986,0.24761904761904763,1.7476190476190476,0.0,0.22380952380952382,0.6012978692494687,0.5389172063076071,0.8666666666666667,0.223149887578828,0.23817454415063063,0.9148805416765667,0.9243124079136621,0.1261904761904762,0.12057401662656113,0.7523809523809524,0.7523809523809524,210.0,0,0.0,0,0.0,1,0.0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
artifacts/v6i22e_fixed_alpha_adapters_5u_seed1/final_v6i22e_fixed_alpha_adapters_5u_seed1_2v2.zip,OP8,1,map_b,1,42,43,0,2,3,113,-2.832676209975034,0.5600000023841858,0,-1,51.0,7.5437130548257745,neutral,1,loss,1,1,9,0,0,0,0,3,2,2,0,2,0,2,12,72,142,226,226,0,23,113,-0.43138590455055237,0.0,-0.5,0.053924359241088404,1.336283185840708,0.6637168141592921,0.0,0.6637168141592921,0.5339524953799174,0.7900277209361043,0.4778761061946903,0.1350701078690127,0.3419410063497788,0.8857839149711406,0.8463744674108725,0.668141592920354,-0.4966554808583785,0.336283185840708,0.336283185840708,113.0,0,0.0,0,0.0,1,0.0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
artifacts/v6i22e_fixed_alpha_adapters_5u_seed1/final_v6i22e_fixed_alpha_adapters_5u_seed1_2v2.zip,OP8,2,map_b,0,42,42,1,3,1,214,-2.8931136616738513,0.5199999809265137,1,2,71.0,6.7490576628212615,neutral,2,win,0,0,12,0,0,4,0,1,0,1,0,3,1,1,6,65,357,325,321,0,63,214,0.6049166321754456,100.0,0.48153555393218994,0.1447448788654651,0.2336448598130841,1.5560747663551402,0.205607476635514,0.2523364485981308,0.5882878934912313,0.4405863503011588,1.0420560747663552,0.2177456627408408,0.23893175610106124,0.9168210263564208,0.9496558882365717,0.1705607476635514,0.030411777720942373,0.5607476635514018,0.5607476635514018,214.0,0,0.0,0,0.0,1,0.0,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
artifacts/v6i22e_fixed_alpha_adapters_5u_seed1/final_v6i22e_fixed_alpha_adapters_5u_seed1_2v2.zip,OP8,2,map_b,1,42,43,0,2,3,113,-2.832676209975034,0.5600000023841858,0,-1,51.0,7.5437130548257745,neutral,2,loss,1,1,9,0,0,0,0,3,2,2,0,2,0,2,12,72,142,226,226,0,23,113,-0.43138590455055237,0.0,-0.5,0.053924359241088404,1.336283185840708,0.6283185840707964,0.035398230088495575,0.6637168141592921,0.5339524953799174,0.7900277209361043,0.4778761061946903,0.1350701078690127,0.3419410063497788,0.8857839149711406,0.8463744674108725,0.6769911504424779,-0.35717901157176934,0.336283185840708,0.336283185840708,113.0,0,0.0,0,0.0,1,0.0,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
artifacts/v6i22e_fixed_alpha_adapters_5u_seed1/final_v6i22e_fixed_alpha_adapters_5u_seed1_2v2.zip,OP8,3,map_b,0,42,42,1,3,2,214,-3.614919794112211,0.5199999809265137,1,1,71.0,7.1033444983936915,neutral,3,win,0,0,12,0,0,2,0,3,1,0,0,3,1,1,11,59,358,303,301,0,62,214,0.7283887267112732,150.0,1.050624966621399,0.1491401948417737,0.22897196261682243,1.4906542056074767,0.2757009345794392,0.2336448598130841,0.5940279565647105,0.5308149573349646,0.8411214953271028,0.22083093138046075,0.23847913809085838,0.9167296159490247,0.9230907372782163,0.18574766355140188,0.017700580075022513,0.4953271028037383,0.21495327102803738,214.0,0,0.0,0,0.0,1,0.0,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
artifacts/v6i22e_fixed_alpha_adapters_5u_seed1/final_v6i22e_fixed_alpha_adapters_5u_seed1_2v2.zip,OP8,3,map_b,1,42,43,0,3,3,211,-5.599540326016722,0.7199999690055847,0,0,63.0,7.880892929872631,neutral,3,draw,1,1,9,0,0,0,0,3,2,4,0,3,1,2,19,100,303,422,422,0,29,211,-0.11088405549526215,0.0,0.05624997615814209,0.09943981714529025,0.8815165876777251,0.0995260663507109,1.018957345971564,0.35545023696682465,0.5248077601035483,0.8002472265107089,0.5308056872037915,0.16151695986724154,0.3262750494042279,0.9244907083104572,0.8728120541685566,0.6954976303317536,0.05173156673921231,0.3744075829383886,0.2985781990521327,211.0,0,0.0,0,0.0,1,0.0,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
artifacts/v6i22e_fixed_alpha_adapters_5u_seed1/final_v6i22e_fixed_alpha_adapters_5u_seed1_2v2.zip,OP8,0,map_b_split_lane_v2,0,142,142,1,3,1,190,-3.8963694053236395,0.6399999856948853,0,2,57.0,6.735217927631579,neutral,0,win,1,1,14,0,0,0,11,9,4,1,0,3,1,2,40,130,210,380,380,0,38,190,0.5810050964355469,100.0,0.5558159351348877,0.06507534418059023,0.8,0.05263157894736842,1.1473684210526316,0.6263157894736842,0.5261297271635972,0.7398890244235333,0.7157894736842105,0.13537191273154398,0.28640340140187426,0.9179995778359865,0.8881818526669553,0.6868421052631579,0.16303459181704563,0.5421052631578948,0.18421052631578946,190.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts/v6i22e_fixed_alpha_adapters_5u_seed1/final_v6i22e_fixed_alpha_adapters_5u_seed1_2v2.zip,OP8,0,map_b_split_lane_v2,1,142,143,1,3,0,176,-2.0690572223393247,0.5600000023841858,1,3,59.0,7.253120422363281,neutral,0,win,0,0,8,0,0,0,5,7,4,1,0,3,4,1,69,80,203,352,352,0,32,176,0.6391351819038391,100.0,0.5798581838607788,0.09794186997036873,0.6875,0.11363636363636363,1.1988636363636365,0.4318181818181818,0.5039807537951592,0.7667206616394899,0.6363636363636364,0.1477044707650996,0.2938346099955114,0.9402928938242522,0.8940407190133225,0.6434659090909091,0.3086744237240191,0.5227272727272727,0.2840909090909091,176.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
