episode_id,run_id,run_pid,timesteps,policy_update,rollout_step,latent_z,curriculum_phase,mode,map_set,map_layout,map_id,map_vertical_mirror,opponent,opponent_id,success,blue_score,red_score,win_margin,decision_steps,zone_coverage,collision_free_episode,collision_events_per_episode,obstacle_collision_events_per_episode,near_misses_per_episode,blue_route_upper_crossings,blue_route_lower_crossings,red_route_upper_crossings,red_route_lower_crossings,blue_attack_upper_crossings,blue_attack_lower_crossings,blue_return_upper_crossings,blue_return_lower_crossings,blue_intercept_upper_crossings,blue_intercept_lower_crossings,red_attack_upper_crossings,red_attack_lower_crossings,red_return_upper_crossings,red_return_lower_crossings,red_intercept_upper_crossings,red_intercept_lower_crossings,time_to_first_score,mean_inter_robot_dist,reward_terminal,reward_offense,reward_pbrs,reward_team,reward_sparse,reward_sparse_points,reward_failure,reward_total
1,35480-1784777699458397200,35480,796,0,199,2,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,0,SCRIPTED:OP8,7,0,2,3,-1,199,0.5199999809265137,1,0,14,34,0,12,4,17,0,5,0,3,0,4,1,3,3,2,0,9,64.0,6.582508489714196,-1.149999976158142,-0.47031283378601074,0.000683709979057312,0.019999999552965164,-1.0,-100.0,0.0,-0.5742127895355225
2,35480-1784777699458397200,35480,904,0,226,0,OP3,OPPONENT_POOL,train,map_b_split_lane,0,0,SCRIPTED:OP8,7,1,3,2,1,226,0.7999999523162842,1,0,12,47,0,19,9,14,0,9,0,3,0,4,3,2,3,0,1,7,87.0,7.459293871854259,1.149999976158142,0.49135860800743103,0.039933010935783386,0.014999999664723873,1.0,100.0,-0.20000000298023224,0.5467775464057922
3,35480-1784777699458397200,35480,912,0,228,1,OP3,OPPONENT_POOL,train,map_b_split_lane,0,1,SCRIPTED:OP8,7,0,1,3,-2,228,0.8399999737739563,0,2,23,77,3,15,13,8,2,6,0,2,0,3,5,1,2,1,1,5,142.0,7.477283143160636,-1.2999999523162842,-0.46714431047439575,0.00452837347984314,0.019999999552965164,-1.0,-100.0,0.0,-0.59814453125
4,35480-1784777699458397200,35480,960,0,240,3,OP3,OPPONENT_POOL,train,map_b_split_lane,0,1,SCRIPTED:OP8,7,0,2,2,0,240,0.7999999523162842,0,1,22,57,11,9,13,13,2,3,2,1,5,4,2,2,2,2,6,6,86.0,7.071082560221354,-0.5,-0.03947921469807625,-0.023483052849769592,0.06999999284744263,0.0,0.0,0.0,-0.13120178878307343
5,35480-1784777699458397200,35480,1420,1,99,1,OP3,OPPONENT_POOL,train,map_b_split_lane,0,1,SCRIPTED:OP12,11,1,3,2,1,129,0.7199999690055847,1,0,8,44,7,6,11,9,1,0,1,2,3,3,3,2,2,1,5,4,48.0,5.218152896378392,1.149999976158142,0.7099999785423279,-0.010385587811470032,0.0,1.0,100.0,0.0,0.6133979558944702
6,35480-1784777699458397200,35480,1512,1,122,3,OP3,OPPONENT_POOL,train,map_b_split_lane,0,0,SCRIPTED:OP11,10,1,3,2,1,179,0.7999999523162842,0,1,10,34,1,9,14,9,1,2,0,3,0,4,2,0,4,2,6,6,27.0,7.315506066689944,1.149999976158142,0.581051230430603,-0.030774474143981934,0.029999999329447746,1.0,100.0,0.0,0.5932812094688416
7,35480-1784777699458397200,35480,1640,1,154,2,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,0,SCRIPTED:OP8,7,0,2,3,-1,182,0.5999999642372131,0,2,4,30,0,12,3,14,0,5,0,3,0,4,1,1,2,2,0,8,56.0,7.382566347226992,-1.149999976158142,-0.4670969843864441,-0.0008684545755386353,0.019999999552965164,-1.0,-100.0,-0.20000000298023224,-0.6063182353973389
8,35480-1784777699458397200,35480,1920,1,224,0,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,0,SCRIPTED:OP9,8,0,2,2,0,240,0.7999999523162842,0,2,3,133,5,24,6,6,3,10,0,2,0,2,2,0,2,0,1,3,113.0,5.815255737304687,-0.5,0.0,0.0017103254795074463,0.0,0.0,0.0,-0.20000000298023224,-0.17313146591186523
9,35480-1784777699458397200,35480,2192,2,36,2,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,0,SCRIPTED:OP8,7,1,3,2,1,193,0.6800000071525574,1,0,5,32,1,15,3,14,0,4,0,3,1,8,0,2,3,2,0,7,67.0,7.54837146818329,1.149999976158142,0.5191658139228821,-0.006852328777313232,0.04999999701976776,1.0,100.0,-0.20000000298023224,0.5511198043823242
10,35480-1784777699458397200,35480,2256,2,52,0,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,0,SCRIPTED:OP11,10,0,2,3,-1,186,0.5999999642372131,0,1,5,46,2,18,3,10,1,4,0,3,1,8,2,0,1,3,0,6,42.0,6.758223338793683,-1.149999976158142,-0.46702346205711365,-0.0010262280702590942,0.019999999552965164,-1.0,-100.0,-0.20000000298023224,-0.6063128709793091
