episode_id,run_id,run_pid,timesteps,policy_update,rollout_step,latent_z,curriculum_phase,mode,map_set,map_layout,map_id,map_vertical_mirror,opponent,opponent_id,success,blue_score,red_score,win_margin,decision_steps,zone_coverage,collision_free_episode,collision_events_per_episode,obstacle_collision_events_per_episode,near_misses_per_episode,blue_route_upper_crossings,blue_route_lower_crossings,red_route_upper_crossings,red_route_lower_crossings,blue_attack_upper_crossings,blue_attack_lower_crossings,blue_return_upper_crossings,blue_return_lower_crossings,blue_intercept_upper_crossings,blue_intercept_lower_crossings,red_attack_upper_crossings,red_attack_lower_crossings,red_return_upper_crossings,red_return_lower_crossings,red_intercept_upper_crossings,red_intercept_lower_crossings,time_to_first_score,mean_inter_robot_dist,reward_terminal,reward_offense,reward_pbrs,reward_team,reward_sparse,reward_sparse_points,reward_failure,reward_total
1,59188-1784828217868079200,59188,428,0,107,0,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,1,SCRIPTED:OP10,9,1,3,1,2,107,0.6399999856948853,0,2,3,34,6,6,5,7,3,1,1,2,0,2,1,0,0,2,4,5,41.0,5.904621445129965,1.2999999523162842,0.677356481552124,-0.009196549654006958,0.02499999850988388,1.0,100.0,-0.20000000298023224,0.6013931035995483
2,59188-1784828217868079200,59188,624,0,156,0,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,0,SCRIPTED:OP10,9,1,3,1,2,156,0.5600000023841858,0,4,8,58,1,15,5,13,1,5,0,3,0,3,3,1,1,2,0,8,31.0,5.745965810922476,1.2999999523162842,0.5863473415374756,-0.007584333419799805,0.02499999850988388,1.0,100.0,0.0,0.618563711643219
3,59188-1784828217868079200,59188,960,0,240,0,OP3,OPPONENT_POOL,train,map_b_split_lane,0,0,SCRIPTED:OP10,9,0,0,1,-1,240,0.9199999570846558,0,8,17,109,10,15,2,15,6,7,0,1,0,0,0,8,0,1,0,1,34.0,6.868624877929688,-1.149999976158142,0.02417173609137535,0.015148952603340149,0.019999999552965164,0.0,0.0,-0.20000000298023224,-0.3178558945655823
4,59188-1784828217868079200,59188,960,0,240,0,OP3,OPPONENT_POOL,train,map_b_split_lane,0,0,SCRIPTED:OP10,9,0,0,1,-1,240,0.6800000071525574,1,0,29,107,2,22,0,24,1,12,0,0,1,0,0,12,0,1,0,2,29.0,5.997205607096354,-1.149999976158142,0.016471410170197487,0.00837477296590805,0.019999999552965164,0.0,0.0,0.0,-0.27439332008361816
5,59188-1784828217868079200,59188,1168,1,36,0,OP3,OPPONENT_POOL,train,map_b_split_lane,0,1,SCRIPTED:OP11,10,1,3,2,1,185,0.7199999690055847,0,1,5,43,4,7,2,10,3,3,0,3,1,1,0,1,0,2,1,5,58.0,7.8094667176942565,1.149999976158142,0.534216046333313,-0.020462766289711,0.02499999850988388,1.0,100.0,0.0,0.5858590602874756
6,59188-1784828217868079200,59188,1468,1,111,0,OP3,OPPONENT_POOL,train,map_b_split_lane,0,1,SCRIPTED:OP8,7,0,1,3,-2,211,0.7999999523162842,1,0,5,73,9,9,6,19,2,4,1,0,6,0,1,5,1,4,3,5,127.0,7.681506984041765,-1.2999999523162842,-0.47643062472343445,0.006112381815910339,0.019999999552965164,-1.0,-100.0,0.0,-0.5995700359344482
7,59188-1784828217868079200,59188,1772,1,187,0,OP3,OPPONENT_POOL,train,map_b_split_lane,0,0,SCRIPTED:OP12,11,0,2,3,-1,151,0.8799999952316284,1,0,18,16,3,14,4,7,1,4,0,3,1,5,1,2,2,1,1,3,40.0,6.641389758381623,-1.149999976158142,-0.4736839234828949,0.009986117482185364,0.0,-1.0,-100.0,-0.20000000298023224,-0.6077191829681396
8,59188-1784828217868079200,59188,1892,1,217,0,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,1,SCRIPTED:OP10,9,1,3,1,2,233,0.7599999904632568,0,5,14,96,21,6,18,6,9,2,2,1,3,2,6,1,2,1,5,1,114.0,5.893593456612124,1.2999999523162842,0.44344234466552734,-0.004191234707832336,0.02499999850988388,1.0,100.0,-0.20000000298023224,0.5629634857177734
9,59188-1784828217868079200,59188,1920,1,224,0,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,0,SCRIPTED:OP9,8,0,1,1,0,240,0.7599999904632568,1,0,6,149,6,31,2,10,4,14,0,1,0,2,1,3,0,1,0,2,44.0,5.400214131673177,-0.5,0.0,0.009624332189559937,0.0,0.0,0.0,0.0,-0.12376074492931366
10,59188-1784828217868079200,59188,2428,2,95,0,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,1,SCRIPTED:OP9,8,0,0,0,0,240,0.6800000071525574,0,2,2,111,16,13,0,8,9,6,0,0,0,0,0,4,0,0,0,2,,6.850987243652344,-0.5,0.0,-0.0022513270378112793,0.0,0.0,0.0,-0.20000000298023224,-0.17337164282798767
11,59188-1784828217868079200,59188,2724,2,169,0,OP3,OPPONENT_POOL,train,map_b_split_lane,0,0,SCRIPTED:OP10,9,1,3,1,2,238,0.8799999952316284,0,7,14,101,8,12,9,17,4,4,0,3,1,1,4,2,1,0,2,9,88.0,6.448619682247899,1.2999999523162842,0.4310414493083954,0.012082815170288086,0.04999999701976776,1.0,100.0,0.0,0.5958194732666016
12,59188-1784828217868079200,59188,2760,2,178,0,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,0,SCRIPTED:OP11,10,1,3,2,1,217,0.7199999690055847,0,3,7,84,7,13,2,26,4,4,0,3,0,4,0,6,2,1,0,11,67.0,6.101224415862615,1.149999976158142,0.4717070758342743,-0.006057038903236389,0.04999999701976776,1.0,100.0,-0.20000000298023224,0.5428398847579956
13,59188-1784828217868079200,59188,2880,2,208,0,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,1,SCRIPTED:OP9,8,1,3,1,2,240,0.6399999856948853,0,1,3,136,9,17,10,8,4,6,0,3,2,2,5,0,0,1,1,5,166.0,5.509305826822916,1.2999999523162842,0.4294605851173401,-0.008499786257743835,0.04999999701976776,1.0,100.0,-0.20000000298023224,0.5614573359489441
14,59188-1784828217868079200,59188,3320,3,62,0,OP3,OPPONENT_POOL,train,map_b_split_lane,0,0,SCRIPTED:OP10,9,1,3,0,3,140,0.4399999976158142,0,5,3,50,0,10,2,18,0,5,0,3,0,0,0,3,1,0,0,11,43.0,5.710870797293527,1.4500000476837158,0.6893749833106995,-0.005311816930770874,0.0,1.0,100.0,0.0,0.6552886962890625
15,59188-1784828217868079200,59188,3368,3,74,0,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,0,SCRIPTED:OP8,7,1,3,1,2,235,0.7599999904632568,0,1,10,73,3,15,7,18,2,6,0,3,0,3,1,7,3,1,1,4,111.0,6.864383518949468,1.2999999523162842,0.47850361466407776,-0.04045027494430542,0.029999999329447746,1.0,100.0,0.0,0.6005281209945679
16,59188-1784828217868079200,59188,3620,3,137,0,OP3,OPPONENT_POOL,train,map_b_split_lane,0,1,SCRIPTED:OP8,7,1,3,2,1,224,0.9199999570846558,1,0,8,36,5,11,12,17,1,1,1,3,3,6,1,2,4,3,6,9,62.0,8.127707890101842,1.149999976158142,0.49903422594070435,-0.030167430639266968,0.014999999664723873,1.0,100.0,-0.20000000298023224,0.5450490713119507
17,59188-1784828217868079200,59188,3700,3,157,0,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,1,SCRIPTED:OP8,7,1,3,2,1,205,0.5999999642372131,0,1,1,32,5,11,6,15,2,1,2,1,1,9,0,2,2,4,3,6,80.0,7.080176376714939,1.149999976158142,0.4962939918041229,0.002825513482093811,0.04999999701976776,1.0,100.0,0.0,0.5815986394882202
18,59188-1784828217868079200,59188,3904,3,208,0,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,1,SCRIPTED:OP8,7,0,2,3,-1,146,0.6399999856948853,1,0,5,35,7,5,5,12,0,3,2,0,5,0,0,3,1,4,3,2,69.0,6.927521588051156,-1.149999976158142,-0.5,-0.011009395122528076,0.0,-1.0,-100.0,0.0,-0.5804811716079712
19,59188-1784828217868079200,59188,4328,4,58,0,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,1,SCRIPTED:OP9,8,1,1,0,1,240,0.5999999642372131,0,2,15,125,25,5,9,2,13,2,1,0,1,0,3,0,0,0,2,2,233.0,5.623125203450521,1.149999976158142,-0.05218905583024025,-0.037781089544296265,0.03999999910593033,0.0,0.0,-0.20000000298023224,0.2208898514509201
20,59188-1784828217868079200,59188,4380,4,71,0,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,1,SCRIPTED:OP8,7,0,1,3,-2,119,0.5999999642372131,1,0,2,22,4,6,3,12,2,2,1,1,1,2,0,2,1,2,2,5,51.0,7.25016207654937,-1.2999999523162842,-0.47001391649246216,-0.007712632417678833,0.019999999552965164,-1.0,-100.0,-0.20000000298023224,-0.6301925778388977
21,59188-1784828217868079200,59188,4488,4,98,0,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,0,SCRIPTED:OP8,7,1,3,2,1,197,0.7999999523162842,0,3,10,21,7,11,5,15,4,2,0,3,1,6,1,2,3,1,0,8,59.0,7.31110641556948,1.149999976158142,0.5082300901412964,-0.01169799268245697,0.04999999701976776,1.0,100.0,0.0,0.5829709768295288
22,59188-1784828217868079200,59188,4580,4,121,0,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,0,SCRIPTED:OP9,8,0,0,1,-1,240,0.6800000071525574,0,2,8,138,5,23,3,3,2,10,0,0,0,3,1,2,1,0,0,0,31.0,6.050685119628906,-1.149999976158142,0.0,0.011645197868347168,0.0,0.0,0.0,0.0,-0.2791611850261688
