checkpoint,opponent,latent_z,map,episode_index,cell_seed,episode_seed,success,blue_score,red_score,steps,return,zone_coverage,collision_free,win_margin,time_to_first_score,mean_inter_robot_dist,episode_start_phase,fixed_latent_id,outcome,collisions_per_episode,collision_events_per_episode,obstacle_collision_events_per_episode,blue_stuck_steps,red_stuck_steps,blue_blocked_movement_events,blue_obstacle_collision_events,blue_route_switches,blue_attack_upper_crossings,blue_attack_lower_crossings,blue_return_upper_crossings,blue_return_lower_crossings,blue_intercept_upper_crossings,blue_intercept_lower_crossings,blue_upper_lane_steps,blue_lower_lane_steps,blue_neutral_lane_steps,blue_movement_attempts,blue_successful_movement_steps,blue_repeated_blocked_movement_events,near_misses_per_episode,decision_steps,reward_total,reward_sparse_points,reward_offense,behavior_team_spread,behavior_num_attackers,behavior_num_defenders,behavior_num_go_to,behavior_carrier_escort_count,behavior_nearest_blue_to_carrier,behavior_nearest_blue_to_enemy_carrier,behavior_n_intercept_near_enemy_carrier,behavior_avg_blue_to_enemy_flag,behavior_avg_blue_to_own_flag,behavior_intercept_pressure,behavior_defense_pressure,behavior_attack_defense_ratio,coord_pairwise_head0_pearson_mean,coord_head0_team_agreement_rate,coord_full_action_team_agreement_rate,coord_trajectory_steps,strategy_switches,strategy_switch_rate,strategy_resamples,strategy_resample_rate,strategy_unique_count,strategy_entropy_mean,strategy_dominant,strategy_occupancy_0,strategy_occupancy_1,strategy_occupancy_2,strategy_occupancy_3,strategy_phase_blue_attack_occupancy_0,strategy_phase_blue_attack_occupancy_1,strategy_phase_blue_attack_occupancy_2,strategy_phase_blue_attack_occupancy_3,strategy_phase_blue_defense_occupancy_0,strategy_phase_blue_defense_occupancy_1,strategy_phase_blue_defense_occupancy_2,strategy_phase_blue_defense_occupancy_3,strategy_phase_both_flags_occupancy_0,strategy_phase_both_flags_occupancy_1,strategy_phase_both_flags_occupancy_2,strategy_phase_both_flags_occupancy_3,strategy_phase_neutral_occupancy_0,strategy_phase_neutral_occupancy_1,strategy_phase_neutral_occupancy_2,strategy_phase_neutral_occupancy_3
artifacts\v6i26_lro_niches_round1_seed1\final_v6i26_lro_z3_r1_25u_seed1.zip,OP10_AGGRESSIVE_INTERCEPTOR,0,map_b_split_lane,0,1,1,0,2,3,134,-5.599638706626138,0.6399999856948853,1,-1,43.0,7.774656381180037,neutral,0,loss,0,0,3,0,0,0,0,4,3,0,0,2,4,0,118,10,140,268,268,0,23,134,-0.5798580646514893,-100.0,-0.5,0.10679518720552103,0.5895522388059702,0.029850746268656716,1.3805970149253732,0.05223880597014925,1.1966467809988492,0.8840731806886285,0.3582089552238806,0.28103478252887726,0.309289610930788,0.8007459409201323,0.8341067077508614,0.6399253731343284,0.2586543887377967,0.6044776119402985,0.6044776119402985,134.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts\v6i26_lro_niches_round1_seed1\final_v6i26_lro_z3_r1_25u_seed1.zip,OP10_AGGRESSIVE_INTERCEPTOR,0,map_b_split_lane,1,1,2,1,3,2,93,-0.9770543194317725,0.7199999690055847,1,1,34.0,8.572140273227486,neutral,0,win,0,0,1,0,0,2,0,4,2,1,0,3,1,0,91,26,69,160,158,0,8,93,0.6238197088241577,100.0,0.7775000333786011,0.2030031053769973,0.5161290322580645,0.12903225806451613,1.3548387096774193,0.021505376344086023,0.8765283903127076,0.8805646007099459,0.3763440860215054,0.2657826132671807,0.3505859794796154,0.8886179225419157,0.8485422711218557,0.5967741935483871,0.06669144488330436,0.6989247311827957,0.6989247311827957,93.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts\v6i26_lro_niches_round1_seed1\final_v6i26_lro_z3_r1_25u_seed1.zip,OP10_AGGRESSIVE_INTERCEPTOR,0,map_b_split_lane,2,1,3,1,3,2,109,-1.5606513509555953,0.5999999642372131,1,1,37.0,8.448456090524656,neutral,0,win,0,0,6,0,0,1,0,5,3,0,0,3,2,0,104,18,96,209,208,0,18,109,0.6195771098136902,100.0,0.747499942779541,0.15125608254531656,0.6880733944954128,0.3211009174311927,0.9908256880733946,0.009174311926605505,0.9588702478266637,0.9816140586834982,0.24770642201834864,0.26570391053453496,0.3428529107926089,0.8612112304486266,0.8575731182317121,0.591743119266055,0.11645256773262305,0.44954128440366975,0.3761467889908257,109.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts\v6i26_lro_niches_round1_seed1\final_v6i26_lro_z3_r1_25u_seed1.zip,OP10_AGGRESSIVE_INTERCEPTOR,0,map_b_split_lane,3,1,4,1,3,1,98,-1.7789027304388583,0.6399999856948853,1,2,32.0,6.166317686742666,neutral,0,win,0,0,3,0,0,0,1,2,5,0,2,1,1,0,78,5,113,196,196,0,43,98,0.6453036069869995,100.0,0.7681249380111694,0.12465252894528057,0.7346938775510204,0.21428571428571427,1.0510204081632653,0.23469387755102042,0.7565967810473272,1.1755969471925376,0.24489795918367346,0.19615366192040395,0.33007192353204806,0.9132463305580373,0.8040826332812406,0.6301020408163265,0.02187669481016719,0.35714285714285715,0.35714285714285715,98.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts\v6i26_lro_niches_round1_seed1\final_v6i26_lro_z3_r1_25u_seed1.zip,OP10_AGGRESSIVE_INTERCEPTOR,1,map_b_split_lane,0,1,1,1,3,2,109,-3.4755044444755185,0.5600000023841858,1,1,39.0,5.7697384335579125,neutral,1,win,0,0,3,0,0,0,2,1,1,5,0,3,0,3,6,76,136,218,218,0,53,109,0.5875122547149658,100.0,0.747499942779541,0.07901624752499095,1.4403669724770642,0.5229357798165137,0.03669724770642202,0.3577981651376147,0.7952714004306072,0.9553641339234256,0.3853211009174312,0.20330433709837428,0.28378598257010684,0.8568883100780872,0.840468535182673,0.7293577981651376,-0.41419987188153873,0.47706422018348627,0.47706422018348627,109.0,0,0.0,0,0.0,1,0.0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
artifacts\v6i26_lro_niches_round1_seed1\final_v6i26_lro_z3_r1_25u_seed1.zip,OP10_AGGRESSIVE_INTERCEPTOR,1,map_b_split_lane,1,1,2,1,3,2,97,-2.495367807423463,0.6800000071525574,1,1,34.0,5.983907483287694,neutral,1,win,0,0,2,0,0,0,2,1,1,2,0,3,0,2,9,66,119,194,194,0,18,97,0.6228686571121216,100.0,0.7699999809265137,0.09926260614133987,1.3711340206185567,0.5670103092783505,0.0,0.4020618556701031,0.733110370306471,0.9112973045749763,0.4639175257731959,0.19733579448165045,0.27773104421794415,0.8677644748048684,0.8560527102234438,0.7010309278350515,-0.3641908190556946,0.4020618556701031,0.4020618556701031,97.0,0,0.0,0,0.0,1,0.0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
artifacts\v6i26_lro_niches_round1_seed1\final_v6i26_lro_z3_r1_25u_seed1.zip,OP10_AGGRESSIVE_INTERCEPTOR,1,map_b_split_lane,2,1,3,1,3,1,94,-0.6716877334692981,0.5199999809265137,0,2,32.0,6.557436679271942,neutral,1,win,1,1,6,0,0,0,0,1,1,3,0,3,0,3,5,70,113,188,188,0,32,94,0.6159282922744751,100.0,0.7756249904632568,0.07039133297834307,1.4574468085106382,0.5425531914893617,0.0,0.5425531914893617,0.7422097818925977,1.1792914838074369,0.1702127659574468,0.19005602348516595,0.29570117513550087,0.862183837814534,0.7970521044223866,0.7287234042553191,-0.35370641089500315,0.4574468085106383,0.4574468085106383,94.0,0,0.0,0,0.0,1,0.0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
artifacts\v6i26_lro_niches_round1_seed1\final_v6i26_lro_z3_r1_25u_seed1.zip,OP10_AGGRESSIVE_INTERCEPTOR,1,map_b_split_lane,3,1,4,1,3,2,104,-2.716959903569659,0.6399999856948853,0,1,32.0,7.051418597881611,neutral,1,win,1,1,2,0,0,0,1,3,3,1,3,0,2,1,54,16,138,208,208,0,27,104,0.588997483253479,100.0,0.7568749785423279,0.09016254048149747,1.4230769230769231,0.5480769230769231,0.0,0.4519230769230769,0.7528955822344869,0.9945914349876918,0.2980769230769231,0.1955370232104682,0.2714469392174998,0.8564926506235049,0.8493439108133316,0.7115384615384616,-0.3921387278900361,0.4519230769230769,0.4519230769230769,104.0,0,0.0,0,0.0,1,0.0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
artifacts\v6i26_lro_niches_round1_seed1\final_v6i26_lro_z3_r1_25u_seed1.zip,OP10_AGGRESSIVE_INTERCEPTOR,2,map_b_split_lane,0,1,1,1,3,2,144,-6.009037097741384,0.5600000023841858,1,1,39.0,5.922549777560764,neutral,2,win,0,0,9,0,0,0,2,1,1,6,0,3,0,5,6,104,178,288,288,0,62,144,0.602678656578064,100.0,0.6363839507102966,0.08606945390864792,1.5069444444444444,0.4930555555555556,0.0,0.3055555555555556,0.8421304883021448,0.9188290432923369,0.375,0.21298626240523946,0.29263068607542664,0.855977808435758,0.8434835763441192,0.7534722222222222,-0.3222364304909517,0.5069444444444444,0.5069444444444444,144.0,0,0.0,0,0.0,1,0.0,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
artifacts\v6i26_lro_niches_round1_seed1\final_v6i26_lro_z3_r1_25u_seed1.zip,OP10_AGGRESSIVE_INTERCEPTOR,2,map_b_split_lane,1,1,2,1,3,2,97,-2.495367807423463,0.6800000071525574,1,1,34.0,5.983907483287694,neutral,2,win,0,0,2,0,0,0,2,1,1,2,0,3,0,2,9,66,119,194,194,0,18,97,0.6228686571121216,100.0,0.7699999809265137,0.09926260614133987,1.3711340206185567,0.4020618556701031,0.16494845360824742,0.4020618556701031,0.733110370306471,0.9112973045749763,0.4639175257731959,0.19733579448165045,0.27773104421794415,0.8677644748048684,0.8560527102234438,0.75,0.028927946813645685,0.4020618556701031,0.4020618556701031,97.0,0,0.0,0,0.0,1,0.0,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
