checkpoint,opponent,latent_z,map,episode_index,cell_seed,episode_seed,success,blue_score,red_score,steps,return,zone_coverage,collision_free,win_margin,time_to_first_score,mean_inter_robot_dist,episode_start_phase,fixed_latent_id,outcome,collisions_per_episode,collision_events_per_episode,obstacle_collision_events_per_episode,blue_stuck_steps,red_stuck_steps,blue_blocked_movement_events,blue_obstacle_collision_events,blue_route_switches,blue_attack_upper_crossings,blue_attack_lower_crossings,blue_return_upper_crossings,blue_return_lower_crossings,blue_intercept_upper_crossings,blue_intercept_lower_crossings,blue_upper_lane_steps,blue_lower_lane_steps,blue_neutral_lane_steps,blue_movement_attempts,blue_successful_movement_steps,blue_repeated_blocked_movement_events,near_misses_per_episode,decision_steps,reward_total,reward_sparse_points,reward_offense,behavior_team_spread,behavior_num_attackers,behavior_num_defenders,behavior_num_go_to,behavior_carrier_escort_count,behavior_nearest_blue_to_carrier,behavior_nearest_blue_to_enemy_carrier,behavior_n_intercept_near_enemy_carrier,behavior_avg_blue_to_enemy_flag,behavior_avg_blue_to_own_flag,behavior_intercept_pressure,behavior_defense_pressure,behavior_attack_defense_ratio,coord_pairwise_head0_pearson_mean,coord_head0_team_agreement_rate,coord_full_action_team_agreement_rate,coord_trajectory_steps,strategy_switches,strategy_switch_rate,strategy_resamples,strategy_resample_rate,strategy_unique_count,strategy_entropy_mean,strategy_dominant,strategy_occupancy_0,strategy_occupancy_1,strategy_occupancy_2,strategy_occupancy_3,strategy_phase_blue_attack_occupancy_0,strategy_phase_blue_attack_occupancy_1,strategy_phase_blue_attack_occupancy_2,strategy_phase_blue_attack_occupancy_3,strategy_phase_blue_defense_occupancy_0,strategy_phase_blue_defense_occupancy_1,strategy_phase_blue_defense_occupancy_2,strategy_phase_blue_defense_occupancy_3,strategy_phase_both_flags_occupancy_0,strategy_phase_both_flags_occupancy_1,strategy_phase_both_flags_occupancy_2,strategy_phase_both_flags_occupancy_3,strategy_phase_neutral_occupancy_0,strategy_phase_neutral_occupancy_1,strategy_phase_neutral_occupancy_2,strategy_phase_neutral_occupancy_3
artifacts/v6i26_lro_niches_round1_seed1/final_v6i26_lro_z3_r1_25u_seed1.zip,OP10_AGGRESSIVE_INTERCEPTOR,0,map_b_split_lane,0,4001,4001,1,3,1,96,-0.646979308599839,0.6800000071525574,1,2,32.0,7.330979665120442,neutral,0,win,0,0,0,0,0,0,0,3,3,0,2,1,1,0,89,16,87,192,192,0,16,96,0.6455916166305542,100.0,0.7718749642372131,0.1560403285936142,0.7604166666666666,0.3854166666666667,0.8541666666666666,0.17708333333333334,0.8013303952757269,1.2203425275705133,0.10416666666666667,0.22775833219445,0.32437626815711457,0.8940085104356209,0.7755807929982742,0.59375,0.04766818373723524,0.2604166666666667,0.2604166666666667,96.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts/v6i26_lro_niches_round1_seed1/final_v6i26_lro_z3_r1_25u_seed1.zip,OP10_AGGRESSIVE_INTERCEPTOR,0,map_b_split_lane,1,4001,4002,1,3,1,97,-1.363511769057368,0.6399999856948853,1,2,32.0,8.517616507933312,neutral,0,win,0,0,3,0,0,0,0,5,3,0,0,3,1,0,62,17,115,194,194,0,6,97,0.6407503485679626,100.0,0.7353953719139099,0.13384375859474398,0.7422680412371134,0.09278350515463918,1.1649484536082475,0.16494845360824742,0.8342461801834942,0.8455277424804943,0.422680412371134,0.22236592825694182,0.3387110734108797,0.8937543311069921,0.8688736097099855,0.6623711340206185,0.2663128443327529,0.5463917525773195,0.5463917525773195,97.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts/v6i26_lro_niches_round1_seed1/final_v6i26_lro_z3_r1_25u_seed1.zip,OP10_AGGRESSIVE_INTERCEPTOR,0,map_b_split_lane,2,4001,4003,1,3,2,110,-1.6274088942736853,0.6399999856948853,1,1,33.0,7.930637983842329,neutral,0,win,0,0,4,0,0,1,0,5,2,1,0,3,1,0,78,25,117,218,217,0,13,110,0.6195358037948608,100.0,0.7456250190734863,0.14025712931020692,0.6545454545454545,0.03636363636363636,1.309090909090909,0.08181818181818182,0.9434027893976732,1.0206776916980744,0.20909090909090908,0.23261946944350545,0.35044374933296984,0.8774811056527224,0.8521968700669028,0.6545454545454545,0.12343832596089024,0.5272727272727272,0.5272727272727272,110.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts/v6i26_lro_niches_round1_seed1/final_v6i26_lro_z3_r1_25u_seed1.zip,OP10_AGGRESSIVE_INTERCEPTOR,0,map_b_split_lane,3,4001,4004,1,3,2,137,-2.790245764888823,0.5600000023841858,1,1,31.0,7.4523560461336675,neutral,0,win,0,0,6,0,0,4,0,5,1,0,0,3,2,0,55,15,204,165,161,0,17,137,0.5790181159973145,100.0,0.6949999332427979,0.17975825711024285,0.24817518248175183,1.0218978102189782,0.7226277372262774,0.12408759124087591,1.020911382783177,1.009536723150824,0.30656934306569344,0.3127426465456612,0.22128071131551788,0.8157611506698775,0.827263830787074,0.3083941605839416,-0.11422626416640047,0.029197080291970802,0.029197080291970802,137.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0
artifacts/v6i26_lro_niches_round1_seed1/final_v6i26_lro_z3_r1_25u_seed1.zip,OP10_AGGRESSIVE_INTERCEPTOR,0,map_b_split_lane,4,4001,4005,1,3,1,103,-1.7324414062313735,0.6800000071525574,1,2,36.0,6.348160530756978,neutral,0,win,0,0,1,0,0,0,0,1,3,1,3,0,3,0,87,7,112,206,206,0,41,103,0.6437975168228149,100.0,0.7587499618530273,0.08397598691212321,0.8446601941747572,0.5436893203883495,0.6116504854368932,0.44660194174757284,0.7543267388059531,1.172399344808847,0.2815533980582524,0.19970228688936065,0.30752775510682645,0.8528296114171593,0.8224972648528016,0.5752427184466019,-0.23582673072563579,0.3592233009708738,0.3592233009708738,103.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts/v6i26_lro_niches_round1_seed1/final_v6i26_lro_z3_r1_25u_seed1.zip,OP10_AGGRESSIVE_INTERCEPTOR,0,map_b_split_lane,5,4001,4006,0,1,3,117,-4.660871682019206,0.7199999690055847,1,-2,37.0,8.008695162259615,neutral,0,loss,0,0,1,0,0,0,0,8,1,0,0,2,3,0,78,31,125,234,234,0,7,117,-0.6045805811882019,-100.0,-0.5,0.11636765442915961,0.6410256410256411,0.0,1.358974358974359,0.0,1.193224947549339,0.7938467430539875,0.5213675213675214,0.2766729567804907,0.29178644220034283,0.8001238092398032,0.8662094244590173,0.6602564102564102,-0.03928371006591931,0.5470085470085471,0.5470085470085471,117.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts/v6i26_lro_niches_round1_seed1/final_v6i26_lro_z3_r1_25u_seed1.zip,OP10_AGGRESSIVE_INTERCEPTOR,0,map_b_split_lane,6,4001,4007,0,1,3,116,-3.443312057701405,0.6399999856948853,1,-2,34.0,9.256509715113147,neutral,0,loss,0,0,3,0,0,1,0,2,2,0,0,1,1,0,163,7,62,221,220,0,12,116,-0.6046845316886902,-100.0,-0.5,0.09008259616053567,0.3879310344827586,0.06896551724137931,1.543103448275862,0.0,1.3424421489752572,0.8691254782907921,0.23275862068965517,0.28346066022741384,0.4033565027318124,0.778899130122415,0.8921431883655745,0.5797413793103449,0.00118876738619381,0.6810344827586207,0.6810344827586207,116.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts/v6i26_lro_niches_round1_seed1/final_v6i26_lro_z3_r1_25u_seed1.zip,OP10_AGGRESSIVE_INTERCEPTOR,0,map_b_split_lane,7,4001,4008,1,3,2,123,-1.914403862087056,0.7599999904632568,1,1,41.0,7.755163177242124,neutral,0,win,0,0,4,0,0,2,0,3,1,0,2,1,3,1,95,26,125,220,218,0,12,123,0.6151542663574219,100.0,0.7212499380111694,0.10474170063720728,0.7235772357723578,0.3008130081300813,0.975609756097561,0.2845528455284553,0.914829750068304,0.8953434014465751,0.6504065040650406,0.2299918919438269,0.2779395846210844,0.8342726138549122,0.8444289957604757,0.6056910569105691,-0.224567824352687,0.2845528455284553,0.2845528455284553,123.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts/v6i26_lro_niches_round1_seed1/final_v6i26_lro_z3_r1_25u_seed1.zip,OP10_AGGRESSIVE_INTERCEPTOR,0,map_b_split_lane,8,4001,4009,1,3,1,86,-0.6677782815531828,0.7199999690055847,1,2,34.0,6.813480820766715,neutral,0,win,0,0,0,0,0,0,0,4,3,0,1,2,1,0,56,16,100,172,172,0,11,86,0.6481776237487793,100.0,0.7906249761581421,0.1598901482905413,0.8372093023255814,0.26744186046511625,0.8953488372093024,0.1744186046511628,0.7168086899747682,1.1030982940262832,0.29069767441860467,0.2191698845735816,0.313769216281037,0.9079000076582265,0.7867228361063225,0.6424418604651163,-0.06672020222952502,0.32558139534883723,0.32558139534883723,86.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts/v6i26_lro_niches_round1_seed1/final_v6i26_lro_z3_r1_25u_seed1.zip,OP10_AGGRESSIVE_INTERCEPTOR,0,map_b_split_lane,9,4001,4010,1,3,1,94,-0.4897550211753696,0.5600000023841858,0,2,33.0,6.78352648146609,neutral,0,win,1,1,2,0,0,2,0,4,3,0,1,2,1,0,80,11,97,167,165,0,16,94,0.6459196209907532,100.0,0.7756249904632568,0.1396280904994049,0.6382978723404256,0.43617021276595747,0.925531914893617,0.1276595744680851,0.8097107080703086,1.1497559801853718,0.26595744680851063,0.22709271240424603,0.35383109225237624,0.8958067063321459,0.8111830734192057,0.550531914893617,-0.33165157549975555,0.3404255319148936,0.3404255319148936,94.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
