checkpoint,opponent,latent_z,map,episode_index,cell_seed,episode_seed,success,blue_score,red_score,steps,return,zone_coverage,collision_free,win_margin,time_to_first_score,mean_inter_robot_dist,episode_start_phase,fixed_latent_id,outcome,collisions_per_episode,collision_events_per_episode,obstacle_collision_events_per_episode,blue_stuck_steps,red_stuck_steps,blue_blocked_movement_events,blue_obstacle_collision_events,blue_route_switches,blue_attack_upper_crossings,blue_attack_lower_crossings,blue_return_upper_crossings,blue_return_lower_crossings,blue_intercept_upper_crossings,blue_intercept_lower_crossings,blue_upper_lane_steps,blue_lower_lane_steps,blue_neutral_lane_steps,blue_movement_attempts,blue_successful_movement_steps,blue_repeated_blocked_movement_events,near_misses_per_episode,decision_steps,reward_total,reward_sparse_points,reward_offense,behavior_team_spread,behavior_num_attackers,behavior_num_defenders,behavior_num_go_to,behavior_carrier_escort_count,behavior_nearest_blue_to_carrier,behavior_nearest_blue_to_enemy_carrier,behavior_n_intercept_near_enemy_carrier,behavior_avg_blue_to_enemy_flag,behavior_avg_blue_to_own_flag,behavior_intercept_pressure,behavior_defense_pressure,behavior_attack_defense_ratio,coord_pairwise_head0_pearson_mean,coord_head0_team_agreement_rate,coord_full_action_team_agreement_rate,coord_trajectory_steps,strategy_switches,strategy_switch_rate,strategy_resamples,strategy_resample_rate,strategy_unique_count,strategy_entropy_mean,strategy_dominant,strategy_occupancy_0,strategy_occupancy_1,strategy_occupancy_2,strategy_occupancy_3,strategy_phase_blue_attack_occupancy_0,strategy_phase_blue_attack_occupancy_1,strategy_phase_blue_attack_occupancy_2,strategy_phase_blue_attack_occupancy_3,strategy_phase_blue_defense_occupancy_0,strategy_phase_blue_defense_occupancy_1,strategy_phase_blue_defense_occupancy_2,strategy_phase_blue_defense_occupancy_3,strategy_phase_both_flags_occupancy_0,strategy_phase_both_flags_occupancy_1,strategy_phase_both_flags_occupancy_2,strategy_phase_both_flags_occupancy_3,strategy_phase_neutral_occupancy_0,strategy_phase_neutral_occupancy_1,strategy_phase_neutral_occupancy_2,strategy_phase_neutral_occupancy_3
artifacts/v6i26_lro_niches_round1_seed1/final_v6i26_lro_z3_r1_25u_seed1.zip,OP12_LATE_CONVERTER,0,map_b_split_lane,0,6001,6001,1,3,2,119,-2.9626855402311776,0.6800000071525574,1,1,34.0,7.459160299862132,neutral,0,win,0,0,5,0,0,0,0,7,3,0,0,3,3,0,72,23,143,238,238,0,13,119,0.6165342330932617,100.0,0.7287499904632568,0.10300293569492192,0.773109243697479,0.058823529411764705,1.1680672268907564,0.19327731092436976,0.9233228158863152,0.9995687295596639,0.3025210084033613,0.21265099333802692,0.30582222483363475,0.8717064441753035,0.8320603325587361,0.6785714285714286,0.20746254510129755,0.5126050420168067,0.5126050420168067,119.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts/v6i26_lro_niches_round1_seed1/final_v6i26_lro_z3_r1_25u_seed1.zip,OP12_LATE_CONVERTER,0,map_b_split_lane,1,6001,6002,1,3,2,94,-1.6568763872201089,0.6399999856948853,1,1,34.0,7.8909171895777925,neutral,0,win,0,0,1,0,0,0,0,5,3,0,0,3,2,0,63,21,104,188,188,0,12,94,0.6238864660263062,100.0,0.7756249904632568,0.15915443625380385,0.8617021276595744,0.0851063829787234,1.0212765957446808,0.0425531914893617,0.8659819924133889,0.9252073156865354,0.3191489361702128,0.25881527483146244,0.3100671353650854,0.8744885477613895,0.84739702559532,0.7021276595744681,0.14586600898822474,0.5,0.44680851063829785,94.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts/v6i26_lro_niches_round1_seed1/final_v6i26_lro_z3_r1_25u_seed1.zip,OP12_LATE_CONVERTER,0,map_b_split_lane,2,6001,6003,0,2,3,139,-4.484626466844929,0.5999999642372131,1,-1,33.0,8.316926146582734,neutral,0,loss,0,0,1,0,0,1,0,2,3,0,1,1,2,0,178,5,95,277,276,0,36,139,-0.5797845125198364,-100.0,-0.5,0.10457681876560337,0.6690647482014388,0.2302158273381295,1.1007194244604317,0.08633093525179857,1.185627411166541,0.9648822166776057,0.17985611510791366,0.25827080535320496,0.3922846887073071,0.819822710623844,0.8592245381513088,0.6097122302158273,0.08729699626757156,0.5611510791366906,0.5539568345323741,139.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts/v6i26_lro_niches_round1_seed1/final_v6i26_lro_z3_r1_25u_seed1.zip,OP12_LATE_CONVERTER,0,map_b_split_lane,3,6001,6004,1,3,2,105,-1.5326366059307475,0.7999999523162842,1,1,34.0,8.357378859747024,neutral,0,win,0,0,0,0,0,2,0,5,3,1,0,3,0,0,73,31,106,187,185,0,9,105,0.6203716397285461,100.0,0.7549999952316284,0.14523527748173193,0.5619047619047619,0.20952380952380953,1.2285714285714286,0.047619047619047616,0.9203771305935723,1.0033260579797483,0.23809523809523808,0.25866781224807106,0.3596534902141208,0.8675391986256554,0.8081291391735985,0.5880952380952381,-0.03294976518945223,0.6095238095238096,0.6095238095238096,105.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts/v6i26_lro_niches_round1_seed1/final_v6i26_lro_z3_r1_25u_seed1.zip,OP12_LATE_CONVERTER,0,map_b_split_lane,4,6001,6005,1,3,1,95,-1.1266483443323523,0.5199999809265137,1,2,35.0,7.862284770764803,neutral,0,win,0,0,0,0,0,1,0,4,3,0,1,2,3,0,69,11,110,184,183,0,27,95,0.6414104700088501,100.0,0.740951418876648,0.11583217839269262,0.7684210526315789,0.042105263157894736,1.1894736842105262,0.24210526315789474,0.7815641006356792,0.9708108635913385,0.3684210526315789,0.21496631493301768,0.3262427082971523,0.8844095882616545,0.8517938739375064,0.6815789473684211,0.3737414829768741,0.6631578947368421,0.6631578947368421,95.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts/v6i26_lro_niches_round1_seed1/final_v6i26_lro_z3_r1_25u_seed1.zip,OP12_LATE_CONVERTER,0,map_b_split_lane,5,6001,6006,1,3,1,108,-1.4799844503286295,0.7199999690055847,1,2,44.0,5.715460883246528,neutral,0,win,0,0,2,0,0,0,1,4,4,0,2,1,2,0,58,22,136,216,216,0,26,108,0.642559289932251,100.0,0.7493749856948853,0.06546405710590382,0.8148148148148148,0.2962962962962963,0.8333333333333334,0.4351851851851852,0.8113775066858916,1.2494214559318844,0.35185185185185186,0.20827142300981064,0.27260989833761146,0.8444056063890457,0.769018801274123,0.6226851851851852,0.1297559463300288,0.4351851851851852,0.4351851851851852,108.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts/v6i26_lro_niches_round1_seed1/final_v6i26_lro_z3_r1_25u_seed1.zip,OP12_LATE_CONVERTER,0,map_b_split_lane,6,6001,6007,0,2,3,107,-3.0241712860006373,0.5999999642372131,1,-1,34.0,8.503127053519275,neutral,0,loss,0,0,1,0,0,2,0,5,4,0,0,2,0,2,108,20,86,199,197,0,13,107,-0.5804973244667053,-100.0,-0.5,0.11668834186846687,0.6635514018691588,0.037383177570093455,1.2990654205607477,0.16822429906542055,1.08676698883978,0.8975338750980167,0.11214953271028037,0.2566461876626605,0.35206664374498564,0.825733546341691,0.882900243607637,0.6565420560747663,0.3010660594330567,0.616822429906542,0.616822429906542,107.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts/v6i26_lro_niches_round1_seed1/final_v6i26_lro_z3_r1_25u_seed1.zip,OP12_LATE_CONVERTER,0,map_b_split_lane,7,6001,6008,1,3,2,109,-1.9032489199598785,0.7199999690055847,1,1,34.0,7.84941451046445,neutral,0,win,0,0,1,0,0,0,0,5,3,0,0,3,1,0,65,19,134,218,218,0,11,109,0.5876173377037048,100.0,0.747499942779541,0.1551858215259576,0.8256880733944955,0.07339449541284404,1.1009174311926606,0.08256880733944955,0.9073439355290264,0.9735079713575884,0.3119266055045872,0.23926262694214462,0.3367765343517338,0.8814174964887287,0.848324142464804,0.6880733944954128,0.3332957630876921,0.5871559633027523,0.5412844036697247,109.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts/v6i26_lro_niches_round1_seed1/final_v6i26_lro_z3_r1_25u_seed1.zip,OP12_LATE_CONVERTER,0,map_b_split_lane,8,6001,6009,1,3,2,110,-1.8386021835030988,0.6399999856948853,1,1,34.0,6.973881946910511,neutral,0,win,0,0,1,0,0,0,0,7,3,0,0,3,2,0,65,23,132,220,220,0,15,110,0.619339108467102,100.0,0.7456250190734863,0.10222561911425808,0.8272727272727273,0.10909090909090909,1.0636363636363637,0.13636363636363635,0.8901161669330163,1.0642344722693617,0.18181818181818182,0.23500209416855466,0.33669336316260423,0.8510611539537256,0.8118074617602609,0.6795454545454546,0.2551400813664114,0.5727272727272728,0.5545454545454546,110.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts/v6i26_lro_niches_round1_seed1/final_v6i26_lro_z3_r1_25u_seed1.zip,OP12_LATE_CONVERTER,0,map_b_split_lane,9,6001,6010,1,3,2,110,-1.1837470657774247,0.5600000023841858,1,1,34.0,7.702746027166193,neutral,0,win,0,0,2,0,0,3,0,1,3,0,3,0,1,0,121,2,97,181,178,0,12,110,0.6189278364181519,100.0,0.7456250190734863,0.1397724244912917,0.5,0.42727272727272725,1.0727272727272728,0.22727272727272727,0.8773076554252343,1.0474268812347542,0.07272727272727272,0.23213563857769423,0.3618066504597664,0.8642475442452864,0.8352378834377635,0.5181818181818182,-0.21092885199826536,0.3090909090909091,0.3090909090909091,110.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
