checkpoint,opponent,latent_z,map,episode_index,cell_seed,episode_seed,success,blue_score,red_score,steps,return,zone_coverage,collision_free,win_margin,time_to_first_score,mean_inter_robot_dist,episode_start_phase,fixed_latent_id,outcome,collisions_per_episode,collision_events_per_episode,obstacle_collision_events_per_episode,blue_stuck_steps,red_stuck_steps,blue_blocked_movement_events,blue_obstacle_collision_events,blue_route_switches,blue_attack_upper_crossings,blue_attack_lower_crossings,blue_return_upper_crossings,blue_return_lower_crossings,blue_intercept_upper_crossings,blue_intercept_lower_crossings,blue_upper_lane_steps,blue_lower_lane_steps,blue_neutral_lane_steps,blue_movement_attempts,blue_successful_movement_steps,blue_repeated_blocked_movement_events,near_misses_per_episode,decision_steps,reward_total,reward_sparse_points,reward_offense,behavior_team_spread,behavior_num_attackers,behavior_num_defenders,behavior_num_go_to,behavior_carrier_escort_count,behavior_nearest_blue_to_carrier,behavior_nearest_blue_to_enemy_carrier,behavior_n_intercept_near_enemy_carrier,behavior_avg_blue_to_enemy_flag,behavior_avg_blue_to_own_flag,behavior_intercept_pressure,behavior_defense_pressure,behavior_attack_defense_ratio,coord_pairwise_head0_pearson_mean,coord_head0_team_agreement_rate,coord_full_action_team_agreement_rate,coord_trajectory_steps,strategy_switches,strategy_switch_rate,strategy_resamples,strategy_resample_rate,strategy_unique_count,strategy_entropy_mean,strategy_dominant,strategy_occupancy_0,strategy_occupancy_1,strategy_occupancy_2,strategy_occupancy_3,strategy_phase_blue_attack_occupancy_0,strategy_phase_blue_attack_occupancy_1,strategy_phase_blue_attack_occupancy_2,strategy_phase_blue_attack_occupancy_3,strategy_phase_blue_defense_occupancy_0,strategy_phase_blue_defense_occupancy_1,strategy_phase_blue_defense_occupancy_2,strategy_phase_blue_defense_occupancy_3,strategy_phase_both_flags_occupancy_0,strategy_phase_both_flags_occupancy_1,strategy_phase_both_flags_occupancy_2,strategy_phase_both_flags_occupancy_3,strategy_phase_neutral_occupancy_0,strategy_phase_neutral_occupancy_1,strategy_phase_neutral_occupancy_2,strategy_phase_neutral_occupancy_3
artifacts\v6i23_population_birth_5u_seed1\final_v6i23_population_birth_5u_seed1_2v2.zip,OP6_IMMEDIATE_DUAL_RUSH,0,map_b_split_lane,0,1,1,0,1,3,120,-5.323395383253228,0.6399999856948853,1,-2,42.0,8.887725830078125,neutral,0,loss,0,0,0,0,0,1,0,3,4,0,0,1,3,0,139,6,95,219,218,0,9,120,-0.6044371128082275,-100.0,-0.5,0.0930932913829262,0.3333333333333333,0.0,1.6666666666666667,0.008333333333333333,1.3469633728265762,0.827914074746271,0.375,0.31465971246361735,0.31025838845719894,0.7456105088194211,0.877903938293457,0.5833333333333334,0.3409434723129334,0.8166666666666667,0.7833333333333333,120.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts\v6i23_population_birth_5u_seed1\final_v6i23_population_birth_5u_seed1_2v2.zip,OP6_IMMEDIATE_DUAL_RUSH,0,map_b_split_lane,1,1,2,0,1,3,145,-5.1005535997264815,0.7599999904632568,1,-2,35.0,8.560367557920259,neutral,0,loss,0,0,2,0,0,1,0,5,2,1,1,2,1,1,159,25,106,261,260,0,19,145,-0.6300877332687378,-100.0,-0.47553494572639465,0.1386897972752822,0.5517241379310345,0.1793103448275862,1.2689655172413794,0.06896551724137931,1.1256399456283142,0.9077094112490786,0.2896551724137931,0.2604588492163296,0.3859807605373448,0.8294662344044652,0.8477630837210294,0.593103448275862,0.13033798328277105,0.5724137931034483,0.5724137931034483,145.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts\v6i23_population_birth_5u_seed1\final_v6i23_population_birth_5u_seed1_2v2.zip,OP6_IMMEDIATE_DUAL_RUSH,0,map_b_split_lane,2,1,3,1,3,1,115,-0.9289266348641831,0.5999999642372131,1,2,32.0,8.638223399286685,neutral,0,win,0,0,3,0,0,1,0,5,4,0,0,3,1,0,98,20,112,220,219,0,7,115,0.6404165625572205,100.0,0.7362499833106995,0.12807870386573283,0.5826086956521739,0.1826086956521739,1.2347826086956522,0.02608695652173913,0.9882161744262861,1.2001142932992914,0.20869565217391303,0.2532517105988834,0.3650201320000317,0.8606517646623695,0.7820831293645112,0.6,0.06521669339496967,0.46956521739130436,0.3130434782608696,115.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts\v6i23_population_birth_5u_seed1\final_v6i23_population_birth_5u_seed1_2v2.zip,OP6_IMMEDIATE_DUAL_RUSH,0,map_b_split_lane,3,1,4,1,3,1,93,-0.46494215971324593,0.5999999642372131,1,2,32.0,7.761437200730847,neutral,0,win,0,0,1,0,0,1,0,3,3,0,1,2,1,0,84,11,91,172,171,0,11,93,0.6461926698684692,100.0,0.7775000333786011,0.14414487521774988,0.6129032258064516,0.24731182795698925,1.1397849462365592,0.12903225806451613,0.7934464779632386,1.1410894451602813,0.26881720430107525,0.22606093336337357,0.3582460952381934,0.8996332569788861,0.8170427295469469,0.5913978494623656,0.1648414995630623,0.45161290322580644,0.45161290322580644,93.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts\v6i23_population_birth_5u_seed1\final_v6i23_population_birth_5u_seed1_2v2.zip,OP6_IMMEDIATE_DUAL_RUSH,0,map_b_split_lane,4,1,5,0,2,3,141,-4.473701683600666,0.6800000071525574,1,-1,38.0,8.306360988752216,neutral,0,loss,0,0,6,0,0,3,0,4,1,0,0,2,2,0,65,10,207,174,171,0,18,141,-0.6138366460800171,-100.0,-0.5,0.18377286224817554,0.2907801418439716,1.24822695035461,0.45390070921985815,0.0851063829787234,1.1942587301187904,0.9530527487608558,0.3049645390070922,0.35474209439881305,0.22880451752414518,0.7642433038840057,0.824854645323246,0.26063829787234044,0.08276134355040331,0.2553191489361702,0.22695035460992907,141.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0
artifacts\v6i23_population_birth_5u_seed1\final_v6i23_population_birth_5u_seed1_2v2.zip,OP6_IMMEDIATE_DUAL_RUSH,0,map_b_split_lane,5,1,6,1,3,1,86,-0.6795150685647968,0.7199999690055847,0,2,32.0,6.694316775299782,neutral,0,win,1,1,6,0,0,0,1,3,3,0,2,1,1,0,65,13,94,172,172,0,18,86,0.6483860015869141,100.0,0.7906249761581421,0.1264546776060448,1.0232558139534884,0.6511627906976745,0.32558139534883723,0.23255813953488372,0.6910350286553419,1.091444935736268,0.4418604651162791,0.20496681600072703,0.3208273169259692,0.9133576813132264,0.8072113789791284,0.5930232558139535,-0.5682498534692437,0.2558139534883721,0.2558139534883721,86.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts\v6i23_population_birth_5u_seed1\final_v6i23_population_birth_5u_seed1_2v2.zip,OP6_IMMEDIATE_DUAL_RUSH,0,map_b_split_lane,6,1,7,1,3,2,141,-1.7560477550287032,0.7599999904632568,1,1,34.0,7.87430134225399,neutral,0,win,0,0,4,0,0,2,1,4,2,1,0,3,1,0,150,36,96,262,260,0,16,141,0.6102408766746521,100.0,0.6875,0.12791434446917782,0.48936170212765956,0.24113475177304963,1.2695035460992907,0.07092198581560284,1.0752035299091474,1.1046966588560572,0.20567375886524822,0.25728585343834354,0.37386541755486885,0.8436768676372285,0.8206235893229221,0.5620567375886525,0.12702653726422125,0.46099290780141844,0.3829787234042553,141.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts\v6i23_population_birth_5u_seed1\final_v6i23_population_birth_5u_seed1_2v2.zip,OP6_IMMEDIATE_DUAL_RUSH,0,map_b_split_lane,7,1,8,0,2,3,143,-4.600181462301407,0.7199999690055847,1,-1,45.0,8.68765450857736,neutral,0,loss,0,0,8,0,0,5,0,4,1,0,0,2,2,0,56,14,216,197,192,0,13,143,-0.5773021578788757,-100.0,-0.48248934745788574,0.17849377554457088,0.3076923076923077,0.965034965034965,0.7202797202797203,0.08391608391608392,1.1918872336016877,0.8232354950029533,0.40559440559440557,0.35319313700669086,0.23148302735200713,0.7675200263103406,0.8731654590660042,0.3374125874125874,-0.08634640478160434,0.055944055944055944,0.027972027972027972,143.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts\v6i23_population_birth_5u_seed1\final_v6i23_population_birth_5u_seed1_2v2.zip,OP6_IMMEDIATE_DUAL_RUSH,0,map_b_split_lane,8,1,9,1,3,1,94,-1.4665960956772324,0.5999999642372131,1,2,43.0,7.160074436918218,neutral,0,win,0,0,0,0,0,0,0,4,1,1,0,3,2,0,36,39,113,188,188,0,14,94,0.3751285970211029,0.0,0.27562499046325684,0.1480877455720242,0.5851063829787234,0.5106382978723404,0.9042553191489362,0.23404255319148937,0.8098225098182547,1.1132989713644728,0.3723404255319149,0.23461392953833368,0.273363591429401,0.8736499142139516,0.8180732942642049,0.5186170212765957,-0.3169229977262856,0.24468085106382978,0.18085106382978725,94.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts\v6i23_population_birth_5u_seed1\final_v6i23_population_birth_5u_seed1_2v2.zip,OP6_IMMEDIATE_DUAL_RUSH,0,map_b_split_lane,9,1,10,1,3,1,105,-1.8908260301104747,0.7199999690055847,1,2,46.0,7.900683012462798,neutral,0,win,0,0,1,0,0,1,0,4,3,1,0,3,1,0,62,27,121,208,207,0,8,105,0.6430259346961975,100.0,0.7549999952316284,0.14459927454590799,0.5619047619047619,0.37142857142857144,1.0666666666666667,0.0761904761904762,0.9286440208554267,1.1492053595327196,0.29523809523809524,0.24448217724760374,0.29212752296811056,0.8822168492135547,0.784867837315514,0.5476190476190477,-0.08783498524366119,0.38095238095238093,0.29523809523809524,105.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
