episode_id,run_id,run_pid,timesteps,policy_update,rollout_step,latent_z,curriculum_phase,mode,map_set,map_layout,map_id,map_vertical_mirror,opponent,opponent_id,success,blue_score,red_score,win_margin,decision_steps,zone_coverage,collision_free_episode,collision_events_per_episode,obstacle_collision_events_per_episode,near_misses_per_episode,blue_route_upper_crossings,blue_route_lower_crossings,red_route_upper_crossings,red_route_lower_crossings,blue_attack_upper_crossings,blue_attack_lower_crossings,blue_return_upper_crossings,blue_return_lower_crossings,blue_intercept_upper_crossings,blue_intercept_lower_crossings,red_attack_upper_crossings,red_attack_lower_crossings,red_return_upper_crossings,red_return_lower_crossings,red_intercept_upper_crossings,red_intercept_lower_crossings,time_to_first_score,mean_inter_robot_dist,reward_terminal,reward_offense,reward_pbrs,reward_team,reward_sparse,reward_sparse_points,reward_failure,reward_total
1,41312-1784868209295809400,41312,10648,10,102,3,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,1,SCRIPTED:OP10_AGGRESSIVE_INTERCEPTOR,,0,2,3,-1,102,0.6800000071525574,0,1,0,14,5,5,6,10,1,2,1,1,3,1,1,4,1,2,3,2,30.0,6.132642558976715,-1.149999976158142,-0.47687187790870667,0.016458868980407715,0.019999999552965164,-1.0,-100.0,-0.4000000059604645,-0.6377898454666138
2,41312-1784868209295809400,41312,10676,10,109,3,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,1,SCRIPTED:OP10_AGGRESSIVE_INTERCEPTOR,,1,3,2,1,109,0.5600000023841858,1,0,11,22,4,9,3,10,1,2,1,2,2,3,0,2,1,1,2,6,29.0,5.51108208052609,1.149999976158142,0.747499942779541,-0.009358823299407959,0.0,1.0,100.0,-0.20000000298023224,0.5874674320220947
3,41312-1784868209295809400,41312,10684,10,111,3,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,1,SCRIPTED:OP10_AGGRESSIVE_INTERCEPTOR,,0,2,3,-1,111,0.6399999856948853,1,0,1,19,9,4,7,3,3,0,2,0,4,4,3,1,1,2,1,0,33.0,7.082252846107827,-1.149999976158142,-0.5,-0.0009243190288543701,0.0,-1.0,-100.0,-0.20000000298023224,-0.6122782230377197
4,41312-1784868209295809400,41312,10708,10,117,3,OP3,OPPONENT_POOL,train,map_b_split_lane,0,0,SCRIPTED:OP10_AGGRESSIVE_INTERCEPTOR,,1,3,1,2,117,0.5199999809265137,0,1,10,21,0,16,0,12,0,6,0,3,0,3,0,2,0,1,0,8,54.0,6.123876327123398,1.2999999523162842,0.7324999570846558,-0.006859317421913147,0.0,1.0,100.0,0.0,0.6397179365158081
5,41312-1784868209295809400,41312,11076,10,209,3,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,1,SCRIPTED:OP11_ADAPTIVE_EXPLOITER,,1,3,2,1,107,0.6800000071525574,1,0,0,12,7,6,6,7,0,2,2,1,4,2,2,1,0,2,3,4,40.0,5.546265789281542,1.149999976158142,0.7512499690055847,-0.00015406310558319092,0.0,1.0,100.0,0.0,0.6201832294464111
6,41312-1784868209295809400,41312,11108,10,217,3,OP3,OPPONENT_POOL,train,map_b_split_lane,0,1,SCRIPTED:OP6_IMMEDIATE_DUAL_RUSH,,1,3,2,1,106,0.6800000071525574,1,0,0,24,1,5,3,7,1,2,0,3,0,0,1,0,1,1,0,6,41.0,6.71898032134434,1.149999976158142,0.7531249523162842,-0.00408703088760376,0.0,1.0,100.0,-0.20000000298023224,0.5886030197143555
7,41312-1784868209295809400,41312,11124,10,221,3,OP3,OPPONENT_POOL,train,map_b_split_lane,0,0,SCRIPTED:OP8_PROTECTED_CARRIER_ESCORT,,1,3,2,1,112,0.5600000023841858,1,0,4,46,0,14,1,11,0,4,0,3,0,5,0,3,1,1,0,6,43.0,6.239235469273159,1.149999976158142,0.7418749928474426,-0.0064643025398254395,0.0,1.0,100.0,-0.20000000298023224,0.5866644382476807
8,41312-1784868209295809400,41312,11208,10,242,3,OP3,OPPONENT_POOL,train,map_b_split_lane,0,0,SCRIPTED:OP6_IMMEDIATE_DUAL_RUSH,,0,2,3,-1,125,0.7599999904632568,0,1,4,14,2,6,0,13,1,1,0,3,1,2,0,2,0,3,0,8,42.0,7.11240283203125,-1.149999976158142,-0.47049209475517273,-0.0021458715200424194,0.019999999552965164,-1.0,-100.0,0.0,-0.5743613839149475
9,41312-1784868209295809400,41312,11460,11,49,3,OP3,OPPONENT_POOL,train,map_b_split_lane,0,1,SCRIPTED:OP7_DEEP_FORTRESS,,1,3,1,2,96,0.7999999523162842,1,0,0,20,7,3,1,10,4,1,1,2,0,0,0,2,0,1,1,6,37.0,7.851936340332031,1.2999999523162842,0.7718749642372131,-0.010162167251110077,0.0,1.0,100.0,0.0,0.6453763246536255
10,41312-1784868209295809400,41312,11500,11,59,3,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,0,SCRIPTED:OP6_IMMEDIATE_DUAL_RUSH,,1,3,2,1,98,0.7999999523162842,0,1,0,31,4,6,0,10,2,1,0,3,1,1,0,1,0,2,0,5,31.0,5.547541404257015,1.149999976158142,0.7681249380111694,0.001520201563835144,0.0,1.0,100.0,-0.20000000298023224,0.5912763476371765
11,41312-1784868209295809400,41312,11576,11,78,3,OP3,OPPONENT_POOL,train,map_b_split_lane,0,1,SCRIPTED:OP9_SPLIT_LANE_FEINT,,1,3,1,2,113,0.7199999690055847,1,0,1,9,5,3,5,5,2,2,2,1,0,0,0,1,0,1,4,2,39.0,6.944428300435564,1.2999999523162842,0.7400000095367432,-0.00372140109539032,0.0,1.0,100.0,0.0,0.6409399509429932
12,41312-1784868209295809400,41312,11624,11,90,3,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,0,SCRIPTED:OP12_LATE_CONVERTER,,0,2,3,-1,104,0.6399999856948853,1,0,4,26,1,12,1,8,1,4,0,3,0,5,0,3,1,2,0,2,33.0,6.6891608605018025,-1.149999976158142,-0.47176194190979004,0.017119035124778748,0.019999999552965164,-1.0,-100.0,0.0,-0.5737669467926025
13,41312-1784868209295809400,41312,11864,11,150,3,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,0,SCRIPTED:OP10_AGGRESSIVE_INTERCEPTOR,,1,3,2,1,101,0.5600000023841858,0,2,8,25,1,8,0,12,1,2,0,3,0,3,0,3,0,2,0,4,32.0,5.845633629525062,1.149999976158142,0.762499988079071,-0.008107826113700867,0.0,1.0,100.0,-0.20000000298023224,0.5899688005447388
