checkpoint,opponent,latent_z,map,episode_index,cell_seed,episode_seed,success,blue_score,red_score,steps,return,zone_coverage,collision_free,win_margin,time_to_first_score,mean_inter_robot_dist,episode_start_phase,fixed_latent_id,outcome,collisions_per_episode,collision_events_per_episode,obstacle_collision_events_per_episode,blue_stuck_steps,red_stuck_steps,blue_blocked_movement_events,blue_obstacle_collision_events,blue_route_switches,blue_attack_upper_crossings,blue_attack_lower_crossings,blue_return_upper_crossings,blue_return_lower_crossings,blue_intercept_upper_crossings,blue_intercept_lower_crossings,blue_upper_lane_steps,blue_lower_lane_steps,blue_neutral_lane_steps,blue_movement_attempts,blue_successful_movement_steps,blue_repeated_blocked_movement_events,near_misses_per_episode,decision_steps,reward_total,reward_sparse_points,reward_offense,behavior_team_spread,behavior_num_attackers,behavior_num_defenders,behavior_num_go_to,behavior_carrier_escort_count,behavior_nearest_blue_to_carrier,behavior_nearest_blue_to_enemy_carrier,behavior_n_intercept_near_enemy_carrier,behavior_avg_blue_to_enemy_flag,behavior_avg_blue_to_own_flag,behavior_intercept_pressure,behavior_defense_pressure,behavior_attack_defense_ratio,coord_pairwise_head0_pearson_mean,coord_head0_team_agreement_rate,coord_full_action_team_agreement_rate,coord_trajectory_steps,strategy_switches,strategy_switch_rate,strategy_resamples,strategy_resample_rate,strategy_unique_count,strategy_entropy_mean,strategy_dominant,strategy_occupancy_0,strategy_occupancy_1,strategy_occupancy_2,strategy_occupancy_3,strategy_phase_blue_attack_occupancy_0,strategy_phase_blue_attack_occupancy_1,strategy_phase_blue_attack_occupancy_2,strategy_phase_blue_attack_occupancy_3,strategy_phase_blue_defense_occupancy_0,strategy_phase_blue_defense_occupancy_1,strategy_phase_blue_defense_occupancy_2,strategy_phase_blue_defense_occupancy_3,strategy_phase_both_flags_occupancy_0,strategy_phase_both_flags_occupancy_1,strategy_phase_both_flags_occupancy_2,strategy_phase_both_flags_occupancy_3,strategy_phase_neutral_occupancy_0,strategy_phase_neutral_occupancy_1,strategy_phase_neutral_occupancy_2,strategy_phase_neutral_occupancy_3
artifacts\v6i26_margin_actor_step_5u_seed1\final_v6i26_lro_actor_step_z0_r1_5u_seed1.zip,OP11_ADAPTIVE_EXPLOITER,0,map_b_split_lane,0,1,1,1,3,2,109,-3.4181408416479826,0.5600000023841858,1,1,39.0,5.9317117393563645,neutral,0,win,0,0,5,0,0,0,1,1,1,5,0,3,0,3,6,80,132,218,218,0,53,109,0.5874760746955872,100.0,0.747499942779541,0.08398977717504315,1.4678899082568808,0.5321100917431193,0.0,0.3669724770642202,0.7897307662242049,0.9550981629605687,0.3761467889908257,0.20547459691489509,0.28648198165272903,0.8593506184192973,0.8412399034981334,0.7339449541284404,-0.353135626781298,0.46788990825688076,0.3486238532110092,109.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts\v6i26_margin_actor_step_5u_seed1\final_v6i26_lro_actor_step_z0_r1_5u_seed1.zip,OP11_ADAPTIVE_EXPLOITER,0,map_b_split_lane,1,1,2,1,3,2,97,-2.451526638586074,0.6800000071525574,0,1,34.0,5.288219333923969,neutral,0,win,1,1,3,0,0,0,2,1,1,2,0,3,0,2,9,71,114,194,194,0,45,97,0.5911977291107178,100.0,0.7699999809265137,0.08395490392120843,1.4329896907216495,0.5670103092783505,0.0,0.4948453608247423,0.7170564249618766,0.9072833034526748,0.5463917525773195,0.18615069265294934,0.2750816916298006,0.866627306053319,0.8363276885956833,0.7164948453608248,-0.37915416582545935,0.4329896907216495,0.2268041237113402,97.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts\v6i26_margin_actor_step_5u_seed1\final_v6i26_lro_actor_step_z0_r1_5u_seed1.zip,OP11_ADAPTIVE_EXPLOITER,0,map_b_split_lane,2,1,3,1,3,1,104,-2.6313573969819117,0.5199999809265137,1,2,36.0,5.603672907902644,neutral,0,win,0,0,6,0,0,0,0,1,1,3,0,3,0,3,5,71,132,208,208,0,39,104,0.6130226850509644,100.0,0.7568749785423279,0.054513414757541165,1.4615384615384615,0.5384615384615384,0.0,0.5384615384615384,0.7404543049633503,1.1971765994452512,0.20192307692307693,0.1846967075073805,0.281428829068318,0.8542809916230348,0.7700520518880624,0.7307692307692307,-0.35824495074664087,0.46153846153846156,0.38461538461538464,104.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts\v6i26_margin_actor_step_5u_seed1\final_v6i26_lro_actor_step_z0_r1_5u_seed1.zip,OP11_ADAPTIVE_EXPLOITER,0,map_b_split_lane,3,1,4,1,3,2,104,-2.719523591658799,0.6399999856948853,0,1,32.0,7.038841834435096,neutral,0,win,1,1,1,0,0,0,0,3,3,1,3,0,2,1,54,20,134,208,208,0,27,104,0.5890623331069946,100.0,0.7568749785423279,0.09438063914421946,1.4230769230769231,0.5480769230769231,0.0,0.4230769230769231,0.7613317797748516,0.9649358264600428,0.33653846153846156,0.19975512224034622,0.27167848771652925,0.8564926506235049,0.8593497448242627,0.7115384615384616,-0.3921387278900361,0.4519230769230769,0.33653846153846156,104.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts\v6i26_margin_actor_step_5u_seed1\final_v6i26_lro_actor_step_z0_r1_5u_seed1.zip,OP11_ADAPTIVE_EXPLOITER,1,map_b_split_lane,0,1,1,1,3,2,109,-3.4181408416479826,0.5600000023841858,1,1,39.0,5.9317117393563645,neutral,1,win,0,0,5,0,0,0,1,1,1,5,0,3,0,3,6,80,132,218,218,0,53,109,0.5874760746955872,100.0,0.747499942779541,0.08398977717504315,1.4678899082568808,0.5321100917431193,0.0,0.3669724770642202,0.7897307662242049,0.9550981629605687,0.3761467889908257,0.20547459691489509,0.28648198165272903,0.8593506184192973,0.8412399034981334,0.7339449541284404,-0.353135626781298,0.46788990825688076,0.46788990825688076,109.0,0,0.0,0,0.0,1,0.0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
artifacts\v6i26_margin_actor_step_5u_seed1\final_v6i26_lro_actor_step_z0_r1_5u_seed1.zip,OP11_ADAPTIVE_EXPLOITER,1,map_b_split_lane,1,1,2,1,3,2,97,-2.451526638586074,0.6800000071525574,0,1,34.0,5.288219333923969,neutral,1,win,1,1,3,0,0,0,2,1,1,2,0,3,0,2,9,71,114,194,194,0,45,97,0.5911977291107178,100.0,0.7699999809265137,0.08395490392120843,1.4329896907216495,0.5670103092783505,0.0,0.4948453608247423,0.7170564249618766,0.9072833034526748,0.5463917525773195,0.18615069265294934,0.2750816916298006,0.866627306053319,0.8363276885956833,0.7164948453608248,-0.37915416582545935,0.4329896907216495,0.4329896907216495,97.0,0,0.0,0,0.0,1,0.0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
artifacts\v6i26_margin_actor_step_5u_seed1\final_v6i26_lro_actor_step_z0_r1_5u_seed1.zip,OP11_ADAPTIVE_EXPLOITER,1,map_b_split_lane,2,1,3,1,3,1,104,-2.6313573969819117,0.5199999809265137,1,2,36.0,5.603672907902644,neutral,1,win,0,0,6,0,0,0,0,1,1,3,0,3,0,3,5,71,132,208,208,0,39,104,0.6130226850509644,100.0,0.7568749785423279,0.054513414757541165,1.4615384615384615,0.5384615384615384,0.0,0.5384615384615384,0.7404543049633503,1.1971765994452512,0.20192307692307693,0.1846967075073805,0.281428829068318,0.8542809916230348,0.7700520518880624,0.7307692307692307,-0.35824495074664087,0.46153846153846156,0.46153846153846156,104.0,0,0.0,0,0.0,1,0.0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
artifacts\v6i26_margin_actor_step_5u_seed1\final_v6i26_lro_actor_step_z0_r1_5u_seed1.zip,OP11_ADAPTIVE_EXPLOITER,1,map_b_split_lane,3,1,4,1,3,2,104,-2.720374474505661,0.6399999856948853,0,1,32.0,6.976663442758413,neutral,1,win,1,1,2,0,0,0,1,3,3,1,3,0,2,1,54,16,138,208,208,0,26,104,0.5889979004859924,100.0,0.7568749785423279,0.09017235379164609,1.4230769230769231,0.5480769230769231,0.0,0.4519230769230769,0.7529152088368741,0.9830048564606562,0.2980769230769231,0.19554683624301106,0.272825082567019,0.8564926506235049,0.8566864471022899,0.7115384615384616,-0.3921387278900361,0.4519230769230769,0.4519230769230769,104.0,0,0.0,0,0.0,1,0.0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
artifacts\v6i26_margin_actor_step_5u_seed1\final_v6i26_lro_actor_step_z0_r1_5u_seed1.zip,OP11_ADAPTIVE_EXPLOITER,2,map_b_split_lane,0,1,1,1,3,2,109,-3.4181408416479826,0.5600000023841858,1,1,39.0,5.9317117393563645,neutral,2,win,0,0,5,0,0,0,1,1,1,5,0,3,0,3,6,80,132,218,218,0,53,109,0.5874760746955872,100.0,0.747499942779541,0.08398977717504315,1.4678899082568808,0.5321100917431193,0.0,0.3669724770642202,0.7897307662242049,0.9550981629605687,0.3761467889908257,0.20547459691489509,0.28648198165272903,0.8593506184192973,0.8412399034981334,0.7339449541284404,-0.353135626781298,0.46788990825688076,0.46788990825688076,109.0,0,0.0,0,0.0,1,0.0,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
artifacts\v6i26_margin_actor_step_5u_seed1\final_v6i26_lro_actor_step_z0_r1_5u_seed1.zip,OP11_ADAPTIVE_EXPLOITER,2,map_b_split_lane,1,1,2,1,3,2,97,-2.451526638586074,0.6800000071525574,0,1,34.0,5.288219333923969,neutral,2,win,1,1,3,0,0,0,2,1,1,2,0,3,0,2,9,71,114,194,194,0,45,97,0.5911977291107178,100.0,0.7699999809265137,0.08395490392120843,1.4329896907216495,0.5257731958762887,0.041237113402061855,0.4948453608247423,0.7170564249618766,0.9072833034526748,0.5463917525773195,0.18615069265294934,0.2750816916298006,0.866627306053319,0.8363276885956833,0.7268041237113402,-0.26556033049725386,0.4329896907216495,0.4329896907216495,97.0,0,0.0,0,0.0,1,0.0,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
