episode_id,run_id,run_pid,timesteps,policy_update,rollout_step,latent_z,curriculum_phase,mode,map_set,map_layout,map_id,map_vertical_mirror,opponent,opponent_id,success,blue_score,red_score,win_margin,decision_steps,zone_coverage,collision_free_episode,collision_events_per_episode,obstacle_collision_events_per_episode,near_misses_per_episode,blue_route_upper_crossings,blue_route_lower_crossings,red_route_upper_crossings,red_route_lower_crossings,blue_attack_upper_crossings,blue_attack_lower_crossings,blue_return_upper_crossings,blue_return_lower_crossings,blue_intercept_upper_crossings,blue_intercept_lower_crossings,red_attack_upper_crossings,red_attack_lower_crossings,red_return_upper_crossings,red_return_lower_crossings,red_intercept_upper_crossings,red_intercept_lower_crossings,time_to_first_score,mean_inter_robot_dist,reward_terminal,reward_offense,reward_pbrs,reward_team,reward_sparse,reward_sparse_points,reward_failure,reward_total
1,12284-1784992938855812800,12284,13728,13,104,1,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,0,SCRIPTED:OP10_AGGRESSIVE_INTERCEPTOR,,0,3,3,0,104,0.6399999856948853,1,0,9,14,4,6,2,13,1,1,0,3,3,2,1,4,0,3,1,4,34.0,6.752691415640024,-0.5,0.2568749785423279,-0.009437024593353271,0.0,0.0,0.0,-0.20000000298023224,-0.11091288179159164
2,12284-1784992938855812800,12284,13768,13,114,1,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,1,SCRIPTED:OP10_AGGRESSIVE_INTERCEPTOR,,0,2,3,-1,114,0.7999999523162842,1,0,4,13,8,6,6,5,3,1,1,1,2,4,2,2,2,1,1,1,36.0,6.550390946237664,-1.149999976158142,-0.4780799448490143,0.0006564706563949585,0.019999999552965164,-1.0,-100.0,0.0,-0.575514018535614
3,12284-1784992938855812800,12284,13776,13,116,1,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,1,SCRIPTED:OP10_AGGRESSIVE_INTERCEPTOR,,1,3,1,2,116,0.5999999642372131,0,2,3,37,8,6,7,3,2,3,2,1,2,1,1,0,0,1,5,2,39.0,6.39782399144666,1.2999999523162842,0.734375,-0.00945049524307251,0.0,1.0,100.0,0.0,0.6398992538452148
4,12284-1784992938855812800,12284,13796,13,121,1,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,0,SCRIPTED:OP10_AGGRESSIVE_INTERCEPTOR,,0,2,3,-1,121,0.7199999690055847,0,1,2,30,3,11,1,11,1,3,0,2,1,5,0,3,1,2,0,4,30.0,6.1391051741670974,-1.149999976158142,-0.47575876116752625,0.021160021424293518,0.019999999552965164,-1.0,-100.0,0.0,-0.574267566204071
5,12284-1784992938855812800,12284,14208,13,224,1,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,0,SCRIPTED:OP10_AGGRESSIVE_INTERCEPTOR,,1,3,1,2,120,0.5999999642372131,1,0,6,32,0,13,0,10,0,5,0,3,0,3,0,1,0,1,0,7,62.0,5.743466695149739,1.2999999523162842,0.7268749475479126,-0.009033828973770142,0.0,1.0,100.0,0.0,0.6388061046600342
6,12284-1784992938855812800,12284,14216,13,226,1,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,0,SCRIPTED:OP8_PROTECTED_CARRIER_ESCORT,,1,3,2,1,105,0.5999999642372131,0,1,4,32,2,9,0,12,1,1,0,3,1,3,0,1,0,2,0,7,28.0,4.931726655505952,1.149999976158142,0.7549999952316284,-0.006454721093177795,0.0,1.0,100.0,0.0,0.6205177307128906
7,12284-1784992938855812800,12284,14216,13,226,1,OP3,OPPONENT_POOL,train,map_b_split_lane,0,1,SCRIPTED:OP7_DEEP_FORTRESS,,1,3,1,2,112,0.7599999904632568,0,3,5,25,4,13,5,8,2,5,0,3,2,0,2,3,1,1,2,3,34.0,6.902776990618024,1.2999999523162842,0.7104889750480652,0.004810124635696411,0.02499999850988388,1.0,100.0,-0.20000000298023224,0.6072071194648743
8,12284-1784992938855812800,12284,14264,13,238,1,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,0,SCRIPTED:OP12_LATE_CONVERTER,,0,2,3,-1,122,0.5999999642372131,0,1,3,35,0,15,1,11,0,1,0,3,0,9,0,1,1,2,0,7,39.0,4.953306604604252,-1.149999976158142,-0.47402504086494446,0.015889495611190796,0.019999999552965164,-1.0,-100.0,-0.20000000298023224,-0.6067509651184082
1,,49532,14780,14,111,1,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,1,SCRIPTED:OP10_AGGRESSIVE_INTERCEPTOR,,1,3,2,1,111,0.5600000023841858,0,1,2,32,9,2,10,4,2,0,2,1,3,1,2,1,2,0,5,3,31.0,5.2389350409980295,1.149999976158142,0.7437499761581421,-0.008857443928718567,0.0,1.0,100.0,0.0,0.6186925172805786
2,,49532,14800,14,116,1,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,1,SCRIPTED:OP10_AGGRESSIVE_INTERCEPTOR,,0,2,3,-1,116,0.7199999690055847,1,0,5,31,10,5,10,5,3,2,1,1,5,2,3,2,2,1,3,1,32.0,6.5300577097925645,-1.149999976158142,-0.5,0.017415016889572144,0.0,-1.0,-100.0,0.0,-0.5793020725250244
