policy,map,requested_opponent,resolved_opponent,opponent,seed,blue_score,red_score,win,loss,draw,score_margin,wall_collisions,wall_collision_source,stuck_steps,stuck_source,repeated_blocked_movement,upper_lane_use,lower_lane_use,route_switches,route_source,episode_steps
baseline,map_a_open,OP8,OP8,OP8,7000,3.0,0.0,1,0,0,3.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,8.0,episode_info,81
candidate,map_a_open,OP8,OP8,OP8,7000,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,5.0,episode_info,87
baseline,map_a_open,OP8,OP8,OP8,7001,3.0,2.0,1,0,0,1.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,4.0,episode_info,85
candidate,map_a_open,OP8,OP8,OP8,7001,3.0,2.0,1,0,0,1.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,4.0,episode_info,81
baseline,map_a_open,OP8,OP8,OP8,7002,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,8.0,episode_info,85
candidate,map_a_open,OP8,OP8,OP8,7002,3.0,2.0,1,0,0,1.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,7.0,episode_info,88
baseline,map_a_open,OP8,OP8,OP8,7003,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,4.0,episode_info,79
candidate,map_a_open,OP8,OP8,OP8,7003,3.0,2.0,1,0,0,1.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,3.0,episode_info,81
baseline,map_a_open,OP8,OP8,OP8,7004,3.0,0.0,1,0,0,3.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,14.0,episode_info,132
candidate,map_a_open,OP8,OP8,OP8,7004,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,10.0,episode_info,132
baseline,map_a_open,OP8,OP8,OP8,7005,3.0,2.0,1,0,0,1.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,8.0,episode_info,86
candidate,map_a_open,OP8,OP8,OP8,7005,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,6.0,episode_info,87
baseline,map_a_open,OP8,OP8,OP8,7006,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,6.0,episode_info,83
candidate,map_a_open,OP8,OP8,OP8,7006,3.0,0.0,1,0,0,3.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,5.0,episode_info,77
baseline,map_a_open,OP8,OP8,OP8,7007,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,7.0,episode_info,95
candidate,map_a_open,OP8,OP8,OP8,7007,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,6.0,episode_info,80
baseline,map_a_open,OP8,OP8,OP8,7008,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,7.0,episode_info,79
candidate,map_a_open,OP8,OP8,OP8,7008,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,7.0,episode_info,80
baseline,map_a_open,OP8,OP8,OP8,7009,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,7.0,episode_info,86
candidate,map_a_open,OP8,OP8,OP8,7009,3.0,0.0,1,0,0,3.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,6.0,episode_info,77
baseline,map_a_open,OP8,OP8,OP8,7010,3.0,0.0,1,0,0,3.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,6.0,episode_info,81
candidate,map_a_open,OP8,OP8,OP8,7010,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,7.0,episode_info,106
baseline,map_a_open,OP8,OP8,OP8,7011,3.0,0.0,1,0,0,3.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,8.0,episode_info,82
candidate,map_a_open,OP8,OP8,OP8,7011,3.0,0.0,1,0,0,3.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,7.0,episode_info,82
baseline,map_a_open,OP8,OP8,OP8,7012,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,6.0,episode_info,80
candidate,map_a_open,OP8,OP8,OP8,7012,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,8.0,episode_info,85
baseline,map_a_open,OP8,OP8,OP8,7013,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,7.0,episode_info,81
candidate,map_a_open,OP8,OP8,OP8,7013,3.0,3.0,0,0,1,0.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,7.0,episode_info,93
baseline,map_a_open,OP8,OP8,OP8,7014,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,5.0,episode_info,87
candidate,map_a_open,OP8,OP8,OP8,7014,3.0,0.0,1,0,0,3.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,3.0,episode_info,81
baseline,map_a_open,OP8,OP8,OP8,7015,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,7.0,episode_info,97
candidate,map_a_open,OP8,OP8,OP8,7015,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,11.0,episode_info,113
baseline,map_a_open,OP8,OP8,OP8,7016,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,9.0,episode_info,117
candidate,map_a_open,OP8,OP8,OP8,7016,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,10.0,episode_info,127
baseline,map_a_open,OP8,OP8,OP8,7017,3.0,2.0,1,0,0,1.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,6.0,episode_info,84
candidate,map_a_open,OP8,OP8,OP8,7017,3.0,0.0,1,0,0,3.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,8.0,episode_info,92
baseline,map_a_open,OP8,OP8,OP8,7018,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,5.0,episode_info,85
candidate,map_a_open,OP8,OP8,OP8,7018,3.0,2.0,1,0,0,1.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,3.0,episode_info,77
