policy,map,requested_opponent,resolved_opponent,opponent,episodes,blue_score,red_score,win,loss,draw,score_margin,wall_collisions,blocked_movement_events,stuck_steps,repeated_blocked_movement,upper_lane_use,lower_lane_use,neutral_lane_use,route_switches,movement_attempts,successful_movement_steps,obstacle_collisions_per_1000_steps,blocked_movements_per_1000_movement_attempts,stuck_steps_per_1000_steps,successful_movement_rate,upper_lane_fraction,lower_lane_fraction,route_switches_per_episode,episode_steps,collision_metric_source,stuck_metric_source,route_metric_source,route_crossings
baseline,map_a_open,OP10,OP10,OP10,20,2.95,1.4,0.95,0.05,0.0,1.55,0.0,0.05,0.0,0.0,,,,,157.85,157.8,0.0,0.3448275862068965,0.0,0.999655172413793,,,,79.1,environment_exact,environment_exact,unavailable,0.0
baseline,map_a_open,OP8,OP8,OP8,20,3.0,0.9,1.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,,,,,177.7,177.7,0.0,0.0,0.0,1.0,,,,88.85,environment_exact,environment_exact,unavailable,0.0
baseline,map_a_open,OP9,OP9,OP9,20,3.0,1.15,1.0,0.0,0.0,1.85,0.0,0.0,0.0,0.0,,,,,158.3,158.3,0.0,0.0,0.0,1.0,,,,79.15,environment_exact,environment_exact,unavailable,0.0
baseline,map_b_split_lane,OP10,OP10,OP10,20,2.9,1.65,0.9,0.1,0.0,1.25,1.5,0.7,0.15,0.15,28.85,67.35,131.3,2.75,227.5,226.8,13.441896584153522,3.1966135254923236,1.478494623655914,0.9968033864745077,0.12681318681318682,0.296043956043956,2.75,113.75,environment_exact,environment_exact,environment_exact,96.19999999999999
baseline,map_b_split_lane,OP8,OP8,OP8,20,2.85,1.45,0.85,0.15,0.0,1.4,1.05,0.6,0.3,0.3,29.6,76.55,129.45,2.8,235.6,235.0,7.983028870606316,2.2167715660866345,2.162779217573738,0.9977832284339133,0.12563667232597625,0.3249151103565365,2.8,117.8,environment_exact,environment_exact,environment_exact,106.15
baseline,map_b_split_lane,OP9,OP9,OP9,20,3.0,1.35,1.0,0.0,0.0,1.65,1.95,1.2,0.55,0.55,31.35,69.0,120.05,2.55,220.4,219.2,17.538414610953218,5.352980441467159,5.135220825279932,0.9946470195585327,0.14224137931034486,0.31306715063520874,2.55,110.2,environment_exact,environment_exact,environment_exact,100.35
candidate,map_a_open,OP10,OP10,OP10,20,3.0,1.25,1.0,0.0,0.0,1.75,0.0,0.05,0.0,0.0,,,,,156.45,156.4,0.0,0.3184713375796179,0.0,0.9996815286624203,,,,78.3,environment_exact,environment_exact,unavailable,0.0
candidate,map_a_open,OP8,OP8,OP8,20,3.0,1.05,0.95,0.0,0.05,1.95,0.0,0.05,0.0,0.0,,,,,182.25,182.2,0.0,0.3144654088050315,0.0,0.999685534591195,,,,91.2,environment_exact,environment_exact,unavailable,0.0
candidate,map_a_open,OP9,OP9,OP9,20,3.0,0.75,1.0,0.0,0.0,2.25,0.0,0.05,0.0,0.0,,,,,157.7,157.65,0.0,0.3787878787878788,0.0,0.9996212121212121,,,,78.9,environment_exact,environment_exact,unavailable,0.0
candidate,map_b_split_lane,OP10,OP10,OP10,20,2.95,1.75,0.95,0.05,0.0,1.2,2.8,1.7,0.65,0.65,28.65,67.7,122.65,1.9,219.0,217.3,26.519775663301523,7.963054186427621,6.105395554518216,0.9920369458135724,0.13082191780821917,0.3091324200913242,1.9,109.5,environment_exact,environment_exact,environment_exact,96.35
candidate,map_b_split_lane,OP8,OP8,OP8,20,3.0,1.15,1.0,0.0,0.0,1.85,2.2,1.5,0.75,0.75,34.3,67.15,132.85,2.9,234.3,232.8,18.484548755388207,6.3821801794301685,6.73620266189805,0.9936178198205697,0.14639351259069566,0.2865983781476739,2.9,117.15,environment_exact,environment_exact,environment_exact,101.45
candidate,map_b_split_lane,OP9,OP9,OP9,20,3.0,1.3,1.0,0.0,0.0,1.7,2.85,1.9,0.75,0.75,27.35,68.1,119.35,2.3,214.75,212.85,27.041247802583758,9.048632376938306,7.399932872885502,0.9909513676230617,0.12732774674115457,0.3170391061452514,2.3,107.4,environment_exact,environment_exact,environment_exact,95.44999999999999
