policy,map,requested_opponent,resolved_opponent,opponent,seed,blue_score,red_score,win,loss,draw,score_margin,wall_collisions,blocked_movement_events,stuck_steps,repeated_blocked_movement,upper_lane_use,lower_lane_use,neutral_lane_use,route_switches,movement_attempts,successful_movement_steps,collision_metric_source,stuck_metric_source,route_metric_source,wall_collision_source,stuck_source,route_source,obstacle_collisions_per_1000_steps,blocked_movements_per_1000_movement_attempts,stuck_steps_per_1000_steps,successful_movement_rate,upper_lane_fraction,lower_lane_fraction,route_switches_per_episode,episode_steps
baseline,map_a_open,OP8,OP8,OP8,7000,3.0,0.0,1,0,0,3.0,0.0,0.0,0.0,0.0,,,,,162.0,162.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,81
candidate,map_a_open,OP8,OP8,OP8,7000,3.0,1.0,1,0,0,2.0,0.0,0.0,0.0,0.0,,,,,174.0,174.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,87
baseline,map_a_open,OP8,OP8,OP8,7001,3.0,2.0,1,0,0,1.0,0.0,0.0,0.0,0.0,,,,,170.0,170.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,85
candidate,map_a_open,OP8,OP8,OP8,7001,3.0,2.0,1,0,0,1.0,0.0,0.0,0.0,0.0,,,,,162.0,162.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,81
baseline,map_a_open,OP8,OP8,OP8,7002,3.0,1.0,1,0,0,2.0,0.0,0.0,0.0,0.0,,,,,170.0,170.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,85
candidate,map_a_open,OP8,OP8,OP8,7002,3.0,2.0,1,0,0,1.0,0.0,0.0,0.0,0.0,,,,,176.0,176.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,88
baseline,map_a_open,OP8,OP8,OP8,7003,3.0,1.0,1,0,0,2.0,0.0,0.0,0.0,0.0,,,,,158.0,158.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,79
candidate,map_a_open,OP8,OP8,OP8,7003,3.0,2.0,1,0,0,1.0,0.0,0.0,0.0,0.0,,,,,162.0,162.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,81
baseline,map_a_open,OP8,OP8,OP8,7004,3.0,0.0,1,0,0,3.0,0.0,0.0,0.0,0.0,,,,,264.0,264.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,132
candidate,map_a_open,OP8,OP8,OP8,7004,3.0,1.0,1,0,0,2.0,0.0,0.0,0.0,0.0,,,,,264.0,264.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,132
baseline,map_a_open,OP8,OP8,OP8,7005,3.0,2.0,1,0,0,1.0,0.0,0.0,0.0,0.0,,,,,172.0,172.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,86
candidate,map_a_open,OP8,OP8,OP8,7005,3.0,1.0,1,0,0,2.0,0.0,0.0,0.0,0.0,,,,,174.0,174.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,87
baseline,map_a_open,OP8,OP8,OP8,7006,3.0,1.0,1,0,0,2.0,0.0,0.0,0.0,0.0,,,,,166.0,166.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,83
candidate,map_a_open,OP8,OP8,OP8,7006,3.0,0.0,1,0,0,3.0,0.0,0.0,0.0,0.0,,,,,154.0,154.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,77
baseline,map_a_open,OP8,OP8,OP8,7007,3.0,1.0,1,0,0,2.0,0.0,0.0,0.0,0.0,,,,,190.0,190.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,95
candidate,map_a_open,OP8,OP8,OP8,7007,3.0,1.0,1,0,0,2.0,0.0,0.0,0.0,0.0,,,,,160.0,160.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,80
baseline,map_a_open,OP8,OP8,OP8,7008,3.0,1.0,1,0,0,2.0,0.0,0.0,0.0,0.0,,,,,158.0,158.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,79
candidate,map_a_open,OP8,OP8,OP8,7008,3.0,1.0,1,0,0,2.0,0.0,0.0,0.0,0.0,,,,,160.0,160.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,80
baseline,map_a_open,OP8,OP8,OP8,7009,3.0,1.0,1,0,0,2.0,0.0,0.0,0.0,0.0,,,,,172.0,172.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,86
candidate,map_a_open,OP8,OP8,OP8,7009,3.0,0.0,1,0,0,3.0,0.0,0.0,0.0,0.0,,,,,154.0,154.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,77
baseline,map_a_open,OP8,OP8,OP8,7010,3.0,0.0,1,0,0,3.0,0.0,0.0,0.0,0.0,,,,,162.0,162.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,81
