policy,map,requested_opponent,resolved_opponent,opponent,seed,blue_score,red_score,win,loss,draw,score_margin,wall_collisions,blocked_movement_events,stuck_steps,repeated_blocked_movement,upper_lane_use,lower_lane_use,neutral_lane_use,route_switches,movement_attempts,successful_movement_steps,collision_metric_source,stuck_metric_source,route_metric_source,wall_collision_source,stuck_source,route_source,obstacle_collisions_per_1000_steps,blocked_movements_per_1000_movement_attempts,stuck_steps_per_1000_steps,successful_movement_rate,upper_lane_fraction,lower_lane_fraction,route_switches_per_episode,episode_steps
baseline,map_a_open,OP8,OP8,OP8,7000,3.0,1.0,1,0,0,2.0,0.0,0.0,0.0,0.0,,,,,326.0,326.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,163
candidate,map_a_open,OP8,OP8,OP8,7000,3.0,1.0,1,0,0,2.0,0.0,0.0,0.0,0.0,,,,,438.0,438.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,219
baseline,map_a_open,OP8,OP8,OP8,7001,3.0,0.0,1,0,0,3.0,0.0,0.0,0.0,0.0,,,,,136.0,136.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,68
candidate,map_a_open,OP8,OP8,OP8,7001,3.0,0.0,1,0,0,3.0,0.0,0.0,0.0,0.0,,,,,320.0,320.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,160
baseline,map_a_open,OP8,OP8,OP8,7002,3.0,0.0,1,0,0,3.0,0.0,0.0,0.0,0.0,,,,,144.0,144.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,72
candidate,map_a_open,OP8,OP8,OP8,7002,3.0,0.0,1,0,0,3.0,0.0,0.0,0.0,0.0,,,,,286.0,286.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,143
baseline,map_a_open,OP8,OP8,OP8,7003,3.0,0.0,1,0,0,3.0,0.0,0.0,0.0,0.0,,,,,298.0,298.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,149
candidate,map_a_open,OP8,OP8,OP8,7003,3.0,2.0,1,0,0,1.0,0.0,0.0,0.0,0.0,,,,,146.0,146.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,73
baseline,map_a_open,OP8,OP8,OP8,7004,3.0,0.0,1,0,0,3.0,0.0,0.0,0.0,0.0,,,,,438.0,438.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,219
candidate,map_a_open,OP8,OP8,OP8,7004,3.0,0.0,1,0,0,3.0,0.0,0.0,0.0,0.0,,,,,426.0,426.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,213
baseline,map_a_open,OP8,OP8,OP8,7005,3.0,1.0,1,0,0,2.0,0.0,0.0,0.0,0.0,,,,,256.0,256.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,128
candidate,map_a_open,OP8,OP8,OP8,7005,3.0,1.0,1,0,0,2.0,0.0,0.0,0.0,0.0,,,,,144.0,144.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,72
baseline,map_a_open,OP8,OP8,OP8,7006,3.0,0.0,1,0,0,3.0,0.0,0.0,0.0,0.0,,,,,126.0,126.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,63
candidate,map_a_open,OP8,OP8,OP8,7006,3.0,0.0,1,0,0,3.0,0.0,0.0,0.0,0.0,,,,,174.0,174.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,87
baseline,map_a_open,OP8,OP8,OP8,7007,3.0,0.0,1,0,0,3.0,0.0,0.0,0.0,0.0,,,,,194.0,194.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,97
candidate,map_a_open,OP8,OP8,OP8,7007,3.0,0.0,1,0,0,3.0,0.0,0.0,0.0,0.0,,,,,366.0,366.0,environment_exact,environment_exact,unavailable,environment_exact,environment_exact,unavailable,0.0,0.0,0.0,1.0,,,,183
