update,run_id,run_pid,timesteps,episodes_completed,wins,losses,draws,win_rate,rolling_win_rate_50ep,rolling_win_rate_200ep,rollout_reward_mean,rollout_reward_std,rollout_return_mean,rollout_return_std,rollout_episodes,rollout_wins,rollout_losses,rollout_draws,rollout_win_rate,rollout_win_margin_mean,rollout_blue_score_mean,rollout_red_score_mean,explained_variance,reward_terminal_mean,reward_offense_mean,reward_pbrs_mean,reward_team_mean,reward_sparse_mean,reward_sparse_points_mean,reward_failure_mean,reward_behavior_contrast_mean,reward_outcome_diversity_mean,reward_csia_mean,reward_contract_specialist_mean,reward_total_mean,reward_outcome_mean,reward_shaping_mean,reward_shaping_to_outcome_abs_ratio,reward_shaping_coef,reward_failure_to_outcome_abs,policy_loss,value_loss,value_loss_min,value_loss_std,value_loss_p10,value_loss_p50,value_loss_p90,value_loss_max,return_norm_mean,return_norm_std,return_norm_count,entropy,approx_kl,clip_fraction,grad_norm,learning_rate,latent_lam_h,strategy_entropy,strategy_entropy_frac,strategy_policy_loss,strategy_approx_kl,strategy_clip_fraction,strategy_ratio_std,strategy_aux_return_loss,strategy_persist_loss,strategy_grad_norm,strategy_resample_count,strategy_resample_fraction,latent_episode_pg_loss,latent_episode_v_loss,latent_episode_entropy,latent_episode_adv_mean,latent_episode_adv_std,latent_episode_return_mean,latent_episode_return_std,latent_episode_ratio_mean,latent_episode_ratio_max,latent_episode_ratio_min,latent_episode_ratio_std,latent_episode_approx_kl,latent_episode_clip_fraction,latent_episode_count,latent_episode_loss,strategy_bucket_best_match_frac,strategy_experience_records,strategy_experience_buckets,strategy_unique_count,strategy_dominant,strategy_switch_count,strategy_switch_fraction,strategy_wr_spread,strategy_resample_fraction_rollout,rollout_adv_std,rollout_adv_std_at_z_switch,rollout_adv_std_not_z_switch,curriculum_phase,curriculum_phase_idx,curriculum_phase_episodes,curriculum_phase_win_rate,csia_interaction_strength,centered_advantage_matrix,oracle_best_z_per_opponent,router_oracle_gap,routing_gain,regret_weighted_routing_score,gate_A_pass,gate_B_pass,gate_C_pass,csia_bonus_active,csia_payoff_cells,csia_total_count,csia_behavior_spread_max,csia_bonus_mean,csia_last_refresh_update,csia_reward_coef
1,43320-1786572840392522800,43320,2048,0,0,0,0,0.0,0.0,0.0,0.0001318575523328036,0.023230742663145065,-0.0825810506939888,0.13962006568908691,0,0,0,0,0.0,0.0,0.0,0.0,0.006990313529968262,0.0,0.0023437500931322575,0.00022296009410638362,0.0012304687406867743,0.0016113281017169356,0.1611328125,-0.003666015574708581,0.0,0.0,0.0,0.0,0.0001318575523328036,0.0016113281017169356,0.002707107301830547,1.6790052216715712,1.0,2.273740419710303,-0.01435495272744447,0.017845505848526955,0.014694156125187874,0.0014402129454538226,0.016412803903222084,0.01761258766055107,0.01970742829144001,0.020919986069202423,0.0,0.0,0.0,4.457324534654617,0.009930697000527289,0.085693359375,0.19985230127349496,0.0004989759999999999,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.13913121819496155,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
2,43320-1786572840392522800,43320,4096,16,5,3,8,0.3125,0.3125,0.3125,-0.0007856584270484746,0.03271001949906349,-0.10137699544429779,0.19384554028511047,16,5,3,8,0.3125,0.25,0.6875,0.4375,0.08373475074768066,-0.0009765625,0.0018066406482830644,-0.00012938525469508022,0.0013134765904396772,-0.00034179689828306437,-0.0341796875,-0.0037343748845160007,0.0,0.0,0.0,0.0,-0.0007856584270484746,-0.0013183593982830644,0.0021026634822192136,1.5937003101319434,1.0,2.830445509673629,-0.011197041778359562,0.029942852328531444,0.022042160853743553,0.00388210266828537,0.024998581036925316,0.03137829899787903,0.03462398052215576,0.0361541286110878,0.0,0.0,0.0,4.510725736618042,0.007497660262743011,0.056884765625,0.2135083470493555,0.000497952,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.18555232882499695,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
3,43320-1786572840392522800,43320,6144,16,5,3,8,0.3125,0.3125,0.3125,6.285787094384432e-05,0.02588239498436451,-0.08047769218683243,0.13177385926246643,0,0,0,0,0.0,0.0,0.0,0.0,0.33056145906448364,0.0,0.002246093936264515,-0.0006916308775544167,0.0017333982978016138,0.0016113281017169356,0.1611328125,-0.003740234300494194,0.0,0.0,0.0,0.0,6.285787094384432e-05,0.0016113281017169356,0.002506535791326314,1.5546065274537826,1.0,2.3197724436554163,-0.01496744976611808,0.010927134950179607,0.009231068193912506,0.0010680208215489984,0.009546744637191296,0.011211652308702469,0.012469499371945858,0.012681305408477783,0.0,0.0,0.0,4.515808403491974,0.008825909200822935,0.0738525390625,0.3061970518901944,0.000496928,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.10781634598970413,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
4,43320-1786572840392522800,43320,8192,32,14,5,13,0.4375,0.4375,0.4375,0.0013233772478997707,0.03687198460102081,-0.01984720677137375,0.2615628242492676,16,9,2,5,0.5625,0.5,0.875,0.375,0.33105671405792236,0.002197265625,0.0038574221543967724,0.000424909929279238,0.0013403315097093582,0.002880859188735485,0.2880859375,-0.00367968762293458,0.0,0.0,0.0,0.0,0.0013233772478997707,0.005078124813735485,0.0042987325141439214,0.8463529981619771,1.0,0.7244727699905297,-0.01638971923966892,0.04416563315317035,0.04010545462369919,0.0036047869361937046,0.04019981622695923,0.0429145023226738,0.049451928585767746,0.0512426495552063,0.0,0.0,0.0,4.450743675231934,0.010144168663828168,0.0869140625,0.33096385281533003,0.000495904,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.21392948925495148,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
5,43320-1786572840392522800,43320,10240,33,15,5,13,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.0007798038423061371,0.024742715060710907,0.058408260345458984,0.17317897081375122,1,1,0,0,1.0,2.0,2.0,0.0,0.22348105907440186,0.00048828125,0.003076171735301614,-0.0002327313122805208,0.0012841796269640326,0.00341796875,0.341796875,-0.0038906249683350325,0.0,0.0,0.0,0.0,0.0007798038423061371,0.00390625,0.0033390338139724918,0.8545738854622795,1.0,0.9957450811529931,-0.018969423894304782,0.023142213001847267,0.020814402028918266,0.002079700818285346,0.021160807460546494,0.022724926471710205,0.026441428810358047,0.028222613036632538,0.0,0.0,0.0,4.569872945547104,0.010988457215717062,0.100341796875,0.4034163672477007,0.00049488,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.1526058465242386,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
6,43320-1786572840392522800,43320,12288,48,25,5,18,0.5208333333333334,0.5208333333333334,0.5208333333333334,0.0013177144574001431,0.03143368661403656,0.09452879428863525,0.23029036819934845,15,10,0,5,0.6666666666666666,0.9333333333333333,1.0666666666666667,0.13333333333333333,0.44063466787338257,0.003662109375,0.0029785155784338713,0.0001656521635595709,0.0014257811708375812,0.00244140625,0.244140625,-0.0038535157218575478,0.0,0.0,0.0,0.0,0.0013177144574001431,0.006103515625,0.0033763739120331593,0.5530944827474594,1.0,0.6312565907893057,-0.023068482580129057,0.027034890139475465,0.023000825196504593,0.0028206571005284786,0.023273810744285583,0.0279263686388731,0.03013729862868786,0.03178364038467407,0.0,0.0,0.0,4.5793828666210175,0.014221264114894439,0.124755859375,0.41460252925753593,0.000493856,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.17223584651947021,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
7,43320-1786572840392522800,43320,14336,50,26,6,18,0.52,0.52,0.52,0.0006727180443704128,0.027195533737540245,0.13981196284294128,0.21754349768161774,2,1,1,0,0.5,0.0,0.5,0.5,0.3906545042991638,0.0,0.0033203125931322575,-4.219567199470475e-05,0.0014160156715661287,0.0032226562034338713,0.322265625,-0.003945312462747097,0.0,0.0,0.0,0.0,0.0006727180443704128,0.0032226562034338713,0.0036637675930251135,1.136525535546387,1.0,1.2238626620743582,-0.02613722100587828,0.0290670639702252,0.024503903463482857,0.0023657691199332476,0.026198681443929672,0.029168322682380676,0.032252609729766846,0.03311290591955185,0.0,0.0,0.0,4.642894744873047,0.012582900351844728,0.11495535714285714,0.4108863281352179,0.000492832,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.16981573402881622,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
8,43320-1786572840392522800,43320,16384,64,37,6,21,0.578125,0.64,0.578125,0.0024923281744122505,0.035335369408130646,0.27833133935928345,0.241308331489563,14,11,0,3,0.7857142857142857,1.0,1.2142857142857142,0.21428571428571427,0.47158586978912354,0.004638671875,0.0042480467818677425,0.0009582695201970637,0.0016333006788045168,0.0045410157181322575,0.4541015625,-0.0036816406063735485,0.0,0.0,0.0,0.0,0.0024923281744122505,0.009179687593132257,0.004895939331618138,0.5332867807505632,1.0,0.40102013809157955,-0.03087815662729554,0.031465882901102304,0.026435354724526405,0.002812964841723442,0.02793990448117256,0.031502559781074524,0.034078970551490784,0.0377827063202858,0.0,0.0,0.0,4.341042548418045,0.014714025979628786,0.1331787109375,0.40811909548938274,0.000491808,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.17541208863258362,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
9,43320-1786572840392522800,43320,18432,66,39,6,21,0.5909090909090909,0.68,0.5909090909090909,0.0007812082185409963,0.0317719504237175,0.264974981546402,0.22139038145542145,2,2,0,0,1.0,2.0,2.5,0.5,0.4172610640525818,0.0009765625,0.002978515811264515,-0.00020935504289809614,0.001948242075741291,0.0029296875,0.29296875,-0.00388867175206542,0.0,0.0,0.0,0.0,0.0007812082185409963,0.00390625,0.0034132375694753136,0.8735651850982951,1.0,0.9952451857611927,-0.029599857109133154,0.027696025790646672,0.02394334226846695,0.0016381690511479974,0.02592277154326439,0.027537044137716293,0.029680326581001282,0.02978891134262085,0.0,0.0,0.0,4.53926557302475,0.01332228251703782,0.12451171875,0.38244982436299324,0.000490784,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.16900353133678436,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
10,43320-1786572840392522800,43320,20480,80,45,8,27,0.5625,0.62,0.5625,-0.00017308344831690192,0.029816873371601105,0.21232569217681885,0.24271434545516968,14,6,2,6,0.42857142857142855,0.35714285714285715,0.5714285714285714,0.21428571428571427,0.5512896776199341,0.00048828125,0.0021484377793967724,0.00013911744463257492,0.001748046837747097,0.00014648435171693563,0.0146484375,-0.0038867187686264515,0.0,0.0,0.0,0.0,-0.00017308344831690192,0.0006347656017169356,0.0026202288499916904,4.121375618491396,1.0,6.113446147652622,-0.03383710054913536,0.02436939429026097,0.020086165517568588,0.002486633602529764,0.021129533648490906,0.024449460208415985,0.02767680399119854,0.028714802116155624,0.0,0.0,0.0,4.442010521888733,0.01831890108587686,0.173828125,0.45042206160724163,0.00048976,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.16258424520492554,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
