episode_id,run_id,run_pid,timesteps,policy_update,rollout_step,latent_z,curriculum_phase,mode,map_set,map_layout,map_id,map_vertical_mirror,opponent,opponent_id,success,blue_score,red_score,win_margin,decision_steps,zone_coverage,collision_free_episode,collision_events_per_episode,obstacle_collision_events_per_episode,near_misses_per_episode,blue_route_upper_crossings,blue_route_lower_crossings,red_route_upper_crossings,red_route_lower_crossings,blue_attack_upper_crossings,blue_attack_lower_crossings,blue_return_upper_crossings,blue_return_lower_crossings,blue_intercept_upper_crossings,blue_intercept_lower_crossings,red_attack_upper_crossings,red_attack_lower_crossings,red_return_upper_crossings,red_return_lower_crossings,red_intercept_upper_crossings,red_intercept_lower_crossings,time_to_first_score,mean_inter_robot_dist,reward_terminal,reward_offense,reward_pbrs,reward_team,reward_sparse,reward_sparse_points,reward_failure,reward_total,canonical_map,resolved_map,ruleset_id,ruleset_fingerprint,formal_result_eligible
1,vgc_d3_seed3700001,9972,3168,1,70,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP7,6,1,3,1,2,198,0.5999999642372131,0,1,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.0,5.985797304095644,1.0,0.5,-0.009626120328903198,0.0,1.0,100.0,0.0,0.5541830062866211,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
2,vgc_d3_seed3700001,9972,3840,1,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP7,6,1,1,0,1,240,0.7999999523162842,1,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.0,6.088014729817709,1.0,0.0,-0.015313923358917236,0.0,0.0,0.0,-0.00800000037997961,0.2421369105577469,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
3,vgc_d3_seed3700001,9972,3840,1,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP7,6,1,1,0,1,240,0.7599999904632568,0,1,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.0,5.628566487630208,1.0,0.0,-0.00042381882667541504,0.0,0.0,0.0,-0.004000000189989805,0.24395349621772766,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
4,vgc_d3_seed3700001,9972,3840,1,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP7,6,0,0,1,-1,240,0.5600000023841858,0,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.0,6.09898935953776,-1.0,0.0,-0.009965717792510986,0.0,0.0,0.0,-0.004000000189989805,-0.24644355475902557,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
5,vgc_d3_seed3700001,9972,3840,1,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP7,6,1,1,0,1,240,0.5600000023841858,0,2,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.0,5.669730631510417,1.0,0.0,0.017348647117614746,0.0,0.0,0.0,0.0,0.24593764543533325,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
6,vgc_d3_seed3700001,9972,3840,1,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP7,6,0,0,0,0,240,0.6800000071525574,0,1,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5.691630554199219,-0.5,0.0,-0.0018365681171417236,0.0,0.0,0.0,-0.004000000189989805,-0.12545040249824524,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
7,vgc_d3_seed3700001,9972,3840,1,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP7,6,0,0,1,-1,240,0.5999999642372131,1,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229.0,6.088602193196615,-1.0,0.0,-0.020081311464309692,0.0,0.0,0.0,-0.00800000037997961,-0.24797604978084564,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
8,vgc_d3_seed3700001,9972,3840,1,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP7,6,1,2,1,1,240,0.6800000071525574,1,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.0,6.063081868489584,1.0,0.0,-0.0113239586353302,0.0,0.0,0.0,-0.00800000037997961,0.24237164855003357,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
9,vgc_d3_seed3700001,9972,3840,1,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP7,6,0,0,0,0,240,0.6800000071525574,1,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6.926278177897135,-0.5,0.0,0.018388882279396057,0.0,0.0,0.0,0.0,-0.12322131544351578,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
10,vgc_d3_seed3700001,9972,3840,1,112,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP7,6,1,2,0,2,240,0.6399999856948853,0,1,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,5.916490681966146,1.0,0.0,-0.01160934567451477,0.0,0.0,0.0,-0.004000000189989805,0.24329589307308197,map_a,map_a_open,RULESET_V2_AQUATICUS_10S,bc58bdf71f98e358bdf4ebcb7519102bc6377caaf18f167c7f45755ecb0c8208,True
