update,run_id,run_pid,timesteps,episodes_completed,wins,losses,draws,win_rate,rolling_win_rate_50ep,rolling_win_rate_200ep,rollout_reward_mean,rollout_reward_std,rollout_return_mean,rollout_return_std,rollout_episodes,rollout_wins,rollout_losses,rollout_draws,rollout_win_rate,rollout_win_margin_mean,rollout_blue_score_mean,rollout_red_score_mean,explained_variance,reward_terminal_mean,reward_offense_mean,reward_pbrs_mean,reward_team_mean,reward_sparse_mean,reward_sparse_points_mean,reward_failure_mean,reward_behavior_contrast_mean,reward_outcome_diversity_mean,reward_csia_mean,reward_contract_specialist_mean,reward_total_mean,reward_outcome_mean,reward_shaping_mean,reward_shaping_to_outcome_abs_ratio,reward_shaping_coef,reward_failure_to_outcome_abs,policy_loss,value_loss,value_loss_min,value_loss_std,value_loss_p10,value_loss_p50,value_loss_p90,value_loss_max,return_norm_mean,return_norm_std,return_norm_count,entropy,approx_kl,clip_fraction,grad_norm,learning_rate,latent_lam_h,strategy_entropy,strategy_entropy_frac,strategy_policy_loss,strategy_approx_kl,strategy_clip_fraction,strategy_ratio_std,strategy_aux_return_loss,strategy_persist_loss,strategy_grad_norm,strategy_resample_count,strategy_resample_fraction,latent_episode_pg_loss,latent_episode_v_loss,latent_episode_entropy,latent_episode_adv_mean,latent_episode_adv_std,latent_episode_return_mean,latent_episode_return_std,latent_episode_ratio_mean,latent_episode_ratio_max,latent_episode_ratio_min,latent_episode_ratio_std,latent_episode_approx_kl,latent_episode_clip_fraction,latent_episode_count,latent_episode_loss,strategy_bucket_best_match_frac,strategy_experience_records,strategy_experience_buckets,strategy_unique_count,strategy_dominant,strategy_switch_count,strategy_switch_fraction,strategy_wr_spread,strategy_resample_fraction_rollout,rollout_adv_std,rollout_adv_std_at_z_switch,rollout_adv_std_not_z_switch,curriculum_phase,curriculum_phase_idx,curriculum_phase_episodes,curriculum_phase_win_rate,csia_interaction_strength,centered_advantage_matrix,oracle_best_z_per_opponent,router_oracle_gap,routing_gain,regret_weighted_routing_score,gate_A_pass,gate_B_pass,gate_C_pass,csia_bonus_active,csia_payoff_cells,csia_total_count,csia_behavior_spread_max,csia_bonus_mean,csia_last_refresh_update,csia_reward_coef
1,36832-1786751000373851600,36832,2048,0,0,0,0,0.0,0.0,0.0,-0.0002673616982065141,0.027655795216560364,-0.033574994653463364,0.11936680227518082,0,0,0,0,0.0,0.0,0.0,0.0,0.001916646957397461,0.0,0.002197265625,0.00018776400247588754,0.0013061522040516138,9.765624417923391e-05,0.009765625,-0.003654296975582838,0.0,0.0,0.0,0.0,-0.0002673616982065141,9.765624417923391e-05,0.0025707446766318753,26.05759724606453,1.0,37.04070640418753,-0.011134697095258161,0.012718931422568858,0.009375620633363724,0.001531119691208005,0.010964074172079563,0.012798106297850609,0.014631887897849083,0.01494177058339119,0.0,0.0,0.0,4.422771751880646,0.008725375497306231,0.078857421875,0.15966523438692093,0.0004989759999999999,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.11925234645605087,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
2,36832-1786751000373851600,36832,4096,16,5,1,10,0.3125,0.3125,0.3125,-0.0009641845244914293,0.022878075018525124,-0.07287591695785522,0.10805965214967728,16,5,1,10,0.3125,0.1875,0.5625,0.375,0.006571829319000244,-0.00048828125,0.0006347656599245965,-0.0002666419022716582,0.0007666015299037099,-0.0003417968691792339,-0.0341796875,-0.003763671964406967,0.0,0.0,0.0,0.0,-0.0009641845244914293,-0.0008300781191792339,0.0007597555668326095,0.9141806880717037,1.0,4.528662080676531,-0.015106548089534044,0.010087245900649577,0.007187356241047382,0.0014536200324073434,0.008304787799715996,0.010109944269061089,0.011783217079937458,0.012428779155015945,0.0,0.0,0.0,4.5312612652778625,0.008281892500235699,0.081298828125,0.26569548435509205,0.000497952,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.10770399868488312,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
3,36832-1786751000373851600,36832,6144,16,5,1,10,0.3125,0.3125,0.3125,-0.0007456485764123499,0.025294777005910873,-0.08257310092449188,0.15274161100387573,0,0,0,0,0.0,0.0,0.0,0.0,0.2336239218711853,0.0,0.0018066405318677425,-0.001324503100477159,0.0009130859398283064,-0.0008789062849245965,-0.087890625,-0.003789062611758709,0.0,0.0,0.0,0.0,-0.0007456485764123499,-0.0008789062849245965,0.0017037862417055294,1.936326937193698,1.0,4.306211555340138,-0.0168825054827791,0.017337007018236015,0.014573192223906517,0.0014637074200436473,0.015109442174434662,0.017786039039492607,0.018821682780981064,0.019063293933868408,0.0,0.0,0.0,4.567083395444429,0.015114771542497553,0.14768629807692307,0.34741071668955,0.000496928,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.1337144523859024,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
4,36832-1786751000373851600,36832,8192,32,10,4,18,0.3125,0.3125,0.3125,-0.0007564062252640724,0.03266590088605881,-0.09360239654779434,0.20169697701931,16,5,3,8,0.3125,0.25,0.6875,0.4375,0.308422327041626,-0.0009765625,0.0012695312034338713,-0.0001250716595677659,0.0016796588897705078,0.0001464843808207661,0.0146484375,-0.003718750085681677,0.0,0.0,0.0,0.0,-0.0007564062252640724,-0.0008300781191792339,0.0016581780109845567,1.9952131727666709,1.0,4.474609546157087,-0.016338862042175606,0.02563064591959119,0.022200796753168106,0.002127265790477395,0.02350487746298313,0.025058314204216003,0.02792493999004364,0.03129110485315323,0.0,0.0,0.0,4.448314785957336,0.008875150873791426,0.07861328125,0.3712681233882904,0.000495904,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.16773352026939392,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
5,36832-1786751000373851600,36832,10240,32,10,4,18,0.3125,0.3125,0.3125,0.00045587102067656815,0.03307391330599785,-0.03099106438457966,0.21170666813850403,0,0,0,0,0.0,0.0,0.0,0.0,0.3521099090576172,0.0,0.0024902343284338713,-0.00044116005301475525,0.0017114256042987108,0.0030761719681322575,0.3076171875,-0.003839843673631549,0.0,0.0,0.0,0.0,0.00045587102067656815,0.0030761719681322575,0.00280780071625486,0.9124614241039973,1.0,1.2478482559303332,-0.022341052535921335,0.02901375910732895,0.02580123394727707,0.0023523892741650343,0.026659488677978516,0.02873823791742325,0.031635358929634094,0.0352252796292305,0.0,0.0,0.0,4.49843966960907,0.011209824442630634,0.1021728515625,0.42034533247351646,0.00049488,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.17040613293647766,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
6,36832-1786751000373851600,36832,12288,48,16,6,26,0.3333333333333333,0.3333333333333333,0.3333333333333333,6.875101826153696e-05,0.030672578141093254,-0.01598815806210041,0.19903285801410675,16,6,2,8,0.375,0.5,1.0625,0.5625,0.4409252405166626,0.0,0.00244140625,-2.881232649087906e-05,0.0008227538783103228,0.0016113281017169356,0.1611328125,-0.003630859311670065,0.0,0.0,0.0,0.0,6.875101826153696e-05,0.0016113281017169356,0.002639891637954861,1.6373166448836896,1.0,2.2519357615882503,-0.024566201522247866,0.02040972316171974,0.017084669321775436,0.001986830262467265,0.01819157786667347,0.019676124677062035,0.0228227861225605,0.024678058922290802,0.0,0.0,0.0,4.33178848028183,0.012736677876091562,0.1201171875,0.4205195717513561,0.000493856,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.1488194614648819,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
7,36832-1786751000373851600,36832,14336,50,18,6,26,0.36,0.36,0.36,0.0005811579176224768,0.03279484808444977,-0.010435942560434341,0.21662992238998413,2,2,0,0,1.0,2.0,2.0,0.0,0.507609486579895,0.0009765625,0.0025878907181322575,-0.00047585373977199197,0.0018505858024582267,0.00244140625,0.244140625,-0.003750000149011612,0.0,0.0,0.0,0.0,0.0005811579176224768,0.00341796875,0.002931573733803816,0.857443851688851,1.0,1.0968220019593955,-0.021291861223289743,0.02273692807648331,0.020872041583061218,0.0012401712592691183,0.021295977756381035,0.022574102506041527,0.024503599852323532,0.02494509518146515,0.0,0.0,0.0,4.378252774477005,0.015763838739076164,0.142578125,0.34422033093869686,0.000492832,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.15201039612293243,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
8,36832-1786751000373851600,36832,16384,64,24,9,31,0.375,0.38,0.375,-0.0009099646704271436,0.024619679898023605,-0.07139937579631805,0.21845832467079163,14,6,3,5,0.42857142857142855,0.21428571428571427,0.5714285714285714,0.35714285714285715,0.5040496587753296,0.000244140625,0.0008300781482830644,-0.000490128411911428,0.0007519531063735485,-0.0010253905784338713,-0.1025390625,-0.003744140500202775,0.0,0.0,0.0,0.0,-0.0009099646704271436,-0.0007812499534338713,0.0008955343218985945,1.1448186324172147,1.0,4.786373567383397,-0.024966058117570356,0.021255999454297125,0.016144922003149986,0.0029692386742681265,0.017903443425893784,0.020690511912107468,0.024856511503458023,0.028024598956108093,0.0,0.0,0.0,4.403046041727066,0.01301480890106177,0.1181640625,0.38329488411545753,0.000491808,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.15384653210639954,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
9,36832-1786751000373851600,36832,18432,67,25,9,33,0.373134328358209,0.38,0.373134328358209,-0.0006827720790170133,0.022529752925038338,-0.12522411346435547,0.20452268421649933,3,1,0,2,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.6416953802108765,0.0,0.0010742187732830644,-0.0012145049404352903,0.0005541992140933871,0.0001464843808207661,0.0146484375,-0.0037519531324505806,0.0,0.0,0.0,0.0,-0.0006827720790170133,0.0001464843808207661,0.0009091423416975886,6.164329650625482,1.0,25.439664265263662,-0.023656451642247184,0.014721366377281291,0.012414240278303623,0.0012841969728469849,0.013267583213746548,0.014667375013232231,0.016246341168880463,0.01733037829399109,0.0,0.0,0.0,4.348108393805368,0.01679650872080986,0.14425223214285715,0.370454161294869,0.000490784,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.12242432683706284,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
10,36832-1786751000373851600,36832,20480,80,26,12,42,0.325,0.32,0.325,-0.0008325613453052938,0.029241181910037994,-0.07864303886890411,0.27167609333992004,13,1,3,9,0.07692307692307693,-0.15384615384615385,0.3076923076923077,0.46153846153846156,0.5245922803878784,-0.003173828125,0.002050781389698386,0.0002823412651196122,0.0010620116954669356,0.0012695312034338713,0.126953125,-0.003722656052559614,0.0,0.0,0.0,0.0,-0.0008325613453052938,-0.0019042969215661287,0.002386869629845023,1.2527546771466194,1.0,1.9538456239669146,-0.020034994125704874,0.03389936092902313,0.030063452199101448,0.002349285176023841,0.031394779682159424,0.033539943397045135,0.036582618951797485,0.037747181951999664,0.0,0.0,0.0,4.319550514221191,0.01365728279448707,0.11665482954545454,0.4976849610155279,0.00048976,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.18732017278671265,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
