update,timesteps,episodes_completed,wins,losses,draws,win_rate,rolling_win_rate_50ep,rolling_win_rate_200ep,rollout_reward_mean,rollout_reward_std,rollout_return_mean,rollout_return_std,rollout_episodes,rollout_wins,rollout_losses,rollout_draws,rollout_win_rate,rollout_win_margin_mean,rollout_blue_score_mean,rollout_red_score_mean,explained_variance,reward_terminal_mean,reward_offense_mean,reward_pbrs_mean,reward_team_mean,reward_sparse_mean,reward_sparse_points_mean,reward_failure_mean,reward_total_mean,policy_loss,value_loss,value_loss_min,value_loss_std,value_loss_p10,value_loss_p50,value_loss_p90,value_loss_max,return_norm_mean,return_norm_std,return_norm_count,entropy,approx_kl,clip_fraction,grad_norm,learning_rate,strategy_entropy,strategy_policy_loss,strategy_approx_kl,strategy_clip_fraction,strategy_ratio_std,strategy_q_loss,strategy_persist_loss,strategy_grad_norm,strategy_resample_fraction,strategy_unique_count,strategy_dominant,strategy_switch_count,strategy_switch_fraction,strategy_resample_fraction_rollout,rollout_adv_std,rollout_adv_std_at_z_switch,rollout_adv_std_not_z_switch,curriculum_phase,curriculum_phase_idx,curriculum_phase_episodes,curriculum_phase_win_rate,strategy_kl,strategy_occupancy_0,strategy_occupancy_1,strategy_occupancy_2,strategy_occupancy_3,episode_z_0_count,episode_z_0_win_rate,episode_z_0_blue_score_mean,episode_z_0_red_score_mean,episode_z_0_win_margin_mean,episode_z_1_count,episode_z_1_win_rate,episode_z_1_blue_score_mean,episode_z_1_red_score_mean,episode_z_1_win_margin_mean,episode_z_2_count,episode_z_2_win_rate,episode_z_2_blue_score_mean,episode_z_2_red_score_mean,episode_z_2_win_margin_mean,episode_z_3_count,episode_z_3_win_rate,episode_z_3_blue_score_mean,episode_z_3_red_score_mean,episode_z_3_win_margin_mean,strategy_resample_adv_mean_z0,strategy_resample_adv_std_z0,strategy_resample_adv_n_z0,strategy_resample_adv_mean_z1,strategy_resample_adv_std_z1,strategy_resample_adv_n_z1,strategy_resample_adv_mean_z2,strategy_resample_adv_std_z2,strategy_resample_adv_n_z2,strategy_resample_adv_mean_z3,strategy_resample_adv_std_z3,strategy_resample_adv_n_z3
1,16384,875,454,300,121,0.5188571428571429,0.46,0.56,-0.010841822251677513,0.23089686036109924,-0.07098399102687836,0.4966276288032532,875,454,300,121,0.5188571428571429,0.22742857142857142,2.6422857142857143,2.414857142857143,-0.003081679344177246,0.005706787109375,0.010119629092514515,0.0014353797305375338,0.027519037947058678,0.009521484375,0.9521484375,-0.07656249403953552,-0.010841822251677513,-0.018065592914354056,0.9370260741561651,0.8420450091362,0.04822096228599548,0.8735888004302979,0.9306320548057556,1.0038522481918335,1.0473134517669678,-0.07098399059362645,0.4966276301396738,16384.0001,3.005087306102117,0.0072051136412483174,0.06048583984375,0.26985080423764884,0.00045904,1.3825333106021087,-0.0013804914395068775,0.001700606352945518,0.0019153264487007011,0.053444630563754814,0.0,0.7099890382960439,0.0248243375972379,0.05914306640625,4.0,2.0,60.0,0.6896551847457886,0.05914306640625,0.4973922669887543,0.5702362656593323,0.4928126335144043,,,,,0.0,0.22088623046875,0.24334716796875,0.2869873046875,0.248779296875,193,0.5284974093264249,2.6424870466321244,2.3989637305699483,0.24352331606217617,222,0.5540540540540541,2.644144144144144,2.373873873873874,0.2702702702702703,241,0.4979253112033195,2.6431535269709543,2.4439834024896268,0.1991701244813278,219,0.4977168949771689,2.6392694063926943,2.4383561643835616,0.2009132420091324,-0.1863519698381424,0.5674377679824829,213.0,-0.16326533257961273,0.5395241379737854,243.0,-0.17474040389060974,0.5884672403335571,271.0,-0.14981597661972046,0.5945440530776978,242.0
2,32768,1760,898,615,247,0.5102272727272728,0.5,0.46,-0.011822057887911797,0.23310653865337372,0.05804639309644699,0.5059332251548767,885,444,315,126,0.5016949152542373,0.16045197740112993,2.613559322033898,2.4531073446327682,-0.0013744831085205078,0.0040283203125,0.00856933556497097,0.0012173347640782595,0.02720712311565876,0.0074462890625,0.74462890625,-0.07550048828125,-0.011822057887911797,-0.031912120352562974,0.9515126992578375,0.8700617551803589,0.04821523278951645,0.8920781016349792,0.9478244781494141,1.0115611553192139,1.0909297466278076,-0.006468798945474474,0.50543638296388,32768.000100000005,2.9814115158499104,0.013151732613077413,0.1180837970890411,0.4033412376087006,0.00041808000000000004,1.3706698189043018,-0.014161188386065436,0.011655674536843609,0.09625428450638301,0.12657897433101878,0.0,0.7488475874678729,0.029856269362650505,0.05850010702054795,4.0,3.0,56.0,0.7567567825317383,0.05859375,0.5062808394432068,0.5986163020133972,0.5012065768241882,,,,,0.0,0.20733642578125,0.25604248046875,0.25,0.28662109375,192,0.4427083333333333,2.578125,2.515625,0.0625,216,0.5324074074074074,2.675925925925926,2.412037037037037,0.2638888888888889,226,0.5132743362831859,2.588495575221239,2.4601769911504423,0.12831858407079647,251,0.5099601593625498,2.6095617529880477,2.4342629482071714,0.1752988047808765,0.23520734906196594,0.6134056448936462,203.0,0.287405401468277,0.6107187867164612,242.0,0.3205042779445648,0.5808400511741638,243.0,0.12175537645816803,0.6013398170471191,272.0
3,49152,2644,1326,949,369,0.5015128593040847,0.48,0.52,-0.012180513702332973,0.23235373198986053,-0.0042025428265333176,0.5168609619140625,884,428,334,122,0.4841628959276018,0.13009049773755657,2.5961538461538463,2.4660633484162897,0.01840794086456299,0.00201416015625,0.00902099534869194,0.0015621111961081624,0.027123823761940002,0.008514404296875,0.8514404296875,-0.07687988877296448,-0.012180513702332973,-0.032621711785732595,0.9816962314976586,0.8756141662597656,0.04947357624769211,0.9291672110557556,0.9753900766372681,1.0516159534454346,1.1093323230743408,-0.0057133802406976585,0.5092741712919492,49152.000100000005,2.9407437200899476,0.015458789336089804,0.13496455439814814,0.4166400857545711,0.00037712,1.367622039936207,-0.0029429779200900296,0.0041318410072727196,0.0029034125446169463,0.07898013795424398,0.0,0.705032481915421,0.026538548732383385,0.060004340277777776,4.0,2.0,71.0,0.7553191781044006,0.05963134765625,0.5120816826820374,0.5889392495155334,0.5082448720932007,,,,,0.0,0.194580078125,0.28680419921875,0.309814453125,0.20880126953125,169,0.5384615384615384,2.6508875739644973,2.4023668639053253,0.2485207100591716,240,0.4375,2.575,2.5125,0.0625,282,0.5141843971631206,2.606382978723404,2.4432624113475176,0.16312056737588654,193,0.45077720207253885,2.5595854922279795,2.4974093264248705,0.06217616580310881,-0.06109324470162392,0.599817156791687,185.0,-0.11123181134462357,0.6664531826972961,274.0,-0.13555710017681122,0.5767261981964111,305.0,-0.04069742187857628,0.5358636379241943,213.0
4,65536,3529,1798,1249,482,0.509492774156985,0.52,0.55,-0.01014075055718422,0.23310327529907227,-0.025241993367671967,0.5031120181083679,885,472,300,113,0.5333333333333333,0.21581920903954802,2.6429378531073446,2.4271186440677965,0.029937565326690674,0.007049560546875,0.011260986328125,0.0012831951025873423,0.027368035167455673,0.01031494140625,1.031494140625,-0.07647705078125,-0.01014075055718422,-0.03267899686470628,0.9261055505275726,0.8339157104492188,0.04477207362651825,0.8713076114654541,0.9247358441352844,0.9872477054595947,1.051755428314209,-0.010595533514991661,0.5078110557962662,65536.0001,2.9481199264526365,0.016788202285533772,0.14443359375,0.40809408724308016,0.00033616,1.3557058143615723,-0.00880311821529176,0.00479526011653661,0.020360819716006517,0.07491480653350074,0.0,0.69078572422266,0.029491555485874413,0.05904296875,4.0,1.0,55.0,0.6790123581886292,0.05902099609375,0.4955238103866577,0.5714454054832458,0.49181222915649414,,,,,0.0,0.21209716796875,0.2877197265625,0.2591552734375,0.24102783203125,184,0.483695652173913,2.652173913043478,2.472826086956522,0.1793478260869565,264,0.5454545454545454,2.621212121212121,2.4242424242424243,0.19696969696969696,223,0.547085201793722,2.6502242152466366,2.42152466367713,0.22869955156950672,214,0.5467289719626168,2.6542056074766354,2.397196261682243,0.2570093457943925,-0.14364318549633026,0.5562688112258911,199.0,-0.05586392804980278,0.6055800914764404,282.0,0.02930283173918724,0.5541866421699524,248.0,0.036907829344272614,0.5944036841392517,238.0
5,81920,4413,2237,1550,626,0.5069113981418536,0.58,0.535,-0.010691643692553043,0.22957724332809448,-0.048190418630838394,0.5079862475395203,884,439,301,144,0.49660633484162897,0.16968325791855204,2.6199095022624435,2.4502262443438916,0.038859546184539795,0.0040283203125,0.01079711876809597,0.0011330575216561556,0.027452774345874786,0.01129150390625,1.129150390625,-0.07644043117761612,-0.010691643692553043,-0.03459757462609559,0.938796923160553,0.8623822927474976,0.03702002018690109,0.8884043097496033,0.9408795833587646,0.9879218339920044,1.0092166662216187,-0.018114510528982566,0.5080686958223958,81920.0001,2.9192323017120363,0.016226703239372,0.13744140625,0.38454615652561186,0.0002952,1.3194187092781067,-0.0016644167151753208,0.0011544726289321261,0.0,0.03808053962885765,0.0,0.6940714389085769,0.03114563051611185,0.0579296875,4.0,2.0,48.0,0.7058823704719543,0.0579833984375,0.49801838397979736,0.5733976364135742,0.49438074231147766,,,,,0.0,0.1400146484375,0.23895263671875,0.325927734375,0.29510498046875,132,0.5,2.553030303030303,2.4242424242424243,0.12878787878787878,208,0.47596153846153844,2.6298076923076925,2.4759615384615383,0.15384615384615385,286,0.5244755244755245,2.667832167832168,2.4160839160839163,0.2517482517482518,258,0.4806201550387597,2.5930232558139537,2.4806201550387597,0.1124031007751938,-0.01914849691092968,0.597915530204773,136.0,0.02260713465511799,0.5851432681083679,220.0,0.004650747869163752,0.5349656343460083,312.0,-0.059003375470638275,0.5962620377540588,282.0
6,98304,5297,2677,1871,749,0.5053804040022655,0.42,0.505,-0.012798351235687733,0.23120583593845367,-0.07406600564718246,0.505551278591156,884,440,321,123,0.497737556561086,0.167420814479638,2.6097285067873304,2.4423076923076925,0.037450969219207764,0.003509521484375,0.008099365048110485,0.0012546663638204336,0.02720460295677185,0.0067138671875,0.67138671875,-0.07770996540784836,-0.012798351235687733,-0.04217058521710702,0.9229663151209472,0.8258558511734009,0.03898587450385094,0.8792369365692139,0.9229803085327148,0.9732818603515625,1.0131694078445435,-0.02743975970586308,0.5080780665967723,98304.0001,2.8393441340962395,0.017288747044150395,0.14626024590163936,0.4381652376690849,0.00025424000000000003,1.3121650140793597,-0.007444500821145035,0.005172893082837364,0.00022456770549055005,0.08259063637746393,0.0,0.6486699669087519,0.035733860001334404,0.05945824795081967,4.0,2.0,56.0,0.6666666865348816,0.0592041015625,0.4959942698478699,0.582360029220581,0.4915980398654938,,,,,0.0,0.14276123046875,0.236083984375,0.355224609375,0.26593017578125,116,0.43103448275862066,2.5086206896551726,2.5258620689655173,-0.017241379310344827,206,0.5533980582524272,2.6699029126213594,2.3640776699029127,0.3058252427184466,319,0.4702194357366771,2.5768025078369905,2.4670846394984327,0.109717868338558,243,0.5185185185185185,2.6502057613168724,2.4362139917695473,0.2139917695473251,-0.09613470733165741,0.5780434012413025,132.0,0.04604652151465416,0.5860737562179565,225.0,-0.05885614827275276,0.5729774236679077,352.0,0.033185429871082306,0.548441469669342,261.0
7,114688,6183,3127,2185,871,0.5057415494096716,0.52,0.49,-0.010762877762317657,0.23139061033725739,-0.061638131737709045,0.5070506930351257,886,450,314,122,0.5079006772009029,0.18397291196388263,2.6230248306997743,2.4390519187358914,0.04846101999282837,0.00457763671875,0.011505126953125,0.0010690666968002915,0.02689838781952858,0.0123291015625,1.23291015625,-0.07872314751148224,-0.010762877762317657,-0.03761364828544454,0.9263254667703922,0.857363224029541,0.037031106650829315,0.8815587759017944,0.9252210259437561,0.9734348058700562,1.0066792964935303,-0.03232524142043842,0.5080723777148274,114688.0001,2.7965099719854503,0.015534353631664999,0.12845552884615385,0.44829702320007175,0.00021328000000000002,1.3032566698697896,-0.0008790012757305868,0.0004329468408653926,0.0,0.02300142639477716,0.0,0.7083104504988744,0.03155939855899375,0.05880033052884615,4.0,1.0,55.0,0.6875,0.05889892578125,0.49461203813552856,0.5867711305618286,0.4901440739631653,,,,,0.0,0.10198974609375,0.3380126953125,0.2691650390625,0.29083251953125,86,0.47674418604651164,2.5232558139534884,2.4767441860465116,0.046511627906976744,304,0.506578947368421,2.6414473684210527,2.4375,0.20394736842105263,234,0.48717948717948717,2.623931623931624,2.4615384615384617,0.1623931623931624,262,0.5381679389312977,2.633587786259542,2.4083969465648853,0.22519083969465647,0.08006448298692703,0.6193091869354248,97.0,0.0083596371114254,0.5667076706886292,328.0,0.08790738880634308,0.5800338983535767,257.0,0.03768322244286537,0.5850110054016113,283.0
8,131072,7063,3555,2518,990,0.5033271980744726,0.56,0.48,-0.01199960708618164,0.2337387055158615,-0.07326534390449524,0.5055655837059021,880,428,333,119,0.4863636363636364,0.13863636363636364,2.6,2.4613636363636364,0.0621720552444458,0.002166748046875,0.01005249097943306,0.0013162262039259076,0.02667582407593727,0.0101318359375,1.01318359375,-0.07877197861671448,-0.01199960708618164,-0.045555282558780164,0.9037866618703393,0.8072313666343689,0.04225022345781326,0.8466739654541016,0.9071657657623291,0.9595648646354675,1.0047262907028198,-0.037442754227041165,0.5079401964789054,131072.0001,2.7757476568222046,0.016160757445237216,0.14220473345588236,0.48331934564253864,0.00017231999999999998,1.310716145178851,-0.003071619974681573,0.0012069909740078215,0.0,0.0386547252960786,0.0,0.6949404863750234,0.03437606486327508,0.05794749540441176,4.0,1.0,52.0,0.7222222089767456,0.05816650390625,0.4895973801612854,0.5551273822784424,0.48644742369651794,,,,,0.0,0.14813232421875,0.30084228515625,0.29052734375,0.260498046875,126,0.5,2.626984126984127,2.4285714285714284,0.1984126984126984,259,0.5096525096525096,2.629343629343629,2.44015444015444,0.1891891891891892,248,0.4959677419354839,2.620967741935484,2.443548387096774,0.1774193548387097,247,0.44534412955465585,2.534412955465587,2.5182186234817814,0.016194331983805668,0.03225068002939224,0.5989857316017151,137.0,0.046630896627902985,0.5480599403381348,279.0,-0.004974125884473324,0.5442157983779907,273.0,-0.07571161538362503,0.5455093383789062,264.0
9,147456,7949,4040,2792,1117,0.508240030192477,0.64,0.575,-0.008013295009732246,0.23323789238929749,-0.05764872580766678,0.5035828351974487,886,485,274,127,0.5474040632054176,0.27313769751693,2.6715575620767495,2.3984198645598194,0.057511746883392334,0.009002685546875,0.013616944663226604,0.0011549500050023198,0.026843708008527756,0.01727294921875,1.727294921875,-0.07864990830421448,-0.008013295009732246,-0.05263949195796158,0.9055056447784106,0.8254414796829224,0.035371504724025726,0.8624835014343262,0.9063023328781128,0.9446816444396973,1.00721275806427,-0.03968786217892145,0.507497623671877,147456.0001,2.7552116389075914,0.01673979134223676,0.16044108072916666,0.5121541833505034,0.00013136,1.311673420170943,-0.004389460785281092,0.0016498851515643527,0.0010380193998571485,0.048949552545363595,0.0,0.7697048749153813,0.031635770438394197,0.0587158203125,4.0,1.0,59.0,0.7662337422370911,0.0587158203125,0.4888874590396881,0.5707817077636719,0.4849449396133423,,,,,0.0,0.13018798828125,0.33697509765625,0.291748046875,0.2410888671875,110,0.5454545454545454,2.6545454545454548,2.4,0.2545454545454545,297,0.5454545454545454,2.67003367003367,2.3838383838383836,0.28619528619528617,252,0.5555555555555556,2.6984126984126986,2.4047619047619047,0.29365079365079366,227,0.5418502202643172,2.6519823788546257,2.409691629955947,0.2422907488986784,0.09782226383686066,0.492295503616333,121.0,0.0028507269453257322,0.593289852142334,321.0,0.03232593834400177,0.5649343132972717,276.0,0.0403972752392292,0.5615870952606201,244.0
10,163840,8829,4490,3099,1240,0.508551364820478,0.54,0.525,-0.011730408295989037,0.23173703253269196,-0.06067465618252754,0.4895894229412079,880,450,307,123,0.5113636363636364,0.1875,2.631818181818182,2.444318181818182,0.05447983741760254,0.004974365234375,0.00999145582318306,0.0011977122630923986,0.027128905057907104,0.0096435546875,0.96435546875,-0.07952880859375,-0.011730408295989037,-0.04752155110569826,0.8602152019739151,0.766021728515625,0.03911589831113815,0.8129537105560303,0.8590257167816162,0.9123967885971069,0.9531500339508057,-0.04178654157800113,0.5057745290503436,163840.0001,2.699321433901787,0.012638079029178092,0.12691243489583334,0.5385298269490401,9.039999999999999e-05,1.2659659646451473,-0.006606449171773702,0.0030860161648460943,0.012923535871474693,0.06396321949612808,0.0,0.7616510326042771,0.03603853198001161,0.05841064453125,4.0,1.0,57.0,0.75,0.05841064453125,0.4760662913322449,0.5603492856025696,0.47165805101394653,,,,,0.0,0.16180419921875,0.2947998046875,0.278076171875,0.26531982421875,141,0.49645390070921985,2.673758865248227,2.4609929078014185,0.2127659574468085,253,0.549407114624506,2.6284584980237153,2.411067193675889,0.21739130434782608,255,0.43137254901960786,2.552941176470588,2.533333333333333,0.0196078431372549,231,0.5670995670995671,2.696969696969697,2.3722943722943723,0.3246753246753247,0.022214258089661598,0.5399112105369568,150.0,0.025342654436826706,0.5731160640716553,280.0,-0.024371594190597534,0.5571019053459167,269.0,0.13886970281600952,0.5475911498069763,258.0
