update,timesteps,episodes_completed,wins,losses,draws,win_rate,rolling_win_rate_50ep,rolling_win_rate_200ep,rollout_reward_mean,rollout_reward_std,rollout_return_mean,rollout_return_std,rollout_episodes,rollout_wins,rollout_losses,rollout_draws,rollout_win_rate,rollout_win_margin_mean,rollout_blue_score_mean,rollout_red_score_mean,explained_variance,reward_terminal_mean,reward_offense_mean,reward_pbrs_mean,reward_team_mean,reward_sparse_mean,reward_sparse_points_mean,reward_failure_mean,reward_total_mean,policy_loss,value_loss,value_loss_min,value_loss_std,value_loss_p10,value_loss_p50,value_loss_p90,value_loss_max,entropy,approx_kl,clip_fraction,grad_norm,learning_rate,strategy_entropy,strategy_policy_loss,strategy_approx_kl,strategy_clip_fraction,strategy_ratio_std,strategy_q_loss,strategy_persist_loss,strategy_grad_norm,strategy_resample_fraction,strategy_unique_count,strategy_dominant,strategy_switch_count,strategy_switch_fraction,strategy_resample_fraction_rollout,curriculum_phase,curriculum_phase_idx,curriculum_phase_episodes,curriculum_phase_win_rate,strategy_kl,strategy_occupancy_0,strategy_occupancy_1,strategy_occupancy_2,strategy_occupancy_3,episode_z_0_count,episode_z_0_win_rate,episode_z_0_blue_score_mean,episode_z_0_red_score_mean,episode_z_0_win_margin_mean,episode_z_1_count,episode_z_1_win_rate,episode_z_1_blue_score_mean,episode_z_1_red_score_mean,episode_z_1_win_margin_mean,episode_z_2_count,episode_z_2_win_rate,episode_z_2_blue_score_mean,episode_z_2_red_score_mean,episode_z_2_win_margin_mean,episode_z_3_count,episode_z_3_win_rate,episode_z_3_blue_score_mean,episode_z_3_red_score_mean,episode_z_3_win_margin_mean
1,16384,876,427,321,128,0.4874429223744292,0.52,0.52,-0.010972408577799797,0.22952622175216675,-0.06516589969396591,0.5089512467384338,876,427,321,128,0.4874429223744292,0.15182648401826485,2.608447488584475,2.4566210045662102,-0.004638552665710449,0.0025634765625,0.01087036170065403,0.001433666329830885,0.027219990268349648,0.01104736328125,1.104736328125,-0.07639160752296448,-0.010972408577799797,-0.0071738232945790514,0.2488596783950925,0.22307342290878296,0.011082891374826431,0.23271280527114868,0.24899117648601532,0.2603488862514496,0.2768499255180359,3.003498960286379,0.004450519343663473,0.030731201171875,0.15204953006468713,0.00045904,1.376602914184332,-0.008615997483218507,0.006699263003952183,0.06237351994786877,0.10912398479494767,0.0,0.7417301684617996,0.014068866999878082,0.10430908203125,4.0,2.0,612.0,0.7418181896209717,0.10430908203125,,,,,0.0,0.2279052734375,0.245849609375,0.26971435546875,0.25653076171875,188,0.5,2.6117021276595747,2.4574468085106385,0.15425531914893617,240,0.4583333333333333,2.591666666666667,2.4833333333333334,0.10833333333333334,245,0.49387755102040815,2.636734693877551,2.436734693877551,0.2,203,0.5024630541871922,2.5911330049261085,2.4482758620689653,0.14285714285714285
2,32768,1755,845,633,277,0.48148148148148145,0.52,0.475,-0.009661966003477573,0.23130953311920166,0.12844523787498474,0.5028749704360962,879,418,312,149,0.47554038680318544,0.12741751990898748,2.6120591581342434,2.484641638225256,0.027270793914794922,0.001922607421875,0.012774658389389515,0.0011876425705850124,0.027665402740240097,0.01409912109375,1.409912109375,-0.075439453125,-0.009661966003477573,-0.01673816773472936,0.24018408404663205,0.21819856762886047,0.014662946574389935,0.22448408603668213,0.2391735464334488,0.25780078768730164,0.2963765859603882,2.993956997990608,0.007261636232215096,0.0654449462890625,0.33749489369802177,0.00041808000000000004,1.3618241976946592,-0.010688063988444463,0.010369713205737874,0.06538642788655125,0.11785802489116809,0.0,0.7611157419160008,0.015869985734752845,0.10333251953125,4.0,2.0,621.0,0.7628992795944214,0.10333251953125,,,,,0.0,0.23443603515625,0.22216796875,0.334716796875,0.20867919921875,202,0.4801980198019802,2.599009900990099,2.4702970297029703,0.12871287128712872,224,0.4375,2.59375,2.5223214285714284,0.07142857142857142,253,0.5138339920948617,2.6403162055335967,2.4466403162055337,0.19367588932806323,200,0.465,2.61,2.505,0.105
3,49152,2639,1289,943,407,0.48844259189086775,0.52,0.545,-0.010826779529452324,0.22955366969108582,0.10568780452013016,0.5140039324760437,884,444,310,130,0.502262443438914,0.18099547511312217,2.6255656108597285,2.4445701357466065,0.03837078809738159,0.00421142578125,0.009979248046875,0.0012730179587379098,0.02728734351694584,0.01007080078125,1.007080078125,-0.07561035454273224,-0.010826779529452324,-0.027745911895181052,0.24727957928553224,0.2218257188796997,0.010212628170847893,0.23621422052383423,0.24774044752120972,0.25895798206329346,0.27535301446914673,3.009071495383978,0.00975124733940902,0.09039306640625,0.23753285384736955,0.00037712,1.3715447336435318,-0.021940997242159574,0.017278658337848446,0.16190018609631807,0.16330178199348644,0.0,0.7224470656365156,0.0194102219393244,0.1046142578125,4.0,2.0,601.0,0.7240963578224182,0.1046142578125,,,,,0.0,0.24066162109375,0.1937255859375,0.404052734375,0.16156005859375,210,0.5190476190476191,2.623809523809524,2.433333333333333,0.19047619047619047,196,0.4897959183673469,2.6020408163265305,2.454081632653061,0.14795918367346939,326,0.48466257668711654,2.6134969325153374,2.457055214723926,0.15644171779141106,152,0.5328947368421053,2.6842105263157894,2.4210526315789473,0.2631578947368421
4,65536,3523,1715,1284,524,0.4868010218563724,0.54,0.495,-0.0108195710927248,0.23185597360134125,0.07535694539546967,0.5206224322319031,884,426,341,117,0.4819004524886878,0.1085972850678733,2.590497737556561,2.481900452488688,0.0564579963684082,0.001617431640625,0.01145019568502903,0.0013109763385728002,0.02732318826019764,0.01031494140625,1.031494140625,-0.07476806640625,-0.0108195710927248,-0.03616829366001184,0.25124882836826146,0.22644934058189392,0.009642960503697395,0.23853303492069244,0.2510232925415039,0.2635159194469452,0.26811909675598145,3.02120553329587,0.01513761300338956,0.13458251953125,0.2614071040879935,0.00033616,1.3632143754512072,-0.009414932195024699,0.007387571335300436,0.05283933170721866,0.10628396744441404,0.0,0.7588250013068318,0.017730193023453467,0.10430908203125,4.0,0.0,625.0,0.7575757503509521,0.10430908203125,,,,,0.0,0.32659912109375,0.1981201171875,0.312744140625,0.16253662109375,223,0.4977578475336323,2.6278026905829597,2.475336322869955,0.15246636771300448,228,0.4692982456140351,2.56140350877193,2.495614035087719,0.06578947368421052,261,0.4904214559386973,2.5900383141762453,2.4636015325670497,0.12643678160919541,172,0.46511627906976744,2.5813953488372094,2.5,0.08139534883720931
5,81920,4409,2168,1584,657,0.4917214787933772,0.68,0.545,-0.010151212103664875,0.2325190305709839,0.05708875507116318,0.5418868660926819,886,453,300,133,0.5112866817155757,0.17945823927765236,2.6128668171557563,2.433408577878104,0.06336748600006104,0.005279541015625,0.01087036170065403,0.0013824680354446173,0.02684098109602928,0.0115966796875,1.15966796875,-0.07576904445886612,-0.010151212103664875,-0.03964585528592579,0.2682907006237656,0.2350902259349823,0.013763373717665672,0.2525319457054138,0.2684105932712555,0.28561967611312866,0.3024049997329712,2.969812124967575,0.01669011649391905,0.1464080810546875,0.29673722945153713,0.0002952,1.3213611636310816,-0.012827292608034849,0.008858281703884864,0.09506602928740904,0.1219922602997554,0.0,0.745549219660461,0.0214829371398082,0.10443115234375,4.0,0.0,615.0,0.7436517477035522,0.10443115234375,,,,,0.0,0.37890625,0.2266845703125,0.2528076171875,0.1416015625,237,0.5358649789029536,2.5780590717299576,2.409282700421941,0.16877637130801687,283,0.5265017667844523,2.646643109540636,2.4063604240282683,0.24028268551236748,173,0.5549132947976878,2.6705202312138727,2.3641618497109826,0.3063583815028902,193,0.41968911917098445,2.5544041450777204,2.564766839378238,-0.010362694300518135
6,98304,5296,2642,1875,779,0.49886706948640486,0.6,0.52,-0.008508874103426933,0.23146715760231018,0.05371192470192909,0.5251636505126953,887,474,291,122,0.5343855693348365,0.24013528748590757,2.6538895152198423,2.4137542277339348,0.04781520366668701,0.0074462890625,0.013989257626235485,0.001240809098817408,0.02655165083706379,0.0140380859375,1.40380859375,-0.07647705078125,-0.008508874103426933,-0.04191536071448354,0.2550106893759221,0.22808939218521118,0.01102378312498331,0.24368834495544434,0.2538759708404541,0.27029871940612793,0.28540146350860596,2.9268502220511436,0.019187549695743655,0.1576385498046875,0.34529229532927275,0.00025424000000000003,1.2543990146368742,-0.008799974399155142,0.009117818460435245,0.05644267305615358,0.11024122277290949,0.0,0.7280513644218445,0.02278452643804485,0.10430908203125,4.0,0.0,598.0,0.7292683124542236,0.10430908203125,,,,,0.0,0.36279296875,0.2779541015625,0.24835205078125,0.11090087890625,177,0.5310734463276836,2.672316384180791,2.4124293785310735,0.2598870056497175,363,0.5371900826446281,2.6611570247933884,2.4104683195592287,0.25068870523415976,170,0.5529411764705883,2.6294117647058823,2.388235294117647,0.2411764705882353,177,0.5141242937853108,2.6440677966101696,2.446327683615819,0.1977401129943503
7,114688,6180,3127,2165,888,0.5059870550161812,0.62,0.565,-0.008186157792806625,0.23258361220359802,0.023875147104263306,0.5154822468757629,884,485,290,109,0.5486425339366516,0.27601809954751133,2.659502262443439,2.3834841628959276,0.06505399942398071,0.008575439453125,0.01318969763815403,0.0013256039237603545,0.026104606688022614,0.01519775390625,1.519775390625,-0.07667236030101776,-0.008186157792806625,-0.04287331399245886,0.2437601077836007,0.22219642996788025,0.009776853956282139,0.23033171892166138,0.24372512102127075,0.25530824065208435,0.26734670996665955,2.888863541185856,0.018221091260784306,0.15081787109375,0.38687014393508434,0.00021328000000000002,1.0972603987902403,-0.011810765519117333,0.013522994458333368,0.09605801758880261,0.1363605642381892,0.0,0.7568977680057287,0.025768039951799437,0.1046142578125,4.0,0.0,628.0,0.7566264867782593,0.1046142578125,,,,,0.0,0.3289794921875,0.3038330078125,0.2510986328125,0.1160888671875,147,0.5306122448979592,2.619047619047619,2.360544217687075,0.2585034013605442,438,0.5981735159817352,2.712328767123288,2.3378995433789953,0.3744292237442922,131,0.4732824427480916,2.5877862595419847,2.4656488549618323,0.12213740458015267,168,0.49404761904761907,2.613095238095238,2.4583333333333335,0.15476190476190477
8,131072,7064,3566,2474,1024,0.5048131370328426,0.3,0.48,-0.011599759571254253,0.2316800355911255,-0.01782749965786934,0.5213647484779358,884,439,309,136,0.49660633484162897,0.1832579185520362,2.6334841628959276,2.4502262443438916,0.05606436729431152,0.0037841796875,0.00960082933306694,0.0012552193365991116,0.0260453000664711,0.00921630859375,0.921630859375,-0.07685546576976776,-0.011599759571254253,-0.04198936621833127,0.25140221579931676,0.22542662918567657,0.00996771827340126,0.2405805140733719,0.25028687715530396,0.26610586047172546,0.27275264263153076,2.8522754907608032,0.01573089884550427,0.140380859375,0.4276850572787225,0.00017231999999999998,0.9868405889719725,-0.004044514869860905,0.005887877827417185,0.02511622842575889,0.08650922962364227,0.0,0.7242411598563194,0.02730300958501175,0.10406494140625,4.0,0.0,598.0,0.7257281541824341,0.10406494140625,,,,,0.0,0.39373779296875,0.3475341796875,0.17364501953125,0.0850830078125,119,0.4957983193277311,2.5714285714285716,2.453781512605042,0.11764705882352941,498,0.5,2.6546184738955825,2.4437751004016066,0.21084337349397592,108,0.5277777777777778,2.6666666666666665,2.4074074074074074,0.25925925925925924,159,0.46540880503144655,2.591194968553459,2.49685534591195,0.09433962264150944
9,147456,7947,4027,2765,1155,0.5067321001635837,0.44,0.54,-0.01105041429400444,0.22949276864528656,-0.024592868983745575,0.5168949365615845,883,461,291,131,0.522083805209513,0.2434881087202718,2.6602491506228767,2.4167610419026047,0.05640023946762085,0.006378173828125,0.00927734375,0.0011889813467860222,0.026101402938365936,0.00921630859375,0.921630859375,-0.07656249403953552,-0.01105041429400444,-0.041179810934409034,0.24741780385375023,0.22910796105861664,0.010478361509740353,0.23420028388500214,0.24647647142410278,0.25862112641334534,0.2795313596725464,2.8488414473831654,0.013293092819367303,0.1248931884765625,0.44980241311714053,0.00013136,0.941791545599699,-0.00771459224940102,0.008503478783419283,0.045425033109495416,0.10944326545550798,0.0,0.6855736821889877,0.028471933226683177,0.1043701171875,4.0,1.0,563.0,0.6832524538040161,0.1043701171875,,,,,0.0,0.3194580078125,0.42431640625,0.1602783203125,0.095947265625,81,0.49382716049382713,2.6296296296296298,2.4074074074074074,0.2222222222222222,551,0.515426497277677,2.6624319419237747,2.4319419237749544,0.23049001814882034,81,0.5432098765432098,2.6666666666666665,2.345679012345679,0.32098765432098764,170,0.5470588235294118,2.664705882352941,2.4058823529411764,0.25882352941176473
10,163840,8831,4501,3044,1286,0.5096818027403465,0.56,0.58,-0.008960390463471413,0.23217327892780304,-0.007856287993490696,0.5059751868247986,884,474,279,131,0.5361990950226244,0.27262443438914025,2.670814479638009,2.3981900452488687,0.06069517135620117,0.007904052734375,0.01308593712747097,0.0011703084455803037,0.02615482173860073,0.01348876953125,1.348876953125,-0.07736816257238388,-0.008960390463471413,-0.0362492858148471,0.237513885833323,0.22307638823986053,0.007033303380012512,0.22825416922569275,0.23681986331939697,0.2467927187681198,0.2539069950580597,2.7793600000441074,0.009850999028458318,0.0944061279296875,0.49863537307828665,9.039999999999999e-05,0.9546775575727224,-0.008202221370091495,0.005268430072153827,0.04000281766639091,0.09205779594238617,0.0,0.625864330213517,0.03045658209885005,0.1046142578125,4.0,1.0,519.0,0.62530118227005,0.1046142578125,,,,,0.0,0.22723388671875,0.50506591796875,0.15692138671875,0.11077880859375,55,0.4727272727272727,2.5090909090909093,2.4363636363636365,0.07272727272727272,570,0.5333333333333333,2.670175438596491,2.4017543859649124,0.26842105263157895,56,0.6071428571428571,2.6964285714285716,2.2857142857142856,0.4107142857142857,203,0.541871921182266,2.70935960591133,2.4088669950738915,0.30049261083743845
