episode_id,timesteps,policy_update,rollout_step,latent_z,curriculum_phase,mode,map_set,opponent,success,blue_score,red_score,win_margin,decision_steps,zone_coverage,collision_free_episode,collision_events_per_episode,near_misses_per_episode,time_to_first_score,mean_inter_robot_dist,reward_terminal,reward_offense,reward_pbrs,reward_team,reward_sparse,reward_sparse_points,reward_failure,reward_total
1,184,0,23,1,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,0,3,23,0.2800000011920929,1,0,2,16.0,7.606817494268003,1.0,0.4000000059604645,-0.00724928081035614,0.04999999701976776,1.0,100.0,0.0,0.5389481782913208
2,208,0,26,1,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,0,3,26,0.23999999463558197,1,0,3,21.0,7.8727874755859375,1.0,0.5,0.004702210426330566,0.03999999910593033,1.0,100.0,0.0,0.5565313100814819
3,216,0,27,2,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,0,3,27,0.4399999976158142,1,0,8,20.0,6.165244773582176,1.0,0.5,-0.009082213044166565,0.014999999664723873,1.0,100.0,0.0,0.5548557639122009
4,216,0,27,0,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,0,3,27,0.3199999928474426,1,0,0,22.0,8.215961032443577,1.0,0.5,-0.002995103597640991,0.014999999664723873,1.0,100.0,0.0,0.5551190376281738
5,224,0,28,2,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,0,3,28,0.35999998450279236,1,0,9,21.0,6.287561144147601,1.0,0.5,-0.021711647510528564,0.014999999664723873,1.0,100.0,-0.4000000059604645,0.4812275469303131
6,232,0,29,3,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,0,3,29,0.47999998927116394,1,0,2,21.0,8.359459186422415,1.0,0.5,-0.008233532309532166,0.02499999850988388,1.0,100.0,0.0,0.555324912071228
7,240,0,30,1,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,1,2,30,0.2800000011920929,1,0,14,25.0,6.034171549479167,1.0,0.5,-0.01778969168663025,0.029999999329447746,1.0,100.0,0.0,0.5551279783248901
8,248,0,31,3,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,0,3,31,0.2800000011920929,1,0,11,25.0,7.973005725491431,1.0,0.5,-0.02956356108188629,0.029999999329447746,1.0,100.0,-0.20000000298023224,0.5190417170524597
9,336,0,42,0,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,19,0.3199999928474426,1,0,3,12.0,10.738139905427632,1.0,0.5,-0.02333584427833557,0.029999999329447746,1.0,100.0,-0.20000000298023224,0.5193260312080383
10,360,0,45,1,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,19,0.23999999463558197,1,0,1,12.0,9.786602622584292,-1.0,-0.5,0.015241950750350952,0.0,-1.0,-100.0,-0.20000000298023224,-0.5876359939575195
