update,timesteps,episodes_completed,wins,losses,draws,win_rate,rolling_win_rate_50ep,rolling_win_rate_200ep,rollout_reward_mean,rollout_reward_std,rollout_return_mean,rollout_return_std,rollout_episodes,rollout_wins,rollout_losses,rollout_draws,rollout_win_rate,rollout_win_margin_mean,rollout_blue_score_mean,rollout_red_score_mean,explained_variance,reward_terminal_mean,reward_offense_mean,reward_pbrs_mean,reward_team_mean,reward_sparse_mean,reward_sparse_points_mean,reward_failure_mean,reward_total_mean,policy_loss,value_loss,value_loss_min,value_loss_std,value_loss_p10,value_loss_p50,value_loss_p90,value_loss_max,return_norm_mean,return_norm_std,return_norm_count,entropy,approx_kl,clip_fraction,grad_norm,learning_rate,strategy_entropy,strategy_policy_loss,strategy_approx_kl,strategy_clip_fraction,strategy_ratio_std,strategy_q_loss,strategy_persist_loss,strategy_grad_norm,strategy_resample_fraction,strategy_unique_count,strategy_dominant,strategy_switch_count,strategy_switch_fraction,strategy_resample_fraction_rollout,curriculum_phase,curriculum_phase_idx,curriculum_phase_episodes,curriculum_phase_win_rate,strategy_kl,strategy_occupancy_0,strategy_occupancy_1,strategy_occupancy_2,strategy_occupancy_3,episode_z_0_count,episode_z_0_win_rate,episode_z_0_blue_score_mean,episode_z_0_red_score_mean,episode_z_0_win_margin_mean,episode_z_1_count,episode_z_1_win_rate,episode_z_1_blue_score_mean,episode_z_1_red_score_mean,episode_z_1_win_margin_mean,episode_z_2_count,episode_z_2_win_rate,episode_z_2_blue_score_mean,episode_z_2_red_score_mean,episode_z_2_win_margin_mean,episode_z_3_count,episode_z_3_win_rate,episode_z_3_blue_score_mean,episode_z_3_red_score_mean,episode_z_3_win_margin_mean
1,16384,876,427,321,128,0.4874429223744292,0.52,0.52,-0.010972408577799797,0.22952622175216675,-0.08543594181537628,0.5105664730072021,876,427,321,128,0.4874429223744292,0.15182648401826485,2.608447488584475,2.4566210045662102,-0.00420987606048584,0.0025634765625,0.01087036170065403,0.001433666329830885,0.027219990268349648,0.01104736328125,1.104736328125,-0.07639160752296448,-0.010972408577799797,-0.007337504792303662,0.9515785379335284,0.8619093894958496,0.04245993122458458,0.8940006494522095,0.9522263407707214,0.9924691319465637,1.0719795227050781,-0.08543594129391667,0.5105664960278952,16384.0001,3.0031935647130013,0.0045963615011714865,0.031707763671875,0.20244939369149506,0.00045904,1.3714438248425722,-0.010355732451095445,0.009425293388062528,0.07286862249020487,0.12107133604085574,0.0,0.7417301684617996,0.015291766831069253,0.10430908203125,4.0,2.0,612.0,0.7418181896209717,0.10430908203125,,,,,0.0,0.2279052734375,0.245849609375,0.26971435546875,0.25653076171875,188,0.5,2.6117021276595747,2.4574468085106385,0.15425531914893617,240,0.4583333333333333,2.591666666666667,2.4833333333333334,0.10833333333333334,245,0.49387755102040815,2.636734693877551,2.436734693877551,0.2,203,0.5024630541871922,2.5911330049261085,2.4482758620689653,0.14285714285714285
2,32768,1756,864,633,259,0.4920273348519362,0.5,0.47,-0.010509273037314415,0.23204827308654785,0.16736410558223724,0.5296089053153992,880,437,312,131,0.4965909090909091,0.16704545454545455,2.625,2.4579545454545455,0.002559065818786621,0.003631591796875,0.010955810546875,0.0012494868133217096,0.027527352795004845,0.01092529296875,1.092529296875,-0.07532958686351776,-0.010509273037314415,-0.01844033801535261,0.9362966120243073,0.8442699909210205,0.05271708965301514,0.8741526007652283,0.929336428642273,1.0203675031661987,1.0752876996994019,0.04096408175841802,0.5353119085585178,32768.000100000005,3.029429730027914,0.0074617516474972945,0.0681304931640625,0.36188334482721984,0.00041808000000000004,1.3493609353899956,-0.015130304506248249,0.009196106211307509,0.08030525912181474,0.11969243919595773,0.0,0.7323286114260554,0.019084197927440982,0.1046142578125,4.0,2.0,611.0,0.7326139211654663,0.1046142578125,,,,,0.0,0.181640625,0.2911376953125,0.32159423828125,0.20562744140625,149,0.5033557046979866,2.664429530201342,2.422818791946309,0.24161073825503357,241,0.5062240663900415,2.6431535269709543,2.4605809128630707,0.1825726141078838,260,0.47307692307692306,2.5923076923076924,2.4884615384615385,0.10384615384615385,230,0.508695652173913,2.617391304347826,2.4434782608695653,0.17391304347826086
3,49152,2638,1318,919,401,0.49962092494313876,0.56,0.52,-0.008282245136797428,0.23153680562973022,0.1474822461605072,0.5070711374282837,882,454,286,142,0.5147392290249433,0.21428571428571427,2.6587301587301586,2.4444444444444446,0.024053514003753662,0.00592041015625,0.012939453125,0.0012455862015485764,0.02742256224155426,0.01507568359375,1.507568359375,-0.07435302436351776,-0.008282245136797428,-0.027973335898423102,0.8712643934413791,0.7775136828422546,0.039261750876903534,0.8211637735366821,0.8701879978179932,0.9191170334815979,0.9770619869232178,0.07647013648687716,0.5284577889896956,49152.000100000005,3.0478182584047318,0.01019258794531197,0.0965576171875,0.29141199588775635,0.00037712,1.3628864269703627,-0.010392384237211442,0.009040755822361746,0.08143537276191637,0.12126769679334498,0.0,0.7271528281271458,0.018570111176813953,0.10479736328125,4.0,1.0,607.0,0.7269461154937744,0.10479736328125,,,,,0.0,0.1241455078125,0.36041259765625,0.34814453125,0.16729736328125,133,0.5037593984962406,2.6466165413533833,2.43609022556391,0.21052631578947367,322,0.4968944099378882,2.6490683229813663,2.459627329192547,0.18944099378881987,248,0.5403225806451613,2.661290322580645,2.4274193548387095,0.23387096774193547,179,0.5195530726256983,2.6815642458100557,2.446927374301676,0.2346368715083799
4,65536,3527,1767,1231,529,0.5009923447689254,0.54,0.545,-0.0099085234105587,0.23339848220348358,0.06685946881771088,0.5042934417724609,889,449,312,128,0.5050618672665916,0.1889763779527559,2.62992125984252,2.440944881889764,0.03560161590576172,0.00445556640625,0.01155395433306694,0.0012838027905672789,0.02741302363574505,0.01220703125,1.220703125,-0.07532959431409836,-0.0099085234105587,-0.03628611208478105,0.8690701378509402,0.7783509492874146,0.0401688888669014,0.8114176988601685,0.8695287704467773,0.9116354584693909,0.9534748196601868,0.07406746957325176,0.5225380530113205,65536.0001,2.9901673533022404,0.013854784169780032,0.1260223388671875,0.34589816187508404,0.00033616,1.3529643025249243,-0.010132166499365464,0.008634354428492585,0.07122591018560342,0.1075829408644936,0.0,0.7502758363261819,0.018424976005917415,0.10504150390625,4.0,1.0,625.0,0.7512019276618958,0.10504150390625,,,,,0.0,0.1749267578125,0.34136962890625,0.31219482421875,0.1715087890625,204,0.49019607843137253,2.642156862745098,2.4558823529411766,0.18627450980392157,271,0.5276752767527675,2.660516605166052,2.4280442804428044,0.23247232472324722,196,0.4489795918367347,2.561224489795918,2.4948979591836733,0.0663265306122449,218,0.5412844036697247,2.6422018348623855,2.3944954128440368,0.24770642201834864
5,81920,4412,2207,1532,673,0.5002266545784225,0.46,0.49,-0.008867688477039337,0.23017661273479462,0.027017753571271896,0.5126887559890747,885,440,301,144,0.4971751412429379,0.17740112994350282,2.6361581920903956,2.458757062146893,0.04336810111999512,0.00408935546875,0.01359253004193306,0.0011337404139339924,0.027215369045734406,0.014892578125,1.4892578125,-0.07553711533546448,-0.008867688477039337,-0.04035715183272259,0.898854379542172,0.8104918599128723,0.03620234876871109,0.8501033186912537,0.8948725461959839,0.946794331073761,0.9768425226211548,0.06465752638434254,0.5209231720984542,81920.0001,2.9967486895620823,0.01722616969163937,0.14886474609375,0.3633615989238024,0.0002952,1.3419272545725107,-0.011574611601367968,0.007556540684568634,0.058230841663316824,0.10970497969795368,0.0,0.7489445405080914,0.021643630316248164,0.10498046875,4.0,1.0,628.0,0.7511961460113525,0.10498046875,,,,,0.0,0.1494140625,0.382568359375,0.2366943359375,0.2313232421875,221,0.5158371040723982,2.6470588235294117,2.429864253393665,0.2171945701357466,266,0.5413533834586466,2.691729323308271,2.4135338345864663,0.2781954887218045,136,0.4485294117647059,2.6029411764705883,2.5220588235294117,0.08088235294117647,262,0.4618320610687023,2.5877862595419847,2.49618320610687,0.0916030534351145
6,98304,5296,2652,1833,811,0.5007552870090635,0.48,0.535,-0.010191870853304863,0.23318739235401154,0.039435043931007385,0.5197643637657166,884,445,301,138,0.503393665158371,0.18099547511312217,2.6357466063348416,2.4547511312217196,0.04929906129837036,0.00457763671875,0.01077880896627903,0.0011970270425081253,0.02796844393014908,0.01129150390625,1.129150390625,-0.07525634765625,-0.010191870853304863,-0.043163394802832045,0.9159213174134493,0.8420456051826477,0.037676580250263214,0.8638244867324829,0.9159614443778992,0.9677795767784119,1.026949405670166,0.06045377931306295,0.520815052495958,98304.0001,2.969014063477516,0.019031359430300654,0.1593780517578125,0.4139452576637268,0.00025424000000000003,1.31949682533741,-0.009065222229406526,0.005981397959846039,0.03690094196645077,0.09385325028158054,0.0,0.7528401110321283,0.0227092993009137,0.10455322265625,4.0,1.0,623.0,0.7524154782295227,0.10455322265625,,,,,0.0,0.1790771484375,0.46038818359375,0.15826416015625,0.2022705078125,246,0.4715447154471545,2.5934959349593494,2.483739837398374,0.10975609756097561,281,0.501779359430605,2.622775800711744,2.4519572953736657,0.1708185053380783,132,0.5681818181818182,2.6666666666666665,2.4015151515151514,0.26515151515151514,225,0.5022222222222222,2.68,2.457777777777778,0.2222222222222222
7,114688,6179,3109,2119,951,0.5031558504612397,0.46,0.5,-0.008744948543608189,0.22826892137527466,0.03266577422618866,0.5325472354888916,883,457,286,140,0.5175537938844847,0.2129105322763307,2.6613816534541335,2.448471121177803,0.051205337047576904,0.00616455078125,0.012579345144331455,0.0011453290935605764,0.027687285095453262,0.01507568359375,1.507568359375,-0.07584228366613388,-0.008744948543608189,-0.0425513780064648,0.9582099048420787,0.8732138276100159,0.04511524736881256,0.9096638560295105,0.9491922855377197,1.0225926637649536,1.0758072137832642,0.05648406430411365,0.5225976744561098,114688.0001,2.9319756105542183,0.01836771747093735,0.1542816162109375,0.46658236160874367,0.00021328000000000002,1.2921269554644823,-0.010434713416574579,0.010482019173775425,0.08246296904690098,0.12558855481887887,0.0,0.7437304435297847,0.022165221169416327,0.1036376953125,4.0,1.0,607.0,0.7438725233078003,0.1036376953125,,,,,0.0,0.22833251953125,0.46533203125,0.1343994140625,0.17193603515625,311,0.5209003215434084,2.67524115755627,2.463022508038585,0.21221864951768488,227,0.5198237885462555,2.643171806167401,2.4317180616740086,0.21145374449339208,100,0.51,2.68,2.44,0.24,245,0.5142857142857142,2.6530612244897958,2.4489795918367347,0.20408163265306123
8,131072,7058,3543,2417,1098,0.5019835647492208,0.48,0.505,-0.011133208870887756,0.22917532920837402,-0.015717074275016785,0.5202576518058777,879,434,298,147,0.4937428896473265,0.1820250284414107,2.641638225255973,2.459613196814562,0.043789803981781006,0.003814697265625,0.01040039025247097,0.0010814412962645292,0.02711179479956627,0.010498046875,1.0498046875,-0.07698974758386612,-0.011133208870887756,-0.04087750161124859,0.9229705333709717,0.8105543851852417,0.04010740667581558,0.8760966658592224,0.922652542591095,0.9739794135093689,1.0015097856521606,0.04745892198860799,0.5228512831189647,131072.0001,2.8755341209471226,0.016288599919789704,0.1398468017578125,0.5234086900018156,0.00017231999999999998,1.2915561348199844,-0.0102145641788281,0.008519288120520722,0.05506424594204873,0.11095027575039984,0.0,0.7473240429535508,0.02301547265960835,0.10406494140625,4.0,1.0,616.0,0.7457627058029175,0.10406494140625,,,,,0.0,0.29180908203125,0.3404541015625,0.1453857421875,0.22235107421875,315,0.5015873015873016,2.676190476190476,2.4444444444444446,0.23174603174603176,155,0.47096774193548385,2.6,2.4838709677419355,0.11612903225806452,134,0.5223880597014925,2.6417910447761193,2.425373134328358,0.21641791044776118,275,0.48363636363636364,2.6254545454545455,2.48,0.14545454545454545
9,147456,7943,3985,2730,1228,0.5016996097192497,0.64,0.51,-0.009412212297320366,0.23057448863983154,-0.031450770795345306,0.5116609930992126,885,442,313,130,0.4994350282485876,0.16497175141242937,2.6192090395480228,2.454237288135593,0.049690961837768555,0.00390625,0.01265869103372097,0.0008969645132310688,0.027050472795963287,0.0145263671875,1.45263671875,-0.07613525539636612,-0.009412212297320366,-0.04063719874829985,0.89477957226336,0.8216876983642578,0.03797388821840286,0.8504403829574585,0.8920882940292358,0.9481325745582581,0.9735348224639893,0.03869117835189252,0.5222089348814004,147456.0001,2.8737739734351635,0.013279281496579642,0.12298583984375,0.5517611922696233,0.00013136,1.2979241963475943,-0.003977038246156417,0.0018480578147946972,0.000147405662573874,0.0501094739576996,0.0,0.7418449129909277,0.020606210659025237,0.10443115234375,4.0,0.0,611.0,0.7406060695648193,0.10443115234375,,,,,0.0,0.34283447265625,0.25836181640625,0.15948486328125,0.23931884765625,349,0.4899713467048711,2.6361031518624642,2.469914040114613,0.166189111747851,127,0.5039370078740157,2.5826771653543306,2.4330708661417324,0.14960629921259844,160,0.55625,2.66875,2.38125,0.2875,249,0.4738955823293173,2.5823293172690764,2.4899598393574296,0.09236947791164658
10,163840,8827,4423,3042,1362,0.5010762433442846,0.44,0.485,-0.010128481313586235,0.2293795645236969,-0.02645699307322502,0.5292251110076904,884,438,312,134,0.49547511312217196,0.19117647058823528,2.6199095022624435,2.428733031674208,0.058147132396698,0.00360107421875,0.012683105655014515,0.0013065196108072996,0.027528073638677597,0.0133056640625,1.33056640625,-0.07786865532398224,-0.010128481313586235,-0.03555804515781347,0.9494555303826928,0.8567115664482117,0.04026268422603607,0.9008066654205322,0.9501510858535767,1.0065393447875977,1.0426647663116455,0.032176361213357096,0.5232799104118636,163840.0001,2.803823485970497,0.009590666297299322,0.0908355712890625,0.5830040816217661,9.039999999999999e-05,1.2980281244963408,-0.001714967404182921,0.000757670963556523,0.0,0.0330608841781197,0.0,0.7138925800099969,0.02075856828741962,0.1031494140625,4.0,0.0,575.0,0.7133995294570923,0.1031494140625,,,,,0.0,0.31585693359375,0.23406982421875,0.19659423828125,0.25347900390625,282,0.5,2.648936170212766,2.4361702127659575,0.2127659574468085,119,0.5126050420168067,2.5798319327731094,2.4285714285714284,0.15126050420168066,184,0.4782608695652174,2.6032608695652173,2.4239130434782608,0.1793478260869565,299,0.49498327759197325,2.6187290969899664,2.4247491638795986,0.1939799331103679
