update,timesteps,episodes_completed,wins,losses,draws,win_rate,rolling_win_rate_50ep,rolling_win_rate_200ep,rollout_reward_mean,rollout_reward_std,rollout_return_mean,rollout_return_std,rollout_episodes,rollout_wins,rollout_losses,rollout_draws,rollout_win_rate,rollout_win_margin_mean,rollout_blue_score_mean,rollout_red_score_mean,explained_variance,reward_terminal_mean,reward_offense_mean,reward_pbrs_mean,reward_team_mean,reward_sparse_mean,reward_sparse_points_mean,reward_failure_mean,reward_total_mean,policy_loss,value_loss,value_loss_min,value_loss_std,value_loss_p10,value_loss_p50,value_loss_p90,value_loss_max,entropy,approx_kl,clip_fraction,grad_norm,learning_rate,strategy_entropy,strategy_policy_loss,strategy_approx_kl,strategy_clip_fraction,strategy_ratio_std,strategy_q_loss,strategy_persist_loss,strategy_grad_norm,strategy_resample_fraction,strategy_unique_count,strategy_dominant,strategy_switch_count,strategy_switch_fraction,strategy_resample_fraction_rollout,curriculum_phase,curriculum_phase_idx,curriculum_phase_episodes,curriculum_phase_win_rate,strategy_kl,strategy_occupancy_0,strategy_occupancy_1,strategy_occupancy_2,strategy_occupancy_3,episode_z_0_count,episode_z_0_win_rate,episode_z_0_blue_score_mean,episode_z_0_red_score_mean,episode_z_0_win_margin_mean,episode_z_1_count,episode_z_1_win_rate,episode_z_1_blue_score_mean,episode_z_1_red_score_mean,episode_z_1_win_margin_mean,episode_z_2_count,episode_z_2_win_rate,episode_z_2_blue_score_mean,episode_z_2_red_score_mean,episode_z_2_win_margin_mean,episode_z_3_count,episode_z_3_win_rate,episode_z_3_blue_score_mean,episode_z_3_red_score_mean,episode_z_3_win_margin_mean
1,16384,876,434,312,130,0.4954337899543379,0.44,0.48,-0.01006600446999073,0.2325229048728943,-0.045709364116191864,0.514580249786377,876,434,312,130,0.4954337899543379,0.17579908675799086,2.6164383561643834,2.4406392694063928,-0.0042182207107543945,0.00347900390625,0.01252441480755806,0.0013326823245733976,0.027408400550484657,0.012451171875,1.2451171875,-0.07626953721046448,-0.01006600446999073,-0.016125298279803246,0.2470989675881962,0.21635961532592773,0.013641417026519775,0.2323644459247589,0.24541616439819336,0.26248234510421753,0.29052993655204773,2.99311014264822,0.006756941925535405,0.05853271484375,0.13411643565632403,0.00045904,1.3656178799768288,-0.028107063936355797,0.020990553803396022,0.18572469785188636,0.18631362900355233,0.0,0.0,0.02069016577540121,0.053955078125,4.0,2.0,0.0,0.0,0.053955078125,,,,,0.0,0.2142333984375,0.2506103515625,0.2723388671875,0.2628173828125,190,0.5052631578947369,2.6526315789473682,2.4105263157894736,0.24210526315789474,220,0.38181818181818183,2.5318181818181817,2.590909090909091,-0.05909090909090909,237,0.5527426160337553,2.6455696202531644,2.3755274261603376,0.270042194092827,229,0.537117903930131,2.6375545851528384,2.388646288209607,0.24890829694323144
2,32768,1757,889,614,254,0.5059760956175299,0.54,0.53,-0.010624745860695839,0.2332170605659485,0.07089856266975403,0.518034040927887,881,455,302,124,0.5164585698070374,0.20998864926220204,2.6390465380249717,2.4290578887627694,-0.013168096542358398,0.00555419921875,0.010418700985610485,0.001149789779447019,0.027098005637526512,0.01007080078125,1.007080078125,-0.07661132514476776,-0.010624745860695839,-0.036877632796488424,0.254351235098309,0.22840535640716553,0.014124808833003044,0.23748093843460083,0.25265762209892273,0.27361926436424255,0.29815560579299927,2.949617288730763,0.013998696668918623,0.12778501157407407,0.18896160155166813,0.00041808000000000004,1.379877197889634,-0.025159234190747764,0.014187075233739624,0.16844829045420076,0.1567685913965248,0.0,0.0,0.01725474678347876,0.05366271219135803,4.0,2.0,0.0,0.0,0.05377197265625,,,,,0.0,0.280029296875,0.1964111328125,0.33404541015625,0.18951416015625,248,0.532258064516129,2.657258064516129,2.379032258064516,0.2782258064516129,174,0.4942528735632184,2.603448275862069,2.4597701149425286,0.14367816091954022,294,0.5204081632653061,2.639455782312925,2.442176870748299,0.19727891156462585,165,0.509090909090909,2.6484848484848484,2.4484848484848483,0.2
3,49152,2645,1358,913,374,0.513421550094518,0.5,0.525,-0.010920352302491665,0.233607679605484,-0.0373600535094738,0.5230106115341187,888,469,299,120,0.5281531531531531,0.21846846846846846,2.6396396396396398,2.421171171171171,0.019034504890441895,0.0067138671875,0.00985107384622097,0.0015606891829520464,0.026714276522397995,0.00885009765625,0.885009765625,-0.07689209282398224,-0.010920352302491665,-0.015685294289141893,0.26293546819325647,0.24332359433174133,0.010926459915935993,0.24792124330997467,0.2626183032989502,0.2769753634929657,0.28353798389434814,2.9364310828122226,0.012714105017948896,0.10943418560606061,0.3052702135208881,0.00037712,1.3833143855586196,-0.00706130950824997,0.002046848837632741,0.0,0.04897378249019648,0.0,0.0,0.018293648238547823,0.054243607954545456,4.0,0.0,0.0,0.0,0.05419921875,,,,,0.0,0.27203369140625,0.2342529296875,0.2645263671875,0.22918701171875,239,0.5062761506276151,2.6401673640167362,2.435146443514644,0.20502092050209206,209,0.5550239234449761,2.660287081339713,2.397129186602871,0.2631578947368421,234,0.5427350427350427,2.6196581196581197,2.405982905982906,0.21367521367521367,206,0.5097087378640777,2.6407766990291264,2.4466019417475726,0.1941747572815534
4,65536,3531,1818,1212,501,0.5148683092608326,0.58,0.495,-0.010699693113565445,0.23048292100429535,-0.08523888885974884,0.5305514335632324,886,460,299,127,0.5191873589164786,0.2178329571106095,2.6354401805869077,2.4176072234762978,0.061715126037597656,0.005950927734375,0.010894775390625,0.0010927686234936118,0.026824951171875,0.01068115234375,1.068115234375,-0.07756347954273224,-0.010699693113565445,-0.03450700601732189,0.25905403819951145,0.2415769100189209,0.010320081375539303,0.24696321785449982,0.25774887204170227,0.27141162753105164,0.2842777669429779,2.8816327311775902,0.015379677244081078,0.1317471590909091,0.2658884649926966,0.00033616,1.3511998805132779,-0.013373991272764646,0.009150091958723681,0.07231482023542578,0.11979646506883303,0.0,0.0,0.021723742097277534,0.054154829545454544,4.0,1.0,0.0,0.0,0.0540771484375,,,,,0.0,0.2257080078125,0.3138427734375,0.239501953125,0.220947265625,201,0.48258706467661694,2.601990049751244,2.45771144278607,0.14427860696517414,277,0.5415162454873647,2.67870036101083,2.3898916967509027,0.2888086642599278,213,0.5352112676056338,2.6384976525821595,2.408450704225352,0.2300469483568075,195,0.5076923076923077,2.605128205128205,2.4256410256410255,0.1794871794871795
5,81920,4418,2279,1517,622,0.51584427342689,0.52,0.515,-0.010211729444563389,0.23373501002788544,-0.04841380938887596,0.5109753012657166,887,461,305,121,0.5197294250281849,0.20631341600901917,2.6347237880496053,2.4284103720405863,0.04063236713409424,0.005828857421875,0.01117553748190403,0.0011233740951865911,0.027208860963582993,0.011962890625,1.1962890625,-0.07705077528953552,-0.010211729444563389,-0.03598771734989055,0.242664634900273,0.22711525857448578,0.00935410987585783,0.23225529491901398,0.24164395034313202,0.2532157003879547,0.27308475971221924,2.9003665537204384,0.017235375415832508,0.1433151533018868,0.2993815912390655,0.0002952,1.3494033633538012,-0.0007201104246536468,0.0008662872033582926,0.0,0.0333928872622833,0.0,0.0,0.02054774522219064,0.05454009433962264,4.0,1.0,0.0,0.0,0.05413818359375,,,,,0.0,0.26092529296875,0.34625244140625,0.218017578125,0.1748046875,231,0.5108225108225108,2.6147186147186146,2.445887445887446,0.16883116883116883,306,0.49019607843137253,2.611111111111111,2.4607843137254903,0.1503267973856209,194,0.5773195876288659,2.6443298969072164,2.3762886597938144,0.26804123711340205,156,0.5192307692307693,2.698717948717949,2.4038461538461537,0.2948717948717949
6,98304,5302,2742,1804,756,0.5171633345907205,0.38,0.52,-0.010103235021233559,0.2300729751586914,-0.034155212342739105,0.509051501750946,884,463,287,134,0.5237556561085973,0.2251131221719457,2.6515837104072397,2.426470588235294,0.04941701889038086,0.00665283203125,0.01137084886431694,0.001255058334209025,0.026603618636727333,0.01177978515625,1.177978515625,-0.07736817002296448,-0.010103235021233559,-0.038174491857976785,0.24174276819186552,0.21532821655273438,0.010760177858173847,0.22773809731006622,0.24165113270282745,0.2529318928718567,0.27054882049560547,2.838518896273204,0.016298521946217597,0.13643973214285715,0.29975209411765846,0.00025424000000000003,1.3661468071596963,-0.0009762145423645333,0.0008855082556310988,0.0,0.036157033872300355,0.0,0.0,0.019057571588616287,0.053553989955357144,4.0,1.0,0.0,0.0,0.0538330078125,,,,,0.0,0.28424072265625,0.3114013671875,0.23095703125,0.17340087890625,251,0.5258964143426295,2.6573705179282867,2.406374501992032,0.250996015936255,276,0.5036231884057971,2.6630434782608696,2.467391304347826,0.1956521739130435,203,0.5270935960591133,2.625615763546798,2.4334975369458127,0.1921182266009852,154,0.551948051948052,2.655844155844156,2.3766233766233764,0.2792207792207792
7,114688,6185,3193,2126,866,0.5162489894907033,0.58,0.565,-0.012648208066821098,0.2346188724040985,-0.07989975810050964,0.5238518118858337,883,451,322,110,0.5107587768969423,0.18006795016987542,2.6172140430351076,2.437146092865232,0.06815701723098755,0.0045166015625,0.00866088829934597,0.0011085340520367026,0.026477478444576263,0.00677490234375,0.677490234375,-0.07869873195886612,-0.012648208066821098,-0.03751722514560377,0.2515319111170592,0.22385892271995544,0.011071836575865746,0.237644225358963,0.2530018091201782,0.2646881937980652,0.28427666425704956,2.806136272571705,0.017255136624616745,0.1417824074074074,0.36552058574226165,0.00021328000000000002,1.3709193114881162,-0.0014385115056964747,0.00028214010474151245,0.0,0.019389965526875826,0.0,0.0,0.01739699133085432,0.05416304976851852,4.0,1.0,0.0,0.0,0.05401611328125,,,,,0.0,0.26922607421875,0.2982177734375,0.22235107421875,0.210205078125,236,0.5127118644067796,2.652542372881356,2.440677966101695,0.211864406779661,263,0.4790874524714829,2.574144486692015,2.467680608365019,0.10646387832699619,200,0.525,2.615,2.405,0.21,184,0.5380434782608695,2.635869565217391,2.4239130434782608,0.21195652173913043
8,131072,7066,3662,2415,989,0.5182564392867252,0.58,0.55,-0.009183445014059544,0.2313639521598816,-0.06237894296646118,0.5081632733345032,881,469,289,123,0.5323496027241771,0.23609534619750283,2.648127128263337,2.412031782065834,0.06549406051635742,0.007232666015625,0.012402343563735485,0.001373938168399036,0.026599731296300888,0.01483154296875,1.483154296875,-0.07864990830421448,-0.009183445014059544,-0.041281426603335045,0.23805997328412148,0.21748577058315277,0.009310420602560043,0.22648753225803375,0.23658430576324463,0.2504546046257019,0.25650519132614136,2.767930849905937,0.015286783379833064,0.13137915826612903,0.35912920053928127,0.00017231999999999998,1.3642910084416788,-0.0014300373855725438,0.0005906674346803239,0.0,0.02957059846597527,0.0,0.0,0.018326060290658665,0.0537109375,4.0,0.0,0.0,0.0,0.0537109375,,,,,0.0,0.297607421875,0.2784423828125,0.22344970703125,0.20050048828125,262,0.5343511450381679,2.6374045801526718,2.4160305343511452,0.22137404580152673,245,0.5265306122448979,2.63265306122449,2.4081632653061225,0.22448979591836735,196,0.5204081632653061,2.6530612244897958,2.4285714285714284,0.22448979591836735,178,0.550561797752809,2.6797752808988764,2.393258426966292,0.28651685393258425
9,147456,7949,4107,2719,1123,0.5166687633664612,0.68,0.53,-0.011798132210969925,0.2311316579580307,-0.12172254920005798,0.5232552289962769,883,445,304,134,0.5039637599093998,0.19252548131370328,2.6319365798414496,2.439411098527746,0.06721752882003784,0.0045166015625,0.009552001953125,0.0011635120026767254,0.026201386004686356,0.00909423828125,0.909423828125,-0.0784912109375,-0.011798132210969925,-0.052663203399182144,0.2491314704529941,0.22903096675872803,0.01033342070877552,0.23738166689872742,0.24710401892662048,0.2635275721549988,0.2724649906158447,2.7254580979545913,0.017179943915228552,0.16075642903645834,0.36427491685996455,0.00013136,1.3512894300123055,-0.0014911097185197318,0.0008362815007569857,0.0,0.035153709972957005,0.0,0.0,0.020287774842775736,0.053955078125,4.0,0.0,0.0,0.0,0.053955078125,,,,,0.0,0.33349609375,0.29412841796875,0.20281982421875,0.1695556640625,293,0.5017064846416383,2.638225255972696,2.4505119453924915,0.18771331058020477,261,0.46360153256704983,2.5670498084291187,2.471264367816092,0.09578544061302682,178,0.5168539325842697,2.6741573033707864,2.432584269662921,0.24157303370786518,151,0.5629139072847682,2.6821192052980134,2.370860927152318,0.31125827814569534
10,163840,8835,4571,3027,1237,0.5173740803621958,0.54,0.55,-0.011577727273106575,0.23432748019695282,-0.07216107845306396,0.511947512626648,886,464,308,114,0.5237020316027088,0.22121896162528218,2.636568848758465,2.415349887133183,0.06674730777740479,0.00604248046875,0.01032104529440403,0.0011492675403133035,0.026446007192134857,0.008544921875,0.8544921875,-0.07919922471046448,-0.011577727273106575,-0.049356559031972815,0.24125414046769342,0.2242550551891327,0.008470810949802399,0.23110464215278625,0.24105174839496613,0.25250333547592163,0.2643476724624634,2.7076137363910675,0.013025405882823785,0.13255818684895834,0.4025251427665353,9.039999999999999e-05,1.3413442770640056,-0.0024539939458257574,0.0007680259273576221,0.0,0.03151447881192585,0.0,0.0,0.023087103870542098,0.05401611328125,4.0,0.0,0.0,0.0,0.05401611328125,,,,,0.0,0.32183837890625,0.29827880859375,0.21832275390625,0.16156005859375,284,0.5035211267605634,2.6232394366197185,2.436619718309859,0.18661971830985916,264,0.5227272727272727,2.621212121212121,2.409090909090909,0.21212121212121213,194,0.5257731958762887,2.618556701030928,2.402061855670103,0.21649484536082475,144,0.5625,2.7152777777777777,2.4027777777777777,0.3125
