episode_id,timesteps,policy_update,rollout_step,latent_z,curriculum_phase,mode,map_set,opponent,success,blue_score,red_score,win_margin,decision_steps,zone_coverage,collision_free_episode,collision_events_per_episode,near_misses_per_episode,time_to_first_score,mean_inter_robot_dist,reward_terminal,reward_offense,reward_pbrs,reward_team,reward_sparse,reward_sparse_points,reward_failure,reward_total
1,224,0,28,3,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,0,3,28,0.3199999928474426,1,0,5,22.0,7.4521075657435825,1.0,0.5,0.0011062026023864746,0.02499999850988388,1.0,100.0,-0.20000000298023224,0.5202128887176514
2,224,0,28,2,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,0,3,28,0.3199999928474426,1,0,4,21.0,7.409482138497489,1.0,0.5,-0.014914169907569885,0.014999999664723873,1.0,100.0,0.0,0.5546034574508667
3,232,0,29,2,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,0,3,29,0.35999998450279236,1,0,9,23.0,7.484709641029095,1.0,0.5,-0.025959283113479614,0.029999999329447746,1.0,100.0,-0.20000000298023224,0.5192062854766846
4,240,0,30,3,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,1,2,30,0.5600000023841858,1,0,3,25.0,9.488250732421875,1.0,0.0,0.006626352667808533,0.0,0.0,0.0,-0.20000000298023224,0.1977733075618744
5,240,0,30,3,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,0,3,30,0.3999999761581421,1,0,9,22.0,8.24110819498698,1.0,0.5,-0.028263062238693237,0.014999999664723873,1.0,100.0,0.0,0.5540254712104797
6,256,0,32,3,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,0,3,32,0.2800000011920929,1,0,7,26.0,7.630887985229492,1.0,0.5,-0.026913776993751526,0.029999999329447746,1.0,100.0,-0.4000000059604645,0.4816979169845581
7,264,0,33,2,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,33,0.3999999761581421,1,0,12,29.0,6.370772853042141,-1.0,-0.5,-0.0032500922679901123,0.019999999552965164,-1.0,-100.0,-0.20000000298023224,-0.5875742435455322
8,320,0,40,2,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,40,0.35999998450279236,1,0,13,29.0,6.0724231719970705,-1.0,-0.4000000059604645,-0.009358108043670654,0.0,-1.0,-100.0,0.0,-0.5374656915664673
9,368,0,46,1,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,18,0.2800000011920929,1,0,0,11.0,10.419912550184462,1.0,0.0,0.003338068723678589,0.0,0.0,0.0,0.0,0.2451147437095642
10,376,0,47,0,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,18,0.19999998807907104,1,0,1,11.0,11.755753411187065,1.0,0.5,-0.006856173276901245,0.014999999664723873,1.0,100.0,0.0,0.5549521446228027
11,384,0,48,3,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,0,3,3,0,20,0.2800000011920929,1,0,3,11.0,9.512025451660156,-0.5,0.0,-0.008181944489479065,0.0,0.0,0.0,-0.20000000298023224,-0.17373114824295044
12,384,0,48,2,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,0,3,3,0,18,0.19999998807907104,1,0,1,11.0,10.368052164713541,-0.5,0.0,-0.0008608847856521606,0.0,0.0,0.0,-0.20000000298023224,-0.17328736186027527
13,392,0,49,0,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,0,3,3,0,19,0.2800000011920929,1,0,4,12.0,9.718565288342928,-0.5,0.0,0.0006876140832901001,0.0,0.0,0.0,0.0,-0.1243106946349144
14,408,0,51,2,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,18,0.2800000011920929,1,0,0,11.0,9.730930752224392,1.0,0.4000000059604645,-0.009017989039421082,0.014999999664723873,1.0,100.0,0.0,0.5373155474662781
15,432,0,54,0,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,0,3,3,0,22,0.23999999463558197,1,0,1,14.0,9.451122630726207,-0.5,0.0,-0.0011836588382720947,0.0,0.0,0.0,0.0,-0.12442585080862045
16,472,0,59,1,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,19,0.23999999463558197,1,0,1,12.0,9.825985557154604,1.0,0.5,0.011442139744758606,0.014999999664723873,1.0,100.0,0.0,0.5557429790496826
17,528,0,66,1,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,20,0.19999998807907104,1,0,3,13.0,9.77591781616211,-1.0,-0.5,0.011360615491867065,0.019999999552965164,-1.0,-100.0,-0.4000000059604645,-0.6187888383865356
18,528,0,66,0,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,18,0.35999998450279236,1,0,1,11.0,9.268961588541666,1.0,0.0,-0.01042221486568451,0.0,0.0,0.0,0.0,0.24430623650550842
19,528,0,66,2,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,18,0.19999998807907104,1,0,0,11.0,11.658175150553385,-1.0,-0.4000000059604645,-0.004862114787101746,0.019999999552965164,-1.0,-100.0,-0.20000000298023224,-0.571032702922821
20,536,0,67,1,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,20,0.2800000011920929,1,0,4,11.0,9.606862640380859,1.0,0.5,0.010771021246910095,0.02499999850988388,1.0,100.0,-0.20000000298023224,0.5206533670425415
21,544,0,68,1,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,19,0.3199999928474426,1,0,3,11.0,9.176971435546875,1.0,0.4000000059604645,0.0046617984771728516,0.014999999664723873,1.0,100.0,0.0,0.5379233956336975
22,568,0,71,1,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,20,0.19999998807907104,1,0,3,13.0,9.667327880859375,1.0,0.5,-0.01748400181531906,0.029999999329447746,1.0,100.0,0.0,0.5551411509513855
23,576,0,72,1,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,18,0.3199999928474426,1,0,0,11.0,11.467464023166233,1.0,0.5,-0.029928624629974365,0.029999999329447746,1.0,100.0,0.0,0.554602861404419
24,600,0,75,0,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,16,0.23999999463558197,1,0,2,11.0,9.534503936767578,1.0,0.4000000059604645,0.002000167965888977,0.029999999329447746,1.0,100.0,0.0,0.5384711623191833
25,672,0,84,2,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,18,0.23999999463558197,1,0,2,11.0,9.380308363172743,1.0,0.0,-0.008455231785774231,0.0,0.0,0.0,-0.20000000298023224,0.19686740636825562
26,680,0,85,1,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,19,0.19999998807907104,1,0,2,12.0,10.79318558542352,-1.0,-0.5,-0.012949660420417786,0.0,-1.0,-100.0,-0.20000000298023224,-0.5887883305549622
27,680,0,85,1,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,18,0.19999998807907104,1,0,2,11.0,10.160633511013454,1.0,0.5,0.013724744319915771,0.014999999664723873,1.0,100.0,0.0,0.5558416247367859
28,680,0,85,3,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,19,0.19999998807907104,1,0,1,12.0,11.065207230417352,-1.0,-0.5,-0.0023452788591384888,0.019999999552965164,-1.0,-100.0,-0.20000000298023224,-0.5875371694564819
29,704,0,88,2,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,0,1,3,-2,16,0.1599999964237213,1,0,0,12.0,11.155378341674805,-1.0,-0.5,-0.003732442855834961,0.0,-1.0,-100.0,-0.20000000298023224,-0.588411808013916
30,720,0,90,2,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,19,0.19999998807907104,1,0,2,12.0,10.380043431332236,-1.0,-0.5,-0.004684656858444214,0.019999999552965164,-1.0,-100.0,0.0,-0.5539366006851196
31,728,0,91,1,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,0,3,3,0,23,0.1599999964237213,1,0,3,15.0,10.243198560631793,-0.5,0.0,0.008233785629272461,0.0,0.0,0.0,-0.20000000298023224,-0.17273594439029694
32,752,0,94,0,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,0,3,3,0,19,0.19999998807907104,1,0,3,12.0,9.999298898797287,-0.5,0.0,0.0058604031801223755,0.0,0.0,0.0,0.0,-0.12399237602949142
33,824,0,103,3,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,0,3,3,0,18,0.1599999964237213,1,0,0,11.0,11.825766669379341,-0.5,0.0,-0.008786484599113464,0.0,0.0,0.0,0.0,-0.12489362806081772
34,824,0,103,1,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,18,0.23999999463558197,1,0,0,11.0,10.996383666992188,-1.0,-0.5,-0.00042825937271118164,0.019999999552965164,-1.0,-100.0,0.0,-0.5537521839141846
35,832,0,104,0,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,19,0.23999999463558197,1,0,5,12.0,9.628288670590049,-1.0,-0.5,0.01180945336818695,0.019999999552965164,-1.0,-100.0,0.0,-0.5532217025756836
36,848,0,106,1,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,22,0.3999999761581421,1,0,2,11.0,8.96437558260831,1.0,0.5,-0.00776277482509613,0.014999999664723873,1.0,100.0,0.0,0.5549128651618958
37,856,0,107,1,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,19,0.23999999463558197,1,0,3,12.0,10.604205482884458,1.0,0.4000000059604645,-0.0048629119992256165,0.029999999329447746,1.0,100.0,0.0,0.5381665229797363
38,864,0,108,2,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,18,0.1599999964237213,1,0,0,11.0,10.801880730523003,1.0,0.5,-0.028053641319274902,0.029999999329447746,1.0,100.0,-0.20000000298023224,0.5191106796264648
