episode_id,timesteps,policy_update,rollout_step,mode,map_set,opponent,success,blue_score,red_score,win_margin,decision_steps,zone_coverage,collision_free_episode,collision_events_per_episode,near_misses_per_episode,time_to_first_score,mean_inter_robot_dist
1,184,0,23,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,0,3,23,0.2800000011920929,1,0,2,16.0,7.606817494268003
2,208,0,26,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,0,3,26,0.23999999463558197,1,0,3,21.0,7.8727874755859375
3,216,0,27,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,0,3,27,0.4399999976158142,1,0,8,20.0,6.165244773582176
4,216,0,27,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,0,3,27,0.3199999928474426,1,0,0,22.0,8.215961032443577
5,224,0,28,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,0,3,28,0.35999998450279236,1,0,9,21.0,6.287561144147601
6,232,0,29,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,0,3,29,0.47999998927116394,1,0,2,21.0,8.359459186422415
7,240,0,30,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,1,2,30,0.2800000011920929,1,0,14,25.0,6.027194213867188
8,248,0,31,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,0,3,31,0.2800000011920929,1,0,11,25.0,7.973005725491431
9,336,0,42,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,19,0.3199999928474426,1,0,3,12.0,10.738139905427632
10,360,0,45,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,19,0.23999999463558197,1,0,1,12.0,9.786602622584292
11,368,0,46,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,19,0.1599999964237213,1,0,1,12.0,10.889330412212171
12,368,0,46,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,18,0.3199999928474426,1,0,7,11.0,10.269417656792534
13,368,0,46,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,19,0.19999998807907104,1,0,2,12.0,11.640256379780016
14,392,0,49,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,1,2,19,0.3199999928474426,1,0,1,12.0,10.274295204564146
15,400,0,50,FIXED_OPPONENT,train,SCRIPTED:OP3,0,3,3,0,21,0.2800000011920929,1,0,1,13.0,10.351370675223214
16,408,0,51,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,20,0.3199999928474426,1,0,4,13.0,10.02411117553711
17,472,0,59,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,1,2,17,0.35999998450279236,1,0,0,11.0,10.334855921128216
18,488,0,61,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,16,0.11999999731779099,1,0,3,11.0,10.018980979919434
