episode_id,timesteps,mode,map_set,phase_name,opponent,success,blue_score,red_score,win_margin,decision_steps,zone_coverage,collision_free_episode,time_to_first_score,mean_inter_robot_dist
1,208,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,1,3,0,3,26,0.0,1,,
2,224,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,1,3,0,3,28,0.0,1,,
3,224,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,1,3,0,3,28,0.0,1,,
4,232,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,1,3,0,3,29,0.0,1,,
5,248,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,1,3,0,3,31,0.0,1,,
6,272,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,1,3,1,2,34,0.0,1,,
7,272,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,1,3,0,3,34,0.0,1,,
8,288,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,0,2,3,-1,36,0.0,1,,
9,360,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,1,3,2,1,17,0.0,1,,
10,360,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,1,3,2,1,19,0.0,1,,
11,368,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,1,3,2,1,17,0.0,1,,
12,392,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,0,2,3,-1,21,0.0,1,,
13,392,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,0,2,3,-1,18,0.0,1,,
14,424,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,1,3,2,1,19,0.0,1,,
15,424,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,1,3,2,1,19,0.0,1,,
16,456,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,0,2,3,-1,21,0.0,1,,
17,504,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,1,3,2,1,18,0.0,1,,
18,504,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,0,2,3,-1,18,0.0,1,,
19,512,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,1,3,2,1,18,0.0,1,,
20,560,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,0,2,3,-1,17,0.0,1,,
21,560,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,0,2,3,-1,21,0.0,1,,
22,568,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,0,3,3,0,22,0.0,1,,
23,592,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,1,3,2,1,21,0.0,1,,
24,592,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,1,3,2,1,17,0.0,1,,
25,648,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,1,3,2,1,17,0.0,1,,
26,672,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,0,2,3,-1,21,0.0,1,,
27,672,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,1,3,2,1,21,0.0,1,,
28,704,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,0,2,3,-1,18,0.0,1,,
29,704,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,1,3,2,1,18,0.0,1,,
30,712,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,1,3,2,1,18,0.0,1,,
31,744,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,0,2,3,-1,19,0.0,1,,
32,744,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,1,3,2,1,19,0.0,1,,
33,800,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,0,3,3,0,19,0.0,1,,
34,816,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,1,3,2,1,18,0.0,1,,
35,816,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,0,2,3,-1,18,0.0,1,,
36,840,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,1,3,2,1,16,0.0,1,,
37,848,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,0,2,3,-1,18,0.0,1,,
38,856,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,0,2,3,-1,19,0.0,1,,
39,888,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,1,3,2,1,18,0.0,1,,
40,888,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,0,2,3,-1,18,0.0,1,,
41,944,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,1,3,2,1,18,0.0,1,,
42,960,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,0,3,3,0,18,0.0,1,,
43,984,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,1,3,2,1,21,0.0,1,,
44,992,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,1,3,2,1,19,0.0,1,,
45,1000,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,0,2,3,-1,19,0.0,1,,
46,1000,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,0,2,3,-1,18,0.0,1,,
47,1016,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,0,2,3,-1,16,0.0,1,,
48,1032,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,0,2,3,-1,18,0.0,1,,
49,1112,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,0,3,3,0,21,0.0,1,,
50,1120,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,0,2,3,-1,20,0.0,1,,
51,1128,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,1,3,2,1,18,0.0,1,,
52,1144,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,1,3,2,1,18,0.0,1,,
53,1152,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,1,3,1,2,19,0.0,1,,
