episode_id,timesteps,policy_update,rollout_step,mode,map_set,opponent,success,blue_score,red_score,win_margin,decision_steps,zone_coverage,collision_free_episode,collision_events_per_episode,near_misses_per_episode,time_to_first_score,mean_inter_robot_dist
1,208,0,26,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,0,3,26,0.47999998927116394,1,0,4,21.0,9.583825331467848
2,240,0,30,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,0,3,30,0.36000001430511475,1,0,3,23.0,7.776740519205729
3,248,0,31,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,0,3,31,0.4000000059604645,1,0,7,25.0,7.9618584417527725
4,264,0,33,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,0,3,33,0.4000000059604645,1,0,5,28.0,7.799327503551137
5,272,0,34,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,34,0.4399999976158142,1,0,9,26.0,7.350903230554917
6,296,0,37,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,1,2,37,0.4000000059604645,1,0,15,30.0,6.682376346072635
7,304,0,38,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,38,0.4399999976158142,1,0,5,30.0,7.37196831954153
8,304,0,38,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,38,0.4399999976158142,1,0,13,32.0,6.6836403294613485
9,352,0,44,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,18,0.2800000011920929,1,0,3,11.0,8.616771274142796
10,384,0,48,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,17,0.2800000011920929,1,0,2,11.0,9.214348288143382
11,392,0,49,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,19,0.36000001430511475,1,0,1,12.0,10.462066650390625
12,408,0,51,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,18,0.20000000298023224,1,0,3,12.0,10.259557935926649
13,424,0,53,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,16,0.1599999964237213,1,0,0,12.0,10.589157104492188
14,424,0,53,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,19,0.36000001430511475,1,0,1,12.0,9.748234799033717
15,440,0,55,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,17,0.1599999964237213,1,0,3,12.0,9.96392822265625
16,448,0,56,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,18,0.23999999463558197,1,0,1,11.0,11.406098259819878
17,496,0,62,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,18,0.20000000298023224,1,0,1,14.0,10.952911376953125
18,528,0,66,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,18,0.3199999928474426,1,0,1,11.0,11.79994116889106
19,552,0,69,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,18,0.2800000011920929,1,0,5,11.0,10.154517279730904
20,568,0,71,FIXED_OPPONENT,train,SCRIPTED:OP3,0,3,3,0,22,0.36000001430511475,1,0,6,15.0,9.716238542036576
21,568,0,71,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,18,0.23999999463558197,1,0,1,12.0,10.762948777940538
22,568,0,71,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,18,0.20000000298023224,1,0,3,11.0,10.331424289279514
23,584,0,73,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,18,0.20000000298023224,1,0,4,11.0,10.308837890625
24,600,0,75,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,19,0.1599999964237213,1,0,4,12.0,9.767725894325658
25,640,0,80,FIXED_OPPONENT,train,SCRIPTED:OP3,0,3,3,0,18,0.23999999463558197,1,0,2,11.0,9.646723429361979
26,672,0,84,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,18,0.20000000298023224,1,0,2,11.0,10.373416476779514
27,688,0,86,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,15,0.3199999928474426,1,0,0,11.0,10.001348876953125
28,688,0,86,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,17,0.23999999463558197,1,0,0,11.0,12.200672822840074
29,712,0,89,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,18,0.2800000011920929,1,0,3,11.0,9.654275682237413
30,712,0,89,FIXED_OPPONENT,train,SCRIPTED:OP3,0,3,3,0,18,0.23999999463558197,1,0,1,11.0,10.91743638780382
31,736,0,92,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,19,0.36000001430511475,1,0,2,12.0,9.500044973273026
32,736,0,92,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,17,0.23999999463558197,1,0,0,11.0,9.029063505284926
33,776,0,97,FIXED_OPPONENT,train,SCRIPTED:OP3,0,1,3,-2,17,0.20000000298023224,1,0,1,11.0,11.298518461339613
34,800,0,100,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,16,0.23999999463558197,1,0,1,11.0,11.259653091430664
35,832,0,104,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,15,0.2800000011920929,1,0,0,11.0,11.850538126627605
36,832,0,104,FIXED_OPPONENT,train,SCRIPTED:OP3,0,3,3,0,18,0.2800000011920929,1,0,1,11.0,10.25590345594618
37,832,0,104,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,18,0.23999999463558197,0,1,6,12.0,10.465197245279947
38,864,0,108,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,19,0.1599999964237213,1,0,5,14.0,9.652611983449836
39,872,0,109,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,17,0.3199999928474426,1,0,2,11.0,10.732642678653493
40,880,0,110,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,18,0.23999999463558197,1,0,1,11.0,8.919520060221354
41,936,0,117,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,1,2,20,0.23999999463558197,1,0,2,13.0,9.042324829101563
42,968,0,121,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,21,0.23999999463558197,1,0,1,11.0,9.471612112862724
43,976,0,122,FIXED_OPPONENT,train,SCRIPTED:OP3,0,1,3,-2,18,0.20000000298023224,1,0,0,11.0,12.759438408745659
44,984,0,123,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,19,0.23999999463558197,1,0,2,11.0,9.776294105931333
45,1000,0,125,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,21,0.36000001430511475,1,0,3,14.0,8.947446550641741
46,1008,0,126,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,16,0.23999999463558197,1,0,1,11.0,10.87358283996582
47,1032,0,129,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,21,0.1599999964237213,1,0,4,14.0,10.459707350957961
48,1032,0,129,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,20,0.23999999463558197,1,0,4,13.0,10.130567932128907
49,1080,0,135,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,18,0.20000000298023224,1,0,1,11.0,9.903767903645834
50,1120,0,140,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,19,0.3199999928474426,1,0,0,12.0,10.831742136101974
51,1120,0,140,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,18,0.3199999928474426,1,0,0,11.0,10.089837816026476
52,1128,0,141,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,1,2,16,0.3199999928474426,1,0,0,12.0,10.005955696105957
53,1128,0,141,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,15,0.23999999463558197,1,0,0,11.0,11.723660278320313
54,1136,0,142,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,19,0.1599999964237213,1,0,3,13.0,10.574400249280428
55,1168,0,146,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,17,0.2800000011920929,1,0,0,11.0,10.073427985696231
56,1176,0,147,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,18,0.3199999928474426,1,0,3,11.0,9.35089365641276
57,1224,0,153,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,18,0.2800000011920929,1,0,4,11.0,10.33354271782769
58,1256,0,157,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,17,0.23999999463558197,1,0,0,11.0,10.438424503102022
59,1272,0,159,FIXED_OPPONENT,train,SCRIPTED:OP3,0,3,3,0,18,0.20000000298023224,1,0,2,11.0,10.56295437282986
60,1272,0,159,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,19,0.4000000059604645,1,0,0,12.0,10.30855279219778
61,1280,0,160,FIXED_OPPONENT,train,SCRIPTED:OP3,0,3,3,0,19,0.23999999463558197,0,1,3,12.0,9.579525596217104
62,1312,0,164,FIXED_OPPONENT,train,SCRIPTED:OP3,0,3,3,0,22,0.2800000011920929,1,0,6,15.0,10.617279052734375
63,1320,0,165,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,1,2,19,0.36000001430511475,1,0,0,12.0,9.099395751953125
64,1320,0,165,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,1,2,18,0.36000001430511475,1,0,0,11.0,9.892183091905382
