episode_id,timesteps,policy_update,rollout_step,latent_z,mode,map_set,opponent,success,blue_score,red_score,win_margin,decision_steps,zone_coverage,collision_free_episode,collision_events_per_episode,near_misses_per_episode,time_to_first_score,mean_inter_robot_dist,reward_terminal,reward_offense,reward_pbrs,reward_team,reward_sparse,reward_sparse_points,reward_failure,reward_total
1,184,0,23,2,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,0,3,23,0.2800000011920929,1,0,2,16.0,7.606817494268003,1.0,0.4000000059604645,-0.01449856162071228,0.04999999701976776,1.0,100.0,0.0,0.8363418579101562
2,208,0,26,3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,0,3,26,0.23999999463558197,1,0,3,21.0,7.8727874755859375,1.0,0.5,0.009404420852661133,0.03999999910593033,1.0,100.0,0.0,0.8517109751701355
3,216,0,27,2,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,0,3,27,0.4399999976158142,1,0,8,20.0,6.165244773582176,1.0,0.5,-0.01816442608833313,0.014999999664723873,1.0,100.0,0.0,0.8480616807937622
4,216,0,27,3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,0,3,27,0.3199999928474426,1,0,0,22.0,8.215961032443577,1.0,0.5,-0.005990207195281982,0.014999999664723873,1.0,100.0,0.0,0.8489140272140503
5,224,0,28,2,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,0,3,28,0.35999998450279236,1,0,9,21.0,6.287561144147601,1.0,0.5,-0.04342329502105713,0.014999999664723873,1.0,100.0,-0.4000000059604645,0.7790283560752869
6,232,0,29,3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,0,3,29,0.47999998927116394,1,0,2,21.0,8.359459186422415,1.0,0.5,-0.01646706461906433,0.02499999850988388,1.0,100.0,0.0,0.8488807678222656
7,240,0,30,2,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,1,2,30,0.2800000011920929,1,0,14,25.0,6.027194213867188,1.0,0.5,-0.03055432438850403,0.029999999329447746,1.0,100.0,0.0,0.8482447862625122
8,248,0,31,3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,0,3,31,0.2800000011920929,1,0,11,25.0,7.973005725491431,1.0,0.5,-0.05912712216377258,0.029999999329447746,1.0,100.0,-0.20000000298023224,0.8153274059295654
9,336,0,42,1,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,19,0.3199999928474426,1,0,3,12.0,10.738139905427632,1.0,0.5,-0.04667168855667114,0.029999999329447746,1.0,100.0,-0.20000000298023224,0.816368579864502
10,360,0,45,0,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,19,0.23999999463558197,1,0,1,12.0,9.786602622584292,-1.0,-0.5,0.030483901500701904,0.0,-1.0,-100.0,-0.20000000298023224,-0.8722424507141113
11,368,0,46,0,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,19,0.1599999964237213,1,0,1,12.0,10.889330412212171,-1.0,-0.5,0.02794039249420166,0.019999999552965164,-1.0,-100.0,0.0,-0.84488844871521
