episode_id,success,time_to_first_score,time_to_game_over,collisions_per_episode,near_misses_per_episode,collision_free_episode,mean_inter_robot_dist,std_inter_robot_dist,zone_coverage,phase_name,opponent_kind,scripted_tag,blue_score,red_score,opponent_switch_count,vec_schema_version
1,1,,,0,0,1,,,0,OP3,scripted,OP1,3,0,0,2
2,1,,,0,0,1,,,0,OP3,scripted,OP1,3,0,0,2
3,1,,,0,0,1,,,0,OP3,scripted,OP1,3,0,0,2
4,1,,,0,0,1,,,0,OP3,scripted,OP1,3,0,0,2
5,1,,,0,0,1,,,0,OP3,scripted,OP1,3,0,0,2
6,1,,,0,0,1,,,0,OP3,scripted,OP1,3,0,0,2
7,1,,,0,0,1,,,0,OP3,scripted,OP1,3,0,0,2
8,1,,,0,0,1,,,0,OP3,scripted,OP1,3,2,0,2
9,1,,,0,0,1,,,0,OP3,scripted,OP1,3,1,0,2
10,1,,,0,0,1,,,0,OP3,scripted,OP1,3,2,0,2
11,1,,,0,0,1,,,0,OP3,scripted,OP1,3,2,0,2
12,1,,,0,0,1,,,0,OP3,scripted,OP1,3,2,0,2
13,1,,,0,0,1,,,0,OP3,scripted,OP1,3,2,0,2
14,1,,,0,0,1,,,0,OP3,scripted,OP1,3,1,0,2
15,0,,,0,0,1,,,0,OP3,scripted,OP1,3,3,0,2
16,1,,,0,0,1,,,0,OP3,scripted,OP1,3,2,0,2
17,1,,,0,0,1,,,0,OP3,scripted,OP1,3,2,0,2
18,1,,,0,0,1,,,0,OP3,scripted,OP1,3,2,0,2
19,0,,,0,0,1,,,0,OP3,scripted,OP1,2,3,0,2
20,0,,,0,0,1,,,0,OP3,scripted,OP1,2,3,0,2
21,0,,,0,0,1,,,0,OP3,scripted,OP1,2,3,0,2
22,0,,,0,0,1,,,0,OP3,scripted,OP1,2,3,0,2
23,0,,,0,0,1,,,0,OP3,scripted,OP1,2,3,0,2
24,1,,,0,0,1,,,0,OP3,scripted,OP1,3,2,0,2
25,1,,,0,0,1,,,0,OP3,scripted,OP1,3,2,0,2
26,1,,,0,0,1,,,0,OP3,scripted,OP1,3,2,0,2
27,1,,,0,0,1,,,0,OP3,scripted,OP1,3,2,0,2
28,1,,,0,0,1,,,0,OP3,scripted,OP1,3,1,0,2
29,0,,,0,0,1,,,0,OP3,scripted,OP1,2,3,0,2
30,0,,,0,0,1,,,0,OP3,scripted,OP1,3,3,0,2
31,1,,,0,0,1,,,0,OP3,scripted,OP1,3,2,0,2
32,0,,,0,0,1,,,0,OP3,scripted,OP1,3,3,0,2
