episode_id,success,time_to_first_score,time_to_game_over,collisions_per_episode,near_misses_per_episode,collision_free_episode,mean_inter_robot_dist,std_inter_robot_dist,zone_coverage,phase_name,opponent_kind,scripted_tag,blue_score,red_score,opponent_switch_count,vec_schema_version
1,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
2,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
3,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
4,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
5,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
6,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
7,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
8,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
9,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
10,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
11,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
12,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
13,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
14,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
15,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
16,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
17,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
18,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
19,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
20,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
21,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
22,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
23,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
24,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
25,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
26,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
27,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
28,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
29,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
30,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
31,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
32,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
33,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
34,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
35,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
36,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
37,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
38,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
39,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
40,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
41,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
42,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
43,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
44,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
45,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
46,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
47,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
48,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
49,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
50,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
51,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
52,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
53,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
54,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
55,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
56,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
57,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
58,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
59,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
60,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
61,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
62,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
63,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
64,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
65,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
66,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
67,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
68,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
69,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
70,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
71,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
72,1,,,0,0,1,,,0,OP1,scripted,OP1,3,0,0,2
